"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc"
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Apotek+Citra+Sehat+Dramaga+Kampus+IPB/data=!4m7!3m6!1s0x2e69c4bebdd83d13:0x8754802c09926712!8m2!3d-6.5623497!4d106.7317629!16s%2Fg%2F11f3mbrstn!19sChIJEz3Yvb7EaS4REmeSCSyAVIc?authuser=0&hl=id&rclk=1","Apotek Citra Sehat Dramaga Kampus IPB","4,9","(159)","Apotek","·","Jalan Raya Dramaga No.Km. 9 No. 59","Segera tutup","· 21.00 · Buka Sel pukul 07.30","·","0851-0080-8337","https://citrasehat.my.id/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Apoteknya lengkap, lokasinya strategis, apoteknya dekat dengan kampus ipb"""
"https://www.google.com/maps/place/Apotek+Kimia+Farma+Dramaga/data=!4m7!3m6!1s0x2e69c52c00000001:0x6c576b37aaaeee1a!8m2!3d-6.5667452!4d106.7361006!16s%2Fg%2F11bbrn83gb!19sChIJAQAAACzFaS4RGu6uqjdrV2w?authuser=0&hl=id&rclk=1","Apotek Kimia Farma Dramaga","3,5","(229)","Apotek","·","·","Buka","· Tutup pukul 23.00","Jl. Raya Dramaga No.Km 8","0881-1037-001","http://kimiafarmaapotek.co.id/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""10/10, bersihh dan pelayanan sgt baik"""
"https://www.google.com/maps/place/Apotek+Zam-Zam+Farma/data=!4m7!3m6!1s0x2e69c4c6df817717:0x8421db39768ceb42!8m2!3d-6.5710541!4d106.7398709!16s%2Fg%2F11c5xwbnpv!19sChIJF3eB38bEaS4RQuuMdjnbIYQ?authuser=0&hl=id&rclk=1","Apotek Zam-Zam Farma","4,1","(46)","Apotek","·","Jalan Raya Dramaga No.KM. 7,3, Margajaya, Bogor Barat, Margajaya, Bogor Barat, RT.02/RW.06","Buka","· Tutup pukul 00.00","·","0858-9017-2667","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""ketersediaan obat yg lengkap dan tempat yg strategis mudah di jangkau"""
"https://www.google.com/maps/place/APOTEK+DRAMAGA/data=!4m7!3m6!1s0x2e69c515df48423f:0x4f4b947680d144c9!8m2!3d-6.5797269!4d106.746197!16s%2Fg%2F11k1szwq55!19sChIJP0JI3xXFaS4RyUTRgHaUS08?authuser=0&hl=id&rclk=1","APOTEK DRAMAGA","4,3","(26)","Apotek","","","Segera tutup","· 21.00 · Buka Sel pukul 07.30","","","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png",""""
"https://www.google.com/maps/place/Afini+Apotek/data=!4m7!3m6!1s0x2e69c4b1a998b1a3:0x901fcd4d665727a5!8m2!3d-6.5608813!4d106.7318653!16s%2Fg%2F11c2l0l7pq!19sChIJo7GYqbHEaS4RpSdXZk3NH5A?authuser=0&hl=id&rclk=1","Afini Apotek","4,1","(15)","Apotek","·","·","Segera tutup","· 21.00 · Buka Sel pukul 08.00","CPQJ+JPX, Jl. Babakan Raya","(0251) 8423701","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Obat obatanya pada murah dan lengkap, pelayannya juga baik ramah."""
"https://www.google.com/maps/place/Apotek+Shafana/data=!4m7!3m6!1s0x2e69c4c6c86ec1c7:0x7fc5709225d9e7e7!8m2!3d-6.5722825!4d106.7407099!16s%2Fg%2F11f5h5f6lf!19sChIJx8FuyMbEaS4R5-fZJZJwxX8?authuser=0&hl=id&rclk=1","Apotek Shafana","3,0","(24)","Apotek","·","Jl. Raya Dramaga No.8 3, RT.03/RW.05","","","","","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""harganya murah, obatnya jg lengkap
pelayanannya ramah….."""
"https://www.google.com/maps/place/Apotek+Ciherang+Farma/data=!4m7!3m6!1s0x2e69c50948b43d3b:0xcf059d24f5c7216d!8m2!3d-6.5860627!4d106.7458854!16s%2Fg%2F11fj048f29!19sChIJOz20SAnFaS4RbSHH9SSdBc8?authuser=0&hl=id&rclk=1","Apotek Ciherang Farma","4,1","(30)","Apotek","·","Ciherang RT No.05","Segera tutup","· 21.30 · Buka Sel pukul 07.30","","","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Obat komplit, pelayanan bagus, harga murah"""
"https://www.google.com/maps/place/Apotek+Askia+Cilendek/data=!4m7!3m6!1s0x2e69c507290c02f3:0xdf7b344c3ff201f!8m2!3d-6.5694987!4d106.7667487!16s%2Fg%2F11f7ctkt4v!19sChIJ8wIMKQfFaS4RHyD_w0Sz9w0?authuser=0&hl=id&rclk=1","Apotek Askia Cilendek","4,9","(1.176)","Apotek","·","·","Buka 24 jam","","Ruko Samoraya Residence. 06-07 RT 001/009, RT.01/RW.07","0822-8842-3999","https://apotekaskia.id/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Para apoteker sangat membantu dengan memberikan detail obat untuk pasien."""
