"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","A1zNzb href","J8zHNe","bbPy1","doJOZc","W4Efsd 6"
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Raindear+Coffee+%26+Kitchen+Bogor/data=!4m7!3m6!1s0x2e69c5bd055d17b7:0xa76052fb24e986b6!8m2!3d-6.6034326!4d106.8102516!16s%2Fg%2F11h7cqvl4c!19sChIJtxddBb3FaS4RtobpJPtSYKc?authuser=0&hl=id&rclk=1","Raindear Coffee & Kitchen Bogor","4,8","(8.342)","·","$$","Kedai Kopi","·","Jl. Bina Marga No.7, RT.04/RW.11","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG5zlxG89m0fOQB6llPol2abZpadL5btT2PeB_oCxACRjw7ERQqr5jNiMM7Wh9MgT8Wa394Orl9HV77XN3-W44NH26K6T8X8xvV6va1afRbwKBzxLdmJbPdXkXB-IiFfAYRuPQ=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Good food, chill vibes, and super cozy.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFoN2Nxdmw0YxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=eaD4aZbLD77RwcsPwMai8Q4&ei=eaD4aZbLD77RwcsPwMai8Q4&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/Lorong+Temu+Coffee+%26+Eatery/data=!4m7!3m6!1s0x2e69c5004fbdc1ad:0x8be9ac109d2c24c1!8m2!3d-6.5702616!4d106.8034132!16s%2Fg%2F11vrky0416!19sChIJrcG9TwDFaS4RwSQsnRCs6Ys?authuser=0&hl=id&rclk=1","Lorong Temu Coffee & Eatery","4,9","(1.313)","·","Rp 25–50 rb","Kedai Kopi","·","Jl. Bangau No.22, RT.06/RW.04","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG8ZGk-OBGQ1whgBleRacX35jDQvbimxT8yKnyfETu2LVIXJA7MI0ErlDdXdqVQvustQp-npVGTxH2rMDuQbr3jAXweMxQaKMi8seFv6kv2r7QwcSa9MTwbR5TiAQg9hdPnOoSpvKVE3g3w=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya nyaman dan pelayanannya ramah
Matcha lattenya enak banget""","","","","",""
"https://www.google.com/maps/place/HAGU+Coffee+%26+Space/data=!4m7!3m6!1s0x2e69c53d5208fc01:0x1b63a9420478855a!8m2!3d-6.5915131!4d106.8080215!16s%2Fg%2F11rtd2crjx!19sChIJAfwIUj3FaS4RWoV4BEKpYxs?authuser=0&hl=id&rclk=1","HAGU Coffee & Space","4,6","(1.241)","·","Rp 25–50 rb","Kedai Kopi","·","Jl. Sancang. 22 A RT 003/007, RT.03/RW.07","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH-tmp97UBklk02m9CV9k6J2K-_KbmOOInzTlOiod8cDh3WT9hDEmo5pMk2DUXUNNu5cohFiKd7Rg_9yocMxHhXOsy5m8QJMSgF8IEKQFs63crBQZ3hjD1K1Kro6eOAndVFZlkjCA=w80-h100-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya enak buat ngobrol, kopinya enak..
Pelayanan best""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFydGQyY3JqeBgAOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=eaD4aZbLD77RwcsPwMai8Q4&ei=eaD4aZbLD77RwcsPwMai8Q4&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/Raindear+Coffee+House/data=!4m7!3m6!1s0x2e69c5d641777bc7:0xe6b1945e1caecb6d!8m2!3d-6.606715!4d106.8099159!16s%2Fg%2F11rx3g26pm!19sChIJx3t3QdbFaS4RbcuuHF6UseY?authuser=0&hl=id&rclk=1","Raindear Coffee House","4,9","(3.314)","","","Kedai Kopi","·","Jl. Kantor. Pos No.6, RT.04/RW.11","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEQJva5314LsA1NyL-mXHhizCFYCDQpioj1hk3hePkBzkL3vbysFynyoGuKX78s2QPQkyDPB3s-DEvucQPm9rXqs95_lwvBxVJ28ThEkBO_WSQFrJgyi50JbWPnn_SXK9Ec5F5_=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Suasana cozy, pelayannya helpful, rasa kopi dan matchanya mantap.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFyeDNnMjZwbRgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=eaD4aZbLD77RwcsPwMai8Q4&ei=eaD4aZbLD77RwcsPwMai8Q4&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/Sequoia+Coffee+And+Space/data=!4m7!3m6!1s0x2e69c5c8b5bf58d1:0xd34ac83e36a3bf3a!8m2!3d-6.5843881!4d106.8058121!16s%2Fg%2F11r_q3zd0x!19sChIJ0Vi_tcjFaS4ROr-jNj7IStM?authuser=0&hl=id&rclk=1","Sequoia Coffee And Space","4,4","(609)","·","Rp 25–50 rb","Kedai Kopi","·","Jl. Raya Pajajaran No.49, RT.04/RW.111","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEVgI3NbktkzvSpCxzhSltYidW1kU9Ln-kqfir6UJJuD4qXvkInP-WifYcTKOSwgwK2tP8DUsMMnOcvNsO0iMX8_6y4qPHBCu5x6mumMZZVpGvcYRH2LVGiR3-UraTkobn68CJd=w80-h100-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Untuk rasa kopinya enak dan untuk makanannya juga enak.""","","","","",""
"https://www.google.com/maps/place/Roofpark+Cafe+%26+Restaurant+Bogor/data=!4m7!3m6!1s0x2e69c5cd99abed77:0xc199d9303a51c1d6!8m2!3d-6.589329!4d106.80515!16s%2Fg%2F11c2mzx_ds!19sChIJd-2rmc3FaS4R1sFROjDZmcE?authuser=0&hl=id&rclk=1","Roofpark Cafe & Restaurant Bogor","4,5","(3.433)","·","$$","Kafe","·","·","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAF4u5wgdF0sJj7kLeLI459hD4RIlrRrwxuPhRLIWQQWdkIl2iYUgF3-6ma00PvlJKGMyJP5mzYJ8J7am3XJJnSJYs1NQ3QYkXcsLl6ngSzyo3jyKAf3g23VW0mxy3PDV9v-ST6m=w138-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Minuman ny coba jus dan paket kopi+croissant.""","","","","","RAJA FO Bogor, Jl. Raya Pajajaran No.3 Lt.3, RT.02/RW.04"
"https://www.google.com/maps/place/Third+Wave+Coffee+Co+Indonesia/data=!4m7!3m6!1s0x2e69c5c5293059b1:0x84015caeca01df5f!8m2!3d-6.5993439!4d106.8056651!16s%2Fg%2F11g9w5bbr_!19sChIJsVkwKcXFaS4RX98Byq5cAYQ?authuser=0&hl=id&rclk=1","Third Wave Coffee Co Indonesia","4,6","(1.952)","·","Rp 25–50 rb","Kedai Kopi","·","·","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGRCecji-5Bb-9pN5_gbP-8tlIHoq0E1u6iX-WQ36KBgYp7Sq3srtTFY3jUd_pmZ2yxusKRq04TZ9M6pIPiL923loLKlUSIV4mxPqktBjFMdQSTgJENxwNFSjzrjmDs_4vWegMu=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Cozy place, nice service, nice","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFnOXc1YmJyXxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=eaD4aZbLD77RwcsPwMai8Q4&ei=eaD4aZbLD77RwcsPwMai8Q4&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","Jl. Prof. DR. H. Andi Hakim Nasoetion No.1, RT.02/RW.05"
"https://www.google.com/maps/place/Maraca+Books+And+Coffee/data=!4m7!3m6!1s0x2e69c5ce8c1e2a17:0x7a3efefd03c4b109!8m2!3d-6.5932014!4d106.8030081!16s%2Fg%2F11clsc5kn7!19sChIJFyoejM7FaS4RCbHEA_3-Pno?authuser=0&hl=id&rclk=1","Maraca Books And Coffee","4,7","(872)","·","Rp 25–50 rb","Kafe","·","·","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGiFVkd6QU_RAt38kZVWGqkmGwCqUOHA2mi9NK8fh0qECn2e-8w4PcfiJ9cTExgjthZZne3ppOWqGlMtAnYT2iRpxfF9mYB2hQhkWnXXv3a_mYO6KDNJz6QYtUqpW0X88TzhErP7A=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFjbHNjNWtuNxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=eaD4aZbLD77RwcsPwMai8Q4&ei=eaD4aZbLD77RwcsPwMai8Q4&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","Jl. Jalak Harupat No.9a, RT.05/RW.04"
