"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","UsdlK","Cw1rxd","R8c4Qb","Jn12ke src","ah5Ghc","ah5Ghc 2","doJOZc","W4Efsd 4","W4Efsd 5","W4Efsd 6","W4Efsd 7"
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Prima+Copy+Center/data=!4m7!3m6!1s0x2e69c4b1b7328cfd:0x8ff7b2b66147b403!8m2!3d-6.5604572!4d106.7317674!16s%2Fg%2F11b6dfkp0c!19sChIJ_Ywyt7HEaS4RA7RHYbay948?authuser=0&hl=id&rclk=1","Prima Copy Center","4,8","(18)","Toko Fotokopi","·","Jalan Babakan Raya, Babakan, Kecamatan Dramaga, Bogor, Jawa Barat 16680, ipb Bogor","0813-1468-4363","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Kualitas","print","","","","",""
"https://www.google.com/maps/place/Centium+Printing/data=!4m7!3m6!1s0x2e69c4b1d48fc979:0x4a7ee5c64be36c9f!8m2!3d-6.5588281!4d106.7321665!16s%2Fg%2F1pzphwnz3!19sChIJecmP1LHEaS4Rn2zjS8blfko?authuser=0&hl=id&rclk=1","Centium Printing","4,8","(152)","Toko Fotokopi","·","·","0813-1876-7815","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""baik bgt,, pelayanan baik, harga terjangkau, dan gercep 👍""","","","Jl. Babakan Tengah No.15","Tutup","· Buka Sel pukul 08.00","·"
"https://www.google.com/maps/place/Agus+Copy+Center/data=!4m7!3m6!1s0x2e69c4b1d0d851df:0xb129b20d23fb866!8m2!3d-6.5587846!4d106.7319272!16s%2Fg%2F11b6dpk9sh!19sChIJ31HY0LHEaS4RZrg_0iCbEgs?authuser=0&hl=id&rclk=1","Agus Copy Center","4,5","(28)","Toko Fotokopi","·","CPRJ+FQM","(0251) 8622403","","Rute","","","","","","","",""
"https://www.google.com/maps/place/Kayla+Fotocopy+Dramaga/data=!4m7!3m6!1s0x2e69c5e1e231ab07:0x87d59efb45252bbe!8m2!3d-6.5711368!4d106.7398425!16s%2Fg%2F11tp4yk2gs!19sChIJB6sx4uHFaS4RvislRfue1Yc?authuser=0&hl=id&rclk=1","Kayla Fotocopy Dramaga","4,9","(61)","Toko Fotokopi","·","Jl. Raya Dramaga No.Km 7, RT.02/RW.06","0812-1941-6983","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","fotokopi","","·","Segera tutup","· 21.30 · Buka Sel pukul 06.00",""
"https://www.google.com/maps/place/Nasution+Copy+Centre/data=!4m7!3m6!1s0x2e69c4b104921319:0xc86e4b22e509f464!8m2!3d-6.5616849!4d106.7319965!16s%2Fg%2F11b6d1kr1c!19sChIJGROSBLHEaS4RZPQJ5SJLbsg?authuser=0&hl=id&rclk=1","Nasution Copy Centre","3,3","(15)","Toko Fotokopi","·","Jl. Babakan Raya No.4","0813-7434-7018","","Rute","","","","","·","Segera tutup","· 21.00 · Buka Sel pukul 08.00",""
"https://www.google.com/maps/place/Vita+Copy/data=!4m7!3m6!1s0x2e69c5b73b350493:0x1dfe040d7f686cb9!8m2!3d-6.5956921!4d106.7893785!16s%2Fg%2F11c75_9fnz!19sChIJkwQ1O7fFaS4RuWxofw0E_h0?authuser=0&hl=id&rclk=1","Vita Copy","4,4","(529)","Layanan cetak digital","·","·","(0251) 8326300","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Fotocopy","","Jl. Kapten Muslihat No.13, RT.04/RW.06","Tutup","· Buka Sel pukul 08.30","·"
"https://www.google.com/maps/place/Innova+Copy+Centre/data=!4m7!3m6!1s0x2e69c5346f09a2d7:0x98ba2f58b44a867d!8m2!3d-6.5592904!4d106.7292293!16s%2Fg%2F11j13sg4jt!19sChIJ16IJbzTFaS4RfYZKtFgvupg?authuser=0&hl=id&rclk=1","Innova Copy Centre","5,0","(1)","Toko Fotokopi","·","CPRH+7MQ","0852-1551-0139","","Rute","","","","","·","Tutup","· Buka Sel pukul 07.00",""
"https://www.google.com/maps/place/Jaya+Abadi+Photo+Copy/data=!4m7!3m6!1s0x2e69c4b1d6acf4a3:0x18ce5b7efbb510b9!8m2!3d-6.5589396!4d106.7318141!16s%2Fg%2F11fnnmt7ft!19sChIJo_Ss1rHEaS4RuRC1-35bzhg?authuser=0&hl=id&rclk=1","Jaya Abadi Photo Copy","5,0","(2)","Toko Fotokopi","·","Jl. Babakan Tengah No.1, RT.1/RW.09","0877-1827-4170","","Rute","","","","","·","Segera tutup","· 21.00 · Buka Sel pukul 08.00",""
