"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","doJOZc","W4Efsd 6","A1zNzb href","J8zHNe","bbPy1"
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Bento+Kopi+IPB+Bogor/data=!4m7!3m6!1s0x2e69c5c88b402ff5:0x43ade40a92fb81a3!8m2!3d-6.567586!4d106.735084!16s%2Fg%2F11vdrk8y23!19sChIJ9S9Ai8jFaS4Ro4H7kgrkrUM?authuser=0&hl=id&rclk=1","Bento Kopi IPB Bogor","4,7","(1.182)","·","Rp 25–50 rb","Kedai Kopi","·","CPMP+32G","Buka","· Tutup pukul 01.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFdihNw2L1WyllqtY3Gfg7Ew6NWSst3NaRwcj3BZm3sejtIS76-PnQ7JqzMB3n1xUz3dvWVoNS65y3O-oXglGmqJk_X8GOvZINudfwBP_oxkZ2CJMESRFM43VwM-kkSbigB57hC=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanannya enak, harga reasonable buat kualitas juaraa""","","","","",""
"https://www.google.com/maps/place/DISISIKOPI/data=!4m7!3m6!1s0x2e69c57af8b1eae3:0x93c646def74bc275!8m2!3d-6.5586638!4d106.733575!16s%2Fg%2F11x8jhtx3l!19sChIJ4-qx-HrFaS4RdcJL995GxpM?authuser=0&hl=id&rclk=1","DISISIKOPI","4,9","(25)","","","Kedai Kopi","·","kampus dalem IPB, Jl. Babakan Tengah No.99, RT.02/RW.08","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEuh1EQo22s1gKLuvkMRmTCZNFqwEEm1au4gr1ToGcwiU77wlRQtsUSwVA6JabHOkKlSGhIn5JMD1a_F0lgvSDtCHIl9wjVif8L1R0fH_WkD2-WwFer0hv0fGWgs6yKLfvcyZ8=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Kopinya enak rekomendasi banget pokonya!!""","","","","",""
"https://www.google.com/maps/place/RUMAH+KOPI+RANIN/data=!4m7!3m6!1s0x2e69c42e9c93be1b:0xed6315457426851d!8m2!3d-6.5510705!4d106.7323557!16s%2Fg%2F11b76mcg98!19sChIJG76TnC7EaS4RHYUmdEUVY-0?authuser=0&hl=id&rclk=1","RUMAH KOPI RANIN","4,6","(3.363)","·","Rp 50–75 rb","Kedai Kopi","·","·","Tutup","· Buka Sel pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG-q9HXV9dZnrZLNEQltBIHL7ma6Oh1xGHBSaHGpA6Jl_-RBD9rQCbVJUX30JbvaZQlT92Wg7EcWLMFJhIZWNoIToa7yvdu9CQqk4ZOMo0_om2RP_eIpZYzWR9mxzMRv3VLhuV58g=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Harga kopi dan makanan mayan pricey sih, rasanya masih masuk di lidah.""","","Jl. Alternatif IPB Desa","","",""
"https://www.google.com/maps/place/KOPI+SANGER+IPB/data=!4m7!3m6!1s0x2e69c500623beb3b:0x49ea3b775aed9d1c!8m2!3d-6.558714!4d106.731953!16s%2Fg%2F11xh47nnpz!19sChIJO-s7YgDFaS4RHJ3tWnc76kk?authuser=0&hl=id&rclk=1","KOPI SANGER IPB","4,6","(133)","","","Kedai Kopi","·","Jl. Babakan Tengah No.12","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHTlNEejRbvwYcPyQfTIh00m2TcrGPSiMzTIDN6n9F98MeMzRdsUF8LlnMlnnYNr0PmEBCSxuNSVLpOftxRY9DOLeVFBERUgmGC1aZ2J9AIkrX38og5cb38ZVyxsfuXRkOaMBTB0qK9jt3u=w185-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Kopi enak dan mantabb""","","","","",""
"https://www.google.com/maps/place/TOMORO+COFFEE+-+IPB+Dramaga/data=!4m7!3m6!1s0x2e69c59e25e619cd:0xfc2294b22d014f9!8m2!3d-6.5603277!4d106.731812!16s%2Fg%2F11svjsll7w!19sChIJzRnmJZ7FaS4R-RTQIkspwg8?authuser=0&hl=id&rclk=1","TOMORO COFFEE - IPB Dramaga","4,8","(357)","·","Rp 25–50 rb","Kedai Kopi","·","CPQJ+VP7, Jl. Babakan Raya","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHoWvO_RSiDOB1dxhQWvfwmJW8QVvdSencl-z10os8Lzz2vlcEXnB45_QrTTzFwAvfAYbhtY_S1dfVO7Hg7zH8ne8AAARcchGV8gs-9jVll58Q1s7GeM_uOPXm2_SSiwzLQZbcMPQ=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""cozy place, bersih, pelayanan baik, baristanya asik diajak ngobrol.""","","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFzdmpzbGw3dxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=KKH4aYPDCNOX4-EPqa7P6QY&ei=KKH4aYPDCNOX4-EPqa7P6QY&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Tepi+Danau+Cafe+and+Resto/data=!4m7!3m6!1s0x2e69c389e8f3f2b9:0x6f2fdd721f83f41!8m2!3d-6.545988!4d106.731647!16s%2Fg%2F11h2j7hffq!19sChIJufLz6InDaS4RQT_4Idf98gY?authuser=0&hl=id&rclk=1","Tepi Danau Cafe and Resto","4,3","(2.977)","·","Rp 25–50 rb","Kedai Kopi","·","","Tutup","· Buka Sel pukul 11.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG3e-xvZZKWTV9UAPxitS3W_HbQvf6oodVdvIcZkUEnl6zF4Hl989FXsAQ595PqoP2jz_cVNa18ub8rCFKerY_YY8c7i8SfX2v9kqIi7OygRoCKOOyRnpZvHp7Oq0qFS8Ra3SQ=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanan nya enak enak harga terjangkau, tempat nya nyamn""","","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFoMmo3aGZmcRgAOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=KKH4aYPDCNOX4-EPqa7P6QY&ei=KKH4aYPDCNOX4-EPqa7P6QY&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Kopicentrum+Gedung+Alumni+IPB/data=!4m7!3m6!1s0x2e69c5b00efb42f7:0x403fc07d6f34e60f!8m2!3d-6.602597!4d106.8060551!16s%2Fg%2F11t8lp3sqh!19sChIJ90L7DrDFaS4RD-Y0b33AP0A?authuser=0&hl=id&rclk=1","Kopicentrum Gedung Alumni IPB","4,5","(117)","·","Rp 25–50 rb","Kedai Kopi","·","Jalan Padjajaran, Pabuaran, RT.04/RW.05","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGPm04k2TiEbaO3sBbQXbojksjC3VHfSyCZ5W6iSBW9zx3AuRdT6jmaqXqC3oCeRTouQeFmTRjBJ6MQVaoKPYIzSR5Bh7ocz24igjPQdyhUdd2SLLI02zNLsHHgjp0o5WfzEnTA8Q=w80-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanan dan minumannya cukup bervariasi, dengan harga terjangkau.""","","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF0OGxwM3NxaBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=KKH4aYPDCNOX4-EPqa7P6QY&ei=KKH4aYPDCNOX4-EPqa7P6QY&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Kedai+Kuweis/data=!4m7!3m6!1s0x2e69c5ed75feefb1:0xb2838020f391df78!8m2!3d-6.5793904!4d106.742344!16s%2Fg%2F11wn8d8mst!19sChIJse_-de3FaS4ReN-R8yCAg7I?authuser=0&hl=id&rclk=1","Kedai Kuweis","5,0","(98)","·","Rp 1–25.000","Kedai Kopi","·","Ruko Masjid Al Hafy, Jl. Lkr. Dramaga, RT.04/RW.02","Segera tutup","· 21.00 · Buka Sel pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAET4AYL7TLCWq5ZUQy6F2w9lZSwW9d48e8VNVDTMIihf5E6qGgT3AJdhfac2kN-B0AHLhz8Biwfcbm0wnxI6Umhwc4aUW-BwQn-qn6mA3yPyJgVdBUcpDtMAkWJTuBD2-2l2LsE=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Menunya enak-enak, harganya juga affordable buat kantong pelahar""","","","","",""
