"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","A1zNzb href","J8zHNe","bbPy1","ah5Ghc 2","ah5Ghc 3","W4Efsd 7"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Ayam+Crisbar+IPB/data=!4m7!3m6!1s0x2e69c542d7f4e145:0xf1a8f75a9e79b174!8m2!3d-6.5588773!4d106.7342611!16s%2Fg%2F11tf145jxx!19sChIJReH010LFaS4RdLF5nlr3qPE?authuser=0&hl=id&rclk=1","Ayam Crisbar IPB","4,9","(6.434)","·","Rp 25–50 rb","Makanan Siap Saji","·","","·","Jl. Babakan Tengah No.25, RT.2/RW.8","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHml6Q9ZcTXMBrX7JhleRVPlolGyKmpXb0BLlH5VPFIYq-En9XK9iKl5oYra_8mw_gwgzZA4FgXPjR05H7nf2CyocrXxgcCbrrpCJnm1r_V7SUrsIbIh3FWRN-UWl-iBxmVlSU=w94-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Menu enak, harga sesuai dengan kantong mahasiswa, tempat enak dan luas""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF0ZjE0NWp4eBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=vqH4ac72NpzF4-EPx4-6mQs&ei=vqH4ac72NpzF4-EPx4-6mQs&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","",""
"https://www.google.com/maps/place/Chick+N+Tea+Resto+Pusat/data=!4m7!3m6!1s0x2e69c4b11f3b8527:0xff45de82618be535!8m2!3d-6.5625419!4d106.7322951!16s%2Fg%2F11c1xq73y8!19sChIJJ4U7H7HEaS4RNeWLYYLeRf8?authuser=0&hl=id&rclk=1","Chick N Tea Resto Pusat","4,5","(1.078)","·","Rp 1–25.000","Makanan Siap Saji","·","","·","Jl. Raya Dramaga - Bogor No.KM. 7","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHYlZooz3Noc-iChpywpxMxT18xl0ys_SSyCP7AsDeuqPE9XjKImcDzfBMbowIAQalTszYwDaQ1Z_-_HeJCTeEUaUoT9Appi3MvTTqfBXWDEfoGOk4LK0WQLDid2GUqaxY30P7Z=w94-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Mantap pelayanannya","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFjMXhxNzN5OBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=vqH4ac72NpzF4-EPx4-6mQs&ei=vqH4ac72NpzF4-EPx4-6mQs&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","cepat","dan juga harga terjangkau ,rasa sangat enak""",""
"https://www.google.com/maps/place/McDonald%27s+Dramaga/data=!4m7!3m6!1s0x2e69c5de0dffec03:0xb29c0366a3bc42e4!8m2!3d-6.5700954!4d106.7387304!16s%2Fg%2F11fn03_j8c!19sChIJA-z_Dd7FaS4R5EK8o2YDnLI?authuser=0&hl=id&rclk=1","McDonald's Dramaga","4,5","(1.283)","·","$$","Makanan Siap Saji","·","","·","Jl. Raya Dramaga, RT.01/RW.01","Buka","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEaTrh4-vLhb_b1KbKE1COnxVO-Yhf2OLJs2VmjYzwSXaHPYt2lgtCoXY3ZE3MRj1bkLbgwIiE4BZpCI8kZkgG9M6-PpgK5q1UyT7flyr6nYRiK4RZPmlwMmh4OOn7_dxAG89i0nA=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Apapun","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFmbjAzX2o4YxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=vqH4ac72NpzF4-EPx4-6mQs&ei=vqH4ac72NpzF4-EPx4-6mQs&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","Makanan","nya yg enak kalau laper""","· Tutup pukul 00.00"
"https://www.google.com/maps/place/KFC+Dramaga/data=!4m7!3m6!1s0x2e69c57d05a590cd:0xfb9057540ef76927!8m2!3d-6.5686779!4d106.737854!16s%2Fg%2F11j4lj44mw!19sChIJzZClBX3FaS4RJ2n3DlRXkPs?authuser=0&hl=id&rclk=1","KFC Dramaga","4,4","(795)","·","$$","Makanan Siap Saji","·","","Jl. Dramaga Cantik","Franchise restoran ayam goreng","Buka","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGhRX9wRek2BygW0vGA_Vjc0BwvSQdSXERf4Qiyp_6qM9tKx6fomB9xGrEUQXOZIRGkenallXE6PSnoSx6dCH1gah9Mpi_GRYxJSuz-v_s6jWkOGfDYLvmasVAUxm8A-eEoK0VJ=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Sup ayam rasanya sangat jauh berbeda dengan KFC di lokasi lain.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFqNGxqNDRtdxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=vqH4ac72NpzF4-EPx4-6mQs&ei=vqH4ac72NpzF4-EPx4-6mQs&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","","· Tutup pukul 22.00"
"https://www.google.com/maps/place/Mie+Habibie/data=!4m7!3m6!1s0x2e69c5d6561519e5:0x4d38e52c45993ae4!8m2!3d-6.5632121!4d106.72561!16s%2Fg%2F11s49prymb!19sChIJ5RkVVtbFaS4R5DqZRSzlOE0?authuser=0&hl=id&rclk=1","Mie Habibie","4,6","(11)","·","Rp 1–25.000","Makanan Siap Saji","·","","Jl. Terusan dramaga, Depan pintu gerbang 2 IPB Dramaga (200 m sebelum Polsek","","Buka","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH8uG1gJoetGhwZgOvfC5lsgGSxS-NNtwyndmk4ho64Qez6q_aB3CLmdGTjA81ZQNlWuIb2qb8lYMq5MPJs4-w_J0YH8U_ozv6t2nIRfhdktqMB-aNY2fBLj2BR7T-lfaBDTHA-=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Mie nya enak, tempatnya startegis, ownernya ramah👍🏻✨""","","","","","","· Tutup pukul 22.00"
"https://www.google.com/maps/place/Yellow+Corner+IPB/data=!4m7!3m6!1s0x2e69c4b1a891da37:0x8212bcccfc6e3b1c!8m2!3d-6.5608919!4d106.7316265!16s%2Fg%2F11c5_p_2ml!19sChIJN9qRqLHEaS4RHDtu_My8EoI?authuser=0&hl=id&rclk=1","Yellow Corner IPB","4,3","(123)","·","Rp 1–25.000","Restoran","·","","·","Jl. Babakan Raya No.158","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFK81w61T2m8hnwruVI8S6cAEJA8wcnvjDcqn3enU7CW_T0Np0aIEpwVoHk27733_gFxvn404Jnd-1DWamDFyUVHgRWBXAelCuE0AkYhtE_VFEN4v6W79oTo3NT2k_uoFpH0fCc=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","","","","Makanan di","Warung Indonesia Timur, Yellow Corner","· Buka Sel pukul 07.00"
"https://www.google.com/maps/place/Richeese+Factory+Dramaga/data=!4m7!3m6!1s0x2e69c4c1760e362b:0xf60ab24eda5e27d!8m2!3d-6.5724736!4d106.744009!16s%2Fg%2F11fy19f1vk!19sChIJKzYOdsHEaS4RfeKl7SSrYA8?authuser=0&hl=id&rclk=1","Richeese Factory Dramaga","4,4","(3.615)","·","$$","Ayam","·","","Jl. Raya Dramaga No.24, RT.03/RW.02","","Buka","https://lh3.googleusercontent.com/gps-cs-s/APNQkAE4Z8Kbov9HUNhcCfD6njKBOKkAziVQzERUefJpdewLL7bTAE1g-vf2zQlga3TTY089cH1aZAqKGVmDVwNQvSNJhU8nw0r9dvb_wBcV2Ewc0zJMrROqHj2UI5h9FKwnW0_Zyg1U=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Menu nya lengkap
Enak
Kejunya juga enak""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFmeTE5ZjF2axgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=vqH4ac72NpzF4-EPx4-6mQs&ei=vqH4ac72NpzF4-EPx4-6mQs&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","","· Tutup pukul 22.00"
"https://www.google.com/maps/place/Kantin+Stevia+Faperta+IPB/data=!4m7!3m6!1s0x2e69c4b1de8486ef:0x2abfda80f5c034a6!8m2!3d-6.558871!4d106.7313178!16s%2Fg%2F11df7hz42m!19sChIJ74aE3rHEaS4RpjTA9YDavyo?authuser=0&hl=id&rclk=1","Kantin Stevia Faperta IPB","4,2","(86)","","","Kafetaria","·","","·","CPRJ+FGH, Jl. Babakan Tengah No.5","Segera tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAENeyk84cQjI9AhWB0gGDUYwCzP7JQZNrQo1xQEklUF1Q-URVx68AXg2bgtau4K6yBY2R_2NHAmcvFCk9pNXtpQFEysNVDcDJFdSpUm3xfpjXkLuEpaXR9e64UbCu8uocjEjmM2fg=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Rekomendasi untuk mahasiswa""","","","","","","· 21.00 · Buka Sel pukul 07.00"
