"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","FQ2IWe src","Jn12ke src","ah5Ghc","UsdlK","W4Efsd 7"
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Agrimart+1+IPB/data=!4m7!3m6!1s0x2e69c4ae5682de9d:0x6d949b8135602981!8m2!3d-6.5561904!4d106.731931!16s%2Fg%2F11c2q48jy4!19sChIJnd6CVq7EaS4RgSlgNYGblG0?authuser=0&hl=id&rclk=1","Agrimart 1 IPB","4,5","(135)","Toko","·","","·","CPVJ+GQF","Tutup","· Buka Sel pukul 07.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHDgIoFkOuRrtP8Dn5p3JbUgexsNYPK9HQltlXOOUjBC6HxbqqJ4Q2xVlXpriGTEcCTUIJgp_Z9Qv3owGtkcu1x1_NQIXmo1ytn7DezOAr328Di6PHZ_bIQDhP_9tfHkdiOfft2tw=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Barang sangat beragam disini dan harga2nya juga standar.""","",""
"https://www.google.com/maps/place/Alfamart+IPB+Dramaga+3+Bogor/data=!4m7!3m6!1s0x2e69c4baad304611:0x13e26c1b12ab1e65!8m2!3d-6.5585773!4d106.7359053!16s%2Fg%2F11g6910wcp!19sChIJEUYwrbrEaS4RZR6rEhts4hM?authuser=0&hl=id&rclk=1","Alfamart IPB Dramaga 3 Bogor","4,2","(106)","Minimarket","·","","Jl. Babakan Lio Lebak, RT.02/RW.06","·","Buka","· Tutup pukul 23.00","https://lh5.googleusercontent.com/ewkb_j7Zs9fFX0I9KjF0MkSBPqccYcWXt0x7ge2Mdy-V6T1oH8OFKZUCqi2E6BY=w163-h92-k-no","","Pesan antar","1 500 959",""
"https://www.google.com/maps/place/Daily+Us+Bara/data=!4m7!3m6!1s0x2e69c4b1c7ae7565:0x4103702aca2bac90!8m2!3d-6.5597118!4d106.7314398!16s%2Fg%2F11bxd8bpsv!19sChIJZXWux7HEaS4RkKwryipwA0E?authuser=0&hl=id&rclk=1","Daily Us Bara","4,3","(500)","Toko","·","","·","No Jl. Babakan Raya No.108","Segera tutup","· 21.00 · Buka Sel pukul 07.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAF7CuH3Y6VyVl4He0bf5C58kqD_vQHAuGhdzGqo4mTWD9FsK_mmQkanO3v98WIcCamH2wgap8xjf1dqrsI9INcyS9wI5cSXjHmZKdTU3IGbKMPax9a98PxAKzJ5CwK8CFcGIFg1Gg=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Harganya lebih murah dri Agrimart 1 dan lebih lengkap jugaa""","",""
"https://www.google.com/maps/place/Alfamart+IPB+Darmaga+2/data=!4m7!3m6!1s0x2e69c4b01c815e19:0x7b0f236f53bd78dd!8m2!3d-6.5587254!4d106.7345125!16s%2Fg%2F11clwpdbsl!19sChIJGV6BHLDEaS4R3Xi9U28jD3s?authuser=0&hl=id&rclk=1","Alfamart IPB Darmaga 2","4,3","(104)","Minimarket","·","","No.101-, Jl. Babakan Tengah No.111","","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHFqJZ2S0yI3wY7xzul_lb1cGszRU_ufVLXR6eAu1OgkL0LwVD3cSS4AXEp5SoLSYRUgyYAu9u5kqmqF3GCm4bdM_iCj0eqsCrhDy9C2PRGhQ0ztZMwtT2hhP2TJqAdisSbiMI=w163-h92-k-no","","Pesan antar","",""
"https://www.google.com/maps/place/Alfamidi+IPB/data=!4m7!3m6!1s0x2e69c4b1cf104583:0x8985856f4fb7f52a!8m2!3d-6.559405!4d106.7317858!16s%2Fg%2F11clyt2c0s!19sChIJg0UQz7HEaS4RKvW3T2-FhYk?authuser=0&hl=id&rclk=1","Alfamidi IPB","3,9","(160)","Minimarket","·","","·","Jl. Babakan Raya No.62","Buka 24 jam","","https://lh4.googleusercontent.com/tA5xTyQEFCqze7Ac93iJurlFbQovll0WTryLQi36vnc7dKR-OPia608_Bk50F5iJ=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Convenience","",""
"https://www.google.com/maps/place/Prima+Mart+Etc+Ipb/data=!4m7!3m6!1s0x2e69c582418a1dcb:0xe25bc867e3b69fcd!8m2!3d-6.5887226!4d106.8061379!16s%2Fg%2F11vf178j2y!19sChIJyx2KQYLFaS4RzZ-242fIW-I?authuser=0&hl=id&rclk=1","Prima Mart Etc Ipb","3,0","(24)","Minimarket","·","","Jl. Lodaya II No.18, RT.02/RW.02","","Segera tutup","· 21.00 · Buka Sel pukul 07.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHp63LqGzkYIe75Omc6w038I6c2H47dJJf3BIGOhOWok9ZhwD01nWRj6Cw9b5MmdgcttkE-x0F5NFc8zxI723gL1lwBdK-I1rPjJfVSjYxMpk3QhY9jbTgpeq8eOpZ572-zuFLAvVMXkscy=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Ada Sandwitch & Odeng juga nih.mantab""","",""
"https://www.google.com/maps/place/Alfamart+Dramaga+Cantik/data=!4m7!3m6!1s0x2e69c5fc65b02865:0x7f4e3b8c90aa710e!8m2!3d-6.5689522!4d106.7382551!16s%2Fg%2F1hm5854r_!19sChIJZSiwZfzFaS4RDnGqkIw7Tn8?authuser=0&hl=id&rclk=1","Alfamart Dramaga Cantik","4,1","(118)","Minimarket","·","","Jl. Raya Dramaga - Bogor, RT.02/RW.01","·","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEb3wAV-sk0y1JKpllc7nc0w7JLuI9fJAd-7C_lpq_PJ33JUrGwGWzhrSlw-mx8FHXax4W-dpGuzgq2wlJWh9Si9O9dAMzTAipQ1R2rso3bMzoImM1OnL_y0wej8SLxa7QO3w=w153-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""satu-satunya alfamart yang tidak bisa transaksi debit, qris, dan e-money.""","1 500 959",""
"https://www.google.com/maps/place/Lawson+IPB/data=!4m7!3m6!1s0x2e69c53fae95d5cd:0x6138189521e6561c!8m2!3d-6.5603476!4d106.7318106!16s%2Fg%2F11jt8r8d79!19sChIJzdWVrj_FaS4RHFbmIZUYOGE?authuser=0&hl=id&rclk=1","Lawson IPB","3,3","(47)","Minimarket","·","","Jl. Babakan Tengah No.1","","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG3I-pHTVKoFhAU7fJd0JVe4bAmYWzYFsKk6aqQ4zioh6Seap87GMpYj_arGouBymRVZ50IoQyqyH9Kh1awqXb8A-gPMTND6Y7jbl3EDEwIrOnBsbDshMQS54cOVHRG_f7z3esg_Q=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Masnya yg tinggi aga sipit baik & ramah bgt.""","",""
