"hfpxzc href","qBF1Pd","W4Efsd","Cw1rxd","R8c4Qb","W4Efsd 2"
"https://www.google.com/maps/place/IPB/data=!4m7!3m6!1s0x2e69c4b394000717:0x5724cc0c83e6e65c!8m2!3d-6.56289!4d106.72752!16s%2Fg%2F11gtznsjpg!19sChIJFwcAlLPEaS4RXObmgwzMJFc?authuser=0&hl=id&rclk=1","IPB","Perhentian bus","","Rute",""
"https://www.google.com/maps/place/IPB+MM/data=!4m7!3m6!1s0x2e69c5cd534e829f:0xe9879454ec64ead1!8m2!3d-6.58701!4d106.80562!16s%2Fg%2F11fd567491!19sChIJn4JOU83FaS4R0epk7FSUh-k?authuser=0&hl=id&rclk=1","IPB MM","Perhentian bus","","Rute",""
"https://www.google.com/maps/place/Terminal+Baranangsiang./data=!4m7!3m6!1s0x2e69c5dccb882e61:0xdd47c54c5189e493!8m2!3d-6.6041574!4d106.8060078!16s%2Fg%2F11b5yq21r1!19sChIJYS6Iy9zFaS4Rk-SJUUzFR90?authuser=0&hl=id&rclk=1","Terminal Baranangsiang.","Perhentian bus","","Rute","·"
"https://www.google.com/maps/place/Seberang+IPB/data=!4m7!3m6!1s0x2e69c4b3939738d5:0x9a85a569850dd919!8m2!3d-6.56295!4d106.72765!16s%2Fg%2F11gnq817xt!19sChIJ1TiXk7PEaS4RGdkNhWmlhZo?authuser=0&hl=id&rclk=1","Seberang IPB","Perhentian bus","","Rute",""
"https://www.google.com/maps/place/Jl.+Babakan+Tengah/data=!4m7!3m6!1s0x2e69c4b1cf8c660b:0x6705a0183f2dea78!8m2!3d-6.55928!4d106.73158!16s%2Fg%2F11gtznn9tp!19sChIJC2aMz7HEaS4ReOotPxigBWc?authuser=0&hl=id&rclk=1","Jl. Babakan Tengah","Perhentian bus","","Rute",""
"https://www.google.com/maps/place/Tugu+Kujang/data=!4m7!3m6!1s0x2e69c5c4b95b5335:0x273a09fd13358b00!8m2!3d-6.60132!4d106.805!16s%2Fg%2F11gh1ntdvt!19sChIJNVNbucTFaS4RAIs1E_0JOic?authuser=0&hl=id&rclk=1","Tugu Kujang","Perhentian bus","","Rute",""
"https://www.google.com/maps/place/Dramaga+City+1/data=!4m7!3m6!1s0x2e69db4cbebbd30f:0xd76f112baa259061!8m2!3d-6.56301!4d106.7223!16s%2Fg%2F11gtznrxyt!19sChIJD9O7vkzbaS4RYZAlqisRb9c?authuser=0&hl=id&rclk=1","Dramaga City 1","Perhentian bus","","Rute",""
"https://www.google.com/maps/place/Terminal+Bubulak/data=!4m7!3m6!1s0x2e69c4ec94b15705:0x129ed119e9e8011e!8m2!3d-6.569624!4d106.754402!16s%2Fg%2F11lkksn2m5!19sChIJBVexlOzEaS4RHgHo6RnRnhI?authuser=0&hl=id&rclk=1","Terminal Bubulak","Perhentian bus","","Rute",""
"https://www.google.com/maps/place/Seberang+Jl.+Babakan+Tengah/data=!4m7!3m6!1s0x2e69c4b1da89df79:0x5fdf70a782cd24a1!8m2!3d-6.55908!4d106.73145!16s%2Fg%2F11gtznn0m2!19sChIJed-J2rHEaS4RoSTNgqdw318?authuser=0&hl=id&rclk=1","Seberang Jl. Babakan Tengah","Perhentian bus","","Rute",""
"https://www.google.com/maps/place/KPP+IPB+Baranangsiang+4/data=!4m7!3m6!1s0x2e69c5d7fe68e3b9:0xeeb10c16268ef30c!8m2!3d-6.59649!4d106.81771!16s%2Fg%2F11hdlwr7h6!19sChIJueNo_tfFaS4RDPOOJhYMse4?authuser=0&hl=id&rclk=1","KPP IPB Baranangsiang 4","Perhentian bus","","Rute",""
