"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","FQ2IWe src","Jn12ke src","ah5Ghc","A1zNzb href","J8zHNe","bbPy1","AJB7ye","AJB7ye 2","ah5Ghc 2","ah5Ghc 3"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Pizza+Marzano+Padjajaran+Bogor/data=!4m7!3m6!1s0x2e69c541874f181b:0x97d20ea66d1314fc!8m2!3d-6.5901111!4d106.804989!16s%2Fg%2F11rvcts_wq!19sChIJGxhPh0HFaS4R_BQTbaYO0pc?authuser=0&hl=id&rclk=1","Pizza Marzano Padjajaran Bogor","4,6","(297)","Pizza","·","","·","Jl. Raya Pajajaran No.7, RT.03/RW.04","Segera tutup","· 21.30 · Buka Sel pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEp0Uz6-pM3SIRknjs00VIvuAnb035wef4DADXoyAzSE0wIPWK9IdbhLBuwONqMzk_gKU6Td7Ej_uRQ9REqBTei0EQLxho__gFuS7_CQQzbr13VDk2yOku06m2auV7ad1ltXyN4Aw=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Rasa pizzanya enak banget, adonannya lembut dan topping-nya terasa fresh.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFydmN0c193cRgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=0qL4adPGFJGb4-EPo_Le2Ao&ei=0qL4adPGFJGb4-EPo_Le2Ao&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","","",""
"https://www.google.com/maps/place/Pizza+Hut+Delivery+-+PHD+Indonesia/data=!4m7!3m6!1s0x2e69c562b8b2f4d3:0xfda36e38bb8ef46c!8m2!3d-6.5728399!4d106.7455595!16s%2Fg%2F11fgh3j3w0!19sChIJ0_SyuGLFaS4RbPSOuzhuo_0?authuser=0&hl=id&rclk=1","Pizza Hut Delivery - PHD Indonesia","4,7","(1.324)","Stan Pizza","·","","·","Jalan Raya Dramaga No.Km 7 No.45, RT.02/RW.02","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHaET1dIeGFOpi-2AwqPX7J61DOPc8qB6WTdRmgzSfF9IC7YdT63hlaNcqYS_mlZC2OEXHz5xFEiLLui4KKm-FUxIlrWrqpZIrfBvfHhuf68WtkHkTZ-16NU0q8jcHabmjzccunHA=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat nya nyaman,","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFmZ2gzajN3MBgAOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=0qL4adPGFJGb4-EPo_Le2Ao&ei=0qL4adPGFJGb4-EPo_Le2Ao&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","·","$$","pizza","nya juga enak enak
Mantaaappp"""
"https://www.google.com/maps/place/Brano+Pizzeria+Bogor/data=!4m7!3m6!1s0x2e69c558538cdedd:0x11ca573c762a4da!8m2!3d-6.5813145!4d106.8087852!16s%2Fg%2F11lrt9pz33!19sChIJ3d6MU1jFaS4R2qRix3OlHAE?authuser=0&hl=id&rclk=1","Brano Pizzeria Bogor","4,9","(1.817)","Pizza","·","","·","Jl. Achmad Sobana Jl. Bangbarung Raya No.8, RT.02/RW.07","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFiQWPNEO8soyy8f27j8A6D6yrnzDrOe5BSg_YcRGnQ6WU34wUx6atRNDSqqFQR19COkzGEvopzrudMymbtf53L1E3yuIFH3nH7saK36fBCzhfewHe22FUK8SKg2opEcbxthkdOiA=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","","","","·","$$","Pizza","nya authentic made with wood fire…"""
"https://www.google.com/maps/place/Pizza+Kayu+Bakar+Taman+Cimanggu/data=!4m7!3m6!1s0x2e69c5a29e5cc0cd:0x9f7f7bea09276979!8m2!3d-6.5602814!4d106.7840231!16s%2Fg%2F11h3mz6zr5!19sChIJzcBcnqLFaS4ReWknCep7f58?authuser=0&hl=id&rclk=1","Pizza Kayu Bakar Taman Cimanggu","4,7","(1.161)","Pizza","·","","CQQM+VJJ, Jl. Cendana, RT.03/RW.10","","Segera tutup","· 21.00 · Buka Sel pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH1AFVokRF2yeekCTDATACdHLfs_WV2K2MNkzH-4B3qHf9LDR84zuCXoosHJQQKaEJBGvbS0PwOl4ZtNFcZX-AI1cQCNelT-gmTTeKi1qM1XB9vFZp54ZIDTYOYu3D5FeLgqrbd8w=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Untuk","","","","·","$$","pizza",", mozzarellanya cukup wah tapi harga juga wah"""
"https://www.google.com/maps/place/Domino%27s+Pizza/data=!4m7!3m6!1s0x2e69c4c16dd338e7:0x2d9d25eed6ee386d!8m2!3d-6.5725176!4d106.7432254!16s%2Fg%2F11c70j8yqg!19sChIJ5zjTbcHEaS4RbTju1u4lnS0?authuser=0&hl=id&rclk=1","Domino's Pizza","4,4","(1.276)","Pizza","·","","Jl. Raya Dramaga, RT.03/RW.02","Resto pizza delivery yang berdiri lama","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGCsuZS-De34NTcGsD1NLvcIB8NfjgaP6ECoAexPAmX2pu5ShhPmBWcDy4HuYAfhp9RoUDnug9A6t7JRmKLamQLkioQg7N65FQUuC3vLPNklA7BBXPNzfYyUd6yA44j975usW0=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya bersih
Menu","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFjNzBqOHlxZxgAOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=0qL4adPGFJGb4-EPo_Le2Ao&ei=0qL4adPGFJGb4-EPo_Le2Ao&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","·","$$","pizza","nya banyak dan enak"""
"https://www.google.com/maps/place/Pizza+Boxx/data=!4m7!3m6!1s0x2e69c5ec237fd503:0x43929ff1d22555c2!8m2!3d-6.5681513!4d106.800104!16s%2Fg%2F11k9qqmgzn!19sChIJA9V_I-zFaS4RwlUl0vGfkkM?authuser=0&hl=id&rclk=1","Pizza Boxx","4,6","(33)","Italia","·","","Jl. Kb. Pedes No.22, RT.04/RW.03","","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGDWRx5HthCv2oJ9X4ydERG857waFeOKjq38Vxc3Amjg0BhbkffQ90MC7-5PnzppHGQDgJjdTgXGRPBp2UzjcIEcLK0PnRzWKjHln8iAU8-OqFA-nm16H4OD6m9M490Os9ysuli=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Dan tentunya bisa jadi pengganti","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFrOXFxbWd6bhgAOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=0qL4adPGFJGb4-EPo_Le2Ao&ei=0qL4adPGFJGb4-EPo_Le2Ao&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","·","Rp 50–75 rb","pizza","yg di buycott."""
"https://www.google.com/maps/place/I+Vins+Kitchen+Pizza+%26+Pasta,+Mulyaharja/data=!4m7!3m6!1s0x2e69cf81f4c94a61:0xf6286fb1068b1496!8m2!3d-6.63682!4d106.7854258!16s%2Fg%2F11rxvxd3fm!19sChIJYUrJ9IHPaS4RlhSLBrFvKPY?authuser=0&hl=id&rclk=1","I Vins Kitchen Pizza & Pasta, Mulyaharja","4,8","(82)","Pizza","·","","Jl. Raya Cibeuruem No.11, RT.03/RW05/RW.05","","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAF-DoBjAPvUXC_SlZhKDkceW1th93I0mp-EG1jXVyEloADcztIRVFd_dJmkPs5Gs4uDCNS2dcDQIyVBeGXhNRDeS9Gc2RryQtBd9FJOgvgLfFGCPD0k0SLgu3S3gK4MgQ_iqyOSAw=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Hidden gems","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFyeHZ4ZDNmbRgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=0qL4adPGFJGb4-EPo_Le2Ao&ei=0qL4adPGFJGb4-EPo_Le2Ao&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","·","Rp 25–50 rb","pizza","enak..
Suka banget piza nya ga yg roti tebel gitu."""
"https://www.google.com/maps/place/Kedai+Kita/data=!4m7!3m6!1s0x2e69c5dd8d8c7db9:0x1f0b8c02eec03e19!8m2!3d-6.6065627!4d106.8103217!16s%2Fg%2F11b7ztv96f!19sChIJuX2Mjd3FaS4RGT7A7gKMCx8?authuser=0&hl=id&rclk=1","Kedai Kita","4,5","(5.667)","Pizza","·","","·","Jl. Kantor. Pos No.3, RT.04/RW.11","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGQ1flWAy6sr26f6J5Uw7qKOu5rH9QT9x588Uqna8ecDELU-mw11GphVHVB0Yf2JvFebjmtMfftPR02ss0rmut1K5HuRfCvz-oUjZyMVJ-TeTjBf2YK5HcAnUYAfNYmbicKdoSJ=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFiN3p0djk2ZhgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=0qL4adPGFJGb4-EPo_Le2Ao&ei=0qL4adPGFJGb4-EPo_Le2Ao&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","·","Rp 50–75 rb","Pizza","& calzone kayu bakarnya juaraa.. hotplate nya maknyus."""
