"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","A1zNzb href","J8zHNe","bbPy1","W4Efsd 6","doJOZc"
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Sambal+Bakar+Indonesia,+Dramaga+IPB+Bogor/data=!4m7!3m6!1s0x2e69c5e97275540d:0xd698de6311d8275b!8m2!3d-6.5699742!4d106.7392594!16s%2Fg%2F11vc6wvs8b!19sChIJDVR1cunFaS4RWyfYEWPemNY?authuser=0&hl=id&rclk=1","Sambal Bakar Indonesia, Dramaga IPB Bogor","4,9","(11.603)","·","Rp 25–50 rb","Indonesia","·","Jl. Raya Cibungbulang - Bogor No.41, RT.01/RW.01","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGxyjCL8lal6jwHOlnqUm2Rw7IsT4Jrs9-fpI4PiLBE-EIKZI93FFvRH9bD7wZTxUdnyFaLBDuAInjVbLFjvH474EN5rG3WHBoeY5lp-KRWdvh8PuHsg8OiqdNKwf3Jkj56h6rs=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Best service besttt menu!!!!""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF2YzZ3dnM4YhgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=vaP4acuiOueOseMP2I3WsQg&ei=vaP4acuiOueOseMP2I3WsQg&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/Sangra+Coffee/data=!4m7!3m6!1s0x2e69c5e781f6a5c3:0x3bac3e6db5f5eb4f!8m2!3d-6.6009953!4d106.8058105!16s%2Fg%2F1ptywqq9b!19sChIJw6X2gefFaS4RT-v1tW0-rDs?authuser=0&hl=id&rclk=1","Sangra Coffee","4,5","(1.061)","·","Rp 50–75 rb","Restoran","·","Kampus IPB, Jl. Raya Pajajaran No.1, RT.02/RW.05","Segera tutup","· 21.00 · Buka Sel pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHWZ-7i2TPIHQhGGzXpdpHyTNdhIylGcG17t1nIkajMgoW1H5nmelTdGJ33DOQW6H1G4-i66LpQErOYvDIkL13OjU1tnNe1jLueDNWPgennzB--4JoYt3d6EFOpyp0OJBs0lsE=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Minumannya wedang jahe dan Juice Vegie.""","","","","Kafe santai dengan meja outdoor",""
"https://www.google.com/maps/place/Tepi+Danau+Cafe+and+Resto/data=!4m7!3m6!1s0x2e69c389e8f3f2b9:0x6f2fdd721f83f41!8m2!3d-6.545988!4d106.731647!16s%2Fg%2F11h2j7hffq!19sChIJufLz6InDaS4RQT_4Idf98gY?authuser=0&hl=id&rclk=1","Tepi Danau Cafe and Resto","4,3","(2.977)","·","Rp 25–50 rb","Restoran","·","","Tutup","· Buka Sel pukul 11.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG3e-xvZZKWTV9UAPxitS3W_HbQvf6oodVdvIcZkUEnl6zF4Hl989FXsAQ595PqoP2jz_cVNa18ub8rCFKerY_YY8c7i8SfX2v9kqIi7OygRoCKOOyRnpZvHp7Oq0qFS8Ra3SQ=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Apalagi bebek nya potongan dagingnya besar2.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFoMmo3aGZmcRgAOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=vaP4acuiOueOseMP2I3WsQg&ei=vaP4acuiOueOseMP2I3WsQg&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/Parahyangan+Warung+Sunda/data=!4m7!3m6!1s0x2e69c5518d765c7f:0x24a39062ed16230a!8m2!3d-6.5665725!4d106.7363727!16s%2Fg%2F11s7zr8_bq!19sChIJf1x2jVHFaS4RCiMW7WKQoyQ?authuser=0&hl=id&rclk=1","Parahyangan Warung Sunda","4,4","(1.575)","·","$$","Sunda","·","Jl. Raya Dramaga No.16","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFClVcllCaa0c-NZLQlhg6AD3ndIJKxAc0wO1hfdnN1ZEGEnnNb45O2X1SfbOE70VqVoishQn77ylyIHj_nOKuJYkEe6kx40yYYrD5obbEwFBLJpYvabOCuuJIDdGm_iLIW8vTc=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Taste soso, service is good also the vibes!""","","","","",""
"https://www.google.com/maps/place/Bento+Kopi+IPB+Bogor/data=!4m7!3m6!1s0x2e69c5c88b402ff5:0x43ade40a92fb81a3!8m2!3d-6.567586!4d106.735084!16s%2Fg%2F11vdrk8y23!19sChIJ9S9Ai8jFaS4Ro4H7kgrkrUM?authuser=0&hl=id&rclk=1","Bento Kopi IPB Bogor","4,7","(1.182)","·","Rp 25–50 rb","Kedai Kopi","·","CPMP+32G","Buka","· Tutup pukul 01.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHjybcVmzss27tvWOMU4rVLfk4OYReQO-YE3UcPe3oHvxbX-hPMIcPlvIob-WG2qb1hu9_qNKFuqAtfj5diFUCaehE1J5Mp4uKUMdbW62AgaXN8BSdqT2gRJtk3HQWPrKYC86ixR8b1qms=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Cita rasa yang khas dari bento""","","","","",""
"https://www.google.com/maps/place/Palem+Merah/data=!4m7!3m6!1s0x2e69c4c77b7c16ed:0x166dbaed70323aa9!8m2!3d-6.5725658!4d106.7442105!16s%2Fg%2F11r8z_m0z!19sChIJ7RZ8e8fEaS4RqToycO26bRY?authuser=0&hl=id&rclk=1","Palem Merah","4,5","(174)","·","Rp 25–50 rb","Prasmanan","·","·","Tutup","· Buka Sel pukul 07.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFsP4wcJMTA7LmyT21JozrMS0HO6KZsYKefDimJlVtNEazC5qAaqKoHtyx8keOQs_4j6CZ0_h2NInCtkUqHyUJDe8_gx261GBHQCL9me1KaMXCFmD60Oh7Ymbs36z2RvtHXkot-ZQ=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Mantap masakan nya enak.salad buahnyapun Mantup.""","","","","Jl. Raya Dramaga No.Km. 7 No.43, RT.02/RW.04",""
"https://www.google.com/maps/place/Cafe+Taman+Dramaga/data=!4m7!3m6!1s0x2e69c5e943360ca1:0x835e09ace959dc4e!8m2!3d-6.5698718!4d106.7391027!16s%2Fg%2F11qfn6mv_q!19sChIJoQw2Q-nFaS4RTtxZ6awJXoM?authuser=0&hl=id&rclk=1","Cafe Taman Dramaga","4,0","(193)","·","Rp 25–50 rb","Perpaduan","·","Jl. Raya Dramaga No.Km 7, RT.03/RW.1RT01","Buka","· Tutup pukul 23.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFLSdgZ9VC3HfmiRJrtWDJqhRhyg0u9YYrlz0R_OdwvVe-vzsUORm-v0wXal29D4xy7GBW1ZYbHbI-yaB_kuf6rtLkEQcgbSxNXf_S_pwg-kelR0oUAzKyZPAMLGdP_LRIXkhddNg=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Buka bersama dengan teman kelompok sekalian bimbingan tugas.""","","","","",""
"https://www.google.com/maps/place/BTS+%28Bubulak+Tepi+Sawah%29+Wisata+Keluarga+Bogor+Terlengkap/data=!4m7!3m6!1s0x2e69c5816f4f9aaf:0x6f76465f31e5f76d!8m2!3d-6.5661345!4d106.7510968!16s%2Fg%2F11rrpqrs1g!19sChIJr5pPb4HFaS4RbfflMV9Gdm8?authuser=0&hl=id&rclk=1","BTS (Bubulak Tepi Sawah) Wisata Keluarga Bogor Terlengkap","4,5","(1.524)","","","Tujuan Wisata","·","Jl. Raya Cifor No.450, RT.02/RW.07","Segera tutup","· 21.00 · Buka Sel pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHeHv751DEqtX5gF8_l0HwPpN1RCPOOGnN5BrTBLPObLK7mHfRMh9gD5g6iRz4cgQIGHfNShFcK54F4NgE1sJ4CcaqDA2c90SaLi3e5YKujQqO-bov3i0-_P-pk-ueLHhrKLUXl=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Banyak pilihan menu.""","","","","",""
