"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","doJOZc","W4Efsd 6"
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/FIT+AND+FUT+%28Gym+%26+Coffee%29/data=!4m7!3m6!1s0x2e69c5399c47ae81:0x90e57edb3c075a29!8m2!3d-6.5753613!4d106.7387831!16s%2Fg%2F11yld41xyh!19sChIJga5HnDnFaS4RKVoHPNt-5ZA?authuser=0&hl=id&rclk=1","FIT AND FUT (Gym & Coffee)","4,9","(30)","Tempat Fitness","·","Jl. H. Abbas","Segera tutup","· 21.30 · Buka Sel pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFhED7MkZVs6diFKyYjuZ3VDHcSSWb8IFCIKiyTO44J1xtJ-WuImmukfM0Jghyw-C11fxOtduz72Zy7Chd7LRRtsr79TtvICyoQ8ZkcUpKwgihLcwP9JkfG8eP9Y6JhiM-5j1OVj89zyTnW=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Harganya affordable bgt,","tempat gym","bersih, rapi, dan lengkap cuma 120k.""","",""
"https://www.google.com/maps/place/Gimnasium/data=!4m7!3m6!1s0x2e69c4afb62b64eb:0xc02b640c2abf5278!8m2!3d-6.5572085!4d106.7328291!16s%2Fg%2F1hm28hn0n!19sChIJ62Qrtq_EaS4ReFK_KgxkK8A?authuser=0&hl=id&rclk=1","Gimnasium","4,5","(734)","Tempat Fitness","","","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG9n7upr1rC7d-drhd8yITrm0NX9limEnW1JJftwcuDcckQKSXs_q8euUc50bAxfRJ22mFc5xUMaFdoMu-7Y_uqE7pnoKQCFMm1C7yDoa830n3tmjGD47RZ60KhHKluunJRdX_eCQ=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Setiap saya di gymnasium saya merasa seperti berada di alam yang berbeda.""","","","",""
"https://www.google.com/maps/place/Duo+Shine+Fitness+Cilendek/data=!4m7!3m6!1s0x2e69c5e50ca31383:0xc71d5a0d35476f14!8m2!3d-6.5653393!4d106.7637409!16s%2Fg%2F11rsfsb50g!19sChIJgxOjDOXFaS4RFG9HNQ1aHcc?authuser=0&hl=id&rclk=1","Duo Shine Fitness Cilendek","4,9","(769)","Tempat Fitness","·","·","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFN7LwkTf74ysVFqUFb8eZFCkVpSL9tqpkksuuNcjAk4CiMF1tCfIa5o1kr_-w46K95lI9uN4V_7wKgk9RWXHfsNWyqDRKC7OWAOMo4A-dmpT87kWOSZ3MYQmjnDm1KovBUhNmS=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Tempat","yang nyaman untuk nge-","","Jl. Brigjen Saptadji Hadiprawira No.8, RT.27/RW.10"
"https://www.google.com/maps/place/FIT+HUB+Yasmin+Bogor/data=!4m7!3m6!1s0x2e69c555c5bf619b:0x1944c99b0e37a3ec!8m2!3d-6.5701682!4d106.7672046!16s%2Fg%2F11w4tqkxv2!19sChIJm2G_xVXFaS4R7KM3DpvJRBk?authuser=0&hl=id&rclk=1","FIT HUB Yasmin Bogor","4,7","(253)","Tempat Fitness","·","·","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFK2CecIxBiXrL1kCfFG5bwGztPkUd3_AgJdPBvA03nYg7rRmiF12KeGXu8bLVag4ot6N25NKiXG_X2ntKaZto1j5hslfAVN31x5gubZQShdVbhJKvFFXoW7jYn83uRkGwuF8HN_Mgvm_cg=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Tempat Gym","bagus, bersih dan staffnya semua ramah dan asik-asik.""","","Jl. Brigjen Saptadji Hadiprawira No.142, RT.023/RW.008"
"https://www.google.com/maps/place/HEROES+FITNES/data=!4m7!3m6!1s0x2e69c524226523df:0x8d6dd8bb1a0e8098!8m2!3d-6.558925!4d106.7342645!16s%2Fg%2F11h6m0s766!19sChIJ3yNlIiTFaS4RmIAOGrvYbY0?authuser=0&hl=id&rclk=1","HEROES FITNES","4,6","(53)","Tempat Fitness","·","·","Tutup","· Buka Sel pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFdSq_XeiJXZL9tPTk-PovJs3dZ1xYiHtnbanW5WMkBARuxpRie_CnN64on57fNsWN9aAPCeC2M5yc7gEur2e5xnykSbwSF8xDjAy7uO2GQBpnhuM0TPmui0B5ydyfpsfVUjfba=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Biaya member murah, alatnya lumayan banyak, PT nya baik gaesss""","","","","Jl. Babakan Tengah No.25, RT.2/RW.8"
"https://www.google.com/maps/place/IKIGAI+FITNESS+-+Lippo+Plaza+Ekalokasari+Bogor/data=!4m7!3m6!1s0x2e69c5d5719e94ab:0x8c6b0ea36866c2e6!8m2!3d-6.6216624!4d106.8170512!16s%2Fg%2F11stp2j67s!19sChIJq5SecdXFaS4R5sJmaKMOa4w?authuser=0&hl=id&rclk=1","IKIGAI FITNESS - Lippo Plaza Ekalokasari Bogor","4,7","(233)","Tempat Fitness","·","Lippo Plaza Ekalokasari Bogor, Jl. Siliwangi, RT.04/RW.04","Segera tutup","· 21.00 · Buka Sel pukul 06.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEesn3swI5ucDUtGj9HvrAGB1mYfAHe8KTcavj-OoPELG5y3TPUJiYUni4p1_mXE8n2AdTEuxhP9Ce0KZlAVOfrDQFUb2CAkMUdMa38gNiUunWFqLjN3rwvJoJNkVQi55olHiBBIg=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","gym","dengan best view di bogor, alat lengkap, dan harga affordable""","",""
"https://www.google.com/maps/place/Underground+Fitness+%26+Cafe+Bogor/data=!4m7!3m6!1s0x2e69c9591f0db4b9:0x72109086a3428da2!8m2!3d-6.6364564!4d106.8289143!16s%2Fg%2F11f3zg05ff!19sChIJubQNH1nJaS4Roo1Co4aQEHI?authuser=0&hl=id&rclk=1","Underground Fitness & Cafe Bogor","4,9","(99)","Tempat Fitness","·","·","Segera tutup","· 21.00 · Buka Sel pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEc3BKmBsecN6_SBIeGZDjMxZ1dfsbrh_pqZ63NUlWshEvkVYHBKLkCRt4BTYf0xDFbj9Pwkjfzv7QJpV71ZgVpeSb500qtkCf_M2BKhGJw8c4GkNsoiBjfuGZSvEwVCtbpiGAD=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Tempat gym","murah d bogor tapi lengkap cocok buat pemula""","","Jl. Raya Tajur No.154, RT.01/RW.06"
"https://www.google.com/maps/place/Fitspot+SV+IPB/data=!4m7!3m6!1s0x2e69c5006ccc6aa3:0x5cedc892831d9867!8m2!3d-6.587591!4d106.8095122!16s%2Fg%2F11z3b1xmm9!19sChIJo2rMbADFaS4RZ5gdg5LI7Vw?authuser=0&hl=id&rclk=1","Fitspot SV IPB","5,0","(2)","Tempat Fitness","·","CR65+XR6, Jl. Lodaya II, RT.02/RW.05","Tutup","· Buka Sel pukul 07.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFbXSzkeLWb_l1AZsJxaxCxuxMkv1Brs1fAQ3IihuRKUeZ2FIWQ26tuf_ovf5-uEzVLe2kquatn7xIp8NSWaBlhBjNsgkBKowYEvDfcTyVhMPD_IwMMp3GMnAS-NX2y6EIcX4CL6nim6j1Q=w138-h92-k-no","","","","","",""
