"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","A1zNzb href","J8zHNe","bbPy1"
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Kuppic+Gelato/data=!4m7!3m6!1s0x2e69c522cb52172d:0x6bd2a9a30a047378!8m2!3d-6.6081977!4d106.802469!16s%2Fg%2F11gl35_zvb!19sChIJLRdSyyLFaS4ReHMECqOp0ms?authuser=0&hl=id&rclk=1","Kuppic Gelato","4,4","(618)","·","$","Es Krim","·","Jl. Suryakencana No.204, RT.02/RW.03","Tutup","· Buka Sel pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGufmhCAL3IsN84wgVObzFLMry7z_Sob3RdovSKSntkYLcYKbxvJSemnW56qx4jbRlmQNfZo_a3kzY0ITAmni5EHMfHnTS308cwZDaaNjGzvnE1ljkhq82w-8buNe_Ck_7mi2Vi=w92-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""... gelatonya enak creamy tapi teksturnya lebih mendekati","es krim",".""","","",""
"https://www.google.com/maps/place/Natsu+Japanese+Ice+Cream+%26+Coffee+-+Dramaga+Bogor/data=!4m7!3m6!1s0x2e69c5071b013249:0x6927800b026a6149!8m2!3d-6.5597361!4d106.735501!16s%2Fg%2F11l_5057rf!19sChIJSTIBGwfFaS4RSWFqAguAJ2k?authuser=0&hl=id&rclk=1","Natsu Japanese Ice Cream & Coffee - Dramaga Bogor","4,8","(27)","·","Rp 1–25.000","Kedai Kopi","·","Jl. Sawah Baru No.14, RT.02/RW.09, Balungbangjaya, Kec. Bogor Bar, RT.01/RW.09","Segera tutup","· 21.00 · Buka Sel pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEgSXn3iSTRgSWXLfxfIkP2XPvHg_fsXSRHnSeiA_c0gEjLYly10xsfQO_DuXn3OKXCOqSoFY43-q-Sfte0tnOci8mVPDOSsfyOUrOJlocuQwYbUVnycDzNcd-kbg1BrVU_sgSifJ58hazG=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Es","krimnya lembut, teksturnya kyk agak tebel.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFsXzUwNTdyZhgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=kaT4aabHK_yxwcsPjv6Q2Aw&ei=kaT4aabHK_yxwcsPjv6Q2Aw&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Ice+Cream+Pa+Doto/data=!4m7!3m6!1s0x2e69c5fcd02b7751:0xa92bc98c3a203042!8m2!3d-6.6178721!4d106.8142145!16s%2Fg%2F11fxzq_1cb!19sChIJUXcr0PzFaS4RQjAgOozJK6k?authuser=0&hl=id&rclk=1","Ice Cream Pa Doto","4,6","(367)","·","$","Es Krim","·","·","Tutup","· Buka Sel pukul 11.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEPgheZJTJZ3YZ63-QK0prIcf4YEeTEoSfDgxfScAuF3jdvV6O17S4R_7m7040COh9Z5vr_qbdkYPcxCjp0UqpHADbC7p2C9S85PpbQYOUKYaMvxOxvbKD9U4LPx_OuJjxFGSlOVw=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Suka yang","es krim","coklat pakai roti karena saya bukan pecinta durian.""","","",""
"https://www.google.com/maps/place/Momoyo+Ciluar+Bogor/data=!4m7!3m6!1s0x2e69c7dada8ea3c7:0xfcb1c02d5a2d4b8e!8m2!3d-6.5477422!4d106.8230804!16s%2Fg%2F11v08895ts!19sChIJx6OO2trHaS4RjkstWi3Asfw?authuser=0&hl=id&rclk=1","Momoyo Ciluar Bogor","4,8","(554)","","","Es Krim","·","·","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH4psDWtR95Dp_DMTna6iq0TfYmCNjYqbPB9dydzUUh_Sgwi9BfzBUluYu2XcBa2--s9Ku3eO2cbnDpWPlCmaoLm8X32C3_T-Nps8WjpdGDeSVfjpJHpmZBTaD3UctGB4VespoR=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Es","krimnya enak, tempatnya cozy good recomend""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF2MDg4OTV0cxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=kaT4aabHK_yxwcsPjv6Q2Aw&ei=kaT4aabHK_yxwcsPjv6Q2Aw&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Es+Krim+Indonesia+-+Ciomas/data=!4m7!3m6!1s0x2e69c5549846501b:0x74e13cc3efbf9390!8m2!3d-6.601287!4d106.777844!16s%2Fg%2F11vyx46nxs!19sChIJG1BGmFTFaS4RkJO_78M84XQ?authuser=0&hl=id&rclk=1","Es Krim Indonesia - Ciomas","4,9","(28)","","","Es Krim","·","Sebelah Laundry Aulia, Jl. Raya Ciomas No.04, RT.01/RW.01","Segera tutup","· 21.00 · Buka Sel pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGo8oxFjRZrvZ2JdzfqZbQUEw1knH_PpP_UPjDflnFcmLC2qil4os-VZHDT8BA03T-HWZ5bqwV1hGxHtIZOcWxzMiwsABjW8d0QDj63-baE-v5WUSRFBZTzdqUnGozo4fxPxgAU=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Es","krimnya enak, lembut, dan ada biskuitnya di dasar cupnya.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF2eXg0Nm54cxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=kaT4aabHK_yxwcsPjv6Q2Aw&ei=kaT4aabHK_yxwcsPjv6Q2Aw&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Soft+Ice+Cream+SiBunda/data=!4m7!3m6!1s0x2e69c5e51308bd6d:0xa5ed7c2965f631f8!8m2!3d-6.5770771!4d106.7446752!16s%2Fg%2F11h59r_613!19sChIJbb0IE-XFaS4R-DH2ZSl87aU?authuser=0&hl=id&rclk=1","Soft Ice Cream SiBunda","4,7","(26)","","","Es Krim","","","Tutup","· Buka Sel pukul 08.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFOClYAJoh-q0zVKumUDsdQT7rwIDBrz3plNM51mJauMkbQ7BNtF7xnF9K-0S5VCE3CnPq5i7IL54xWyT703NT8AfAsV8U2pgMk8Bfvzcj6qCn037IX22fVzRWi3izzEuUbfb0=w80-h169-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Es","krimnya enak & harga nya pas!""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFoNTlyXzYxMxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=kaT4aabHK_yxwcsPjv6Q2Aw&ei=kaT4aabHK_yxwcsPjv6Q2Aw&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Mixue+Semplak+Bogor/data=!4m7!3m6!1s0x2e69c50e9b7c9753:0xaddd51b8f425ac2f!8m2!3d-6.5633073!4d106.7636332!16s%2Fg%2F11rqkvfwg8!19sChIJU5d8mw7FaS4RL6wl9LhR3a0?authuser=0&hl=id&rclk=1","Mixue Semplak Bogor","4,7","(553)","·","$","Es Krim","·","·","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGa2pkNBBPgpKG-gezJro8MBz8jcNJdLhLDPyfE9BFuFShakVnwOzntsk7TZr4FKSB1weF3J1Qw21ZGFkoDZJDs9yNrmKZCdPm9Xch3M4-JtpS2JZKfkwdNOCsXAbr0Nm8xuNl3hg=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Es","krimnya enak,soft and milky banget""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFycWt2ZndnOBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=kaT4aabHK_yxwcsPjv6Q2Aw&ei=kaT4aabHK_yxwcsPjv6Q2Aw&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Loukoumanna+-+Greek+Donuts+and+Gelato+Bogor/data=!4m7!3m6!1s0x2e69c53b6a6dbb2b:0x10926171e78167b5!8m2!3d-6.6061181!4d106.8115768!16s%2Fg%2F11pbhgnh99!19sChIJK7ttajvFaS4RtWeB53FhkhA?authuser=0&hl=id&rclk=1","Loukoumanna - Greek Donuts and Gelato Bogor","4,7","(65)","","","Es Krim","·","Jl. Ciheuleut No.10, RT.04/RW.11","Tutup","· Buka Sel pukul 13.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAE-HbURorGrXqXywwT_cNOPDnxuPQ6Gl-xFtG-ysemk_e9dxwOUz8uWdmitlBWwx_H3azuTRpcEkBBg4zWz5mmGSA_KIRmIeEIqY4VP7QDtOB2dQuz8DyQ4As0YY8nvSW46fRmEUQ=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya bersih, pelayanan baik, pilihan gelatonya banyak, rasanya enak.""","","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFwYmhnbmg5ORgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=kaT4aabHK_yxwcsPjv6Q2Aw&ei=kaT4aabHK_yxwcsPjv6Q2Aw&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
