"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","FQ2IWe src","ah5Ghc","ah5Ghc 2","A1zNzb href","J8zHNe","bbPy1"
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Warteg+Bahari/data=!4m7!3m6!1s0x2e69c6827c24e121:0xe4fff39cfedcee48!8m2!3d-6.5789211!4d106.8182497!16s%2Fg%2F11c0xwmg78!19sChIJIeEkfILGaS4RSO7c_pzz_-Q?authuser=0&hl=id&rclk=1","Warteg Bahari","4,6","(284)","·","Rp 1–25.000","Tegal","·","","·","Jalan Pandu Raya Indraprasta 2, Tegal Gundil, Bogor Utara, RT.04/RW.14","Segera tutup","· 21.00 · Buka Sel pukul 07.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFGmDSw0QVq7wusEbOFWkxKHd_FGWT608x1kDPTYxSaY-W5-nZGicCV5rqD0K0ts3xWYS7rIS8hpgEdDAmN_LFSmhQOLNwPgvfaN3bktkGQ-7EH__tUCnKgFJT2q0FpHQXvGgao=w163-h92-k-no","Makan di tempat","Bawa pulang","","",""
"https://www.google.com/maps/place/Warteg+Sifren/data=!4m7!3m6!1s0x2e69c5cdf8e4b195:0x4f419c7eee5cc1b3!8m2!3d-6.5916142!4d106.805858!16s%2Fg%2F11c50rblq3!19sChIJlbHk-M3FaS4Rs8Fc7n6cQU8?authuser=0&hl=id&rclk=1","Warteg Sifren","4,5","(302)","·","Rp 1–25.000","Tegal","·","","Jl. Lodaya I No.6, RT.03/RW.07","","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFG91nMt5lQb_SMu7CRjbbKAWARhpMTRSReyYYi2yvCnk69NaLuSqSYc2dE0gdjYiSWRdJsIhRvvRq2vS8DcL17HudM-5lt-FAVmGdRnDcrPEhNLuX52caOrC9an8F2wX_W0dv1=w163-h92-k-no","Makan di tempat","Bawa pulang","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFjNTByYmxxMxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=26T4ac7vO4yVseMPt7b7gA4&ei=26T4ac7vO4yVseMPt7b7gA4&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Warteg+Bahari+Ardio/data=!4m7!3m6!1s0x2e69c5b452e8cebf:0x6903bc153c967bca!8m2!3d-6.5905208!4d106.7911427!16s%2Fg%2F11c20sz7s7!19sChIJv87oUrTFaS4RynuWPBW8A2k?authuser=0&hl=id&rclk=1","Warteg Bahari Ardio","4,6","(96)","·","$","Tegal","·","","·","Jl. Ardio, RT.03/RW.06","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFnCn-VJqJBsrFdMu27aqycXe8y2_-0j9nMO0LNtDvuWv_wbNKKCqofdCDdR-OGuD6jPgaWlOYWglcOS0lBeMrm6xMXpt3eUUVn6mb3--2nnf0s5GroKx0vyBfxauHMUHVT_OBl=w80-h142-k-no","Makan di tempat","Drive-through","","",""
"https://www.google.com/maps/place/Warteg+CBN+24+Jam+Merdeka/data=!4m7!3m6!1s0x2e69c5e785a32835:0x23df5b86a0e22396!8m2!3d-6.5940438!4d106.7881196!16s%2Fg%2F11rk6grbq2!19sChIJNSijhefFaS4RliPioIZb3yM?authuser=0&hl=id&rclk=1","Warteg CBN 24 Jam Merdeka","4,5","(37)","·","Rp 1–25.000","Restoran","·","","Jl. Merdeka No.30, RT.04/RW.01","","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFawTlpujKz51UhVo8ELQSKADOf7XTztaZsJnc4peUwdurEjMFs-vXOx0I3XKUN2_aVFrLDgItm3ZKsuJCxsXIROg87irhWmtONOc4ZndyNgzk7QFQHuyRPMDoQ-S6lG6hux88=w122-h92-k-no","Makan di tempat","Bawa pulang","","",""
"https://www.google.com/maps/place/Warteg+Nayla/data=!4m7!3m6!1s0x2e69c3b3682049d3:0x9429b8670e0b8a42!8m2!3d-6.531231!4d106.7866868!16s%2Fg%2F11q2yfzxws!19sChIJ00kgaLPDaS4RQooLDme4KZQ?authuser=0&hl=id&rclk=1","Warteg Nayla","4,7","(78)","·","Rp 1–25.000","Sesuai untuk keluarga","·","","Jl. KH Muhidin, RT.01/RW.04","","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG-UeV4jqcYBYxra9E3R8Xeii-3_-RrTpl7B3copl_vEEm7l5xTNQymlgzLs3ORldiqiPTcB0-Tr2h8rZa6hoTlu8mCJWYlOqyg5MZZNx0O6XsGdRqHwO81SVyZu33BOXJATRA=w122-h92-k-no","Makan di tempat","Bawa pulang","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFxMnlmenh3cxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=26T4ac7vO4yVseMPt7b7gA4&ei=26T4ac7vO4yVseMPt7b7gA4&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Warteg+Laris+Bahari+Warung+Jambu/data=!4m7!3m6!1s0x2e69c59f6f6eebe9:0x466016e0f303a4e2!8m2!3d-6.5683357!4d106.8087276!16s%2Fg%2F11tc8xw46v!19sChIJ6etub5_FaS4R4qQD8-AWYEY?authuser=0&hl=id&rclk=1","Warteg Laris Bahari Warung Jambu","4,7","(71)","·","Rp 1–25.000","Tegal","·","","RT.05/RW.02","","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEr_MuIzbNmA7ZrApAia07ziai50PIMeTOI8GtXQFxgqy6rEhDigwnh_oBwfkYjMUrjGvrkrLT0Xps39IUEOXIxraPHJS3pHQmcbDN53g0SB9DY0Um0IrK4v2-AragWdx_ml3E2=w163-h92-k-no","Makan di tempat","Ambil di tepi jalan","","",""
"https://www.google.com/maps/place/Warteg+Baru/data=!4m7!3m6!1s0x2e69c422d121d209:0xd4f533ee0133567c!8m2!3d-6.5684713!4d106.8065626!16s%2Fg%2F11cs4gxp91!19sChIJCdIh0SLEaS4RfFYzAe4z9dQ?authuser=0&hl=id&rclk=1","Warteg Baru","4,4","(302)","·","Rp 1–25.000","Tegal","·","","·","CRJ4+JJ8, RT.01/RW.05","Buka","· Tutup pukul 22.15","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGqKNshiV5Zi3gBKsITc6xFrK9bxP9KO4KgvQN70Nm0ybCNS6NhFCC5-4X3FA00HRy6L3zA3tLGZvXBQaLzc23nirIoDA0sKPT7XZligXDqLDA6NZvCQndtptubm_fLkfkEcpxs=w122-h92-k-no","Makan di tempat","Bawa pulang","","",""
"https://www.google.com/maps/place/Warteg+Barokah/data=!4m7!3m6!1s0x2e69c466228afa51:0x96e8493e6e175810!8m2!3d-6.5633938!4d106.7819378!16s%2Fg%2F11b6d2wwyn!19sChIJUfqKImbEaS4REFgXbj5J6JY?authuser=0&hl=id&rclk=1","Warteg Barokah","4,6","(182)","·","Rp 1–25.000","Jawa Tengah","·","","·","Jl. Raya Taman Cimanggu No.1 3, RT.02/RW.09","Segera tutup","· 21.00 · Buka Sel pukul 06.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAE3jIjo9dFNYQ9kBfonPfVdcKdP3rTDmmx4919f5gAT5IRWl_enNaWn6_FLBiOIBl3EqKn4gfj7dsCp4VR2pwSxPgRnyvSaESgbXfTVpHj1EJuyTyhS82Xl5Xvv60F1oPIs4Dhi=w163-h92-k-no","Makan di tempat","Bawa pulang","","",""
