"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","Cw1rxd","R8c4Qb","ah5Ghc","lcr4fd href","Cw1rxd 2","R8c4Qb 2","W4Efsd 7","Jn12ke src"
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Apotek+Mumtaz/data=!4m7!3m6!1s0x2e6f1d003c250687:0xd281dfbd141266ee!8m2!3d-6.7374445!4d108.5340795!16s%2Fg%2F11vr5hvjnr!19sChIJhwYlPAAdby4R7mYSFL3fgdI?authuser=0&hl=id&rclk=1","Apotek Mumtaz","4,9","(19)","Apotek","·","Jl. Kandang Perahu No.29","Buka","· Tutup pukul 21.00","·","0877-1101-0124","","Rute","","","","","",""
"https://www.google.com/maps/place/Apotek+Kita+Farma/data=!4m7!3m6!1s0x2e6f1dfb06e5061b:0x1fbd067a854ef014!8m2!3d-6.7357151!4d108.5344501!16s%2Fg%2F1hdzblbzs!19sChIJGwblBvsdby4RFPBOhXoGvR8?authuser=0&hl=id&rclk=1","Apotek Kita Farma","4,0","(23)","Apotek","·","Jl. Perjuangan No.15A","Segera tutup","· 20.00 · Buka Sel pukul 08.00","·","(0231) 490216","","Rute","","","","","",""
"https://www.google.com/maps/place/Apotek+Perjuangan/data=!4m7!3m6!1s0x2e6f1df09e5af4e7:0xb8bc15ce6d979b95!8m2!3d-6.7349419!4d108.5345407!16s%2Fg%2F11bzywztsb!19sChIJ5_RanvAdby4RlZuXbc4VvLg?authuser=0&hl=id&rclk=1","Apotek Perjuangan","4,2","(112)","Apotek","·","7G7M+VW6, Jl. Yudhasari II","Buka","· Tutup pukul 21.00","·","0811-2013-854","","Rute","Belanja di toko","","","","",""
"https://www.google.com/maps/place/Apotek+K-24+Kalitanjung+Cirebon/data=!4m7!3m6!1s0x2e6f1d2f4a7fadcf:0x7d2b2e0f101828c0!8m2!3d-6.7469529!4d108.5381689!16s%2Fg%2F11t61gj8jq!19sChIJz61_Si8dby4RwCgYEA8uK30?authuser=0&hl=id&rclk=1","Apotek K-24 Kalitanjung Cirebon","4,9","(60)","Apotek","·","·","Jl. Kalitanjung No.92","Buka 24 jam","·","0817-712-424","","Situs Web","Belanja di toko","https://www.apotek-k24.com/location/detail/878/K-24-KALITANJUNG","","Rute","",""
"https://www.google.com/maps/place/Apotek+Sumber+Sehat+3+Farma/data=!4m7!3m6!1s0x2e6f1dfb75dcb9dd:0x6ca0ca91c1794207!8m2!3d-6.736352!4d108.5296578!16s%2Fg%2F11bzrpr0_j!19sChIJ3bncdfsdby4RB0J5wZHKoGw?authuser=0&hl=id&rclk=1","Apotek Sumber Sehat 3 Farma","4,9","(16)","Apotek","·","·","Buka","· Tutup pukul 21.00","Jl. Majasem","","","Rute","","","","","",""
"https://www.google.com/maps/place/Apotek+Pratama/data=!4m7!3m6!1s0x2e6f1dfcee392dc7:0x91ba38f50d3b1a9a!8m2!3d-6.7368636!4d108.5284789!16s%2Fg%2F11b6dpqjb0!19sChIJxy057vwdby4Rmho7DfU4upE?authuser=0&hl=id&rclk=1","Apotek Pratama","3,9","(12)","Apotek","·","Jl. Perjuangan No.15","Buka","· Tutup pukul 21.00","","","","Rute","","","","","",""
"https://www.google.com/maps/place/APOTEK+FAJAR+SEHAT+3/data=!4m7!3m6!1s0x2e6f1d45fa3ccfb3:0xc81b693cfff2379d!8m2!3d-6.7426263!4d108.5352542!16s%2Fg%2F11j1b_nnqm!19sChIJs888-kUdby4RnTfy_zxpG8g?authuser=0&hl=id&rclk=1","APOTEK FAJAR SEHAT 3","4,7","(6)","Apotek","·","7G4P+X39, Jl. Sekar Kemuning II","Buka","· Tutup pukul 22.00","·","0821-2326-26450","","Rute","","","","","",""
"https://www.google.com/maps/place/Apotek+SMW/data=!4m7!3m6!1s0x2e6f1d7e83e953b9:0x4801533dfe667616!8m2!3d-6.737777!4d108.5357309!16s%2Fg%2F11xm6r8lw0!19sChIJuVPpg34dby4RFnZm_j1TAUg?authuser=0&hl=id&rclk=1","Apotek SMW","4,0","(4)","Apotek","·","Jl. Kandang Perahu No.39","Segera tutup","· 20.00 · Buka Sel pukul 08.00","·","0822-4023-2366","","Rute","Belanja di toko","","","","",""
