"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 5","W4Efsd 6","FQ2IWe src","Jn12ke src","ah5Ghc","A1zNzb href","J8zHNe","bbPy1"
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Kopi+Satu+Visi/data=!4m7!3m6!1s0x2e6f1d4e1b1131f3:0xb0fc48ee7e6109d5!8m2!3d-6.7381134!4d108.5362899!16s%2Fg%2F11frp9w3y3!19sChIJ8zERG04dby4R1Qlhfu5I_LA?authuser=0&hl=id&rclk=1","Kopi Satu Visi","4,9","(168)","·","Rp 1–25.000","Kedai Kopi","·","·","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHrS7BxlKBiV5YmqwbQ9xvp6aHO_PwzphYIRodC2jPWziksJVODMLV2cMfb5yA13wjMwAL71xf55wtK1rVKwXS9HSuk66HZ2bDJcobXHVP5bV9U2x6GpmsZp1-9NLan-z80gaHM=w92-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Kopinya enak banget, ownernya asik diajak ngobrol dan sharing.""","","",""
"https://www.google.com/maps/place/Bukan+Cafe/data=!4m7!3m6!1s0x2e6f1df07ff82491:0xba9ccc565a10b511!8m2!3d-6.7361263!4d108.5342165!16s%2Fg%2F11c6t94_xg!19sChIJkST4f_Adby4REbUQWlbMnLo?authuser=0&hl=id&rclk=1","Bukan Cafe","4,3","(125)","","","Kafe","·","·","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFj7yg20AvLUTVN6ZmT8RLS300_bKxrbOTCD431wb74YdA59Eo86Xvr0qXXDrlQsSttxwIPnvRlX0UwmGSHHOyMMsIZrbGctIpaiNheeI0UIsLL4lVD08X2-GbLab1bDvIvLG_ewA=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Kopinya nukmat""","","",""
"https://www.google.com/maps/place/TW+Space/data=!4m7!3m6!1s0x2e6f1da325bb7e1d:0xc691fbcb058e500a!8m2!3d-6.7287164!4d108.5313941!16s%2Fg%2F11qh7qvtsh!19sChIJHX67JaMdby4RClCOBcv7kcY?authuser=0&hl=id&rclk=1","TW Space","4,8","(514)","·","Rp 25–50 rb","Kedai Kopi","·","Jl. Ciliwung","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAESrZxnPiJiLzWnM2GmfltA_-BJP43YpYEerULIHNIy-n_WzFE-C8s9h5GSd5CfTq_sCfeeTP7RvCS9iZqiKktQQt7lnsYKASFrkUI-Go0b3KiDTbX8kEvo7zcUji-wjo0i-M8=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Sukaak banget sama varian kopi salt caramel nya TW, recommended 👍🏻👍🏻.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFxaDdxdnRzaBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=opX4abe_HtCQseMPqLCfiQo&ei=opX4abe_HtCQseMPqLCfiQo&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Point+Cafe+PERJUANGAN/data=!4m7!3m6!1s0x2e6f1d60596d17e9:0x70afb20e09d3dd3f!8m2!3d-6.7357644!4d108.5346685!16s%2Fg%2F11flfwmgnm!19sChIJ6RdtWWAdby4RP93TCQ6yr3A?authuser=0&hl=id&rclk=1","Point Cafe PERJUANGAN","4,5","(92)","·","Rp 25–50 rb","Kafe","·","Jl. Perjuangan Majasem, Karya Mulya, Panguragan","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFfQi8-FcdyT7nbPe3nWkJJILZL6UIO3l22IZ_CjELoqzzXTrQALO2u7bk6ILWs9Kg8dv9S5ZHi0rxuMthIeg0yiML4dkLGIXv1bAIbN8etxNEbjON6pl7r72FevcmFUE-6vl4A9w=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Selain","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFmbGZ3bWdubRgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=opX4abe_HtCQseMPqLCfiQo&ei=opX4abe_HtCQseMPqLCfiQo&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Kolonial+Koffie/data=!4m7!3m6!1s0x2e6f1d500bb70ba3:0x770e7a547dba2ef1!8m2!3d-6.73889!4d108.5383502!16s%2Fg%2F11rhc3q027!19sChIJowu3C1Adby4R8S66fVR6Dnc?authuser=0&hl=id&rclk=1","Kolonial Koffie","4,4","(50)","·","Rp 25–50 rb","Kedai Kopi","·","Jl. Kandang Perahu No.14, RT./RW/RW.03/13","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHTfYn4LqXP3It1dTvbowOsL75X62YvCR-83pSq14DQzO-ymYNb3R3cwAWwbM-d7Wu5Z1wErLi6904taJdWMxk4r7otJ4e98icvNR3-jUAi2JtWia5jvCaDDS4DnDs9rNmlPP55=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Avocado milknya manis banget, buat yg suka manis wajib coba.""","","",""
"https://www.google.com/maps/place/Cafe+Santri+%2F+Kedai+Sastra/data=!4m7!3m6!1s0x2e6f1d5aafe7528d:0xd329f87fd1e41be!8m2!3d-6.7368008!4d108.5323416!16s%2Fg%2F11h07jww80!19sChIJjVLnr1odby4RvkEe_YefMg0?authuser=0&hl=id&rclk=1","Cafe Santri / Kedai Sastra","4,7","(48)","","","Kedai Kopi","·","Jl. Kandang Perahu No.9A","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHuEw7RO1IYsQSGLRpBhULqJaIXyjS94D-ebdybKXJ55sKs2sE2q1K8OEG0hK2QqAWkDQjheJe_He_QjrYWY2B5UHH-04pP1p5qw-w8h2v7cPpDFPEiZKRtS-SZCyD3tGDlZDZD=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya nyaman....jauh dari hingar bingar knalpot brong🤣🤣""","","",""
"https://www.google.com/maps/place/Jus+Kuphi+Medan+Part+9+Cirebon/data=!4m7!3m6!1s0x2e6f1df53e8ae585:0x37082b9783ed9b93!8m2!3d-6.735074!4d108.5348151!16s%2Fg%2F11cr_ydk_n!19sChIJheWKPvUdby4Rk5vtg5crCDc?authuser=0&hl=id&rclk=1","Jus Kuphi Medan Part 9 Cirebon","4,4","(433)","·","$","Kafe","·","·","Buka","· Tutup pukul 02.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAF-LOUL-unwobj2btFgUTWX5RHAPojDLtWIpyMbL0l3AFP20c8AY7StWfia_BlW8TSvt1c90tKLPkwvM0PbcaDbe0ng9aZNSCJjWn2RFxxuRqJlFj4j25E_0ZDjm7UYTPPVmtUNzQ=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Wifinya kenceng.""","","",""
"https://www.google.com/maps/place/Cafee+MIDANG+MEDANG/data=!4m7!3m6!1s0x2e6f1def86e1d5e3:0xd061fde0b7b77421!8m2!3d-6.740847!4d108.5346137!16s%2Fg%2F11c5_vx8cq!19sChIJ49Xhhu8dby4RIXS3t-D9YdA?authuser=0&hl=id&rclk=1","Cafee MIDANG MEDANG","4,7","(3)","","","Kafe","·","7G5M+MR9, Jl. Kandang Perahu","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGA3U4R2sU82Sx-JRdQz-mGyhnWIluJv7dTIeh7lb2q1BXUTfKeKsfDoLuKNVArd1Tw4Fdj1snz68f8ribxeFkUfIeOl0riOkk9HA2--01n8BYFrbjR4md4XezC2XYOLJXnDJ-0=w122-h92-k-no","","Makan di tempat","","",""
