"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","Cw1rxd","R8c4Qb","Jn12ke src","ah5Ghc","e4rVHe"
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Photo+Copy+Anda+3/data=!4m7!3m6!1s0x2e6f1dfa7b94773d:0xfedefb28f72d3474!8m2!3d-6.7357902!4d108.5338059!16s%2Fg%2F11bzrq1rg0!19sChIJPXeUe_odby4RdDQt9yj73v4?authuser=0&hl=id&rclk=1","Photo Copy Anda 3","4,5","(41)","Toko Fotokopi","·","Jl. Perjuangan","Buka","· Tutup pukul 21.00","·","0813-8801-9220","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Kemarin print skripsi pakai kertas sendiri boleh, harga lebih miring.""",""
"https://www.google.com/maps/place/Fotocopy+Ryan/data=!4m7!3m6!1s0x2e6f1d83850414b5:0x84d6ea904d1e04fd!8m2!3d-6.7376554!4d108.5346523!16s%2Fg%2F11f79kvb49!19sChIJtRQEhYMdby4R_QQeTZDq1oQ?authuser=0&hl=id&rclk=1","Fotocopy Ryan","5,0","(1)","Toko Fotokopi","·","Jl. Kandang Perahu No.34","Buka","· Tutup pukul 21.00","·","0895-6351-86903","","Rute","","",""
"https://www.google.com/maps/place/FOTOCOPY+SAUDARA+Gang+Kampus/data=!4m7!3m6!1s0x2e6f1dad65bdceed:0x8b3e9d4047fc5537!8m2!3d-6.7363393!4d108.5341393!16s%2Fg%2F11n0tlmwpd!19sChIJ7c69Za0dby4RN1X8R0CdPos?authuser=0&hl=id&rclk=1","FOTOCOPY SAUDARA Gang Kampus","5,0","(6)","Toko Fotokopi","·","jl. Perjuangan Gang Kampus, Ruko S. 09","Buka","· Tutup pukul 21.00","·","0821-3084-0129","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan sangat ramah dan pengerjaan cepat.""",""
"https://www.google.com/maps/place/Foto+COPY+Bang+Jana/data=!4m7!3m6!1s0x2e6f1dc549dd2539:0x359b3e70d2e5cb77!8m2!3d-6.7376152!4d108.5344673!16s%2Fg%2F11hz022qz6!19sChIJOSXdScUdby4Rd8vl0nA-mzU?authuser=0&hl=id&rclk=1","Foto COPY Bang Jana","4,0","(2)","Toko Fotokopi","·","7G6M+XQ4","","","","","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Foto copy bang Jana menyediakan alat-alat kantor sekolah dan lainnya""",""
"https://www.google.com/maps/place/Sahwal+Photo+Copy+Centre/data=!4m7!3m6!1s0x2e6f1d239b8bc633:0x8ff98341171d60cb!8m2!3d-6.7357306!4d108.5338472!16s%2Fg%2F11j4sv0991!19sChIJM8aLmyMdby4Ry2AdF0GD-Y8?authuser=0&hl=id&rclk=1","Sahwal Photo Copy Centre","5,0","(3)","Toko Fotokopi","·","jawa barat M I Road","Buka","· Tutup pukul 22.00","·","0853-2104-5803","","Rute","","",""
"https://www.google.com/maps/place/Print+Dan+Foto+Copy+Center/data=!4m7!3m6!1s0x2e6f1df0922de96f:0xf1fa9954e5b9ed30!8m2!3d-6.7354646!4d108.5356136!16s%2Fg%2F11c5_dhj01!19sChIJb-ktkvAdby4RMO255VSZ-vE?authuser=0&hl=id&rclk=1","Print Dan Foto Copy Center","4,4","(14)","Toko Fotokopi","·","·","Buka","· Tutup pukul 21.00","7G7P+R69, Jalan Perjuangan, Karangmulya, Kesambi","0821-2820-0080","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Murah lengkap""",""
"https://www.google.com/maps/place/Batara+photocopy+murah/data=!4m7!3m6!1s0x2e6f1d01e6e21169:0xe285cca6d7f0024d!8m2!3d-6.7358546!4d108.5332993!16s%2Fg%2F11gycfj6kq!19sChIJaRHi5gEdby4RTQLw16bMheI?authuser=0&hl=id&rclk=1","Batara photocopy murah","2,2","(59)","Toko Fotokopi","·","Jl. Perjuangan No.35","Buka","· Tutup pukul 21.00","·","0821-3083-0929","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tolong diperbaiki lagi dalam melayani customer nya ya..""",""
"https://www.google.com/maps/place/Saudara+Fotocopy+Center/data=!4m7!3m6!1s0x2e6f1df0fb131535:0x5df13ab2e2e6e51b!8m2!3d-6.7357218!4d108.5365365!16s%2Fg%2F11bc7slmj1!19sChIJNRUT-_Adby4RG-Xm4rI68V0?authuser=0&hl=id&rclk=1","Saudara Fotocopy Center","4,2","(64)","Toko Fotokopi","·","·","Buka","· Tutup pukul 23.00","Jl. Perjuangan No.52, RT.02/RW.11","0813-9568-1211","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Hasil memuaskan""",""
