"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 5","W4Efsd 6","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","M4A5Cf"
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Kopi+Satu+Visi/data=!4m7!3m6!1s0x2e6f1d4e1b1131f3:0xb0fc48ee7e6109d5!8m2!3d-6.7381134!4d108.5362899!16s%2Fg%2F11frp9w3y3!19sChIJ8zERG04dby4R1Qlhfu5I_LA?authuser=0&hl=id&rclk=1","Kopi Satu Visi","4,9","(168)","·","Rp 1–25.000","Kedai Kopi","·","·","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHrS7BxlKBiV5YmqwbQ9xvp6aHO_PwzphYIRodC2jPWziksJVODMLV2cMfb5yA13wjMwAL71xf55wtK1rVKwXS9HSuk66HZ2bDJcobXHVP5bV9U2x6GpmsZp1-9NLan-z80gaHM=w92-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Kedai",""
"https://www.google.com/maps/place/Kedaikoe/data=!4m7!3m6!1s0x2e6f1deeef243e91:0x5261f262d59134a5!8m2!3d-6.7419215!4d108.5383213!16s%2Fg%2F11p4d4f3zh!19sChIJkT4k7-4dby4RpTSR1WLyYVI?authuser=0&hl=id&rclk=1","Kedaikoe","4,9","(13)","·","Rp 1–25.000","Brunch","·","7G5Q+68P, Jl. Sekar Kemuning II","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEApVgWD4RLMu1XdXG_xRu0GSK1BlESjcbAfYr7wPd8prnmWJ4CImDp6sHXnkA6kN1xJdcDSJ_Hn1DqnId6IQ46lLmLo20s7l7eK5tUolnGyxBUQM_pRM8G6_fngbQaemLqQAIsFQ=w204-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""makanan dan minumannya sangat nikmat dan pastinya lebih terjangkau.""","",""
"https://www.google.com/maps/place/KEDAI+KARLITA/data=!4m7!3m6!1s0x2e6f1f08068ef1e3:0xd62b284de2798cb4!8m2!3d-6.7354594!4d108.5357584!16s%2Fg%2F11w43ckx55!19sChIJ4_GOBggfby4RtIx54k0oK9Y?authuser=0&hl=id&rclk=1","KEDAI KARLITA","4,8","(12)","·","Rp 1–25.000","Rumah Makan","·","Smk Negeri 1 Cirebon, Jl. Perjuangan kios","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH_zgPrhvLPrEQN-cckCVs1EotBL6NLo12L6FW90ldMv73hZ37hJQ8h9pWjiesfGc4tmwZaI0Bdjba9-c8tBTLlqpsMTHYKfexNl1lNLmmFS1Ad-1k9oBOPqLT3kW0eMvk0ZMaHZw=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Dan yang pastinya ada ketan susu dengan aneka topping.""","",""
"https://www.google.com/maps/place/Kedai+Kang+Gembul/data=!4m7!3m6!1s0x2e6f1d0045b70b45:0xea44ca98425714dc!8m2!3d-6.7325768!4d108.532998!16s%2Fg%2F11ynjydn35!19sChIJRQu3RQAdby4R3BRXQpjKROo?authuser=0&hl=id&rclk=1","Kedai Kang Gembul","4,8","(91)","·","Rp 1–25.000","Restoran","·","Jl. Yudhasari II","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAF32qlSBCAu5WMPxa0TEu1fajUY4-SDFvK2eOzTyWgyOX3foxl1yQG22WlsOHaDpV7uUsdjpGwhM8UjICZwEbgUjGjSYPIrVLPhkP_Act9BIpGjrDzI2GPedAm3MZcz0FtfVbrkX1rrKI4=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanannya enak-enak, harganya murah porsinya juga banyak""","",""
"https://www.google.com/maps/place/Cafe+Santri+%2F+Kedai+Sastra/data=!4m7!3m6!1s0x2e6f1d5aafe7528d:0xd329f87fd1e41be!8m2!3d-6.7368008!4d108.5323416!16s%2Fg%2F11h07jww80!19sChIJjVLnr1odby4RvkEe_YefMg0?authuser=0&hl=id&rclk=1","Cafe Santri / Kedai Sastra","4,7","(48)","","","Kedai Kopi","·","Jl. Kandang Perahu No.9A","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGMQMbZho6xLGHOhj5hL53tOjkXMDANFvpjUroTy3JL5kIKzCJVHEqpwnwoOaZoTghXca0Q4lXzLAhDbL64kvdcclK1ExXjl_kMfifcgbGxlGVMCOa657kfGz1-HnZ0KhA7_xEG=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya nyaman....jauh dari hingar bingar knalpot brong🤣🤣""","",""
"https://www.google.com/maps/place/Kedai+Jupe+%28Juara+Pedas%29/data=!4m7!3m6!1s0x2e6f1dfa729f7cd5:0xb2778509af230920!8m2!3d-6.7357312!4d108.5337592!16s%2Fg%2F11b6_7zlv8!19sChIJ1Xyfcvodby4RIAkjrwmFd7I?authuser=0&hl=id&rclk=1","Kedai Jupe (Juara Pedas)","4,4","(73)","·","$","Kafe","·","·","Buka","· Tutup pukul 23.45","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH65zoMhup8R_nCfR796LYVY4yG3W8boX6hIK0Uri81tw6mO5i6mL1ySttlF_sSG5JpNjWW3R4SV9f9ztTzBwIE-dG7nvTwl2iqNEjq9I_HPML46k68Mbr0miixkQ4HUxea5gpm=w92-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanannya enak dan buat nongki nyaman""","",""
"https://www.google.com/maps/place/Kedai+Kopi+Biasa/data=!4m7!3m6!1s0x2e6f1dbde2c9b8bd:0x7e7f631db93ceb6a!8m2!3d-6.7388295!4d108.5351172!16s%2Fg%2F11tj9ly81t!19sChIJvbjJ4r0dby4Raus8uR1jf34?authuser=0&hl=id&rclk=1","Kedai Kopi Biasa","5,0","(9)","","","Kedai Kopi","·","Jl. Terusan Sekar Kemuning No.32","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFju00BoypeTBl3uvCkv1SLkKSiG8ztvQI3zqR-KuB2wmDS9GmDqStxzTmOYGCwQvNfJ3o6MFcSena7tClW61SJF8PmRfvVJGyzT-IHQxtqZKNMR3Vh-lDzzzLAeq1bQ_nj=w122-h92-k-no","","Makan di tempat","Ambil di tepi jalan","·"
"https://www.google.com/maps/place/Kedai+District+9/data=!4m7!3m6!1s0x2e6f1d1b0839e767:0x9ce778f8ff05955f!8m2!3d-6.7299419!4d108.5243275!16s%2Fg%2F11q41klnwk!19sChIJZ-c5CBsdby4RX5UF__h455w?authuser=0&hl=id&rclk=1","Kedai District 9","4,3","(32)","·","Rp 1–25.000","Kedai Kopi","·","Jl. Raya Kalikoa","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGpYul24Kt6cRvRo5njhqQwGzESn7wks9GrNxewyYHgFkK-J1zo36VPdfMgeN2zN7sZu8mbgxZwnsh3-3LFlIb3ZlDD9M28waJjSw77G9FW-08eq_3PmvDst3uWMmfTT1Ra92Qp=w204-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Harga murah, tenang, nyaman, ada live music klo malam minggu""","",""
