"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","FQ2IWe src","Jn12ke src","ah5Ghc","A1zNzb href","J8zHNe","bbPy1","ah5Ghc 2","ah5Ghc 3"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/ROCKET+CHICKEN+PERJUANGAN/data=!4m7!3m6!1s0x2e6f1d3ffbbb9b13:0x8a7402528da24649!8m2!3d-6.7372901!4d108.5275992!16s%2Fg%2F11gvz7xfcg!19sChIJE5u7-z8dby4RSUaijVICdIo?authuser=0&hl=id&rclk=1","ROCKET CHICKEN PERJUANGAN","4,4","(391)","·","Rp 1–25.000","Makanan Siap Saji","·","","·","Jalan Cirebon","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGoPeIVFHlMw0y-wWNHT0elCtO-_OWNRdsGKWdr_LnHeELAT9edR_yu5hZfDwsJxnmzUt7Y_cqQ1YYbHDKyJTqZK1XqdeJ-s97qGjOe89G0xJfx7w2ddvyCTf9WLTK2H2LZi3CY=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Ayam goreng lokal yang enak dan murah.""","","","","",""
"https://www.google.com/maps/place/Ayam+Backpacker/data=!4m7!3m6!1s0x2e6f1dfa5ccc0bbf:0x35632946fe79d438!8m2!3d-6.7355829!4d108.5327296!16s%2Fg%2F11fzb0mrrz!19sChIJvwvMXPodby4RONR5_kYpYzU?authuser=0&hl=id&rclk=1","Ayam Backpacker","4,5","(298)","·","Rp 1–25.000","Makanan Siap Saji","·","","·","Jl. Perjuangan Ruko PDK","Segera tutup","· 20.30 · Buka Sel pukul 08.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFnLSx7PDJO7lSlLy79bjBj1zZkqNNkGNpunss8m4wcece0MJiLCT39idiEW-oL9BgCrVj5stCRiogJkzPhqa-vzB8rjHrsZhKdyhNTlPGH736-BYpfnKcLGki7GyUNZnaVuF0=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Enak, asinnya pas, renyah, murah juga apalagi kalo angetan""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFmemIwbXJyehgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=DZj4adrcOMe4nesP9fTbuQ8&ei=DZj4adrcOMe4nesP9fTbuQ8&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/Q_food/data=!4m7!3m6!1s0x2e6f1d0bc468ef8f:0xd65cfc3fa0b4bb55!8m2!3d-6.7430824!4d108.5367558!16s%2Fg%2F11sq_g4ff4!19sChIJj-9oxAsdby4RVbu0oD_8XNY?authuser=0&hl=id&rclk=1","Q_food","4,0","(26)","·","Rp 25–50 rb","Makanan Siap Saji","·","","Jl. Sekar Kemuning III Gg. Mangun Sari No.9 Rt04, RW.03","","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEH3M_j6z3MUpUpXWuMkijTIiiHI0sHkVSVid96PqYNy9MRccbGgMyhWoB8Ql5_wG5X6-4Jdm6DRsiqP_XWkzXTkqVnoU3bMR_-oIi500OM070JfStvi9xElvCzTggd1wmrzoy2odq17ZUe=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanannya enak enak dan murah""","","","","",""
"https://www.google.com/maps/place/Kedai+Jupe+%28Juara+Pedas%29/data=!4m7!3m6!1s0x2e6f1dfa729f7cd5:0xb2778509af230920!8m2!3d-6.7357312!4d108.5337592!16s%2Fg%2F11b6_7zlv8!19sChIJ1Xyfcvodby4RIAkjrwmFd7I?authuser=0&hl=id&rclk=1","Kedai Jupe (Juara Pedas)","4,4","(73)","·","$","Rumah Makan","·","","·","PEGADAIN, Depan Kampus IAIN.Belakan, Jl. Perjuangan","Buka","· Tutup pukul 23.45","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHBEd5aOdVziwjEOnXLIUmWqQyNc_JEwHgEsToCkoEwdCdb3IOfLsIPJ96MYGkbnb_DxANN_GjGdskbLsQMr0qxERmgw4vKyaslEjmAssJCK04aw3HMPbcTVoKJfZcdo9WW7lLijQ=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanannya enak dan buat nongki nyaman""","","","","",""
"https://www.google.com/maps/place/Chicken+Rock+Perjuangan/data=!4m7!3m6!1s0x2e6f1d370aa7f46f:0xaeb44d5a2c10961b!8m2!3d-6.7338074!4d108.5347284!16s%2Fg%2F11vplskvm0!19sChIJb_SnCjcdby4RG5YQLFpNtK4?authuser=0&hl=id&rclk=1","Chicken Rock Perjuangan","4,0","(1)","","","Rumah Makan","·","","Jl. Yudhasari II Jl. Perjuangan No.25","","Segera tutup","· 20.30 · Buka Sel pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHF5Vc_hajqmU2BQdtygq9pAgjHhWRJNDhCAYwluMdedVdncRqxdVJOXWY4KdMkZPYoKbtS2t1Z8d8DfmMlf634CggAMNImVDaoHroJGSG_tG5dHHuWH1eLDPvdlzCtrf5QgG4k=w94-h92-k-no","","Makan di tempat","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF2cGxza3ZtMBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=DZj4adrcOMe4nesP9fTbuQ8&ei=DZj4adrcOMe4nesP9fTbuQ8&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","Drive-through","Antar tanpa bertemu"
"https://www.google.com/maps/place/McDonald%27s+Brigjen+Darsono/data=!4m7!3m6!1s0x2e6f1d1ed6e2a9f9:0x5874f3fb1fc98eb6!8m2!3d-6.7322059!4d108.5410085!16s%2Fg%2F11fs9myqpb!19sChIJ-ani1h4dby4Rto7JH_vzdFg?authuser=0&hl=id&rclk=1","McDonald's Brigjen Darsono","4,5","(2.022)","·","Rp 25–50 rb","Makanan Siap Saji","·","","·","Jl. Brigjen Darsono","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHi08P88h__UT6vQCJAaxMMiQNmMKW6VzjbOXZDOrAS4BS0RLX0NszJ_zdC_UkAcFN5_mALYo7OJBeQcNXhfnkJY17c6YseiCU_NwrgA1TewLoBCCIivW8LXUexMonyHvFmzjmHzw=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Enak dan harganya lumayan murah""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFmczlteXFwYhgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=DZj4adrcOMe4nesP9fTbuQ8&ei=DZj4adrcOMe4nesP9fTbuQ8&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/Q+food+resto/data=!4m7!3m6!1s0x2e6f1d0048c0d891:0x1790a72c5ff65037!8m2!3d-6.7426237!4d108.53459!16s%2Fg%2F11yhm1v6gm!19sChIJkdjASAAdby4RN1D2XyynkBc?authuser=0&hl=id&rclk=1","Q food resto","2,3","(3)","","","Makanan Siap Saji","·","","Dekat Toko SM, Jl. Terusan Sekar Kemuning No.1","","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGwY8eEjesLLqp2fkc_hgISoFIB2ze54n-EV3h51WGK0LbDpjOco90gFDHwE8y5hSajk3dXcyaxuWktDEBvuru_X9TslXGSzjJo2bilLjgMhg5JCc-1W0xGTioM2f5IUI_KQ29xJwdJNM5U=w80-h106-k-no","","Makan di tempat","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF5aG0xdjZnbRgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=DZj4adrcOMe4nesP9fTbuQ8&ei=DZj4adrcOMe4nesP9fTbuQ8&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","Bawa pulang",""
"https://www.google.com/maps/place/Ayam+geprek+kuah+kari/data=!4m7!3m6!1s0x2e6f1d005c4754d5:0xf0f0180846d927e5!8m2!3d-6.741445!4d108.5346349!16s%2Fg%2F11wpb1g458!19sChIJ1VRHXAAdby4R5SfZRggY8PA?authuser=0&hl=id&rclk=1","Ayam geprek kuah kari","4,2","(5)","","","Restoran","·","","7G5M+CVC, Jl. Terusan Sekar Kemuning","","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHNxtx1edfeyMS3wpspRa3A6bBNmTH1Ch4yrEWwEdsjH7fzJRD96KauFl1FDoy9pon_Te6RpEI6mC9-x3p7OLyFdDMp0fu28rQXVxn1eWjhBvaVOKbtXK-jCa0gWaWFsz6165DI=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Ayam nya enak..  Sambalnya mantulll..  Karinya nya josss""","","","","",""
