"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 5","W4Efsd 6","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","M4A5Cf"
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Warung+Makan+Bu+Sunda/data=!4m7!3m6!1s0x2e6f1d07de87cfc5:0x7ab39325d439bc4d!8m2!3d-6.7375802!4d108.5344885!16s%2Fg%2F11gmwqdd_j!19sChIJxc-H3gcdby4RTbw51CWTs3o?authuser=0&hl=id&rclk=1","Warung Makan Bu Sunda","4,6","(161)","·","Rp 1–25.000","Sunda","·","·","Segera tutup","· 20.00 · Buka Sel pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFMkQNZJz9zhS5ON5VsAf1P6SeobCEQdMyZvi8wGRF8G5im_GeZ2MknQYbjls-09xnNPa1BXMeksGfRC6mBLAGPQqZlvzmjw-WbFQ9kEtL8418-LCcUw38q455aXlCY1NzK1JgQQQ=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Makanan",""
"https://www.google.com/maps/place/Warung+Pojok+JEMBATAN/data=!4m7!3m6!1s0x2e6f1d83c6b5d52f:0x5ce27d869e10b294!8m2!3d-6.7384872!4d108.5358342!16s%2Fg%2F11j1307yxk!19sChIJL9W1xoMdby4RlLIQnoZ94lw?authuser=0&hl=id&rclk=1","Warung Pojok JEMBATAN","4,7","(72)","·","Rp 1–25.000","Brunch","·","Jl. Kandang Perahu, RT.002/RW.011","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFGV9qs6hWf3D-klzqbEb5JTpdu_UvYtKytSQz7py2m_vt1TMp7mBgMVwUxu1O_KkjF2kqpX4d5scWSMUMMXd6azNka4A4Zt9bj8b879Yvh8dmkJHLFGlmOXDLELNBtyy6QnS8p=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Enak bgt murah""","",""
"https://www.google.com/maps/place/Warnas+Ibu+Aan/data=!4m7!3m6!1s0x2e6f1d04f73db3f3:0x15dae3060b20f897!8m2!3d-6.7384503!4d108.5350904!16s%2Fg%2F11g1lxc4v_!19sChIJ87M99wQdby4Rl_ggCwbj2hU?authuser=0&hl=id&rclk=1","Warnas Ibu Aan","4,9","(7)","","","Nasi","·","7G6P+J28, Jl. Terusan Sekar Kemuning, RT.01/RW.03","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHAHx9hV0pW3xyQzDZowz9wiuT4HVmHU6eq5a-SuJuNZAUTMUXdRAKaC3BJ_3_6L1C-yQO-eYRinJLkwP--3w-zWrLGPuD5oJBL1T_oh8GtbZGl9LS6JKZqFg1hAgRjFzIspEXI=w163-h92-k-no","","Makan di tempat","Bawa pulang","·"
"https://www.google.com/maps/place/Warung+Gado-gado+Ayam+Mas+Ade/data=!4m7!3m6!1s0x2e6f1df011a0e53f:0x9ca7513ad788e914!8m2!3d-6.7378055!4d108.5353044!16s%2Fg%2F11fzbl7tkx!19sChIJP-WgEfAdby4RFOmI1zpRp5w?authuser=0&hl=id&rclk=1","Warung Gado-gado Ayam Mas Ade","4,6","(29)","","","Brunch","·","Jl. Kandang Perahu No.22 Rt.02 Rw.11 mekar mulya , kel","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGJU12ZhTmGQuEJ-6i36mZziL08H9OATpcOygVDOZqSuOiP3RzuqPsCXCr6hlzz0LBhfRP6PIRuQeh6v0_iJ6jGEV1JEezoUNquA7gmE1prUU0h_tuT_YN-IkMCAXNXX5DjTMML=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Makanan",""
"https://www.google.com/maps/place/Ayam+Penyet+Lombok+Ijo/data=!4m7!3m6!1s0x2e6f1d7d4a6a58a5:0xe8f9517e85608396!8m2!3d-6.7398068!4d108.5338465!16s%2Fg%2F11h8tg5nyx!19sChIJpVhqSn0dby4RloNghX5R-eg?authuser=0&hl=id&rclk=1","Ayam Penyet Lombok Ijo","4,8","(10)","","","Ayam Penyet","·","Gg. Mawar","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEEdUOQXJsMaaB8zLSYEVkTedMdFszqVvHiFevT2lUaShhio4RY9SoOJiF7Iu_BlcWyC53FI8sE6d3AvK28CpzJI8cjUp6EX9GIsP8PG5eDVtg-nVsRgmdwhqImtvqRPAPUMrw=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanannya enak banget, worth it buat harga segitu.""","",""
"https://www.google.com/maps/place/Lesehan+Bang+Doelt/data=!4m7!3m6!1s0x2e6f1d6d1fcf76b3:0x17e4a417a9a3e988!8m2!3d-6.740705!4d108.5346334!16s%2Fg%2F11fj0s86_4!19sChIJs3bPH20dby4RiOmjqRek5Bc?authuser=0&hl=id&rclk=1","Lesehan Bang Doelt","4,7","(10)","","","Restoran","·","Jl. Terusan Sekar Kemuning No.77","Buka","· Tutup pukul 23.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG777cLV7TjSOVHHXr1K6uZQOX20JRqlgEO-0ediRdlNPaYTwFmEiLnW4PfW4yu9LSLj3X0Igu2svWvN2HuxztZD22YnamnQlxaxYWDzCD09aMgx1xam0Y0lM3Oy1K8DotX3H3GdQ=w184-h92-k-no","","Makan di tempat","Bawa pulang","·"
"https://www.google.com/maps/place/Baso+Pak+Johan/data=!4m7!3m6!1s0x2e6f1dfa9f0618d1:0xfed7675fef1a1e23!8m2!3d-6.7372797!4d108.5341086!16s%2Fg%2F11f_j1xbl5!19sChIJ0RgGn_odby4RIx4a719n1_4?authuser=0&hl=id&rclk=1","Baso Pak Johan","4,9","(33)","·","Rp 1–25.000","Bakso","·","·","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGDU7X1l29cNn3KAIJEdo5udYo0iI2L1NoJ0LmUCTjf-J6_C6iXiSv4qDPYNID9di9xc10t86-688AenhPr5QpskmGWhWYVQj96XuVoZaahyi5_AlT1sUdWfGGJnwPbmVcRB3fS=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""makanannya enak (saya pesan mie ayam baso) dan harganya ramah di kantong.""","",""
"https://www.google.com/maps/place/Waroeng+Ireng+%22The+Sam%27s%22/data=!4m7!3m6!1s0x2e6f1d311fbf0a93:0x8fcb09185c7d66f2!8m2!3d-6.7388577!4d108.53504!16s%2Fg%2F11kc9jw91s!19sChIJkwq_HzEdby4R8mZ9XBgJy48?authuser=0&hl=id&rclk=1","Waroeng Ireng ""The Sam's""","4,9","(14)","","","Kedai Kopi","·","7G6P+F23","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEuWOxAd2ENRrJmMWQ-nerYeg6J7rhLqHAj4h0i2mb_pWBQk3JVenI005UG2Zcwm4dmW8XVkRIrZjLYLjx7xg55paLvatLM_ZSJtZjaxAbOT-2vq3TdPVxVg5g4BMshTG7pa5sz5w=w122-h92-k-no","","Makan di tempat","Bawa pulang","·"
