"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","W4Efsd 7","UsdlK","Cw1rxd","R8c4Qb","Jn12ke src","ah5Ghc","lcr4fd href","Cw1rxd 2","R8c4Qb 2"
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Toko+Fatahillah+Mart+Grosir+dan+Ecer+Toserba/data=!4m7!3m6!1s0x2e6f1dfaa01c651d:0xad8c34bcdc1af6cc!8m2!3d-6.7373776!4d108.5343741!16s%2Fg%2F11cs4k0s59!19sChIJHWUcoPodby4RzPYa3Lw0jK0?authuser=0&hl=id&rclk=1","Toko Fatahillah Mart Grosir dan Ecer Toserba","4,7","(23)","Minimarket","·","","·","Jl. Kandang Perahu No.28","Segera tutup","· 20.30 · Buka Sel pukul 06.30","·","0852-2489-0777","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Lengkap harga murah, bisa grosir dan eceran""","","",""
"https://www.google.com/maps/place/Indomaret+Perjuangan+3+-+UNTAG/data=!4m7!3m6!1s0x2e6ee772ab43e73b:0xcdf6a6a5b64f1046!8m2!3d-6.7356319!4d108.5345851!16s%2Fg%2F1q62mcr8w!19sChIJO-dDq3Lnbi4RRhBPtqWm9s0?authuser=0&hl=id&rclk=1","Indomaret Perjuangan 3 - UNTAG","4,4","(712)","Toko Swalayan","·","","Jl. Perjuangan Majasem, Karya Mulya, Panguragan","Buka 24 jam","·","","","0816-500-580","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Komplit, ada ATM BCA, point coffee, parkir luas, tempatnya strategis""","http://indomaret.co.id/","","Rute"
"https://www.google.com/maps/place/Alfamart+Perjuangan+Yudhasari/data=!4m7!3m6!1s0x2e6f1d3f8287cf59:0x7be2eda662f0e4fb!8m2!3d-6.7353682!4d108.5349015!16s%2Fg%2F11tx1qxtvd!19sChIJWc-Hgj8dby4R--TwYqbt4ns?authuser=0&hl=id&rclk=1","Alfamart Perjuangan Yudhasari","3,6","(15)","Minimarket","·","","7G7M+VX2","","","","","","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","","",""
"https://www.google.com/maps/place/Toko+Irwan/data=!4m7!3m6!1s0x2e6f1dfb01af22c5:0xf7f66737f859f040!8m2!3d-6.736394!4d108.5313358!16s%2Fg%2F11cs4lnyvd!19sChIJxSKvAfsdby4RQPBZ-Ddn9vc?authuser=0&hl=id&rclk=1","Toko Irwan","4,3","(64)","Minimarket","·","","Jl. Perempatan GSP No.2","·","Buka","· Tutup pukul 22.00","","0856-5985-7726","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""tempat beli bluegaz""","","",""
"https://www.google.com/maps/place/Warung+Mamah+Ijal/data=!4m7!3m6!1s0x2e6f1d407e2b38c1:0x996a8bbd3b65a3!8m2!3d-6.7384379!4d108.5363712!16s%2Fg%2F11j_cfwnmr!19sChIJwTgrfkAdby4Ro2U7vYtqmQA?authuser=0&hl=id&rclk=1","Warung Mamah Ijal","5,0","(4)","Toko Kelontong Asia","·","","7G6P+JGH, Jl. Kandang Perahu Gg. Paku Alam","·","Buka","· Tutup pukul 23.00","","0895-0964-5115","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Komplit warungnya""","","",""
"https://www.google.com/maps/place/Alfamart+Sekar+Kemuning/data=!4m7!3m6!1s0x2e6f1def1f82f92d:0xb99fd797399894d4!8m2!3d-6.7423998!4d108.537215!16s%2Fg%2F11c1vlqbz2!19sChIJLfmCH-8dby4R1JSYOZfXn7k?authuser=0&hl=id&rclk=1","Alfamart Sekar Kemuning","4,3","(260)","Minimarket","·","","·","Jl. Terusan Sekar Kemuning, RT.02/RW.13","Buka","· Tutup pukul 22.00","·","1 500 959","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""soalnya setiap sama karyawan lain bisa kok.""","","",""
"https://www.google.com/maps/place/Lawson+Perjuangan/data=!4m7!3m6!1s0x2e6f1d0001d81111:0x2343d890020d9c63!8m2!3d-6.7358077!4d108.5316131!16s%2Fg%2F11vsvkgmmh!19sChIJERHYAQAdby4RY5wNApDYQyM?authuser=0&hl=id&rclk=1","Lawson Perjuangan","4,2","(94)","Minimarket","·","","7G7J+MJH, Jl. Perjuangan","","Buka","· Tutup pukul 22.00","","","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tapi ada beberapa produk bakery yang ga ada di","","",""
"https://www.google.com/maps/place/Warung+Tiara/data=!4m7!3m6!1s0x2e6f1de4ddd2553d:0x8b1fd2c0f0ab1db8!8m2!3d-6.7401019!4d108.5309503!16s%2Fg%2F11c1vn9497!19sChIJPVXS3eQdby4RuB2r8MDSH4s?authuser=0&hl=id&rclk=1","Warung Tiara","4,0","(57)","Minimarket","·","","·","Jalan Mahoni Tengah, Griya Sunyaragi Permai Blok F.41","Segera tutup","· 21.00 · Buka Sel pukul 06.00","·","0853-4828-0922","","Rute","","","","",""
