"hfpxzc href","qBF1Pd","W4Efsd","W4Efsd 2","W4Efsd 3","Cw1rxd","R8c4Qb"
"https://www.google.com/maps/place/Terminal+Harjamukti+Cirebon/data=!4m7!3m6!1s0x2e6f1d9183828381:0x48ec60dcac6b0e9f!8m2!3d-6.7396814!4d108.5529426!16s%2Fg%2F12gh55y3_!19sChIJgYOCg5Edby4Rnw5rrNxg7Eg?authuser=0&hl=id&rclk=1","Terminal Harjamukti Cirebon","Perhentian bus","·","Jl. Ahmad Yani","","Rute"
"https://www.google.com/maps/place/Perhentian+bus+Luragung/data=!4m7!3m6!1s0x2e6f1d00787cb0bd:0xddd82d1d092cd082!8m2!3d-6.75987!4d108.53205!16s%2Fg%2F11z05mm3l1!19sChIJvbB8eAAdby4RgtAsCR0t2N0?authuser=0&hl=id&rclk=1","Perhentian bus Luragung","Layanan Transportasi","·","Gerbang exit, Gerbang Tol Ciperna Utama, Jl. Jenderal Sudirman","","Rute"
"https://www.google.com/maps/place/SPBU+BY+PASS+BRIGJEN+DHARSONO+CIREBON/data=!4m7!3m6!1s0x2e6f1df41b13ffbd:0xcc54cf1b6f7c598d!8m2!3d-6.7325729!4d108.5408664!16s%2Fg%2F11z0g_stgw!19sChIJvf8TG_Qdby4RjVl8bxvPVMw?authuser=0&hl=id&rclk=1","SPBU BY PASS BRIGJEN DHARSONO CIREBON","Perhentian bus","","","","Rute"
"https://www.google.com/maps/place/PO+Garuda+Mas/data=!4m7!3m6!1s0x2e6f1d92be3beecb:0x50e12e2d1ccc6083!8m2!3d-6.7394012!4d108.5476923!16s%2Fg%2F1ptvzhmhy!19sChIJy-47vpIdby4Rg2DMHC0u4VA?authuser=0&hl=id&rclk=1","PO Garuda Mas","Perhentian bus","·","JL. Brigadir Jenderal Darsono No.12","","Rute"
"https://www.google.com/maps/place/Cirebon/data=!4m7!3m6!1s0x2e6f1df27c844ecd:0xdcfdf1e1bcc54cae!8m2!3d-6.7378327!4d108.54301!16s%2Fg%2F11nbb4xscv!19sChIJzU6EfPIdby4RrkzFvOHx_dw?authuser=0&hl=id&rclk=1","Cirebon","Perhentian bus","","","","Rute"
"https://www.google.com/maps/place/Cirebon+Harjamukti+Bus+Terminal/data=!4m7!3m6!1s0x2e6f1d918fd29733:0x6beb8eac5d67b7d4!8m2!3d-6.7397121!4d108.5529522!16s%2Fg%2F11xy_5bmyn!19sChIJM5fSj5Edby4R1LdnXayO62s?authuser=0&hl=id&rclk=1","Cirebon Harjamukti Bus Terminal","Perhentian bus","","","","Rute"
"https://www.google.com/maps/place/Cirebon+Darshono/data=!4m7!3m6!1s0x2e6ee20fb85784f1:0x9df39c61bb1e69!8m2!3d-6.7195534!4d108.5364938!16s%2Fg%2F11x88l0svz!19sChIJ8YRXuA_ibi4RaR67YZzznQA?authuser=0&hl=id&rclk=1","Cirebon Darshono","Perhentian bus","","","","Rute"
"https://www.google.com/maps/place/VIRTUAL+POOL+THE+HARVEST+JLN+DR+CIPTO/data=!4m7!3m6!1s0x2e6ee2738d5b80f9:0x249a804d8016848d!8m2!3d-6.7221!4d108.5507!16s%2Fg%2F11x5y762p9!19sChIJ-YBbjXPibi4RjYQWgE2AmiQ?authuser=0&hl=id&rclk=1","VIRTUAL POOL THE HARVEST JLN DR CIPTO","Perhentian bus","","","","Rute"
"https://www.google.com/maps/place/Cirebon+Cipto+Park/data=!4m7!3m6!1s0x2e6ee26c34dcca65:0x911c59d6a40a1786!8m2!3d-6.71497!4d108.551!16s%2Fg%2F11xrfbqnzg!19sChIJZcrcNGzibi4RhhcKpNZZHJE?authuser=0&hl=id&rclk=1","Cirebon Cipto Park","Perhentian bus","","","","Rute"
"https://www.google.com/maps/place/Depan+Indomaret+Fresh+Brigjen+Dharsono/data=!4m7!3m6!1s0x2e6ee21999b37f41:0x3bdeba4774592f1d!8m2!3d-6.7121092!4d108.5321003!16s%2Fg%2F11x6t6pv1f!19sChIJQX-zmRnibi4RHS9ZdEe63js?authuser=0&hl=id&rclk=1","Depan Indomaret Fresh Brigjen Dharsono","Perhentian bus","","","","Rute"
