"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","Cw1rxd","R8c4Qb","Jn12ke src","ah5Ghc"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Photo+Copy+Anda+3/data=!4m7!3m6!1s0x2e6f1dfa7b94773d:0xfedefb28f72d3474!8m2!3d-6.7357902!4d108.5338059!16s%2Fg%2F11bzrq1rg0!19sChIJPXeUe_odby4RdDQt9yj73v4?authuser=0&hl=id&rclk=1","Photo Copy Anda 3","4,5","(41)","Toko Fotokopi","·","Jl. Perjuangan","Segera tutup","· 21.00 · Buka Sel pukul 07.00","·","0813-8801-9220","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Lengkap"
"https://www.google.com/maps/place/FOTO+ANDA+4/data=!4m7!3m6!1s0x2e6f1d3aaee9b133:0x3d8c961410ae0ed5!8m2!3d-6.7357659!4d108.5336948!16s%2Fg%2F11g1lqd82_!19sChIJM7Hprjodby4R1Q6uEBSWjD0?authuser=0&hl=id&rclk=1","FOTO ANDA 4","5,0","(4)","Toko Percetakan","·","Jl. Perjuangan No.52, Karyamulya, Kec. Kesambi, Kota Cirebon, Jawa Barat 45135","Buka","· Tutup pukul 23.00","·","0857-6131-6185","","Situs Web","",""
"https://www.google.com/maps/place/Print+Dan+Foto+Copy+Center/data=!4m7!3m6!1s0x2e6f1df0922de96f:0xf1fa9954e5b9ed30!8m2!3d-6.7354646!4d108.5356136!16s%2Fg%2F11c5_dhj01!19sChIJb-ktkvAdby4RMO255VSZ-vE?authuser=0&hl=id&rclk=1","Print Dan Foto Copy Center","4,4","(14)","Toko Fotokopi","·","·","Segera tutup","· 21.00 · Buka Sel pukul 08.00","7G7P+R69, Jalan Perjuangan, Karangmulya, Kesambi","0821-2820-0080","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Murah lengkap"""
"https://www.google.com/maps/place/Batara+photocopy+murah/data=!4m7!3m6!1s0x2e6f1d01e6e21169:0xe285cca6d7f0024d!8m2!3d-6.7358546!4d108.5332993!16s%2Fg%2F11gycfj6kq!19sChIJaRHi5gEdby4RTQLw16bMheI?authuser=0&hl=id&rclk=1","Batara photocopy murah","2,2","(59)","Toko Fotokopi","·","Jl. Perjuangan No.35","Segera tutup","· 21.00 · Buka Sel pukul 07.00","·","0821-3083-0929","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Satu tempat selesai semua urusan."""
"https://www.google.com/maps/place/Intan+Keluarga+Copy+Center+2/data=!4m7!3m6!1s0x2e6f1dfa9f3de9d1:0x1c2503db2b3a0e09!8m2!3d-6.7372624!4d108.5341694!16s%2Fg%2F11c2prws_r!19sChIJ0ek9n_odby4RCQ46K9sDJRw?authuser=0&hl=id&rclk=1","Intan Keluarga Copy Center 2","4,3","(16)","Toko Fotokopi","·","Jl. Kandang Perahu","Tutup","· Buka Sel pukul 07.00","·","0812-2317-8014","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Eyyyy Sering bgt ke situ ada komputer gaming enak main"""
"https://www.google.com/maps/place/FotoCopy+Saudara+Akper+perjuangan./data=!4m7!3m6!1s0x2e6f1d9aa56584d5:0xfb46da96bff8cbfd!8m2!3d-6.7368678!4d108.5285289!16s%2Fg%2F11f773t5fq!19sChIJ1YRlpZodby4R_cv4v5baRvs?authuser=0&hl=id&rclk=1","FotoCopy Saudara Akper perjuangan.","4,9","(7)","Toko Percetakan","·","Jl. Perjuangan Jl. Majasem No.15","Buka","· Tutup pukul 22.00","·","0822-8875-3798","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan baik,semoga hasilnya memuaskan"""
"https://www.google.com/maps/place/cut.inc/data=!4m7!3m6!1s0x2e6f1dd964b4e6b9:0x9827af65bbf16c84!8m2!3d-6.7297548!4d108.5344328!16s%2Fg%2F11gjg_k26c!19sChIJuea0ZNkdby4RhGzxu2WvJ5g?authuser=0&hl=id&rclk=1","cut.inc","4,9","(15)","Toko Sablon","·","·","Buka 24 jam","","Bima Stadion","0812-1177-2234","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Sablon digital kaos & merchandise"""
"https://www.google.com/maps/place/Percetakan+New+8/data=!4m7!3m6!1s0x2e6f1d92e8776e49:0x246e6dcc809e2b06!8m2!3d-6.7401658!4d108.5478656!16s%2Fg%2F11clydspxk!19sChIJSW536JIdby4RBiuegMxtbiQ?authuser=0&hl=id&rclk=1","Percetakan New 8","4,0","(180)","Toko Percetakan","·","Jl. Kanggraksan","Buka","· Tutup pukul 23.00","·","0821-3571-5756","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Harga murah, Pelayanan ramah, Kecepatan oke, Hasil cetak bagus."""
