"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","A1zNzb href","J8zHNe","bbPy1","doJOZc","W4Efsd 6","M4A5Cf"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/RM.+Padang+Rejeki/data=!4m7!3m6!1s0x2e6f1d63563cb1bd:0x70e56971669412e8!8m2!3d-6.7366562!4d108.5298521!16s%2Fg%2F11kgg82br4!19sChIJvbE8VmMdby4R6BKUZnFp5XA?authuser=0&hl=id&rclk=1","RM. Padang Rejeki","4,7","(89)","·","Rp 25–50 rb","Padang","·","Jl. Perjuangan No.9","Segera tutup","· 21.00 · Buka Sel pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHGkoMQ6JF9IG1E5u1XQx7kXeIX5Vujat_V1nm17eVF913a1z7sdvCYctsN5i2ADFQdfkvibMNpOb8fjme8ih-XXX8kIRyMNeM7L-Ad4z39RauGiHuwRGCOcCmUPNvUyAZl1OMl=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Masakan","padang","terenak menurut lidah saya, mantul banget rasanya.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFrZ2c4MmJyNBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=nJn4aZfAMNSRseMP-MCy6Aw&ei=nJn4aZfAMNSRseMP-MCy6Aw&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","",""
"https://www.google.com/maps/place/RM.+Minang+Setia/data=!4m7!3m6!1s0x2e6f1d07a4a36091:0xb4450afe66d3fbcd!8m2!3d-6.7326308!4d108.5309536!16s%2Fg%2F11cs1gw5lc!19sChIJkWCjpAcdby4RzfvTZv4KRbQ?authuser=0&hl=id&rclk=1","RM. Minang Setia","4,5","(59)","","","Padang","·","·","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAE4tD1qdMzBXFdwXzVdQ5EvpkW7aPRV8WIdtCQeSekKRKKUM8HGsR_AdEBa1rreAPQhP1lGx9-rlM2SKjAEiZ_c4pDToNi1uHceEV0_CmGT9Gf4kHOA31hOXhhoRosAesrYzSJu=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelit bumbu rendang rasa biasa saja""","","","","","","","Jl. Yudhasari II",""
"https://www.google.com/maps/place/RM.+Pariaman+Perjuangan/data=!4m7!3m6!1s0x2e6f1d79539b2d01:0x14ba99124e1706b5!8m2!3d-6.7357056!4d108.5352833!16s%2Fg%2F11g0tls_84!19sChIJAS2bU3kdby4RtQYXThKZuhQ?authuser=0&hl=id&rclk=1","RM. Pariaman Perjuangan","4,7","(76)","·","Rp 1–25.000","Padang","·","Jl. Perjuangan No.17","Tutup","· Buka Sel pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFxp7XKWaATQcWEM0ZhrYfDGNRlPD6Hl2cgytHaFKgDDMxX9P5MNQE9rf7auD2ixBXcEy7AaudaOY61V4Mn87K8ADDKtWJBl9N_YMRdIutotb9inHAtQ8rOEG6vE71j7myW=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Makan","masakan","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFnMHRsc184NBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=nJn4aZfAMNSRseMP-MCy6Aw&ei=nJn4aZfAMNSRseMP-MCy6Aw&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","",""
"https://www.google.com/maps/place/RM.+Minang+Setia+1/data=!4m7!3m6!1s0x2e6f1d5bb6cd3b1d:0x9c325ab7bb8b1706!8m2!3d-6.7351366!4d108.534788!16s%2Fg%2F11gjw_q4sm!19sChIJHTvNtlsdby4RBheLu7daMpw?authuser=0&hl=id&rclk=1","RM. Minang Setia 1","4,6","(16)","","","Padang","·","·","Segera tutup","· 21.00 · Buka Sel pukul 10.00","https://lh5.googleusercontent.com/znXjm6hB3uD71DQrmK3weklsXZlPxG4aAFu_DrPTAC4Ejohw7fUFBKPzmi3N0Zvu=w122-h92-k-no","","Makan di tempat","Bawa pulang","","","","","","Perjuangan jln. Yudhasari 2 Kel karya mulya Terusan stadion Bima","·"
"https://www.google.com/maps/place/Rumah+Makan+Padang+Dendeng+Balado+Irgi/data=!4m7!3m6!1s0x2e6f1dde72adc0d3:0x8ef55c3fda92c0cd!8m2!3d-6.7357671!4d108.5336552!16s%2Fg%2F11ghpn376j!19sChIJ08Ctct4dby4RzcCS2j9c9Y4?authuser=0&hl=id&rclk=1","Rumah Makan Padang Dendeng Balado Irgi","4,4","(15)","","","Rumah Makan","·","·","Segera tutup","· 21.00 · Buka Sel pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHKr_aZ-8ixpXTX3cYaiaSIpvvEfkcQYyjmY99UZ0mAHR02yWBd6baHanpx1Md9zNPZrT0PDaXf55oKyz0Mo2u7HBohJMuUyPyvyZrNoiYMSSXYTVXpHGJqRWolLi2iEPq-f7PA=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Masakannya enak2, harganya standar.""","","","","","","","Depan UIN SBER SYEKH NURJATI, Jl. Perjuangan",""
"https://www.google.com/maps/place/Rumah+Makan+Minang+Mandiri/data=!4m7!3m6!1s0x2e6f1d8daf96e235:0xb2d15d87b415d1c2!8m2!3d-6.7361051!4d108.5499387!16s%2Fg%2F11b6dpw5x6!19sChIJNeKWr40dby4RwtEVtIdd0bI?authuser=0&hl=id&rclk=1","Rumah Makan Minang Mandiri","4,6","(245)","·","Rp 1–25.000","Padang","·","·","Buka","· Tutup pukul 04.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGdel4JjGbPy3h0xqVbNx8KTEVyffoen6OKxKV_J6So8k7c8EMSy-ZqFBSiHyIiU3_wWBkZpmQG1QrIGIcXERh2vNrYq4FyWvsGKpEmUe6Oy1s0YrC965958CMbL84SX8mPPPpJ=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Salah satu pondok","makan","masakan","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFiNmRwdzV4NhgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=nJn4aZfAMNSRseMP-MCy6Aw&ei=nJn4aZfAMNSRseMP-MCy6Aw&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","Jl. DR. Cipto Mangunkusumo No.79",""
"https://www.google.com/maps/place/RM+Pagaruyung+Masakan+Padang/data=!4m7!3m6!1s0x2e6f1d170b93412f:0x3072962f803d3e1d!8m2!3d-6.7366277!4d108.5310489!16s%2Fg%2F11c58rmv0d!19sChIJL0GTCxcdby4RHT49gC-WcjA?authuser=0&hl=id&rclk=1","RM Pagaruyung Masakan Padang","4,5","(13)","","","Padang","·","·","Segera tutup","· 21.00 · Buka Sel pukul 10.00","https://lh4.googleusercontent.com/bpL8Wuak1aVsOWmORF61ez5NNyL6ALCGUzGz_1CtbG_VLFFhsN3s0hqnWpSt_e9c=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Harga murah meriah.""","","","","","","","7G7J+8CV, Jl. Perjuangan",""
"https://www.google.com/maps/place/RM.+Sesuai+Masakan+Padang/data=!4m7!3m6!1s0x2e6f1dfb01cd9041:0x8bed8a15f7995cc8!8m2!3d-6.736391!4d108.531361!16s%2Fg%2F11c58t_16n!19sChIJQZDNAfsdby4RyFyZ9xWK7Ys?authuser=0&hl=id&rclk=1","RM. Sesuai Masakan Padang","4,8","(8)","","","Padang","·","·","Buka","· Tutup pukul 22.00","https://lh4.googleusercontent.com/AYA1HqxYLAgE8eP2PxkeBf3B4l0SLn5GZ0NrrkTYJp4L679176rnvEvLMkJwTdE=w122-h92-k-no","","Makan di tempat","Bawa pulang","","","","","","Jl. Kandang Perahu No.2","·"
