"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","FQ2IWe src","Jn12ke src","ah5Ghc","A1zNzb href","J8zHNe","bbPy1","M4A5Cf","ah5Ghc 2"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Bandar+Djakarta+Cirebon/data=!4m7!3m6!1s0x2e6ee3065e95f30b:0x88db7709d205ec0!8m2!3d-6.7210799!4d108.5498672!16s%2Fg%2F11sx51cv98!19sChIJC_OVXgbjbi4RwF4gnXC3jQg?authuser=0&hl=id&rclk=1","Bandar Djakarta Cirebon","4,9","(2.553)","·","$$","Hidangan Laut","·","","·","Jl. DR. Cipto Mangunkusumo No.207","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFGr5Ey-i9Y_AgSaMHCvL8Gs8u2sNggqfuS98cIQzdT3v1CggiznhgCvZb5D2gk98Bs0fs1KrhH_O-aLematXzdHlXI0pvZKcwhEUcY8UBbcLrDs7mAJkz1ntFVAlm4hqti9CpeLw=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Servicenya bagus banget, makanannya enak-enak, tempatnya bersih wangi""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFzeDUxY3Y5OBgAOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=U5n4aeemEdegnesPh9eewQI&ei=U5n4aeemEdegnesPh9eewQI&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/Nasi+Goreng+Tempo+Doeloe/data=!4m7!3m6!1s0x2e6f1dfa973bc35b:0xdb89bbb06f03cd0d!8m2!3d-6.7372623!4d108.5341025!16s%2Fg%2F11fyllhx3w!19sChIJW8M7l_odby4RDc0Db7C7ids?authuser=0&hl=id&rclk=1","Nasi Goreng Tempo Doeloe","4,7","(14)","·","$","Nasi Goreng","·","","·","7G7M+3JX, Jl. Kandang Perahu","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEL77IWFKvHAnrzFG0Kx-P0Z1SrB3xxds27sHtstGpa254GmrJrHnOjZPwCs0fpmnUHRcszCG8JlUHUfVab2wfENBve77XqeAYQ68RT8JxKqPn35zqVY7JTfbEiEIR0gp5XoPexQw=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Nasgor om samson paling mantap pokoknya.""","","","","",""
"https://www.google.com/maps/place/Ayam+Penyet+Lombok+Ijo/data=!4m7!3m6!1s0x2e6f1d7d4a6a58a5:0xe8f9517e85608396!8m2!3d-6.7398068!4d108.5338465!16s%2Fg%2F11h8tg5nyx!19sChIJpVhqSn0dby4RloNghX5R-eg?authuser=0&hl=id&rclk=1","Ayam Penyet Lombok Ijo","4,8","(10)","","","Ayam Penyet","·","","Gg. Mawar","","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEIdW6mmiK_xmFUTU4UFRo7cxTOU5jJhT6pUiDH03-6rYJHRaugxPdjcEh5Z9a0mfcP3mZEBM7_d-eGlxSYINvBVSSNdr-TnHHzZx1cq5Mgq5yFQDdmzp62e40qMh_oh7bqQ2jhjw=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanannya enak banget, worth it buat harga segitu.""","","","","",""
"https://www.google.com/maps/place/Lesehan+Bang+Doelt/data=!4m7!3m6!1s0x2e6f1d6d1fcf76b3:0x17e4a417a9a3e988!8m2!3d-6.740705!4d108.5346334!16s%2Fg%2F11fj0s86_4!19sChIJs3bPH20dby4RiOmjqRek5Bc?authuser=0&hl=id&rclk=1","Lesehan Bang Doelt","4,7","(10)","","","Restoran","·","","Jl. Terusan Sekar Kemuning No.77","","Buka","· Tutup pukul 23.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFg9zKusoRgDYxm2pqzqU8wp9fH8hhqjrQGvyL0Xa5uQiNjVjv0PU-u1dzM0ER3ZY6D-1RnS-u8HXX5jPjN6wOUKXebOJ2saRNQAPux74eUYU1dK0_bC3sVN3A45vOOmFHM1xfVfA=w122-h92-k-no","","Makan di tempat","","","","·","Bawa pulang"
"https://www.google.com/maps/place/Nasi+Goreng+Sandekala+Gila/data=!4m7!3m6!1s0x2e6f1df017f3f3d7:0xd9ef9009287634d8!8m2!3d-6.7379341!4d108.535848!16s%2Fg%2F11gh00v292!19sChIJ1_PzF_Adby4R2DR2KAmQ79k?authuser=0&hl=id&rclk=1","Nasi Goreng Sandekala Gila","4,7","(39)","·","Rp 1–25.000","Nasi Goreng","·","","·","7G6P+R8H, Jl. Kandang Perahu","Buka","· Tutup pukul 01.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHohXVjUjFxzg05LdWJbfv0OosL3HSAR8N5T1suXNnhRSubNW0hORfm0CsCiIZJnyRZZszAURWWTzPnEL6ZDEW29-xX_dXsmrLPqRsdJObToIWvNdUxCaVmtOi6-2Tfuz-0jZROfA=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Enak banget nasgor nya""","","","","",""
"https://www.google.com/maps/place/Hisana+Resto/data=!4m7!3m6!1s0x2e6f1dfa551c1c9f:0x2fec2dae6217031f!8m2!3d-6.7372184!4d108.5334311!16s%2Fg%2F11c1rt72_f!19sChIJnxwcVfodby4RHwMXYq4t7C8?authuser=0&hl=id&rclk=1","Hisana Resto","4,0","(26)","·","$","Restoran","·","","·","7G7M+497, Jl. Kandang Perahu","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG6wbyrq0WU7keMnsQxQWt0GpVPgLMhRcbE6HXJVLu5GQkP2_eE3AgrnllKEJICqyscEnGh2EyzAOmRPnfzcrJkxnWrC8tYK3VNhDDytKpH8AKtkwgPp2M1bXX_PcXCEm6ln15W=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""mba kasirnya ramah, ayamnya enak""","","","","",""
"https://www.google.com/maps/place/Tepian+Rasa+Cirebon/data=!4m7!3m6!1s0x2e6ee3d31788a28b:0x5dbb829f50c810b4!8m2!3d-6.7153815!4d108.5510665!16s%2Fg%2F11k4pm0nx1!19sChIJi6KIF9Pjbi4RtBDIUJ-Cu10?authuser=0&hl=id&rclk=1","Tepian Rasa Cirebon","4,5","(1.360)","·","$$","Hidangan Laut","·","","·","Jl. DR. Cipto Mangunkusumo No.53","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHzAYQj22GojCaTNPEzRA8uBeB2BdVc6f8IScLP1c6p_bguGm1it_8V7UGojVRKZ4L-fphXKnnXFooM-FrVoyiX3gNEL2RyU91m2hFvtPe-lKP1jqQGtlYlo-L5kO6GCcZDvmre=w92-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Jeda makanan antara tumis2an dengan menu utama nunggu s/d 50 menitan.""","","","","",""
"https://www.google.com/maps/place/Warung+Pojok+JEMBATAN/data=!4m7!3m6!1s0x2e6f1d83c6b5d52f:0x5ce27d869e10b294!8m2!3d-6.7384872!4d108.5358342!16s%2Fg%2F11j1307yxk!19sChIJL9W1xoMdby4RlLIQnoZ94lw?authuser=0&hl=id&rclk=1","Warung Pojok JEMBATAN","4,7","(72)","·","Rp 1–25.000","Brunch","·","","Jl. Kandang Perahu, RT.002/RW.011","","Segera tutup","· 21.00 · Buka Sel pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGmgUagfYLnMUxapT656aX1_qdLI04a2bpuB9e4jsuu-EMSgKi2nk86Bm7caSVZCG9DSYNws8xj1YYgNjeSaWKXeXRkX_m-K0wKRQbZnThqPRi1X_LdN_jcwrEzBq_ErJ7_gN5s=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Harga mahasiswa akhir bulan dengan cita rasa makanan restorann.""","","","","",""
