"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","doJOZc","W4Efsd 6"
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Moove+Gym/data=!4m7!3m6!1s0x2e6f1d0066b6ce1f:0xfda47b11d005aed8!8m2!3d-6.7393607!4d108.5433524!16s%2Fg%2F11m60tf_g3!19sChIJH862ZgAdby4R2K4F0BF7pP0?authuser=0&hl=id&rclk=1","Moove Gym","5,0","(91)","Tempat Fitness","·","Jl. Evakuasi No.5 A","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH-O67z58rRtgjYZAlVP-T3mGy827JXu5cZDIMXl8KQCnKozW5tgv39FqPBGIMBGIo_mMKVH6UuJ-iUL6I0c1VvkJOLASdRjWl4rlTskxAHl9L7HYVGlPMrHHsXYTt9iWiL6PTb=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Gym","nyaman dan affordable buat para pemula dan para expert""","",""
"https://www.google.com/maps/place/SPARTAN+GYM/data=!4m7!3m6!1s0x2e6f1d007fe9bbfd:0x6b72801d3fb72386!8m2!3d-6.7376653!4d108.5424335!16s%2Fg%2F11wmdn_29j!19sChIJ_bvpfwAdby4RhiO3Px2Acms?authuser=0&hl=id&rclk=1","SPARTAN GYM","5,0","(14)","Tempat Fitness","·","Jl. Brigjen Darsono No.72","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG8h16LUxxxrcXPmzyCwwOzwhcMBLkrVxB4gPJfc2-BqqGSeWEPZ3ayIEweLSCrJqzTWnyoH3Eoiu_hoCIrgfNtzkJS40cGkEJQg0GMF7k3nSIAuL-qZmcl5sagWKZECGWDRcWKdd5SIDjM=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""PT nya sangat bersahabat, sangat memotivasi dan kasih tips terbaik""","","","",""
"https://www.google.com/maps/place/Ndalem+ATHAYA/data=!4m7!3m6!1s0x2e6f1d2466f27315:0xa2b150868b13483!8m2!3d-6.7421192!4d108.5366504!16s%2Fg%2F11gxn8s9dc!19sChIJFXPyZiQdby4RgzSxaAgVKwo?authuser=0&hl=id&rclk=1","Ndalem ATHAYA","5,0","(13)","Tempat Fitness","·","7G5P+5M2, Jl. Sekar Kemuning II","Tutup","· Buka Rab pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH2e-7XcAw_WPX_EremH4PaQJkphzICl1VMCk_XdzlIaNLDDNMQ7igFdcVUmq66LcDawCYtZ_17N35xa5PAv6RtHbgnQ4xujUwNyE8TRYSum26QeibUGXL4HSPja-GS1rbYtODy=w122-h92-k-no","","","","","",""
"https://www.google.com/maps/place/I%27M+Gym/data=!4m7!3m6!1s0x2e6f1decd50b5f93:0xd9cb4111b769abdf!8m2!3d-6.7421923!4d108.523357!16s%2Fg%2F11vcmdsz1n!19sChIJk18L1ewdby4R36tptxFBy9k?authuser=0&hl=id&rclk=1","I'M Gym","5,0","(48)","Tempat Fitness","·","·","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHgQezXe89fiaA9cY49J_nSLzCdEiDCATcGQoaCShLSYwddinuw2UiudpbVWxBYHPsu_JjiytsEy2y6PrDkKZNxF-UDjF1EeddQAhhTLXbiHOIc8fQkSlXwWOKw_ao48QPOwN3y=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Alat2","gym","lengkap, harga terjangkau mantaaapp.""","","Jl. Perjuangan Jl. Majasem No.93"
"https://www.google.com/maps/place/Pemuda+Gym/data=!4m7!3m6!1s0x2e6f1df5ce06c413:0xbdc296dddd92eea2!8m2!3d-6.7303613!4d108.5408875!16s%2Fg%2F11c1vjcm31!19sChIJE8QGzvUdby4Rou6S3d2Wwr0?authuser=0&hl=id&rclk=1","Pemuda Gym","4,1","(55)","Tempat Fitness","·","·","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH5xu3pKWoXUM-UGpXo_dAFFky7vWWGbvwJw575__O-E6h442MGVMVJ4k4HCQaVQ5K-xa5dFnljIHpaEPMozUNk0HINDf_I1zicR_7RiOxHv4znhlhOUKd2aQdYxJ8RQjYnRzptoQ=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Ada sauna,","gym","sepi dan luas sd jam 10 malam.""","","Jl. Pemuda Raya No.42"
"https://www.google.com/maps/place/Fitness+Plus+Cirebon/data=!4m7!3m6!1s0x2e6f1d1fd7f96a09:0x661c0f1a657da6c6!8m2!3d-6.7409814!4d108.5631687!16s%2Fg%2F11y8dpr1z_!19sChIJCWr51x8dby4RxqZ9ZRoPHGY?authuser=0&hl=id&rclk=1","Fitness Plus Cirebon","5,0","(1.072)","Tempat Fitness","·","Jl. Rajawali Raya No.70","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHcebE6EmojbCz-FLwPedRQxVO3BCZV1MDRgIhxxy40EZl-ZBRYMR2wmbvoTH1CH_sLEj10vhLBlNqq3_qr_QDmynt_U8UgdEqq0Z-oLrZTdh4O-HiWXQNDtg75Q8EIo8ocjq_Gw1cf9Nmk=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Tempat","luas bangets, alatnya lengkap, toilet nya keren ada female Gym""","",""
"https://www.google.com/maps/place/Kalcer+Fit+Studio/data=!4m7!3m6!1s0x2e6f1f435661d90f:0xcb256ddeece67fe2!8m2!3d-6.7575265!4d108.509559!16s%2Fg%2F11yst15bz_!19sChIJD9lhVkMfby4R4n_m7N5tJcs?authuser=0&hl=id&rclk=1","Kalcer Fit Studio","5,0","(177)","Tempat Fitness","·","Ruko PCL, Lt. 2 Nya Fomo Trenz 2, Jl. Ir. Soekarno No.22","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEvPy7Is-0sRawNc77xYYaOmNPKWLGZRnif1IAHjR5UXccEgKn8abtnMpOjzNOkkKxM035iv2Y21xi7CDEJoPxVD60iRRPKbFlZj_d0E8OxpPfcymFN31FOVujV4IlGGVO86xWXFnv6FKPf=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Gym","baru fasilitasnya bagus alatnya lumayan lengkap dan bersih""","",""
"https://www.google.com/maps/place/Nakama+Fitness/data=!4m7!3m6!1s0x2e6f1d0072af8719:0x55dce721474badbb!8m2!3d-6.7445046!4d108.5251607!16s%2Fg%2F11x8vr0dcd!19sChIJGYevcgAdby4Ru61LRyHn3FU?authuser=0&hl=id&rclk=1","Nakama Fitness","4,9","(8)","Pusat kebugaran","·","No. 20 A-C, Jl. Saladara","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEiFkY63T7ugwj89FUxKq2KdqN2Q0FCsV5WAlu-zgFJscTmPbFknSYgBmnfQeOENoclhLv4suyhFdV0zwd5RbgO-A_Acdqj6gz_QSu-FPusbIZxypEYgaMZAYKNjUKlIJe4-bmk=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya bersih, alatnya lengkap dan nyaman, harganya ramah di dompett""","","","",""
