"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","A1zNzb href","J8zHNe","bbPy1"
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Momoyo+Perjuangan+Cirebon/data=!4m7!3m6!1s0x2e6f1db9bd06ff95:0xfabb66641ef39fcb!8m2!3d-6.735715!4d108.5344366!16s%2Fg%2F11v3xkq477!19sChIJlf8Gvbkdby4Ry5_zHmRmu_o?authuser=0&hl=id&rclk=1","Momoyo Perjuangan Cirebon","4,6","(356)","Es Krim","·","Jl. Perjuangan No.12A","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHiY7ftGQTYeonjOGwAlOBiXe8NMPpJ2br20zC5xmkV3OFITkkIMk2lwrVxWMuDVzZIqB7l4tWBz42nOgSzjrtY__US8a5QIGRlK8-KlY7dwCQirN1lSLFCsLNf1Knmt5zROk0TozsKFbw=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""My go-to-","ice cream","adalah Momoyo, gak ada tandingannya!!""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF2M3hrcTQ3NxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=LJr4adbHD6-6seMPmqTr8AI&ei=LJr4adbHD6-6seMPmqTr8AI&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/MIXUE+Perjuangan+Cirebon/data=!4m7!3m6!1s0x2e6f1def2ad4bda7:0xff730ae0c2b38adc!8m2!3d-6.7366331!4d108.5302881!16s%2Fg%2F11rkfgk0n1!19sChIJp73UKu8dby4R3IqzwuAKc_8?authuser=0&hl=id&rclk=1","MIXUE Perjuangan Cirebon","4,5","(450)","Es Krim","·","7G7J+84V","Segera tutup","· 21.00 · Buka Sel pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEQnrOkNeLOlT5ZjlFwudlBLHyeJLl-sssJRcyNBhs9uHk_q-U_zec6NLr6MHU7TCIHawqTS68DLGBQdELwmbYogItZLgvgnSt5xHlYjgrov84UyfmedzNAGX1MhI9KPOiW30IV=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Rasa","es","krimnya enak, ruangannya cukup besar, bersih dan nyaman.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFya2ZnazBuMRgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=LJr4adbHD6-6seMPmqTr8AI&ei=LJr4adbHD6-6seMPmqTr8AI&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Bingxue+Kanggraksan/data=!4m7!3m6!1s0x2e6f1d00423e64b5:0x5dc08f6c36494757!8m2!3d-6.7424998!4d108.5446976!16s%2Fg%2F11mt5c2vrr!19sChIJtWQ-QgAdby4RV0dJNmyPwF0?authuser=0&hl=id&rclk=1","Bingxue Kanggraksan","4,8","(18)","Es Krim","·","Jl. Kanggraksan No.110","Buka","· Tutup pukul 21.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHkmmxulpwFc3KDRUbXrOHqQskvCoiLgVv8zdfKuupBJW2tmicPVFTXQCFvHCDIYOhAMYCAXkF981D5pruR_3C568wHxqpx_TCYdqrM0ZIKFjRBo6b3j5FAJ6HxxY06pp0nNuicVtt1O2SC=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya nyaman, bagus.""","","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFtdDVjMnZychgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=LJr4adbHD6-6seMPmqTr8AI&ei=LJr4adbHD6-6seMPmqTr8AI&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Tiga+Delapan/data=!4m7!3m6!1s0x2e6f1d258e318d15:0x24c46bf8e11d7910!8m2!3d-6.7349962!4d108.5603082!16s%2Fg%2F11llfgp2rz!19sChIJFY0xjiUdby4REHkd4fhrxCQ?authuser=0&hl=id&rclk=1","Tiga Delapan","4,7","(986)","Es Krim","·","Jl. Pangeran Drajat No.47","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHhESO56ntO-O6kLKWl3WfhochMB5IoJFbgt3n4kXvSYsjvE0Ouflt5dLpu0UlOvmk773M-J5_SOTSbrm8p5wjcyFzdf6GaLIcntfbgBeyiNXoT57ObdOHANKfebq_St14SvB3V8lbXk34j=w194-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Dari segi rasa, baik kopi atau","es krim","gelato nya Ok (7/10 menurut saya).""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFsbGZncDJyehgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=LJr4adbHD6-6seMPmqTr8AI&ei=LJr4adbHD6-6seMPmqTr8AI&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Mixue+Cipto+Cirebon/data=!4m7!3m6!1s0x2e6ee31ff8082fc5:0x3c5ff702e69517fe!8m2!3d-6.7236248!4d108.5505622!16s%2Fg%2F11tj_p6_xj!19sChIJxS8I-B_jbi4R_heV5gL3Xzw?authuser=0&hl=id&rclk=1","Mixue Cipto Cirebon","4,6","(139)","Es Krim","·","Jl. DR. Cipto Mangunkusumo No.105","Buka","· Tutup Sel pukul 04.55","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGeYz0gZ_BuY8RVva-LSnKjv2gWN1yV3Y6nwOLrlQNDbBnZCMNkjk-dmxq6T1M5_DjW3CJfy0nw5GYq8k6uMt0nmKgsjb-mtid6N2AxxNzSCDwMvd9jfyjlzKgFI1MRJy9g_OmBqA=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The","ice cream","always amazing!""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF0al9wNl94ahgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=LJr4adbHD6-6seMPmqTr8AI&ei=LJr4adbHD6-6seMPmqTr8AI&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/DEPOT+ICE+CREAM+%28MANG+MUL%29/data=!4m7!3m6!1s0x2e6f1d0028ffd473:0xf1d242e85a28f13d!8m2!3d-6.7350262!4d108.5257558!16s%2Fg%2F11z118np4f!19sChIJc9T_KAAdby4RPfEoWuhC0vE?authuser=0&hl=id&rclk=1","DEPOT ICE CREAM (MANG MUL)","5,0","(1)","Es Krim","·","Gg. Family Jl. Kayuwalang No.2, RT.04/RW.07","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFdjMdFvZXSZHiQ8iKaJOOW_uqa7wPXxsTy88Fr-b1GgxSzGzSQ5YZD1bO-EzukRJ5AQUHEPjdPObPuIOSBgP06KIX2SktVnjvDKaxZa8plnydPncb2w-VTSbyBhPaFe2CuZ6MBy9Sw3fIx=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Es","krimnya mantap, harga terjangkau ...""","","",""
"https://www.google.com/maps/place/ISTANA+KELAPA+MUDA+1+-+CIREBON/data=!4m7!3m6!1s0x2e6f1d0001a39f99:0xcad8fe620b488010!8m2!3d-6.7383384!4d108.5371806!16s%2Fg%2F11ythh7249!19sChIJmZ-jAQAdby4REIBIC2L-2Mo?authuser=0&hl=id&rclk=1","ISTANA KELAPA MUDA 1 - CIREBON","4,0","(1)","Es Krim","·","7G6P+MV7, Jl. Kandang Perahu","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=OlWZ-J2u6a7wBTRBxlmSyg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=351.7691&pitch=0&thumbfov=100","","Bawa pulang","","","","",""
"https://www.google.com/maps/place/Gelatopedia+Cirebon/data=!4m7!3m6!1s0x2e6f1df90c9d830b:0xc0c4ed2ee2ee28be!8m2!3d-6.73568!4d108.5366745!16s%2Fg%2F11tt2690ms!19sChIJC4OdDPkdby4Rviju4i7txMA?authuser=0&hl=id&rclk=1","Gelatopedia Cirebon","5,0","(17)","Es Krim","·","Jl. Perjuangan Ruko No.8","Tutup","· Buka Sel pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGhteyyJCBS6E3CJQZ9r_1WZsisD1uKTc3HydktWNYUYaGp1a8YP3Hq0DuE01NnvdlVSil8_H0pdt-N6umD9IHmvBw0GwVfoqwL2_d29iuufCowYH0Tc2G1LZ_udCU8TlmbB29Xeogn8Bb0=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""tempatnya kecil, tapi cozy buat sekedar makan","es krim",".""","","",""
