"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","FQ2IWe src","ah5Ghc","M4A5Cf","ah5Ghc 2","W4Efsd 5","W4Efsd 6","AJB7ye","AJB7ye 2"
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Warteg+Jaya+Tegal+Ahar/data=!4m7!3m6!1s0x2e6f1def8628278f:0xe95d497d505636ec!8m2!3d-6.7405751!4d108.534649!16s%2Fg%2F11g3z00d7r!19sChIJjycohu8dby4R7DZWUH1JXek?authuser=0&hl=id&rclk=1","Warteg Jaya Tegal Ahar","5,0","(1)","Tegal","·","","·","7G5M+QV6, Jl. Terusan Sekar Kemuning","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=eWqu92tMW07B3o1lKmLHEw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=285.2558&pitch=0&thumbfov=100","Makan di tempat","·","Bawa pulang","","","",""
"https://www.google.com/maps/place/Warteg+Berkah+Gaul+Pak+Ali/data=!4m7!3m6!1s0x2e6f1d03565112d7:0x4b453724c84e8354!8m2!3d-6.7357697!4d108.5336202!16s%2Fg%2F11c71fw204!19sChIJ1xJRVgMdby4RVINOyCQ3RUs?authuser=0&hl=id&rclk=1","Warteg Berkah Gaul Pak Ali","4,2","(19)","Tegal","·","","·","Jl. Perjuangan No.45","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFGJPtYTB0O7IpSbg2evxx35TyjRsaeEE1mFXrATQdh_TnA3U-yVDJEHbaf5uAAr-ddA5ugWGjTZ9oPhRK2Io12EjOG1hF8K4TxvS4c1McvlU-OWmfvbizXu9EY6tvaoJPT7bk=w163-h92-k-no","Makan di tempat","·","Bawa pulang","Buka","· Tutup pukul 22.00","",""
"https://www.google.com/maps/place/Warteg+Kharisma+Bahari+Perjuangan/data=!4m7!3m6!1s0x2e6f1da0c8f18f67:0x22b09b58c7c280c4!8m2!3d-6.7360849!4d108.5312071!16s%2Fg%2F11jz9_7g8m!19sChIJZ4_xyKAdby4RxIDCx1ibsCI?authuser=0&hl=id&rclk=1","Warteg Kharisma Bahari Perjuangan","4,3","(15)","Tegal","·","","·","Jl. Perjuangan","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH1IPkphhp0-B9E7y2fofjrzqXu1CT7BBYdS2vfHoxGTDkMzPKPkfrz-AcWnDs6ocach6E4KzBDQcUmRJWApEM2LUHvdY8GtUEjJVuJ8ghLqZ0hHPZynEtNcfL9Wv-HzHHBr8Ff=w204-h92-k-no","Makan di tempat","·","Bawa pulang","Buka 24 jam","","·","Rp 1–25.000"
"https://www.google.com/maps/place/Warteg+Kharisma+Bahari+Kalitanjung/data=!4m7!3m6!1s0x2e6f1df7d31cd9b3:0xedbbea937c18050d!8m2!3d-6.7471995!4d108.5351435!16s%2Fg%2F11tmr20ltq!19sChIJs9kc0_cdby4RDQUYfJPqu-0?authuser=0&hl=id&rclk=1","Warteg Kharisma Bahari Kalitanjung","4,4","(25)","Restoran","·","","depan Perdana Motor, Jl. Kalitanjung","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGvhqVbVzzv8HeAwbgiHOsl1jGEWaV7FdrIu3BiNm4qWiCPWrkS_OWo8rSms897aYEwoYp3zPjooPutaEGwbBpyFoXsfbiPYi9t2-lKCb4B5Qs9Pl-DwEQJNHCyVktt_R0yc_t3=w204-h92-k-no","Makan di tempat","·","Bawa pulang","Buka 24 jam","","·","Rp 1–25.000"
"https://www.google.com/maps/place/WARTEG+Annisa/data=!4m7!3m6!1s0x2e6f1dfb1829923b:0xf69c59fbbd58cebc!8m2!3d-6.737403!4d108.5307403!16s%2Fg%2F11xytkvb2b!19sChIJO5IpGPsdby4RvM5YvftZnPY?authuser=0&hl=id&rclk=1","WARTEG Annisa","5,0","(1)","Restoran","","","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=QnndNa-40ezWll2PzY5PXA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=227.13835&pitch=0&thumbfov=100","Makan di tempat","","","","","",""
"https://www.google.com/maps/place/Warteg+Istiqomah/data=!4m7!3m6!1s0x2e6f1df09c0e4c11:0x7e2fcef73ec5eda!8m2!3d-6.7351975!4d108.5347756!16s%2Fg%2F11xvgg99nd!19sChIJEUwOnPAdby4R2l7sc-_84gc?authuser=0&hl=id&rclk=1","Warteg Istiqomah","","","Restoran","·","","7G7M+WWC, Jl. Yudhasari II","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=16XB3UHImNooziOnu1uaSA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=75.273224&pitch=0&thumbfov=100","Makan di tempat","","","","","",""
"https://www.google.com/maps/place/WARTEG+Ibu+Chantika/data=!4m7!3m6!1s0x2e6f1df09c0e464d:0x404f2a97e01b336d!8m2!3d-6.7351993!4d108.5347747!16s%2Fg%2F11wh_kp4mr!19sChIJTUYOnPAdby4RbTMb4JcqT0A?authuser=0&hl=id&rclk=1","WARTEG Ibu Chantika","","","Restoran","·","","7G7M+WWC, Jl. Yudhasari II","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xtHOkrZzX1j1J2HA6VMR-g&cb_client=search.gws-prod.gps&w=80&h=92&yaw=161.77867&pitch=0&thumbfov=100","Makan di tempat","","","","","",""
"https://www.google.com/maps/place/WARTEG+SARI+RASA/data=!4m7!3m6!1s0x2e6f1ded828d1043:0x50aef4011198d922!8m2!3d-6.7388343!4d108.543219!16s%2Fg%2F11fzbtdhw7!19sChIJQxCNgu0dby4RItmYEQH0rlA?authuser=0&hl=id&rclk=1","WARTEG SARI RASA","4,4","(95)","Rumah Makan","·","","·","Jl. Evakuasi No.3","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEUbvVZDXJv11sQb4v8yk8d0jpgBt6X4Lksneb3pqsw88Jq9ucKeBF18zqm1IOD8y4ZmPRT4MLsJFiQ-arUW5QqahJRJRbiO-4K7op_BhxUNhK5VNTWXsmVwDhLjcjhh7LtTTU=w122-h92-k-no","Makan di tempat","·","Bawa pulang","Buka","· Tutup pukul 22.00","",""
