"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 5","W4Efsd 6","FQ2IWe src","Jn12ke src","ah5Ghc","AJB7ye","AJB7ye 2","ah5Ghc 2","ah5Ghc 3","M4A5Cf","e4rVHe"
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Domino%27s+Pizza/data=!4m7!3m6!1s0x2e6f1d005987eac1:0xc49a6e9d9b3a76d3!8m2!3d-6.7476257!4d108.562256!16s%2Fg%2F11y0tq14qt!19sChIJweqHWQAdby4R03Y6m51umsQ?authuser=0&hl=id&rclk=1","Domino's Pizza","4,9","(312)","Pizza","·","Jl. Ciremai Raya No.104","Buka","· Tutup pukul 23.45","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHVghsBKdIVGquEW-DmJ1hGx4PIPy2_m81-rViJ64PWCzNEargVefIa7BJgSkuY809s__EDPZ-bxOnoeli3n4cPbj8IQIzNRv1xUHUWDg0O4Fydz1kB7IHLOGcDxP60Lo8NRGCawsPpHAc=w80-h141-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanannya baik banget, tempatnya bersih dan yang pasti pizzanya enakkk""","","","","","",""
"https://www.google.com/maps/place/Red+Pizza+Tungku/data=!4m7!3m6!1s0x2e6f1d14ff80143f:0xd73f388fae149222!8m2!3d-6.7245827!4d108.5501512!16s%2Fg%2F11y8gd0zhd!19sChIJPxSA_xQdby4RIpIUro84P9c?authuser=0&hl=id&rclk=1","Red Pizza Tungku","4,5","(46)","Pizza","·","Jl. DR. Cipto Mangunkusumo No.157 C","Buka","· Tutup pukul 21.45","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGp-0ZfZ6ZKpLWYrx4QM6K1PO0TKW7lvp8ZN4VN6NAZGCWTTKnh_zKNUrfKvA26wEBgEVfqSx95hnDOpTfeheKPb8z8v13wdkd6c7g65Fpg1xUkhVzcQFpkjW9PZBHaFKiPx1nF=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Enak pizzanya tipis dan ga keras, lasagna enak, chesee stik jg enak.""","·","Rp 25–50 rb","","","",""
"https://www.google.com/maps/place/Pizza+Hut+Restoran/data=!4m7!3m6!1s0x2e6f1d2e820379d9:0xbc7a30d11df49143!8m2!3d-6.7295085!4d108.5461919!16s%2Fg%2F11f6dt46l3!19sChIJ2XkDgi4dby4RQ5H0HdEwerw?authuser=0&hl=id&rclk=1","Pizza Hut Restoran","4,9","(4.963)","Pizza","·","·","Segera tutup","· 21.00 · Buka Sel pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHXRu_0420L3ClWg50fFK_-1UU2cRtAjVyetHAfekwilrX2PS2kgbU8TpIN5C9VYmXbvVQXN1Oh1cHTxIIzDmyOo5tRAEOpogI3v6yzdphNqWPMdjRcyJNbGTu7QNXTI3noT6MMXw5XGlsl=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Overall experience: 10/10, would def come back sih, thank u","·","$$","pizza","hut😻""","",""
"https://www.google.com/maps/place/Chicken+Chick+Pizza+%26+Burger/data=!4m7!3m6!1s0x2e6f1d8d946460b3:0x604da9cbbb31d708!8m2!3d-6.7371627!4d108.5505694!16s%2Fg%2F11gfgp6410!19sChIJs2BklI0dby4RCNcxu8upTWA?authuser=0&hl=id&rclk=1","Chicken Chick Pizza & Burger","4,4","(21)","Pizza","·","Jl. Pangeran Drajat No.161","Buka","· Tutup pukul 22.00","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=D-umH32XM1hm4X3pw72-zQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=192.66592&pitch=0&thumbfov=100","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Acara sekolah TK nganter anak2""","","","","","",""
"https://www.google.com/maps/place/Red+Pizza+Chicken+%26+Burger/data=!4m7!3m6!1s0x2e6f1d99281f01c3:0x514af8d0c508d351!8m2!3d-6.745016!4d108.5633644!16s%2Fg%2F11cjh_2x_x!19sChIJwwEfKJkdby4RUdMIxdD4SlE?authuser=0&hl=id&rclk=1","Red Pizza Chicken & Burger","4,5","(421)","Pizza","·","·","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH0qb7_7sTOYspVLvVY2Ma75214J0ggFRWaWaishwt4sfRCLouQnaQ-IhSjim0chEzWxDDa876PUiD1uEUAll7_Z1VOQv5E59AYl-Pvc8e2XFJ0Q0O83afq7APjNrjcRn-FjQb0SQ=w92-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""pizzanya terkesan hambar, tapi sesuai dengan harganya, reasonable.""","·","Rp 25–50 rb","","","",""
"https://www.google.com/maps/place/Sang+Pizza/data=!4m7!3m6!1s0x2e6f1dc509691a15:0x62b2630fb61707b4!8m2!3d-6.7515261!4d108.5555916!16s%2Fg%2F11vsxy5pfs!19sChIJFRppCcUdby4RtAcXtg9jsmI?authuser=0&hl=id&rclk=1","Sang Pizza","4,3","(8)","Pizza","·","JL CIREMAI GIRI BLOK WI - 10 RT 001 RW 17 KEL KECAPI KEC HARJAMUKTI KOTA","Buka","· Tutup pukul 23.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFHOqEZoqucbeaidiEBiraBY2z4D1FR1qWB1ZVoW-mVqv27A6mT-jzLllGi-jZLbwnfBGNVLC7cICWNKW8U8T1ppexYz37rNSJklMmyqnWnBPr9qodOndgHsf785znm5JkFZCw2dg=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Semoga bisa dijadikan bahan evaluasi untuk tim Sang","","","Pizza",".""","",""
"https://www.google.com/maps/place/Domino%27s+Pizza+Cirebon/data=!4m7!3m6!1s0x2e6ee31fe7d64bad:0x650ac2c516a6f722!8m2!3d-6.7113668!4d108.547847!16s%2Fg%2F11n1736t4g!19sChIJrUvW5x_jbi4RIvemFsXCCmU?authuser=0&hl=id&rclk=1","Domino's Pizza Cirebon","4,6","(958)","Pizza","·","Ruko Cirebon Bisnis Center, Jl. Tuparev Kav B1 & B2","Buka","· Tutup pukul 02.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHFLKtwMGYrhIO9sH5AVK5au5CpOsuqaL5knX-BnepuxCS3nYiCHRneoW9nE486OQgDn-YNX3Kzz1zJUvHhehAjLiiwuknTUDEqnqwIokksbIaOGRBZ7u0_WLt6mybVSBfEYk7wAA=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","·","$$","pizza","nya enak, gede dan mengenyangkan, ada yg murah juga harganya""","",""
"https://www.google.com/maps/place/Pizza+Hut+Restoran/data=!4m7!3m6!1s0x2e6ee268e62934cb:0x3910643f81d8417c!8m2!3d-6.7112552!4d108.5562754!16s%2Fg%2F1td8f5_0!19sChIJyzQp5mjibi4RfEHYgT9kEDk?authuser=0&hl=id&rclk=1","Pizza Hut Restoran","4,7","(7.762)","Pizza","·","Jl. Kartini No.29","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAF-Vu9S0J7BbAF5Zw8revgf-XXi5AEe1J2yHio8Ad_RlwGjUVuNY6uleUXeMfXd5-JwgV2pMCTVVO1HaPiCpEPYIo3HNZa-GuxMQLbm-r8RXEKxikMvbPgHqpQryXgUlMBY0CkA=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya enak, pelayanannya bagus, pelayan ramah,","·","$$","pizza","nya juga mantap.""","",""
