"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","A1zNzb href","J8zHNe","bbPy1","doJOZc","W4Efsd 6","AJB7ye","AJB7ye 2"
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/TETRA+Coffee+%26+Eatery+-+Palembang/data=!4m7!3m6!1s0x2e3b7751ba677c01:0x806349c220ba1dad!8m2!3d-2.974805!4d104.760641!16s%2Fg%2F11lkhlfq1v!19sChIJAXxnulF3Oy4RrR26IMJJY4A?authuser=0&hl=id&rclk=1","TETRA Coffee & Eatery - Palembang","4,6","(454)","Kedai Kopi","·","Jl. Merbau No.1260","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAE-VDrZm1PQDobpw2ENp2lNzKIZsZQ4KBD2-q2HsKRlqyFw5hU_34JSg1XSwrTi4CNrkb8HCXsNS5vbuA1FDJOHIo9D3m1hrd9txs_5lg4D6yDWEm18AZnSUuhZwwb1f2DfKswv=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Untuk minuman & makanan,","cafe","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFsa2hsZnExdhgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=hJv4afDaLPChseMPr9rzqAE&ei=hJv4afDaLPChseMPr9rzqAE&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","","",""
"https://www.google.com/maps/place/Luthier+Coffee/data=!4m7!3m6!1s0x2e3b7768b0838a11:0x8963a3424726ee6!8m2!3d-2.9669472!4d104.7634491!16s%2Fg%2F11clw5sr2n!19sChIJEYqDsGh3Oy4R5m5yJDQ6lgg?authuser=0&hl=id&rclk=1","Luthier Coffee","4,7","(601)","Kedai Kopi","·","·","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH0K-udfUGJa0ZFt6QvsFWac0SHYH8DUOqwFwBlYXEN-wjFL9CZzr80KFOrlF-RNfKxpMTzbj0eR2EV2yk5fSYWSRsE722vTL60Ln3ijd50p3cloVpDWuiyBE4gluwl_26XVWQY=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""kopinya enak.. pesan spring rollnya enak dan bahannya segar.""","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFjbHc1c3IybhgAOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=hJv4afDaLPChseMPr9rzqAE&ei=hJv4afDaLPChseMPr9rzqAE&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","","Jl. Bangau No.ruko 170C","",""
"https://www.google.com/maps/place/Days+Cafe/data=!4m7!3m6!1s0x2e3b779f69c618eb:0x6e1441378d7bab79!8m2!3d-2.962146!4d104.7697925!16s%2Fg%2F11t75g_x0c!19sChIJ6xjGaZ93Oy4Reat7jTdBFG4?authuser=0&hl=id&rclk=1","Days Cafe","4,7","(629)","Kafe","·","·","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGwWoUfntloqIjzcO6YLRmGLExyAw0wpzCirOsoZOc7sSjnQB1Uu1kOwyiROslR6mpnwqiygVMzJQjUUTRjqK5mBvf79bCAxnXzKKSnkyn5i-KFRDBEDq3laeiXDtTxlSoFvY4nIg=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Area","cafe di","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF0NzVnX3gwYxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=hJv4afDaLPChseMPr9rzqAE&ei=hJv4afDaLPChseMPr9rzqAE&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","Jl. Dr. M. Isa III No.19-21","·","Rp 50–75 rb"
"https://www.google.com/maps/place/New+Town+Kopitiam/data=!4m7!3m6!1s0x2e3b767aae7ff617:0x29e34f4407cda51c!8m2!3d-2.9660082!4d104.7633896!16s%2Fg%2F1pyqnq5jt!19sChIJF_Z_rnp2Oy4RHKXNB0RP4yk?authuser=0&hl=id&rclk=1","New Town Kopitiam","4,5","(3.523)","Kedai Kopi","·","·","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHMfhAo6SrI3OZ2GEgPhVBCmZj4xuqdToggyTeGn8oRVoFRFeWr7qvfHeJa3obOTPakvPIHxZewrMwURFhrAZKpDnxNbdecBPb1sD4JwnI9DnJDVKA6G4b2S6gfR1VgIZYJ-bEfvw=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Lokasi ok, luas, ada live music, rasa makanan dan kopi tergantung selera""","","https://www.google.com/searchviewer/42?cvd=CLw_EiYKJOICITIfEhgiFtLX29IPEAoML2cvMXB5cW5xNWp0GAE6AwjwDQ%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=hJv4afDaLPChseMPr9rzqAE&ei=hJv4afDaLPChseMPr9rzqAE&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","Jl. Bangau No.171M","·","$$"
"https://www.google.com/maps/place/D%C3%A9lice+Cafe/data=!4m7!3m6!1s0x2e3b779b7a075089:0x3f4f19c548aa473!8m2!3d-2.9745929!4d104.760503!16s%2Fg%2F11vpv5lw8r!19sChIJiVAHept3Oy4Rc6SKVJzx9AM?authuser=0&hl=id&rclk=1","Délice Cafe","4,6","(583)","Kafe","·","Jl. Merbau No.14","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG0U0afQr2nKFV59PuAgcdZdMpycrmcB8clPdcUu3vOznL4jwZXz7jug06KZiEINcOnZJ_nOeLUBjoAP8jKaSWUbyHe9s7BCIrKWMVuGXGkH-NeBJyq3JGKT3qR6ad1-gC2E2wp=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Bagus, menunya enak enak dan bagus untuk spot foto 🤩🤩""","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF2cHY1bHc4chgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=hJv4afDaLPChseMPr9rzqAE&ei=hJv4afDaLPChseMPr9rzqAE&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","","·","Rp 50–75 rb"
"https://www.google.com/maps/place/Mister+Mayor+Cafe+%26+Resto/data=!4m7!3m6!1s0x2e3b777a6ed2e993:0x99e8943ff4780b4a!8m2!3d-2.9687595!4d104.7694254!16s%2Fg%2F11scfdp4bm!19sChIJk-nSbnp3Oy4RSgt49D-U6Jk?authuser=0&hl=id&rclk=1","Mister Mayor Cafe & Resto","4,9","(1.251)","Kafe","·","Jl. Dr. M. Isa No.2","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG21gKlejUFuNM-o7Xu9tXNWOnMEJWW6CYQJC8IThnG3v5Pvh-rI_xdPeM4G8u-CCj1J5dap5SSKs8EsjRGuXp1BELvxb14zoGggPMTWX7OEUST32T8P_RE4X9pVRESldUMCUE=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat nya cozy n makanannya yummy service mantapp 👍👍""","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFzY2ZkcDRibRgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=hJv4afDaLPChseMPr9rzqAE&ei=hJv4afDaLPChseMPr9rzqAE&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","","",""
"https://www.google.com/maps/place/KIAN+CAFE+%26+RESTO/data=!4m7!3m6!1s0x2e3b770005ada661:0xbe23203f74cc2cbe!8m2!3d-2.963339!4d104.7628503!16s%2Fg%2F11m6crqnmn!19sChIJYaatBQB3Oy4RvizMdD8gI74?authuser=0&hl=id&rclk=1","KIAN CAFE & RESTO","4,7","(233)","Restoran","·","Jl. Perwari No.14","Buka","· Tutup pukul 22.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAErRMhawgyv5U2um3gxgIx409CW1ApBXgy03la05umG0wHR2H7qDpCRcx0SE38f1Qc97MSkZlWqI-cib5SctfsCL2vHmOxaZPFcGibpoDH68sCtBole7MIKsGi5gcz1rYpJCk7DThBSKgs=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","cafe","","","","","","",""
"https://www.google.com/maps/place/Coventown/data=!4m7!3m6!1s0x2e3b7707c3538d4b:0x7c4af823dfc63ee7!8m2!3d-2.9557029!4d104.770058!16s%2Fg%2F11r_f95038!19sChIJS41Twwd3Oy4R5z7G3yP4Snw?authuser=0&hl=id&rclk=1","Coventown","4,9","(2.188)","Kafe","·","Jl. AKBP Cek Agus No.18","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGHEPqgnjhFLbyLOtUfSDfpBGAGz05gIiUJnYL5H516WS3youY4pUJJLB5Bnb4MJ6zi1MycvzlPI2E65CaJe2h2yF6xk6cqasAWj8sW-rpTTd1WJ5vHZQFCOiM93FGOV9Qn2qGm=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""tempatnyaaa cozyy bingitss, pelayanannya ramah, makanannya enak-enakkk""","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFyX2Y5NTAzOBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=hJv4afDaLPChseMPr9rzqAE&ei=hJv4afDaLPChseMPr9rzqAE&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","","·","$$"
