"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","UsdlK","Cw1rxd","R8c4Qb","Jn12ke src","ah5Ghc","W4Efsd 5","W4Efsd 6","W4Efsd 7","ah5Ghc 2"
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Foto+Kopi+%26+A.T.K+Gajah+Mada/data=!4m7!3m6!1s0x2e3b767be9540c55:0x5911f9f38462e96d!8m2!3d-2.9626859!4d104.759001!16s%2Fg%2F11b7b_qylb!19sChIJVQxU6Xt2Oy4RbelihPP5EVk?authuser=0&hl=id&rclk=1","Foto Kopi & A.T.K Gajah Mada","4,2","(43)","Toko Fotokopi","·","","·","2QP5+WJC, Jl. Mayor Salim Batubara","(0711) 363718","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Kemaren dilayani sama pak haji pemilik toko baik bener orang nya""","","","",""
"https://www.google.com/maps/place/MM+FOTOCOPY/data=!4m7!3m6!1s0x2e3b76735528da8f:0xf36ecc84ef1f9e41!8m2!3d-2.9762024!4d104.7578996!16s%2Fg%2F11ddwtpwdv!19sChIJj9ooVXN2Oy4RQZ4f74TMbvM?authuser=0&hl=id&rclk=1","MM FOTOCOPY","4,6","(51)","Toko Fotokopi","·","","·","2QF5+G56, Jl. Taman Siswa","0812-8113-4320","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""amanah sesuai kesepakatan selesainya, selain cepet jg hasilnya bagus.""","Segera tutup","· 21.00 · Buka Sel pukul 08.00","·",""
"https://www.google.com/maps/place/PRINT.CO+%28print,+fotocopy+%26+stationery%29+terdekat+%26+terpagi/data=!4m7!3m6!1s0x2e3b7737b60f578d:0x13a69eff2f663fdd!8m2!3d-2.9673797!4d104.763538!16s%2Fg%2F11gmcxh5ky!19sChIJjVcPtjd3Oy4R3T9mL_-ephM?authuser=0&hl=id&rclk=1","PRINT.CO (print, fotocopy & stationery) terdekat & terpagi","5,0","(100)","Toko Percetakan","·","","Jl. Bangau No.168","·","0895-1687-1000","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""recommended 🙏🏻 kalau mau ngeprint hi quality ke sini aja ✅""","Tutup","· Buka Sel pukul 06.00","",""
"https://www.google.com/maps/place/Percetakan+Cahya+Alya/data=!4m7!3m6!1s0x2e3b77003c8e9bd9:0xb764faebcaf200c2!8m2!3d-2.9650494!4d104.7681646!16s%2Fg%2F11ysqh9298!19sChIJ2ZuOPAB3Oy4RwgDyyuv6ZLc?authuser=0&hl=id&rclk=1","Percetakan Cahya Alya","5,0","(1)","Toko Percetakan","·","","2QM9+X7M, Lorong Tehnik","·","0882-7620-7900","","Rute","","","Buka","· Tutup pukul 00.00","",""
"https://www.google.com/maps/place/PikuPiku+Print+%26+Game/data=!4m7!3m6!1s0x2e3b767a2bc98581:0x1c71ca3fb110134d!8m2!3d-2.9643167!4d104.7581159!16s%2Fg%2F11b77dj0gk!19sChIJgYXJK3p2Oy4RTRMQsT_KcRw?authuser=0&hl=id&rclk=1","PikuPiku Print & Game","4,3","(23)","Warnet","·","","·","Depan SDN 156, Jl. Mayor Salim Batubara No.676","","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanannya bagus harga mainnya sesuai dan sangat nyaman""","Buka","· Tutup pukul 22.00","",""
"https://www.google.com/maps/place/MC+Studio+Foto+%26+Digital+Printing+skip+bendung/data=!4m7!3m6!1s0x2e3b767bf587ac39:0xd3223f34d575ae00!8m2!3d-2.9616267!4d104.7589104!16s%2Fg%2F11b7d3hpvl!19sChIJOayH9Xt2Oy4RAK511TQ_ItM?authuser=0&hl=id&rclk=1","MC Studio Foto & Digital Printing skip bendung","4,3","(82)","Studio Foto","·","","·","Jl. Mayor Salim Batubara No.14","0811-7435-567","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""yang paling penting sih harganya student friendly banget woii!""","","","",""
"https://www.google.com/maps/place/Yamcik+ATK/data=!4m7!3m6!1s0x2e3b770b0d7af569:0x64969d3ecd322a34!8m2!3d-2.9763393!4d104.7580675!16s%2Fg%2F11sjy_jx7r!19sChIJafV6DQt3Oy4RNCoyzT6dlmQ?authuser=0&hl=id&rclk=1","Yamcik ATK","","","Toko Fotokopi","·","","Jl. Taman Siswa No.173R, RT.08","·","0896-1846-1447","","Rute","","","Segera tutup","· 21.00 · Buka Sel pukul 07.00","",""
"https://www.google.com/maps/place/Foto+Copy+Berkat/data=!4m7!3m6!1s0x2e3b7670399885cb:0x5484038dd3811a79!8m2!3d-2.9683708!4d104.7625321!16s%2Fg%2F11b775j_s0!19sChIJy4WYOXB2Oy4ReRqB040DhFQ?authuser=0&hl=id&rclk=1","Foto Copy Berkat","4,0","(6)","Toko Fotokopi","·","","Jl. Bangau No.138 a","·","(0711) 317143","","Rute","","","Tutup","· Buka Sel pukul 07.00","",""
