"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","A1zNzb href","J8zHNe","bbPy1","doJOZc","W4Efsd 6","ah5Ghc 2","ah5Ghc 3"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Omare+Kopitiam/data=!4m7!3m6!1s0x2e3b77ed993e31af:0x84a34409646c7880!8m2!3d-2.9733394!4d104.758425!16s%2Fg%2F11x284cbmp!19sChIJrzE-me13Oy4RgHhsZAlEo4Q?authuser=0&hl=id&rclk=1","Omare Kopitiam","4,9","(400)","·","Rp 25–50 rb","Restoran","·","Jl. Mayor Ruslan No.1588","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEWWu0Q8nqnkVDaMPvzmkZQ37AyDC1nccguPbQRVQcela6Kp0Ua7ek6Anvb6wxBnxi54UX7cqZIL9ybe03X302sqx6hGcxCgN7sWTlL2o-I0dCtxsBX2yQRZ3NSdIZUc0YQ0dbHMrAf5g4Y=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya oke, makanannya enak, dan harga nya affordable 👍👍""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF4Mjg0Y2JtcBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=lpz4ab-KKIySseMPyrKVoQs&ei=lpz4ab-KKIySseMPyrKVoQs&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","","",""
"https://www.google.com/maps/place/Rumah+Makan+Khas+Palembang+STD+%28Sarinande+Tempo+Doeloe%29/data=!4m7!3m6!1s0x2e3b7679f00bdda7:0x2d119e818dc8bbd3!8m2!3d-2.9738032!4d104.757782!16s%2Fg%2F1hm45k1h4!19sChIJp90L8Hl2Oy4R07vIjYGeES0?authuser=0&hl=id&rclk=1","Rumah Makan Khas Palembang STD (Sarinande Tempo Doeloe)","4,5","(2.386)","·","$$","Restoran","·","·","Segera tutup","· 21.00 · Buka Sel pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGQIVSPPwhVl2kt_LoPHpXQFxrtKfq3gEmNIPgsRsiY6eVtdhAb5WKoToFhHx4dMKWL3bnG6OZS9iijzhOmk0uhnGAippcQbKEPBhqdQejF9PvZYDLercs2hyRc6SKGrswvA_ERag=w189-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","https://www.google.com/searchviewer/42?cvd=CLw_EiYKJOICITIfEhgiFtLX29IPEAoML2cvMWhtNDVrMWg0GAA6AwjwDQ%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=lpz4ab-KKIySseMPyrKVoQs&ei=lpz4ab-KKIySseMPyrKVoQs&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","","Jl. Mayor Ruslan No.966","Makanan","Palembangnya enak2, suasana nyaman n pelayanan bagus."""
"https://www.google.com/maps/place/Nasi+Bakar+PakJo/data=!4m7!3m6!1s0x2e3b77489f81d18f:0xdeca909648e52b86!8m2!3d-2.9758708!4d104.7700182!16s%2Fg%2F11j8jnmgcf!19sChIJj9GBn0h3Oy4RhivlSJaQyt4?authuser=0&hl=id&rclk=1","Nasi Bakar PakJo","4,8","(2.324)","·","Rp 25–50 rb","Restoran","·","·","Buka","· Tutup pukul 21.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEwh1zO9OgMHctubp5LQ9hkumer4Qrg16Dtw5QzeT-CQTn-p6Nh5F2hNsbYr-FMBfnqfSheLR0Gh3-YcpLG7TC2aNfxJgt7bhF5X7q751uVsDOt4JPrVTuy1tF1ymyOx6Wc47pg=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""enak banget, nasi liwetnya enak, ayam bakarnya juga enak bgt.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFqOGpubWdjZhgAOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=lpz4ab-KKIySseMPyrKVoQs&ei=lpz4ab-KKIySseMPyrKVoQs&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","","Jl. Veteran No.69A","",""
"https://www.google.com/maps/place/Pondok+makan+3+Putri+Budi+Joe+-+20+Ilir+II/data=!4m7!3m6!1s0x2e3b777c40fa208b:0x3c34567b0e6ba04f!8m2!3d-2.9587721!4d104.7596388!16s%2Fg%2F11j7z034jx!19sChIJiyD6QHx3Oy4RT6BrDntWNDw?authuser=0&hl=id&rclk=1","Pondok makan 3 Putri Budi Joe - 20 Ilir II","4,5","(55)","·","Rp 25–50 rb","Halal","·","006, Gg. Enim II No.1370","Segera tutup","· 21.00 · Buka Sel pukul 07.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFxDHMrc3ioZKnozyYf10BPq0obXc3XAq0dVT5yBsteJcpH6tx0Iz2P7gDSk0TpU54g4F2vkGNRHepPELtBvUW-fv6rivRcag7FwGB7MiaPR5Gn7PEeNY7wLxEFPKYU94aQBmk=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""semua","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFqN3owMzRqeBgAOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=lpz4ab-KKIySseMPyrKVoQs&ei=lpz4ab-KKIySseMPyrKVoQs&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","","","makanan","nya enak"""
"https://www.google.com/maps/place/Kedai+Mimieka/data=!4m7!3m6!1s0x2e3b77a0f0e77a95:0xcfa2c6995cad3647!8m2!3d-2.9677908!4d104.7622077!16s%2Fg%2F11sbgl1pwp!19sChIJlXrn8KB3Oy4RRzatXJnGos8?authuser=0&hl=id&rclk=1","Kedai Mimieka","4,6","(180)","","","Masakan Asia","·","Jl. Mayor Ruslan","Buka","· Tutup pukul 21.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHJDVQPkKIFR9GOlKyd_FIFzhDbUy5pyd-PVI2z66FtQDfu0M48f9R2izzhdsIyGupgJys5vLAim_dWKFsO9FRctvpOgEC7q2ydtSP-OMAm9oR7dtIh4JndpsaPzm-66ce9BqO9EPteTfcv=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Kids friendly banget, staffny ramah,","","","","","","makanan","jg enak dan sesuai harga."""
"https://www.google.com/maps/place/Caf%C3%A9+Delapan/data=!4m7!3m6!1s0x2e3b77a0841d3f5d:0x68c80705d8c19e03!8m2!3d-2.9709533!4d104.7646873!16s%2Fg%2F11f75z8t1y!19sChIJXT8dhKB3Oy4RA57B2AUHyGg?authuser=0&hl=id&rclk=1","Café Delapan","4,9","(24)","","","Restoran","·","THE ALTS HOTEL, Jl. Rajawali III No.8","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFdWktcf6feH0Q8Cai4Ujwe6gE1lsevll7gUrBFDtmQ7eTg9SwI244QYWIp9fSwTCWglGZn9l8njs-Anh2d6L7d_wC2Pf5V9R40VtppFcaWtWBxpLu3LlVOyTXXJlwNhzjcl_0Ivg=w122-h92-k-no","","Makan di tempat","","","","","","Bawa pulang",""
"https://www.google.com/maps/place/Makan+Place/data=!4m7!3m6!1s0x2e3b75e16200c7cf:0x7c225e64bcf1275a!8m2!3d-2.9822647!4d104.7463171!16s%2Fg%2F11fr3lyt0p!19sChIJz8cAYuF1Oy4RWifxvGReInw?authuser=0&hl=id&rclk=1","Makan Place","4,9","(40)","","","Restoran","·","No Jl. Radial No.1371","Segera tutup","· 21.00 · Buka Sel pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHb_Ef21-Ch69kIyPgEv_yhC6hHNkfHe-h26dVz8zs8Y3BaNLolAmihKl0czkNW1N2fr_Y1QaG3wxdZbT0GF3WCZHz1wUzxvHf7BtkDHe-0IMD87Qz6Yd8y8tQfpfZfHffiwco=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Sangat puas sekali makan di sini staf nya sangat Rama sekaliiii""","","","","","","",""
"https://www.google.com/maps/place/Rumah+Makan+Salsabila/data=!4m7!3m6!1s0x2e3b772cf460a031:0x990933ff7c5981d2!8m2!3d-2.9943738!4d104.7656959!16s%2Fg%2F11g07944sh!19sChIJMaBg9Cx3Oy4R0oFZfP8zCZk?authuser=0&hl=id&rclk=1","Rumah Makan Salsabila","4,5","(465)","·","Rp 1–25.000","Restoran","·","·","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH-CkFkMgIjqjNUoEvTsM4fFHLBbAqBwkf9VqlOFDbV3DYUP9tre3yvIupPc0_BSo1qI5oUJcExis6hyKsM7F65nxqXlj18DnYxQauMiZcanuASIKLI7Wex5pOtuleqMfuTYQWT5A=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","","","","","Jl. Mayjen HM Ryacudu","Makanan","Nya enak' enak
Dan harga Nya pas di kantong"""
