"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","W4Efsd 7","UsdlK","Cw1rxd","R8c4Qb","Jn12ke src","ah5Ghc","lcr4fd href","Cw1rxd 2","R8c4Qb 2"
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Mutiara+Indah+Mart/data=!4m7!3m6!1s0x2e3b7422b943be61:0x6cf2d7a2005cbaf2!8m2!3d-2.9390872!4d104.7422208!16s%2Fg%2F11cmtw_pqv!19sChIJYb5DuSJ0Oy4R8rpcAKLX8mw?authuser=0&hl=id&rclk=1","Mutiara Indah Mart","4,5","(478)","Minimarket","·","","·","Jl. R.A. Abusamah No.18","Buka","· Tutup pukul 21.30","·","(0711) 5710306","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Lengkap dan murah""","","",""
"https://www.google.com/maps/place/K3MART+Palembang+Icon/data=!4m7!3m6!1s0x2e3b7592bc538217:0xa3a61abc9705a4e2!8m2!3d-2.9787031!4d104.7452066!16s%2Fg%2F11xsmttf12!19sChIJF4JTvJJ1Oy4R4qQFl7wapqM?authuser=0&hl=id&rclk=1","K3MART Palembang Icon","5,0","(535)","Minimarket","·","","Jl. POM IX","Buka","· Tutup pukul 22.00","·","","0811-8114-1131","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""asikk banget belanja di k3mart p.icon super lengkapp bangettt""","https://www.k3mart.id/","","Rute"
"https://www.google.com/maps/place/K3MART+Palembang+Square/data=!4m7!3m6!1s0x2e3b7500222d59ed:0xc7dd6bc09f232c4a!8m2!3d-2.9761477!4d104.7420571!16s%2Fg%2F11yf7sm3x5!19sChIJ7VktIgB1Oy4RSiwjn8Br3cc?authuser=0&hl=id&rclk=1","K3MART Palembang Square","5,0","(624)","Minimarket","·","","Jl. Angkatan 45","Buka","· Tutup pukul 22.00","·","","0811-9008-3396","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""K3mart barang-barangnya unik2 dan enak2""","http://www.k3mart.id/","","Rute"
"https://www.google.com/maps/place/Minimarket+Kharisma/data=!4m7!3m6!1s0x2e3b75f13f8dcd6d:0x175f5e784842002f!8m2!3d-2.9900499!4d104.736074!16s%2Fg%2F1hm1sbc0w!19sChIJbc2NP_F1Oy4RLwBCSHheXxc?authuser=0&hl=id&rclk=1","Minimarket Kharisma","3,6","(17)","Minimarket","·","","·","2P5P+XCP, Jl. Jaksa Agung R. Soeprapto","Buka","· Tutup pukul 22.00","·","0821-7811-8558","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Harga bersaing dan lumayan lengkap serta bukanya jg lbh cepet""","","",""
"https://www.google.com/maps/place/Mini+Market+Kharisma/data=!4m7!3m6!1s0x2e3b7440b424e703:0x693071fcb7aab27f!8m2!3d-2.9427547!4d104.7275754!16s%2Fg%2F11hd5f04qk!19sChIJA-cktEB0Oy4Rf7Kqt_xxMGk?authuser=0&hl=id&rclk=1","Mini Market Kharisma","4,5","(33)","Toko bahan makanan","·","","·","3P4H+V2W, Jl. Kolonel H. Barlian","Buka","· Tutup pukul 22.00","·","0821-7811-8558","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","","",""
"https://www.google.com/maps/place/Mini+Market+Kharisma/data=!4m7!3m6!1s0x2e3b742921954a53:0xd114cb6c34c5d9b6!8m2!3d-2.950055!4d104.7475304!16s%2Fg%2F11fy5j489w!19sChIJU0qVISl0Oy4RttnFNGzLFNE?authuser=0&hl=id&rclk=1","Mini Market Kharisma","4,6","(84)","Toko bahan makanan","·","","·","Jl. Swadaya No.358 A","Buka","· Tutup pukul 00.00","·","0821-7811-8558","","Rute","","","","",""
"https://www.google.com/maps/place/Minimarket+Atha+Mart/data=!4m7!3m6!1s0x2e3b9e1bba4ec651:0x673a3a935eed94e!8m2!3d-3.0025404!4d104.7364556!16s%2Fg%2F11b7r1cxc7!19sChIJUcZOuhueOy4RTtnuNamjcwY?authuser=0&hl=id&rclk=1","Minimarket Atha Mart","4,7","(444)","Toko bahan makanan","·","","·","Jl. Sultan M. Mansyur","Segera tutup","· 21.00 · Buka Sel pukul 07.00","·","(0711) 445801","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","","",""
"https://www.google.com/maps/place/Indomaret+Jaya+Indah/data=!4m7!3m6!1s0x2e3b762088c74201:0xab91831b70ece11c!8m2!3d-2.9946186!4d104.7787328!16s%2Fg%2F1hm54z9g8!19sChIJAULHiCB2Oy4RHOHscBuDkas?authuser=0&hl=id&rclk=1","Indomaret Jaya Indah","4,4","(187)","Toko","·","","·","Jl. Jenderal Ahmad Yani No.173","Buka","· Tutup pukul 22.30","","","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Murah meriah""","","",""
