"hfpxzc href","qBF1Pd","W4Efsd","W4Efsd 2","W4Efsd 3","Cw1rxd","R8c4Qb"
"https://www.google.com/maps/place/Pemberhentian+Bus+Damri+KA-PBL/data=!4m7!3m6!1s0x2e3b9df6b51e7f81:0x571f6facc113669d!8m2!3d-3.0004263!4d104.7683488!16s%2Fg%2F11g01tr67t!19sChIJgX8etfadOy4RnWYTwaxvH1c?authuser=0&hl=id&rclk=1","Pemberhentian Bus Damri KA-PBL","Kantor Perusahaan","·","XQX9+R9J, Jl. Jenderal Ahmad Yani A No.9","","Rute"
"https://www.google.com/maps/place/Terminal+Alang+Alang+Lebar/data=!4m7!3m6!1s0x2e3b735e324f382d:0xc5b3c6007d46315e!8m2!3d-2.91657!4d104.68131!16s%2Fg%2F11b7lp1cn1!19sChIJLThPMl5zOy4RXjFGfQDGs8U?authuser=0&hl=id&rclk=1","Terminal Alang Alang Lebar","Terminal Bus","·","Jl. Bypass Alang-Alang Lebar","","Rute"
"https://www.google.com/maps/place/Halte+Terminal+Sako/data=!4m7!3m6!1s0x54510024acac6ed:0x7063c54512bf3566!8m2!3d-2.9313141!4d104.7904883!16s%2Fg%2F11b7hlgk6r!19sChIJ7cbKSgIQRQURZjW_EkXFY3A?authuser=0&hl=id&rclk=1","Halte Terminal Sako","Perhentian bus","·","Jl. Siaran","","Rute"
"https://www.google.com/maps/place/Palembang+Icon/data=!4m7!3m6!1s0x2e3b75e72d480dd1:0x309157feabb102eb!8m2!3d-2.9782601!4d104.7461447!16s%2Fg%2F11b76tx5cm!19sChIJ0Q1ILed1Oy4R6wKxq_5XkTA?authuser=0&hl=id&rclk=1","Palembang Icon","Perhentian bus","","","","Rute"
"https://www.google.com/maps/place/PO+Handoyo+Palembang/data=!4m7!3m6!1s0x2e3b75061d8f483f:0xd573fd995ced34a3!8m2!3d-2.9244532!4d104.7122013!16s%2Fg%2F11jr2j_j0p!19sChIJP0iPHQZ1Oy4RozTtXJn9c9U?authuser=0&hl=id&rclk=1","PO Handoyo Palembang","Agen Tiket Bus","·","·","","Rute"
"https://www.google.com/maps/place/PAHALA+KENCANA+PERWAKILAN+PALEMBANG/data=!4m7!3m6!1s0x2e3b73646c54858b:0xd6c220851c154054!8m2!3d-2.9136099!4d104.6892856!16s%2Fg%2F11cs4j6bc5!19sChIJi4VUbGRzOy4RVEAVHIUgwtY?authuser=0&hl=id&rclk=1","PAHALA KENCANA PERWAKILAN PALEMBANG","Agen Tiket Bus","·","·","","Situs Web"
"https://www.google.com/maps/place/Ramayana+Tiket+Bus+Malam/data=!4m7!3m6!1s0x2e3b760bf83be1af:0xa945df1372757a32!8m2!3d-2.980611!4d104.757809!16s%2Fg%2F1ptz6tyfs!19sChIJr-E7-At2Oy4RMnp1chPfRak?authuser=0&hl=id&rclk=1","Ramayana Tiket Bus Malam","Perhentian bus","·","Jl. Kolonel Atmo No.54","","Rute"
"https://www.google.com/maps/place/Bus+Trans+Musi/data=!4m7!3m6!1s0x2e3b735e235549b1:0xbaafc7610014450b!8m2!3d-2.9158698!4d104.6813782!16s%2Fg%2F11ddyd1zhq!19sChIJsUlVI15zOy4RC0UUAGHHr7o?authuser=0&hl=id&rclk=1","Bus Trans Musi","Perusahaan Bus","·","Jl. Bypass Alang-Alang Lebar No.40,01","","Rute"
"https://www.google.com/maps/place/Stasiun+DAMRI+Palembang/data=!4m7!3m6!1s0x2e3b747ac5bc6de5:0x3ae5d455d7004441!8m2!3d-2.9277312!4d104.7150908!16s%2Fg%2F11b7c9qlwl!19sChIJ5W28xXp0Oy4RQUQA11XU5To?authuser=0&hl=id&rclk=1","Stasiun DAMRI Palembang","Perusahaan Bus","·","Jl. Kolonel H. Barlian No.Km.9, RW.No.848","","Rute"
"https://www.google.com/maps/place/Royal+Shuttle+Palembang+Indah+Mall/data=!4m7!3m6!1s0x2e3b75e281abc243:0xd92936f8e59e1bfe!8m2!3d-2.9838315!4d104.7519283!16s%2Fg%2F11ykfrtw84!19sChIJQ8KrgeJ1Oy4R_hue5fg2Kdk?authuser=0&hl=id&rclk=1","Royal Shuttle Palembang Indah Mall","Perhentian bus","","","","Rute"
"https://www.google.com/maps/place/MAN+3+Palembang/data=!4m7!3m6!1s0x2e3b75b6a02bc097:0x7e12fd2dfad2e9c3!8m2!3d-2.96237!4d104.72437!16s%2Fg%2F11s7_4ldxr!19sChIJl8AroLZ1Oy4Rw-nS-i39En4?authuser=0&hl=id&rclk=1","MAN 3 Palembang","Perhentian bus","","","","Rute"
