"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","doJOZc","W4Efsd 6","ah5Ghc 2","ah5Ghc 3","A1zNzb href","J8zHNe","bbPy1","M4A5Cf","M4A5Cf 2"
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Sunday+Pizza/data=!4m7!3m6!1s0x2e3b7500635d7f8f:0x189dab8bca3e43b6!8m2!3d-2.9871835!4d104.7379882!16s%2Fg%2F11mzsbcf8j!19sChIJj39dYwB1Oy4RtkM-yournRg?authuser=0&hl=id&rclk=1","Sunday Pizza","4,8","(51)","·","Rp 25–50 rb","Pizza","·","Jl. Riau No.17","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGcXims2cBHKIdVWXVfI7vVuV5Y9sQv863go942DHRLXK5ALaNAuMcOOJ-bTgfF6RHdd4LIibfSzf7ZV4lqZZGXDmb_UJczNu-gF5K73qyxafqGsBZHsVFiHPoXQ6A_sqMsh43dXUWRbUHk=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pizzanya enak banget, tempatnya nyaman, parkirnya luas 🫶🏻🫶🏻🫶🏻""","","","","","","","","",""
"https://www.google.com/maps/place/Pizza+Hut+Restoran/data=!4m7!3m6!1s0x2e3b7597761e72c3:0x6f314b9f658747d7!8m2!3d-2.9644273!4d104.7449338!16s%2Fg%2F11l_g9kcw3!19sChIJw3Iedpd1Oy4R10eHZZ9LMW8?authuser=0&hl=id&rclk=1","Pizza Hut Restoran","4,7","(3.205)","·","$$","Pizza","·","·","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFf2a7b_uL2MBgBwGUm4fbTq_BIOkLMLL4TdZI4sEaJ1YTt7xJKHRYMzpKp1XzvaubsTcCm9IKjcPFh15fmL_rna6d5ftj91-D15Z8A2L2ZZRnW-ksB9KEhW7MxOy_fGPZ16e4=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","","Jl. Jend. Sudirman No.KM 3","Pizza","nya enak mantap, pelayanannya ramah, pokoknya mantap banget 🥰""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFsX2c5a2N3MxgAOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=r534aa3yKp-RseMP96e0sAo&ei=r534aa3yKp-RseMP96e0sAo&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/Pizza+Hut+Restoran/data=!4m7!3m6!1s0x2e3b7538abf27957:0x20e4de0e435b6f4e!8m2!3d-2.9825537!4d104.7240692!16s%2Fg%2F11h5667npg!19sChIJV3nyqzh1Oy4RTm9bQw7e5CA?authuser=0&hl=id&rclk=1","Pizza Hut Restoran","4,7","(2.234)","·","$$","Pizza","·","·","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHPmWso99moFqs7-QriMnQQ-7Dgy07PELVhsRQ36NdbvbAulxIf0W9MjJVZsMX3292abc0SX2ofAl6uPr7DFbqkXTOL-MpaFcrOmhTq7qBnU6YGKpzWuSjIRBlzlYkKlADmdx3NwA=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","","Jl. Demang Lebar Daun No.111","Pizza",", cheese roll, chicken wings selalu jadi favourite keluarga.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFoNTY2N25wZxgAOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=r534aa3yKp-RseMP96e0sAo&ei=r534aa3yKp-RseMP96e0sAo&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/Pizza+Hut+Delivery+-+PHD+Indonesia/data=!4m7!3m6!1s0x2e3b74371f1f1805:0xae37d15ad81ab86f!8m2!3d-2.9497302!4d104.7327588!16s%2Fg%2F11f50t2p1q!19sChIJBRgfHzd0Oy4Rb7ga2FrRN64?authuser=0&hl=id&rclk=1","Pizza Hut Delivery - PHD Indonesia","4,6","(1.531)","·","$$","Stan Pizza","·","·","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEF47Z2EM1URvcHB4cet0UPNH0HM48eKcQ_87dtOH4jQo_G67WxUKEqNIDGoctg7vcEhSMbH2-bJooVwWFMMnVFNlEjUF9IfIzRNAUcHqoULR3OiZFvtFPggy6BTh6fo7wbMBsH=w109-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Sekarang rasa & tekstur nya sama dengan","","3P2M+32M, Jalan Kol. H. Burlian R01 - R02","pizza","hut sudirman.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFmNTB0MnAxcRgAOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=r534aa3yKp-RseMP96e0sAo&ei=r534aa3yKp-RseMP96e0sAo&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/Pizza+Hut+Delivery+-+PHD+Indonesia/data=!4m7!3m6!1s0x2e3b9d8ab376bc33:0x2c612ae2fd14442e!8m2!3d-2.9962121!4d104.775517!16s%2Fg%2F11f5psdg49!19sChIJM7x2s4qdOy4RLkQU_eIqYSw?authuser=0&hl=id&rclk=1","Pizza Hut Delivery - PHD Indonesia","4,7","(966)","·","$$","Stan Pizza","·","·","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFashoVnDLk3gpRAsy45EAS8zmslaU7M_OsaqDwEh7-zQMXjTzUSlP-UoZLDjAMOx2ZyIGODB_sxBpY-22hTowMn6kEQMGDZZAgputIKFY6l7iOI8Dun6drraXPvMY3KkknLKM=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","","Jl. Jenderal Ahmad Yani No.435 & 436","pizza","nya enak , tp pelayannanya buruk ga ramah jutek ,,""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFmNXBzZGc0ORgAOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=r534aa3yKp-RseMP96e0sAo&ei=r534aa3yKp-RseMP96e0sAo&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/Domino%27s+Pizza/data=!4m7!3m6!1s0x2e3b77915d7568f1:0xe9eea5568c6d696d!8m2!3d-2.9918146!4d104.7843623!16s%2Fg%2F11p5t08skt!19sChIJ8Wh1XZF3Oy4RbWltjFal7uk?authuser=0&hl=id&rclk=1","Domino's Pizza","4,6","(353)","·","$$","Pizza","·","·","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFEP-CBu0rjvQNeMiAmD5vJK4G-s0l7oIabZNc6TXwyoiuFbQNnKP7Zuxid_InsRotfQmeetvi-TIdlz3oQZsH7t5npZmp7QqOXoTWJJshL29SaG2c-jqIA881-u0YnxnJWP90u=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pesan","","Ruko Bumi Patra Sriwijaya Blok A01/1, Jl. Jenderal Ahmad Yani No.001, RT.031","pizza","bolognese dan trufflenya rekomen banget..""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFwNXQwOHNrdBgAOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=r534aa3yKp-RseMP96e0sAo&ei=r534aa3yKp-RseMP96e0sAo&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/La+Vita+Bella/data=!4m7!3m6!1s0x2e3b77c1397683ab:0xfc34751a4a550c23!8m2!3d-2.9691687!4d104.7694491!16s%2Fg%2F11l6xnddhs!19sChIJq4N2OcF3Oy4RIwxVShp1NPw?authuser=0&hl=id&rclk=1","La Vita Bella","4,9","(1.663)","","","Sesuai untuk keluarga","·","Jl. Dr. M. Isa No.1051, RT.028/RW.006","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEafu_JA2vqeAmDYqL9WQXwbiRwI9QZkKoF8kPOf1jCeIGm8LRz2-RmqTqz2sn7l6dO9lwXfSGhANa98pwgQiYpifzy5QWemtSVo_OulmkczAs6T6vuOz2o-rW-gwhLOBdNC1zc=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""✨BEST","","","PIZZA","IN TOWN👏🏻✨

Kejunya beneran berasa karena pakai 3 jenis keju;""","","","","",""
"https://www.google.com/maps/place/Pizza+Hut+Delivery+-+PHD+Indonesia/data=!4m7!3m6!1s0x2e3b7758e89e1b13:0x7937206a215f2a38!8m2!3d-2.96978!4d104.7548069!16s%2Fg%2F11gvfdk0l9!19sChIJExue6Fh3Oy4ROCpfIWogN3k?authuser=0&hl=id&rclk=1","Pizza Hut Delivery - PHD Indonesia","4,7","(692)","·","$$","Stan Pizza","·","·","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFBXfltgN4hcg71n1GOpPyMcOlptVaGMtV5Bnn5wJPfZSkRahANGEvZmXv9hLnibbwT7FzWUp22arQSH8EHBEM43K8heZ3uZtQODKJGxZRthTcQv-ULsVqH9k0XwrpVCXwCjoIHZQ=w199-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""wow keren, kalo beli","","Jl. Mayor Salim Batubara No.2580","pizza","di sini aja man temann""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFndmZkazBsORgAOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=r534aa3yKp-RseMP96e0sAo&ei=r534aa3yKp-RseMP96e0sAo&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
