"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","FQ2IWe src","Jn12ke src","ah5Ghc","W4Efsd 7","ah5Ghc 2","ah5Ghc 3"
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/PERCETAKAN+INDO+MEDIA/data=!4m7!3m6!1s0x2e3b9df26317e1ad:0xf8617b752e5e9f2b!8m2!3d-3.0044977!4d104.7723269!16s%2Fg%2F11b6dqdcnb!19sChIJreEXY_KdOy4RK59eLnV7Yfg?authuser=0&hl=id&rclk=1","PERCETAKAN INDO MEDIA","4,6","(135)","Layanan cetak digital","·","","·","Jl. Gub H Bastari No.151","Buka 24 jam","·","0823-7660-8934","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHK74WPe4maPDayey61E4YC8TosB4QjgHBGv6rYAqdgK8Ux--QsgU8lFX43idLi2hKw4a_vue1RFfri0A8asi7QdW-aLI4uVF389sfY-WiPqvYkdFirOHNNnVY4nvSHZgxyAJE=w92-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Hasil cetakan souvenir custom sangat bagus dan sesuai dengan harapan""","","",""
"https://www.google.com/maps/place/Total+Print+Palembang/data=!4m7!3m6!1s0x2e3b75d29c6ed807:0x3773bd8bbcf0bfb4!8m2!3d-2.9595549!4d104.7399547!16s%2Fg%2F11btrr0zyv!19sChIJB9hunNJ1Oy4RtL_wvIu9czc?authuser=0&hl=id&rclk=1","Total Print Palembang","4,4","(279)","Layanan cetak digital","·","","·","Jl. Jend. Basuki Rachmat No.5676","Tutup","·","0822-7788-0599","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH25CgyTzwHnWjq42YDPIYv2Y04pSvlels7AHD0fVmLGx5p2M2OE9s4dFtXA2b6Pw8TU6vaK1w_ORgf_s5Sj78hk24I8i5Z2XVav9RsIzkgY1mybn3PBVFRJIMS9jOa1pBBFzns=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Kualitas","· Buka Sel pukul 08.00","cetak","tidak diragukan lagi."""
"https://www.google.com/maps/place/UC+Print+Percetakan+%26+Digital+Printing+Palembang/data=!4m7!3m6!1s0x2e3b760f34345a6b:0xdaceb1530bd334df!8m2!3d-2.9847252!4d104.7582622!16s%2Fg%2F11c6pmm1bf!19sChIJa1o0NA92Oy4R3zTTC1Oxzto?authuser=0&hl=id&rclk=1","UC Print Percetakan & Digital Printing Palembang","4,6","(95)","Layanan cetak digital","·","","·","Jl. Akbp H. Moh. Amin No.455","Tutup","·","0857-6897-8764","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGlhobJUfRUBkcFO_ZpSpWg9bqXJMfPK--IeMn2SufaFT5a55P8RTiX75L67Dt5rvViEf2eYNnReTTLXXqB5zG6daJ92OSRvxGn-Sity2s7zT4I_VznzZhpsKCD2-4frFShr0U=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Recomendasi percetakan murah bagus, tidak diragukan""","· Buka Sel pukul 08.00","",""
"https://www.google.com/maps/place/F18+Digital+Printing/data=!4m7!3m6!1s0x2e3b75dd381d3403:0x2e9fe95273e284e8!8m2!3d-2.9752472!4d104.7413005!16s%2Fg%2F11h1f50k7!19sChIJAzQdON11Oy4R6ITic1Lpny4?authuser=0&hl=id&rclk=1","F18 Digital Printing","4,3","(533)","Printer Digital","·","","·","Jl. Pimpong No.18 Blok F","Segera tutup","·","0811-7857-700","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHyOxOBmh5KoWjRkYyDxfiynYgk8sJzc5PpbJhfozlwBMe_jkPedTWj77xlJ5trOzbkzIKbcE0gwBIKtwd5501ROX0QiGObs1s7sdMg4Bf7Pkc2Zjc9XdjfGPJKNVj_1J2AiGNw=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Harganya murah,hasil","· 21.00 · Buka Sel pukul 08.00","printing","nya bagus"""
"https://www.google.com/maps/place/Bandar+Cetak+Digital+Printing+Palembang/data=!4m7!3m6!1s0x2e3b779ae49db673:0xeae5eadf1e62f5e6!8m2!3d-2.9535285!4d104.7546994!16s%2Fg%2F11f7mc_6q7!19sChIJc7ad5Jp3Oy4R5vViHt_q5eo?authuser=0&hl=id&rclk=1","Bandar Cetak Digital Printing Palembang","4,7","(88)","Layanan cetak digital","·","","Sekip Ujung, Jl. Ampibi No.2306","·","Segera tutup","","0852-1234-2014","https://lh3.googleusercontent.com/gps-cs-s/APNQkAF12ufB7whrc5kFfsHo4DZNeshbvAjkaTZIMCdT_E3BTHyQObS4vu0mXt_4bo1kTZ9PC2NQXpKlpGtwZcspw4rUWaGvQYbnRP3ggov31Jw0HsYN8QFyOn947VhH5EwrDZUiS_RR=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Terimakasih sudah dibantu cetakan kilatnya.. Mantap 🥰""","· 21.00 · Buka Sel pukul 09.00","",""
"https://www.google.com/maps/place/XPRINT+LARGE+FORMAT+DIGITAL+PRINTING+PALEMBANG/data=!4m7!3m6!1s0x2e3b75fac8344579:0x342f30bcf165c74e!8m2!3d-2.9886698!4d104.7385474!16s%2Fg%2F1hhjlhfrp!19sChIJeUU0yPp1Oy4RTsdl8bwwLzQ?authuser=0&hl=id&rclk=1","XPRINT LARGE FORMAT DIGITAL PRINTING PALEMBANG","4,4","(218)","Toko Percetakan","·","","·","Ruko Mandiri University, Jl. Jaksa Agung R. Soeprapto No.38","Tutup","·","0811-788-875","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEUzn4cCxBZW3pN1r5EomtKc5jJR-nc3Fe3MiOTqHfQtUsPDjDgIthceQP_5jqObiQZYo7-2Vjz8g7zBq-PKwyEfDNcPMQ2LKbKIEeGie8TwuBCP_GoyfT4ok8-xO4kOKZ_Fo4w=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Solusi","· Buka Sel pukul 08.00","cetak","semua kalangan dengan harga terjangkau kualitas terjamin"""
"https://www.google.com/maps/place/Ecoprint+Digital+Printing+Palembang/data=!4m7!3m6!1s0x2e3b767715306e6b:0x6e416d06afa8fa99!8m2!3d-2.9680118!4d104.7564099!16s%2Fg%2F1hm4b83gw!19sChIJa24wFXd2Oy4RmfqorwZtQW4?authuser=0&hl=id&rclk=1","Ecoprint Digital Printing Palembang","4,8","(235)","Percetakan Komersial","·","","Jl. Mayor Salim Batubara No.2637 2638","·","Tutup","","(0711) 372025","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEKoCU8qmakx91JcwbZLgYzErgF9tosDfjXt8bzJWHamjs-RO4n8LnXPDEIDpJa61dYjzyCNfvbz5D8uRG2i9gTdd5HGURPgqJK8gAQdeltw9CbhY2bl2Hr3ru0IgBUani2oAmt=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Percetakan Ecoprint Digital","· Buka Sel pukul 08.00","Printing","Palembang Good Quality 👍👍"""
"https://www.google.com/maps/place/CTMEDIA,+Percetakan,+Digital+Printing,+Cutting+Sticker+dan+Advertising/data=!4m7!3m6!1s0x2e3b761d93983a2d:0x34acde5f58ac6b6e!8m2!3d-2.9935997!4d104.7870291!16s%2Fg%2F11gh46qf1t!19sChIJLTqYkx12Oy4RbmusWF_erDQ?authuser=0&hl=id&rclk=1","CTMEDIA, Percetakan, Digital Printing, Cutting Sticker dan Advertising","5,0","(156)","Toko Percetakan","·","","Jl. Yudha Muka No.856, RT.016/RW.005","·","Buka 24 jam","","0821-7817-7819","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHkVDoIO9Bmd7KDgsLPaud9MjP2IhK8pw7LA2CKC0rzIBNut9Qk0EdwUNwNrnf9_01Paj0yID62v_m_ZbG95FU58XtYzH1DEgKQjDtx5sO2DQii8FpKFQOsrQmRcoJWjnKxrnw=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Rekomen banget","","cetak","banner dinVY media cepat selesai hasilnya bagus"""
