"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","FQ2IWe src","Jn12ke src","ah5Ghc","A1zNzb href","J8zHNe","bbPy1","doJOZc","ah5Ghc 2","ah5Ghc 3"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/RM+Pagi+Sore+Basuki+Rahmat/data=!4m7!3m6!1s0x2e3b742cca3761f7:0xff007eba9a7056dd!8m2!3d-2.956622!4d104.7446143!16s%2Fg%2F1ptzy26ch!19sChIJ92E3yix0Oy4R3VZwmrp-AP8?authuser=0&hl=id&rclk=1","RM Pagi Sore Basuki Rahmat","4,5","(3.129)","·","$$","Padang","·","Jl. Jend. Basuki Rachmat No.43","Restoran dengan ruang AC dan non-AC","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHhPi95KN1h8DsmOiLw_O9rSkY1nbGjjonov2iRWwifFXVgXXDGVWheFYLQQGmz3wKv-g3mu4R8BpBnqlNb305gSCNd49z5jvYfWgoS3MkFwpTgbejCZOqzP8WPzdW0rbppVmxz=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Rendangnya enak ,pedasnya mantap ,itu aja soalnya cuman suka rendang""","https://www.google.com/searchviewer/42?cvd=CLw_EiYKJOICITIfEhgiFtLX29IPEAoML2cvMXB0enkyNmNoGAE6AwjwDQ%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=mJ74aeyQB4mcseMPq_rpiQs&ei=mJ74aeyQB4mcseMPq_rpiQs&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","",""
"https://www.google.com/maps/place/Pagi+Sore+RSMH/data=!4m7!3m6!1s0x2e3b75d9ded9b245:0xf9b95b8ba8166f82!8m2!3d-2.966776!4d104.7482239!16s%2Fg%2F11c6g2zz31!19sChIJRbLZ3tl1Oy4Rgm8WqItbufk?authuser=0&hl=id&rclk=1","Pagi Sore RSMH","4,6","(4.029)","·","$$","Padang","·","·","Jl. Jend. Sudirman No.3008","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH5mAaa6rldVO_tnBocF3gYVX6Oxphz1sMtkuru2EfiJCPfz7FEQOlARIvG_gyKNe0S95AbpTAxWDzyLzJclzHU1wR9BNVkTaGVza7fFspesXcdWbHGTQhqhWDe4ChXvlnDp00LEg=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""​Menu Nasi Rendangnya tetap konsisten dengan kualitas rasa yang autentik.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFjNmcyenozMRgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=mJ74aeyQB4mcseMPq_rpiQs&ei=mJ74aeyQB4mcseMPq_rpiQs&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","",""
"https://www.google.com/maps/place/Rumah+Makan+Masakan+Padang+Murah+Meriah/data=!4m7!3m6!1s0x2e3b75e0f5cf8d2b:0xb50fd2e52edce038!8m2!3d-2.9843074!4d104.7442587!16s%2Fg%2F1hm1vg2_1!19sChIJK43P9eB1Oy4ROODcLuXSD7U?authuser=0&hl=id&rclk=1","Rumah Makan Masakan Padang Murah Meriah","4,4","(679)","·","Rp 25–50 rb","Padang","·","Jl. Kapten A. Rivai No.220","","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEwO7FQX5ctOTJwBQhxUumr2-d1IAzH_hlQZUtmlFaH6SvQFcgf_9QHXK__eAtmh1qJdbw01Xm-XM0MofNpowyg6hr0-JEMjRdXn4pFTnJX8inhB_MSDK5g2GqE1hv9oFnnkFwDFQ=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","https://www.google.com/searchviewer/42?cvd=CLw_EiYKJOICITIfEhgiFtLX29IPEAoML2cvMWhtMXZnMl8xGAE6AwjwDQ%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=mJ74aeyQB4mcseMPq_rpiQs&ei=mJ74aeyQB4mcseMPq_rpiQs&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","Rumah makan Padang","yang enak, dan beneran murah 😁👌🏻"""
"https://www.google.com/maps/place/Restoran+Sederhana+Sudirman-Cinde/data=!4m7!3m6!1s0x2e3b7443d3afbc1f:0x218c2f308656fd5!8m2!3d-2.9817447!4d104.7565866!16s%2Fg%2F1hm3_wssp!19sChIJH7yv00N0Oy4R1W9lCPPCGAI?authuser=0&hl=id&rclk=1","Restoran Sederhana Sudirman-Cinde","4,6","(2.114)","·","Rp 25–50 rb","Padang","·","·","Jl. Jend. Sudirman No.19-22","Buka","· Tutup pukul 21.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEt9_N0L3FWaXca67cBNTNN5p955bbVxp-_krBgijWaYf2iRT5o6QbESwr9WadzcV5pvVUIUAisUOO9P0qdY0ZUVpq5L9MogX5XSy-lNpOLjbjaWvlbUaJ4B2fH-RHPBV7t-MuB=w204-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pesan nasi rendang 5, harga @ 35.000.""","https://www.google.com/searchviewer/42?cvd=CLw_EiYKJOICITIfEhgiFtLX29IPEAoML2cvMWhtM193c3NwGAE6AwjwDQ%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=mJ74aeyQB4mcseMPq_rpiQs&ei=mJ74aeyQB4mcseMPq_rpiQs&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","",""
"https://www.google.com/maps/place/Pagi+Sore+%28depan+RS+Charitas%29/data=!4m7!3m6!1s0x2e3b760ad0840347:0x2e0fefb4ea649b4a!8m2!3d-2.9769892!4d104.7543316!16s%2Fg%2F11b6b75zms!19sChIJRwOE0Ap2Oy4RSptk6rTvDy4?authuser=0&hl=id&rclk=1","Pagi Sore (depan RS Charitas)","4,6","(3.508)","·","$$","Padang","·","Jl. Jend. Sudirman No.96D","","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFSlEL4qEyYqG4KoBaa9uQB809lQMhLdqni5RNwrw1UxPeBREXTMWJ3-2vVmxJ9QuNj6tY-zw2FVD_Dh5nGcsjxiJN5n08gwCBPOi_0bqgR2R_VHXuS-cdPdQxVulQBz_hlwDsB=w115-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Nasi rames nya juga disiram 3 kuah, kuah gulai, kuah opor, kuah rendang.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFiNmI3NXptcxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=mJ74aeyQB4mcseMPq_rpiQs&ei=mJ74aeyQB4mcseMPq_rpiQs&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","",""
"https://www.google.com/maps/place/Restoran+Sederhana+Basuki+Rahmat,+Simpang+Polda+Palembang/data=!4m7!3m6!1s0x2e3b75cda2f36edf:0x68a447822ff5cf24!8m2!3d-2.9597009!4d104.7389768!16s%2Fg%2F1hm506yqq!19sChIJ327zos11Oy4RJM_1L4JHpGg?authuser=0&hl=id&rclk=1","Restoran Sederhana Basuki Rahmat, Simpang Polda Palembang","4,6","(2.085)","·","Rp 25–50 rb","Padang","·","Jl. Jend. Basuki Rachmat No.1","","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGtwIBvbwIx194McNOfp_Ldc3p_5kQEIBYOoLQuvW12GAG1sIIkIXT5r7_ErdezXETj8FTRAJsxqoRiRYrHDcb33o2f-eyyGu-D13Q5BCM6So3LOUvu_D-JnbWpWD4rpOuJgsygDA=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","https://www.google.com/searchviewer/42?cvd=CLw_EiYKJOICITIfEhgiFtLX29IPEAoML2cvMWhtNTA2eXFxGAE6AwjwDQ%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=mJ74aeyQB4mcseMPq_rpiQs&ei=mJ74aeyQB4mcseMPq_rpiQs&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","Rumah Makan Padang","terenak di Palembang dengan menu sangat bervariatif."""
"https://www.google.com/maps/place/RUMAH+MAKAN+PAGI+SORE+PALEMBANG/data=!4m7!3m6!1s0x2e3b9df4481eb88b:0x2e8fd45d35b0facd!8m2!3d-3.000806!4d104.7676883!16s%2Fg%2F1ptyfvchb!19sChIJi7geSPSdOy4RzfqwNV3Ujy4?authuser=0&hl=id&rclk=1","RUMAH MAKAN PAGI SORE PALEMBANG","4,5","(1.788)","·","Rp 25–50 rb","Padang","·","Jl. Jenderal Ahmad Yani No.285B","Resto santai yang menyajikan menu lokal","Buka","· Tutup pukul 21.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEs2JyRnYFUs9Sy8WhlCnGfbwgH9Y1d-qW4gYMDGSv5kbT4C08hDYk2ywMODioBV_j22DiTpRHNnTg5FZP85LZUkStNAARTf-CxIRSj5hm4vzs8sx_UabRQdI04GiRjdC12TIygow=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanannya enak terutama rendang dagingnya""","https://www.google.com/searchviewer/42?cvd=CLw_EiYKJOICITIfEhgiFtLX29IPEAoML2cvMXB0eWZ2Y2hiGAE6AwjwDQ%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=mJ74aeyQB4mcseMPq_rpiQs&ei=mJ74aeyQB4mcseMPq_rpiQs&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","",""
"https://www.google.com/maps/place/Rumah+Makan+Padang+Raya/data=!4m7!3m6!1s0x2e3b75f235590f4b:0xb31e165aecb77a4!8m2!3d-2.9888386!4d104.7331244!16s%2Fg%2F1hm5d8pgp!19sChIJSw9ZNfJ1Oy4RpHfLrmXhMQs?authuser=0&hl=id&rclk=1","Rumah Makan Padang Raya","4,4","(251)","·","Rp 1–25.000","Padang","·","·","Jl. Srijaya Negara No.151","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEqFJ1yVst7bpy9cBDo-HVMVGAXJil0Yls4qOwzdG0pUuVetayFsZEbCvTgg0TWKlhpu7Hfiyf0Tw6rxtl26x_949U6iXwG_W1OA4k4Y5yeowVoIrulAeqP3u_dBGjq68xghljeKA=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""enakk banget nasi bungkus ayam goreng dan ayam bakarnya""","https://www.google.com/searchviewer/42?cvd=CLw_EiYKJOICITIfEhgiFtLX29IPEAoML2cvMWhtNWQ4cGdwGAE6AwjwDQ%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=mJ74aeyQB4mcseMPq_rpiQs&ei=mJ74aeyQB4mcseMPq_rpiQs&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","",""
