"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","doJOZc","W4Efsd 6","A1zNzb href","J8zHNe","bbPy1"
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/River+Side+Restaurant/data=!4m7!3m6!1s0x2e3b7603cb4c2215:0xdfb7812f97db1ecd!8m2!3d-2.9930556!4d104.7584519!16s%2Fg%2F1pzpqx7yd!19sChIJFSJMywN2Oy4RzR7bly-Bt98?authuser=0&hl=id&rclk=1","River Side Restaurant","4,4","(8.778)","·","$$","Hidangan Laut","·","Komplek Benteng Kuto Besar Jl. Rumah Bari","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGWIO_8V24lunPZ0_Or9nP3PcywXnhNUlm_xNcTnypvCjWmWtjoRCyg_oHIfo08VrnBY2Jvtzst8W7tNaoAlJatq_M3NCN_AJH8GLS5PB4pci5oisfrD37QgDXVyW0OkKkGklzk=w138-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makananya enak, suasana dan pemandangannya bagus, spot fotonya juga keren""","","","","",""
"https://www.google.com/maps/place/The+Forest+Cafe+%26+Resto+Palembang/data=!4m7!3m6!1s0x2e3b77c0f1f57f99:0x94ff5a9f95a44c21!8m2!3d-2.9478378!4d104.7656688!16s%2Fg%2F11lm172m8x!19sChIJmX_18cB3Oy4RIUyklZ9a_5Q?authuser=0&hl=id&rclk=1","The Forest Cafe & Resto Palembang","4,4","(2.023)","·","$$","Restoran","·","Jl. Seduduk Putih No.mor 138","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGhcKoEGlqAazXWP-ruS91Wz7ZQp2IDMTXJqhS0Hn0S_qT1Q3yVJIgnEFRJBcUjGlGVjATRQQyjliLNWDWR_fG3oiEjZcvCa-CS1IejG9-Yu0UPWaeZ9dUjCZmekzIifRxGpm725A=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Live music nya juga asik, menu makanannya bervariatif, rasanya enak.""","","","","",""
"https://www.google.com/maps/place/RM+Sri+Melayu/data=!4m7!3m6!1s0x2e3b75c0abdfd871:0x845907cdc3a2f76!8m2!3d-2.9720161!4d104.7289972!16s%2Fg%2F1hm3705sx!19sChIJcdjfq8B1Oy4Rdi863HyQRQg?authuser=0&hl=id&rclk=1","RM Sri Melayu","4,4","(4.720)","·","$$","Indonesia","·","·","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEkySdq2VjBz-tZeol1bNUndexpc4GSxZVMNmp4qPJizVtuWdBwR_UfVP6o1TdOE9c1Z9-CQXN_2mQO6hzFL-KSQ8Cwq_p_8W4CwoWLQ4bfq-hZfysyqRRS7PIwUEYBv3XokQd8=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanan enak, menu beragam, ada live music nuansa Melayu saat makan.""","","Jl. Demang Lebar Daun No.1","","",""
"https://www.google.com/maps/place/La+Vita+Bella/data=!4m7!3m6!1s0x2e3b77c1397683ab:0xfc34751a4a550c23!8m2!3d-2.9691687!4d104.7694491!16s%2Fg%2F11l6xnddhs!19sChIJq4N2OcF3Oy4RIwxVShp1NPw?authuser=0&hl=id&rclk=1","La Vita Bella","4,9","(1.663)","","","Sesuai untuk keluarga","·","Jl. Dr. M. Isa No.1051, RT.028/RW.006","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFxtkgcl0RJecDrTZdNXx9ySttvZX2BAqlUsyp3VtzSetLWNCVbNRtmulXn4xJjWtJ5OUA2cxUWbLU91R4UDeZQphDxyOfhSi_Qk9EQ173OylV05iR2LT63cfd2LU35eQ2mAQDspn02610=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""ambience enak, service nya oke, makanan enak worth the price""","","","","",""
"https://www.google.com/maps/place/Three+Uncles+Palembang/data=!4m7!3m6!1s0x2e3b77f56687a7cb:0x660cae2c13659b4!8m2!3d-2.9743076!4d104.7645731!16s%2Fg%2F11rzp8zh11!19sChIJy6eHZvV3Oy4RtFk2weLKYAY?authuser=0&hl=id&rclk=1","Three Uncles Palembang","4,9","(1.004)","·","$$","Restoran","·","·","Segera tutup","· 21.00 · Buka Sel pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGcurUeVk6-3nPZR68uKW0_BqorTGP25FQfWtqvmppF2mCD4FnEmL5Iu7ySY8tpMXfZLnxTXp0eT1UQviPZXLqjaO9lRjy6_OH9hYZPgeN6G9pbSvwNHKNAKHuOhzVaaSjSFiM=w138-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan baik, makanan enak, tempat bersih & dingin, ada menu anak-anak""","","Jl. Rajawali Ruko No.3, RT.016/RW.05","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFyenA4emgxMRgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=OZ74ad-VPPDuseMPkN_f2Q4&ei=OZ74ad-VPPDuseMPkN_f2Q4&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Mister+Mayor+Cafe+%26+Resto/data=!4m7!3m6!1s0x2e3b777a6ed2e993:0x99e8943ff4780b4a!8m2!3d-2.9687595!4d104.7694254!16s%2Fg%2F11scfdp4bm!19sChIJk-nSbnp3Oy4RSgt49D-U6Jk?authuser=0&hl=id&rclk=1","Mister Mayor Cafe & Resto","4,9","(1.251)","","","Sesuai untuk keluarga","·","Jl. Dr. M. Isa No.2","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG21gKlejUFuNM-o7Xu9tXNWOnMEJWW6CYQJC8IThnG3v5Pvh-rI_xdPeM4G8u-CCj1J5dap5SSKs8EsjRGuXp1BELvxb14zoGggPMTWX7OEUST32T8P_RE4X9pVRESldUMCUE=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Menu yang recommended truffle pasta dan exploding tiramisu.""","","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFzY2ZkcDRibRgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=OZ74ad-VPPDuseMPkN_f2Q4&ei=OZ74ad-VPPDuseMPkN_f2Q4&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/RameNations+Palembang/data=!4m7!3m6!1s0x2e3b7611f2e8dbdd:0xb1ee61e62c8b479f!8m2!3d-2.9760473!4d104.7676062!16s%2Fg%2F11bvzxqbph!19sChIJ3dvo8hF2Oy4Rn0eLLOZh7rE?authuser=0&hl=id&rclk=1","RameNations Palembang","4,8","(4.630)","·","Rp 25–50 rb","Ramen","·","·","Segera tutup","· 21.00 · Buka Sel pukul 11.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG-vfYucnbmR9_iIg4eNpyuzhrCffmqdcdHlh2VbmGFuK3SSVgE7G5NEHVq6EGNaMQzj5nfWB45LvKSvVL4uc866o90rHnUEbIUjSBWAsSODZmvtmzeaTLmgcNZ3N4FJG7HuiAVxw=w138-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya cozy, makanannya enak ga berubah cita rasanya.""","","Jl. Veteran No.1725","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFidnp4cWJwaBgAOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=OZ74ad-VPPDuseMPkN_f2Q4&ei=OZ74ad-VPPDuseMPkN_f2Q4&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online",""
