"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3"
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Osbond+Gym+-+Palembang/data=!4m7!3m6!1s0x2e3b766df39c1d83:0x860a21a2873632b5!8m2!3d-2.972222!4d104.764275!16s%2Fg%2F11cmylrpp4!19sChIJgx2c8212Oy4RtTI2h6IhCoY?authuser=0&hl=id&rclk=1","Osbond Gym - Palembang","4,6","(283)","Tempat Fitness","·","","·","Jl. Rajawali No.465 Blok AA s/d AH","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGeU-DzmXmFawckUDnJ2tDEmlIHBYp1WDMyNIWQ3fth_QnYHWmrLHsUBIRJj7eLB6V-epRe_u2d4aUkI0nW6D3Nbwatsmven0zcn4V0R7JC8ajuwmfcqG2MFWxmvCKQ-8R_iybC=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Tempat gym","yg bagus, luas, nyaman pokoknya keren"""
"https://www.google.com/maps/place/Central+Fitness+Palembang+%28Elite+Workout+%26+Top+Performance%29/data=!4m7!3m6!1s0x2e3b7682b0645eaf:0xa71d62d9c9f5b57d!8m2!3d-2.9479009!4d104.7529701!16s%2Fg%2F11c4bdrm22!19sChIJr15ksIJ2Oy4RfbX1ydliHac?authuser=0&hl=id&rclk=1","Central Fitness Palembang (Elite Workout & Top Performance)","4,8","(69)","Tempat Fitness","·","","·","Jl. Angkatan 66 No.926","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGRj22jgEVxWH7MWmYck0fnr9FnHqzawj7kczx3GRxhyYPPiPpGf_3Xd9FSqtrPUaQepg64Broey6ScQNrPJe6ArZq0TsTN0tckoQrQcDDCJcX5tQ0mxHJceHHe6MV2s4TAk9Q6=w80-h171-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Beli minuman dingin...""","",""
"https://www.google.com/maps/place/Go+Gym+Palembang/data=!4m7!3m6!1s0x2e3b7791b1e4fffb:0xfcb81920040155c0!8m2!3d-2.9747108!4d104.7722405!16s%2Fg%2F11stptddzh!19sChIJ-__ksZF3Oy4RwFUBBCAZuPw?authuser=0&hl=id&rclk=1","Go Gym Palembang","4,7","(37)","Tempat Fitness","·","","Jl. Perintis Kemerdekaan No.1112","","Buka","· Tutup pukul 21.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHnQUFzHTmEKqheLyMaHDY-d2ZeCTtK-GrzQpkqvkDLelArROeW9TaMNaarS2yIFlDWBAuU5BqwfZyuaiWM4oaCY7XI6FRlVovY_7xHjEfw6dlxC7q1Y7rq2esiuU0KRweJ2OfN=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Info harga membershipnya""","",""
"https://www.google.com/maps/place/Kitafit+Gym+%26+Fitness/data=!4m7!3m6!1s0x2e3b75d0f6d8d4cd:0x3b628377a0854095!8m2!3d-2.9652626!4d104.7443211!16s%2Fg%2F11vhsjj18_!19sChIJzdTY9tB1Oy4RlUCFoHeDYjs?authuser=0&hl=id&rclk=1","Kitafit Gym & Fitness","5,0","(140)","Tempat Fitness","·","","·","Jl. Letnan Hadin No.1731","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEhM_OTXd2sjj0Y1IDSIsn-d8p9d4fkVntD8BTph7BVC38UlJWS6m3-eCUapat0P4jX6JqnKNQ_Z0Gjxc1-32bwYN67YBswfYd3pp0I444iTODIQaKEZjdsRL_mYW_szMYTO-n6=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Bagus","gym","nya , harga terjangkau , alat alatnya bagus dan lengkap"""
"https://www.google.com/maps/place/FIT+HUB+Sukamto+Palembang/data=!4m7!3m6!1s0x2e3b77c8913857b9:0xcccb2cab98213934!8m2!3d-2.9523626!4d104.7605479!16s%2Fg%2F11w81skhkp!19sChIJuVc4kch3Oy4RNDkhmKssy8w?authuser=0&hl=id&rclk=1","FIT HUB Sukamto Palembang","4,8","(298)","Tempat Fitness","·","","Jl. R. Sukamto No.88","","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFuNbXvfHaLirYr6bqac-fioP0e0CTSWnZJdMf_1WyBW5pgHBdoMCnEUKeONMd2sXBLgx3btFX_Dt6Pjmsxw2KWPE8aBbmzH5IircSQg-g6Vqi1hg_cQBiB9aVWqpMRG3azFb7UGm4psmHU=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Tempat Gym","Lambat, Alat lengkap, aktifitas"
"https://www.google.com/maps/place/TEN+FIT+Palembang/data=!4m7!3m6!1s0x2e3b75c51f2c2003:0x3b3aa19511fe7258!8m2!3d-2.9750368!4d104.7258576!16s%2Fg%2F11t9kcnf_8!19sChIJAyAsH8V1Oy4RWHL-EZWhOjs?authuser=0&hl=id&rclk=1","TEN FIT Palembang","4,6","(154)","Pusat kebugaran","·","","·","Jl. Demang Lebar Daun No.4-7","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHjJh97pUKSTJSS2H4fKGcuhhEHrn4F83OJra05vTEZ_TtENcXQIMpeWfFNc1JqOPrp3aqtzbsAVFfT7VSzI3M_AD_Yj_eePsKeL0bBYwp4CRddVpt8k-pW1bdVRPmA0Qlv8SjK=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Tempat gym","yang bagus banget."""
"https://www.google.com/maps/place/%C5%8Ckami+Fitness/data=!4m7!3m6!1s0x2e3b7541b15ca5c7:0x7d1ea7251bd082ca!8m2!3d-2.9267442!4d104.71436!16s%2Fg%2F11s5z8m9bm!19sChIJx6VcsUF1Oy4RyoLQGyWnHn0?authuser=0&hl=id&rclk=1","Ōkami Fitness","4,6","(122)","Pusat kebugaran","·","","·","Jl. Kolonel H. Barlian No.188 KM9","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHtaEddzkgNStPaQv1mtlQghR8feDBYt09OpjueWR5jgBHntdXp51293Sun9BZqfPFdT9fR8dOvsTqxsEGX2FpkWMAxcaGkfyzhhRQQJ5L8V4AaqsFs521NoNWpaN6UfGA8JsnYFQ=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Kayaknya pemilik gymnya itu punya visi membangun","gym","yang strength focus."""
"https://www.google.com/maps/place/D%27Gym+Palembang/data=!4m7!3m6!1s0x2e3b75f45ccdbf7b:0x1b0be27334691646!8m2!3d-2.9818503!4d104.7139472!16s%2Fg%2F11vypyty1r!19sChIJe7_NXPR1Oy4RRhZpNHPiCxs?authuser=0&hl=id&rclk=1","D'Gym Palembang","4,8","(69)","Pusat Kebugaran","·","","·","Jl. Tj. Barangan, RT.48/RW.10","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHowH9VthuepT0s3-i_ML0UalN4QNgG5Sa2pSI9AlyBY3iuNX8laV8wx1JB9enB36gG6AHBPtU4HZbAu3PH6icSIbOy2P7kRjIU-D_bkLz5GPDlTjCEVJFOaL3QS7bRcIBGqvAvfsVgXx4W=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Best","Gym","in Town
Konsep Premium dengan alat terbaik"""
