"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","A1zNzb href","J8zHNe","bbPy1"
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/COOLERCITY+ICE+CREAM+PALEMBANG/data=!4m7!3m6!1s0x2e3b75ca59b1625f:0xe5de09de5739dde5!8m2!3d-2.939724!4d104.742531!16s%2Fg%2F11v4jdtkmb!19sChIJX2KxWcp1Oy4R5d05V94J3uU?authuser=0&hl=id&rclk=1","COOLERCITY ICE CREAM PALEMBANG","4,9","(54)","Es Krim","·","3P6V+427, Jl. R.A. Abusamah","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEey2geGn0i-w751ckETcfbx_EqZey_G_prZlawO8EqetsIJO04e_VXMG5zpy4vAm6JF1Zxck3_AnmbHdLxvdsIhotFQKPMSYxyUKFSqb_7agUOavBwyZ6tsjqETopnpB5DM5Hj6Q=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Enak banget","eskrim","nya,harga nya juga murah2""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF2NGpkdGttYhgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Np_4acaZHvDuseMP76XW0Qg&ei=Np_4acaZHvDuseMP76XW0Qg&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Momoyo+Palembang+%28Sukabangun%29/data=!4m7!3m6!1s0x2e3b7554b84dcd45:0xe96c779c5f651729!8m2!3d-2.939783!4d104.7430414!16s%2Fg%2F11v156l2yl!19sChIJRc1NuFR1Oy4RKRdlX5x3bOk?authuser=0&hl=id&rclk=1","Momoyo Palembang (Sukabangun)","4,8","(304)","Es Krim","·","Jl. R.A. Abusamah No.2666","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFsQlTEA_z5A1hbuuFZgahW0OiE_H8FgDm70lCoJfMZ9Wvzn3FnTs6rfnzAcTqHa8kTGHFsaqUjJfDA9b4bd2Z8FzYvq_Ro-AzRkEM75MhVLaL80RPTIpfbykbdJtiByO19XE57=w80-h177-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""momoyo","eskrim","nya enak tmpatnya juga bagus, worth it dengan harga""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF2MTU2bDJ5bBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Np_4acaZHvDuseMP76XW0Qg&ei=Np_4acaZHvDuseMP76XW0Qg&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Momoyo+Palembang+%28Kertapati%29/data=!4m7!3m6!1s0x2e3b9d9b19b0211b:0x4745a7f37e17ef86!8m2!3d-3.0006786!4d104.7679218!16s%2Fg%2F11svmpd4x4!19sChIJGyGwGZudOy4Rhu8XfvOnRUc?authuser=0&hl=id&rclk=1","Momoyo Palembang (Kertapati)","4,7","(562)","Es Krim","·","Jl. Jenderal Ahmad Yani","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEZplc9yOjdiPAY1gVFmM8XoVyicSjXBfQeOfG9bjykGzrSRtm_ZvXlquo_OXsJiyJ8oP7DC7t1h_gegQqibXa9xdWurNIp0TPCMGkdbFA5YEaupweFuE8osO6JlMPpAmyA5sfGgg=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Eskrim","nya mantul, tempat ny jg nyaman plus ada wifi jga""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFzdm1wZDR4NBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Np_4acaZHvDuseMP76XW0Qg&ei=Np_4acaZHvDuseMP76XW0Qg&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Fresco+gelato/data=!4m7!3m6!1s0x2e3b7727a58b06b5:0xa056f041c28efa07!8m2!3d-2.9737715!4d104.7607474!16s%2Fg%2F11j0k2tr11!19sChIJtQaLpSd3Oy4RB_qOwkHwVqA?authuser=0&hl=id&rclk=1","Fresco gelato","4,7","(72)","Es Krim","·","·","Tutup","· Buka Sel pukul 11.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEPt_RWB78pkjlB05X2cu0f4lKhGmUfaU-jwoaE1QrgSiuBxBerdYs_FEegrk9wqpX8xxcfg-zFGP2hBcrH-HOVSTGXE-cPIhIDAduZGk33TP1qcjfw_1hPBJIH1V4Pd0JsZDtQ=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Eskrim","nya enakkk, tempatnya nyaman, cocok buat foto2 juga""","","",""
"https://www.google.com/maps/place/AI-CHA+ICE+CREAM-+Abdul+Rozak/data=!4m7!3m6!1s0x2e3b771581ac390f:0xfc02f76baf9bfc85!8m2!3d-2.9499073!4d104.7799711!16s%2Fg%2F11kjljbb00!19sChIJDzmsgRV3Oy4Rhfybr2v3Avw?authuser=0&hl=id&rclk=1","AI-CHA ICE CREAM- Abdul Rozak","4,9","(225)","Es Krim","·","3Q2J+26C, Jl. H. Abdul Rozak","Buka sekarang","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG-milGyyeq1Zgfe5GCU6FKLg_w8NXDDYXAWLvEuXlTrDNm30mAD8aki-S8qIBwqSYOugAPd_YiTsyvPEh_pT0FAAI7_lQ0P9-ofcihXImEOBf1JdQlSm7_m7tRS2eFoU_PLz5L9g=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Es krim","nyo enak , tempat nyo enak , free wifii , kariyawan ramah2""","","",""
"https://www.google.com/maps/place/Misnow+Palembang/data=!4m7!3m6!1s0x2e3b9d006915b399:0xac8a731d31439612!8m2!3d-2.9988666!4d104.7678836!16s%2Fg%2F11y43qmnkm!19sChIJmbMVaQCdOy4REpZDMR1ziqw?authuser=0&hl=id&rclk=1","Misnow Palembang","4,0","(54)","Es Krim","·","Jl. Mayjen. H. M. Ryacudu","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEnpVDw5OwcnROKJHHxvC3aeX9EuiVBe94jzJZTvMGdXg3A2dWjebDUzQSG9_3qKg3xGMdeZY7yp41S23GtYZ-TbUFLax_83xowpufL7CwAbZ1rZS3XxYzBCtCF5EQbmPQz6O01=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Lama banget nunggu antrian eskrimnya, semoga menjadi perhatian.""","","","","",""
"https://www.google.com/maps/place/Misnow+Mayor+Ruslan/data=!4m7!3m6!1s0x2e3b77f87914cabb:0x382c64bb16ec3d9c!8m2!3d-2.9721068!4d104.7606181!16s%2Fg%2F11wbt9c0bh!19sChIJu8oUefh3Oy4RnD3sFrtkLDg?authuser=0&hl=id&rclk=1","Misnow Mayor Ruslan","4,9","(217)","Es Krim","·","Jl. Mayor Ruslan Ruko No.2, RT.021/RW.005","Segera tutup","· 21.00 · Buka Sel pukul 09.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGpAy9bqBrOj_-x3_l80BUDPINZPw9v7GBsDBb-O3Ze9dk_Z-OqNpGbX8kidFqPwaudQeO9cNP6wgSCSu0KVraq3o4OdmjdpDgMbf_p0eRKzJerGZU9-7voEMrhKV3tCW-2IxJz=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Eskrimnya enak bangettt, variannya lengkap ❤❤""","","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF3YnQ5YzBiaBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Np_4acaZHvDuseMP76XW0Qg&ei=Np_4acaZHvDuseMP76XW0Qg&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Momoyo+Ice+Cream+%26+Fruit+Tea+Sako/data=!4m7!3m6!1s0x2e3b77ed687784c3:0xb0b15c645c5f3d4f!8m2!3d-2.931161!4d104.7898599!16s%2Fg%2F11vlt2xrq1!19sChIJw4R3aO13Oy4RTz1fXGRcsbA?authuser=0&hl=id&rclk=1","Momoyo Ice Cream & Fruit Tea Sako","4,7","(401)","Es Krim","·","Jl. Siaran No.38","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFedNMpjrNjTt3u181l2uERmK0-HAZkxSjoFU0EsvkWdw4oiyUOH_lmb-L9hkmixqrQULZoISO8V9xUjhSJyxb9raaQ2syRGwRQk_m5oLabKcaiyyDGFGbEhKsH2-6HMh9dnGNCd1pty9AV=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Enak dan ramah pelayanan sama minuman nya ,","eskrim","nya juga""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF2bHQyeHJxMRgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Np_4acaZHvDuseMP76XW0Qg&ei=Np_4acaZHvDuseMP76XW0Qg&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
