"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","M4A5Cf"
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Warteg+Lina/data=!4m7!3m6!1s0x2e3b75ed0ff41e6b:0x3863fd7482635005!8m2!3d-2.9844044!4d104.73091!16s%2Fg%2F11f39fkc8j!19sChIJax70D-11Oy4RBVBjgnT9Yzg?authuser=0&hl=id&rclk=1","Warteg Lina","4,8","(170)","·","Rp 1–25.000","Tegal","·","","·","2P8J+69M, Jl. Lunjuk Jaya","Tutup","· Buka Sel pukul 09.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG86XGd5CiX-hPgQrmDk8UKGGhv_5CKXoDTtNGWre8tQwxxOmJVPr0DzdNfVIkyge1VIHewmqieF5zoUJjYIvQMiyOmx3IGSTymNF511DK99DG-5RBrOo1sNF0F55i7nLRJPGA=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanan enak, Deket kampus UNSRI bukit, pelayanan cukup baik.""","",""
"https://www.google.com/maps/place/Warteg+Kharisma+Bahari+-+Sekip,+Palembang/data=!4m7!3m6!1s0x2e3b772af975409f:0x50898b5403880c7!8m2!3d-2.9607145!4d104.7587788!16s%2Fg%2F11rxtv4xbl!19sChIJn0B1-Sp3Oy4Rx4A4QLWYCAU?authuser=0&hl=id&rclk=1","Warteg Kharisma Bahari - Sekip, Palembang","3,7","(47)","·","Rp 25–50 rb","Tegal","·","","·","Jl. Mayor Salim Batubara No.159b","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAErva4gWTNO_a9d5EqRARa6wde7m4hFCFBzZMTeuEh1tK84RkdVawyMh4pvAtWWAWyuiWqS85QRV-PNylp8K39fFE2MyIBybF1DbGTqoc6MuLfYO75se_Inn5PJb3_Gn70KP980=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Baru tau ada","warteg",""
"https://www.google.com/maps/place/Warteg+Slawi+jln+Abusamah/data=!4m7!3m6!1s0x2e3b75ef2c69cefd:0x2d85fe23964a4c15!8m2!3d-2.9383941!4d104.7404427!16s%2Fg%2F11tjtdz30g!19sChIJ_c5pLO91Oy4RFUxKliP-hS0?authuser=0&hl=id&rclk=1","Warteg Slawi jln Abusamah","4,8","(31)","·","Rp 1–25.000","Tegal","·","","·","Jl. R.A. Abusamah","Segera tutup","· 21.30 · Buka Sel pukul 06.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGEem-2SrHaA6F0Kl4rDCRY-4S2ecITEkYLl83ljN5Agbte7L4MI2LzUvEMqJ25ACttZqfO3IMtsM9hfamwYwkjOPfk_7sE7OCvP7ug_KPBQB6YEJmJH3fDn3eEwG5teS1cj3qf=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Warteg",""
"https://www.google.com/maps/place/Warteg+Slawi/data=!4m7!3m6!1s0x2e3b7690c2c29d79:0x20bad911a8f998fa!8m2!3d-2.9434004!4d104.7658587!16s%2Fg%2F11b7h9gk9q!19sChIJeZ3CwpB2Oy4R-pj5qBHZuiA?authuser=0&hl=id&rclk=1","Warteg Slawi","4,4","(84)","·","Rp 1–25.000","Tegal","·","","·","Jl. Sirna Raga No.1632","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-proxy/ALd4DhH4Ds6nsFK-LS1GcEr44_ylAg7P4vD6PH8B6QfTTZITwHeukT0VVDs6J9ZgwM6oEaT0GpwvkVSnj-kek1eBpKD-bB0RovWrqsEDjRbre0sxYu-hiZQ76j6DRr4usuQ_riKf1bdrwYoDUIgVx2allxNtY7iN3-OU6m8y2-0uxf5MlZz9RgyUJ1cw3rBZ5Sk3Rb_9UyE=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Saya suka masakannya dan bisa memilih makanan kesukaan saya..""","",""
"https://www.google.com/maps/place/Warteg+Prasmanan+%26+Bandrek+Bang+Aye/data=!4m7!3m6!1s0x2e3b755d37ce81a9:0x6e6244395a942bd!8m2!3d-2.9623896!4d104.7191285!16s%2Fg%2F11k9kg1l06!19sChIJqYHON111Oy4RvUKplUMk5gY?authuser=0&hl=id&rclk=1","Warteg Prasmanan & Bandrek Bang Aye","5,0","(33)","","","Pujasera","·","","Jl. Inspektur Marzuki","","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFC5L4yRXhAM3BDhG-b5lXpiWGSTLgYQrWdQegKfXDksa9gpqrg3VO-SSqpUgln4Ythy9RTkI-QKyk8dUe411Ukb_hru6VyqtaTudOIzYyJZk7dfeSxsHcHMi4SdJ3zUuTuGUs=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Mantp, bisa ngopi santai disini sambil onbid""","",""
"https://www.google.com/maps/place/Warteg+Lina/data=!4m7!3m6!1s0x545051221e7b7ef:0x6f0f44625ff17e9e!8m2!3d-2.9624018!4d104.7195605!16s%2Fg%2F11b7dzsfsn!19sChIJ77fnIRIFRQURnn7xX2JED28?authuser=0&hl=id&rclk=1","Warteg Lina","4,5","(196)","·","Rp 1–25.000","Tegal","·","","·","2PQ9+2RM, Jl. Inspektur Marzuki","Segera tutup","· 21.00 · Buka Sel pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGDb_-1aa_huelFjqDwidPhTL5kkyFaCenUL3LeuxrzobH0D8kLXYZj_mDF1CSs5iL_FW3kC2KTjEwnFFd5sIL-pQJT0Xh5yXg2RpfNQrwrLNwg0-dv9POcyAD_DhNknyaPKy0s=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Rasa mantap dengan harga terjangkau""","",""
"https://www.google.com/maps/place/Warteg+Lala/data=!4m7!3m6!1s0x5451004a560fbff:0x7fae130911b61345!8m2!3d-2.9281415!4d104.7393035!16s%2Fg%2F11b7fw6qfz!19sChIJ__tgpQQQRQURRRO2EQkTrn8?authuser=0&hl=id&rclk=1","Warteg Lala","4,5","(99)","·","Rp 1–25.000","Tegal","·","","·","Jl. Sukabangun II","Tutup","· Buka Sel pukul 07.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFjgJ3sew1kODcBjGOug4QeUP1kneyPae66NoZQMmwdq6b_hsW7cwYB6PyTyPX20SU27SAQeH6wAVpKTsJRdeh6Qpb3tMa1Nu18o8Lw0PGodAaWhjT4Ie4C1-WIJA_L_qzGF-IP-A=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanan enak, porsi banyak, harga murah.""","",""
"https://www.google.com/maps/place/WARTEG+BAHARI/data=!4m7!3m6!1s0x2e3b777ee1e9958b:0x2150c910f58e1178!8m2!3d-2.9936212!4d104.7869416!16s%2Fg%2F11fj6wcggr!19sChIJi5Xp4X53Oy4ReBGO9RDJUCE?authuser=0&hl=id&rclk=1","WARTEG BAHARI","4,8","(33)","·","Rp 1–25.000","Jawa","","","","","Segera tutup","· 21.00 · Buka Sel pukul 07.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFX4ihpzvn2JMoeUOXsSmrVbxxVocvVYZLkAhxhnfA-hkRd06aZrchAuClO0YUrbLuBnQh_GCLYPFvAoWR8yHqT1YAoehrlR979Rm9Y5SMDf0kJgWxh9kbIoJf-CwJLpU-u78tf=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Murah, enak, sesuai kantong anak kos""","",""
