"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","A1zNzb href","J8zHNe","bbPy1","doJOZc","W4Efsd 6","AJB7ye","AJB7ye 2"
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/TETRA+Coffee+%26+Eatery+-+Palembang/data=!4m7!3m6!1s0x2e3b7751ba677c01:0x806349c220ba1dad!8m2!3d-2.974805!4d104.760641!16s%2Fg%2F11lkhlfq1v!19sChIJAXxnulF3Oy4RrR26IMJJY4A?authuser=0&hl=id&rclk=1","TETRA Coffee & Eatery - Palembang","4,6","(454)","Kedai Kopi","·","Jl. Merbau No.1260","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAE-VDrZm1PQDobpw2ENp2lNzKIZsZQ4KBD2-q2HsKRlqyFw5hU_34JSg1XSwrTi4CNrkb8HCXsNS5vbuA1FDJOHIo9D3m1hrd9txs_5lg4D6yDWEm18AZnSUuhZwwb1f2DfKswv=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""suasana nya enak nyaman makanan enak tempatnya juga aestentic sekalii 🤩🤩🤩""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFsa2hsZnExdhgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=NJz4aZrDAfKfseMP-aG8qAI&ei=NJz4aZrDAfKfseMP-aG8qAI&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","","",""
"https://www.google.com/maps/place/Luthier+Coffee/data=!4m7!3m6!1s0x2e3b7768b0838a11:0x8963a3424726ee6!8m2!3d-2.9669472!4d104.7634491!16s%2Fg%2F11clw5sr2n!19sChIJEYqDsGh3Oy4R5m5yJDQ6lgg?authuser=0&hl=id&rclk=1","Luthier Coffee","4,7","(601)","Kedai Kopi","·","·","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH0K-udfUGJa0ZFt6QvsFWac0SHYH8DUOqwFwBlYXEN-wjFL9CZzr80KFOrlF-RNfKxpMTzbj0eR2EV2yk5fSYWSRsE722vTL60Ln3ijd50p3cloVpDWuiyBE4gluwl_26XVWQY=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Cocok jg untuk ngobrol bareng teman sambil makan dan minum.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFjbHc1c3IybhgAOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=NJz4aZrDAfKfseMP-aG8qAI&ei=NJz4aZrDAfKfseMP-aG8qAI&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","","Jl. Bangau No.ruko 170C","",""
"https://www.google.com/maps/place/New+Town+Kopitiam/data=!4m7!3m6!1s0x2e3b767aae7ff617:0x29e34f4407cda51c!8m2!3d-2.9660082!4d104.7633896!16s%2Fg%2F1pyqnq5jt!19sChIJF_Z_rnp2Oy4RHKXNB0RP4yk?authuser=0&hl=id&rclk=1","New Town Kopitiam","4,5","(3.523)","Kedai Kopi","·","·","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHrq1i78GYMnSbJ4VVWO9Rf2z3Ql4yKEOz-QOf9_bJbzuk59FkYUkKv5LKd7dpiuY7WCemK3CbiD51ZFfMPtmHUCqNYxyOm6JZp2fuNI7ohiZ1W7Bcr_XACFCIxFp7i9-gsVUQnlw=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanan lezat, harga terjangkau, suasana cozy, ada live music""","https://www.google.com/searchviewer/42?cvd=CLw_EiYKJOICITIfEhgiFtLX29IPEAoML2cvMXB5cW5xNWp0GAE6AwjwDQ%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=NJz4aZrDAfKfseMP-aG8qAI&ei=NJz4aZrDAfKfseMP-aG8qAI&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","Jl. Bangau No.171M","·","$$"
"https://www.google.com/maps/place/Kedai+Kopi+7/data=!4m7!3m6!1s0x2e3b779fd96ec685:0x42b6bf098a14c174!8m2!3d-2.9826792!4d104.7607102!16s%2Fg%2F11h1g79t4p!19sChIJhcZu2Z93Oy4RdMEUigm_tkI?authuser=0&hl=id&rclk=1","Kedai Kopi 7","4,6","(1.318)","Kafe","·","Muda, Jl. Letkol Iskandar","Buka","· Tutup pukul 22.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEMz3rcGKBUZ5OWM5dh6C1n-7e747uhvjkezeXNu5hexDrF-678SoaylfcofEC7vp5WJYFoi4qjgm1W9ye7c4-wTRCHJ3Vrz_jgmM7dHd51b-v8xx2cTSEQGQtRwmKZnnSsOvE8=w141-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Kopinya sangat enak, mie ayam nya sangat enak, bubur ayamnya sangay enak.""","","","","","","·","Rp 25–50 rb"
"https://www.google.com/maps/place/DOBU+COFFEE/data=!4m7!3m6!1s0x2e3b77b721abca6f:0xf70091dc6fe6ae11!8m2!3d-2.9684716!4d104.7670151!16s%2Fg%2F11sr7ln0p6!19sChIJb8qrIbd3Oy4REa7mb9yRAPc?authuser=0&hl=id&rclk=1","DOBU COFFEE","4,6","(127)","Kedai Kopi","·","Jl. Merpati No.6","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFY8wphNYvoj0kuPU82baBSu5EO4hTHS8WVm27pGC0TXMhM3UwOO0Cj4Fi6p0zhTLaeLqedrW-PyD5a1TmbFsNYXXFfRW5Ws_A8xEBjIO3C0YksM7F0ObwkW3UyEVA4g99DQ-7C=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanannya enak² harga bersahabat.""","","","","","","·","Rp 25–50 rb"
"https://www.google.com/maps/place/Kedai+Kopi+Oriental+Rajawali/data=!4m7!3m6!1s0x2e3b771a42a58605:0xecfe53b29012dc40!8m2!3d-2.9723556!4d104.7637122!16s%2Fg%2F11l1qj45rm!19sChIJBYalQhp3Oy4RQNwSkLJT_uw?authuser=0&hl=id&rclk=1","Kedai Kopi Oriental Rajawali","4,8","(156)","Restoran","·","Kedai Kopi Oriental, Jl. Rajawali No.14","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAF66RYiYXApRXgxAehBIGwA0XPHX7ruT_AMZDHUwVAj1iKAOHWQpC10tk5VpeyxBN3udRxbGLuO-lxht194asHx3gtGWtq1eqh5jnr1JGqf9-tqQBJ5KvOsDYH6-aSxb0Z8MSk=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanannya juga enak-enak apalagi nasi goreng rendangnya, wajib cobaa🫶🫶""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFsMXFqNDVybRgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=NJz4aZrDAfKfseMP-aG8qAI&ei=NJz4aZrDAfKfseMP-aG8qAI&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","","·","Rp 50–75 rb"
"https://www.google.com/maps/place/Triple+A+Coffee/data=!4m7!3m6!1s0x2e3b7716d30286ad:0x12cbc581d66f4285!8m2!3d-2.9646641!4d104.7633338!16s%2Fg%2F11rp7msxkj!19sChIJrYYC0xZ3Oy4RhUJv1oHFyxI?authuser=0&hl=id&rclk=1","Triple A Coffee","4,6","(125)","Bar Kopi Espresso","·","Jl. Mayor Ruslan","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGC2eASJL6urFDusJ7HWVqctc_R8olDo81MZO41kOFNK0zkVZzPP32ANfXK_8isRwGbRHW0ERJRCQPpJcOm30bV3gfZCXjaZNDIK3n2ayzprv3VM7qezIFKTRKTCs4HzHFpQgYyYQ=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Masakan enak, suasana nyaman dibawah pohon rindang, harga relatif""","","","","","","·","Rp 25–50 rb"
"https://www.google.com/maps/place/KEDAI+KOPI+8/data=!4m7!3m6!1s0x2e3b778113ba53c1:0xb7d72f0d19d59a4d!8m2!3d-2.9820286!4d104.7617202!16s%2Fg%2F11gnp39y65!19sChIJwVO6E4F3Oy4RTZrVGQ0v17c?authuser=0&hl=id&rclk=1","KEDAI KOPI 8","4,7","(59)","Kafe","·","2Q96+5MQ","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFEP1_CxpyQAiro8X6vi3PEFVzQ3O08L-mSa8E05e_LXIgsQXZr0J42RkW4B3VfgWxnqdSfCb0TKRQHYX9wV9chObrJqQ5HEeYmnftjvs-WNhG1lDuOi3BBJNvMs5kJbWGxhWsU=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat nya bersih dan nyaman + sales bir nya gelis pisannn 🤣🤣""","","","","","","",""
