"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","FQ2IWe src","Jn12ke src","ah5Ghc","A1zNzb href","J8zHNe","bbPy1","ah5Ghc 2","ah5Ghc 3"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/oi+coffee+%26+eatery/data=!4m7!3m6!1s0x2e69edfedc95fb0f:0x31a3503147a83394!8m2!3d-6.3541917!4d106.8368023!16s%2Fg%2F11m379k1l9!19sChIJD_uV3P7taS4RlDOoRzFQozE?authuser=0&hl=id&rclk=1","oi coffee & eatery","4,8","(2.593)","·","Rp 25–50 rb","Kedai Kopi","·","","·","Ruko River View Jl. Komjen. Pol. M. Jasin No.1","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEGtMprW1v5Ws3_gFMGCb4Ro0ZA8XkC1rJr4RcopPaGCYAsz-y4tgm1BggHXauHwR4HqgQp9Bt7i-IMaOu89ulOwZbuQqO2lNZohr0xFOcWF5iuO8Fjs48_T6M_jJS4mIWOdY2K=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Ambience tempatnya oke, baristanya friendly, kopinya enak.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFtMzc5azFsORgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Iaz4afzOEtSOnesPso7XwQg&ei=Iaz4afzOEtSOnesPso7XwQg&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/Suar+Ruang+Coffee+Ground/data=!4m7!3m6!1s0x2e69ede2575fbf5d:0x58840dcd54d90d65!8m2!3d-6.3600321!4d106.8211763!16s%2Fg%2F11pd4hh80h!19sChIJXb9fV-LtaS4RZQ3ZVM0NhFg?authuser=0&hl=id&rclk=1","Suar Ruang Coffee Ground","4,7","(286)","·","Rp 25–50 rb","Kedai Kopi","·","","Jl. H. Amat No.2","","Buka","· Tutup pukul 23.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFIrpPV3B5TN0KrewYn-_NPaVORIXcfLHdAsEva792C-rK244ASR-22RvSpTgvOkLkzp3I2HxrWAPfhHP4lQ0xnhBfFJrg1l3MQA3rTgkQOSYSJxiwoSYVN6GaliNLdoLABVG-ihQ=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""kopi dan makanannya pas, cuma tempatnya kurang besar...""","","","","",""
"https://www.google.com/maps/place/Graha+Coffee+%26+Eatery/data=!4m7!3m6!1s0x2e69ed3ca50acd5d:0x21e26502f785b424!8m2!3d-6.3685915!4d106.8360523!16s%2Fg%2F11s61bk82h!19sChIJXc0KpTztaS4RJLSF9wJl4iE?authuser=0&hl=id&rclk=1","Graha Coffee & Eatery","4,7","(164)","·","Rp 25–50 rb","Kedai Kopi","·","","Jl. H. M. Tohir No.73, RT.01/RW.03","","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEr-MULgvUHR435Dykbn7ggs7Q3Xg7wnQc9c3AIhtygpl7iiwjJ1j1C9EyC_KYJqusJ05hI_J34CLzpC0pM6LNCJy2lz9fN_Kt-qbnaxm1a5CvYXQRQcQVnHmI6AHJklL2zfUVw=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Selain kopi di sini ada milk based, mojito, aneka tea, smoothies, dll.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFzNjFiazgyaBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Iaz4afzOEtSOnesPso7XwQg&ei=Iaz4afzOEtSOnesPso7XwQg&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/BENING+Coffee+%26+Space/data=!4m7!3m6!1s0x2e69ed3e8c9369af:0x3d80a27cd4cd382a!8m2!3d-6.3595794!4d106.8191156!16s%2Fg%2F11jsb9r192!19sChIJr2mTjD7taS4RKjjN1HyigD0?authuser=0&hl=id&rclk=1","BENING Coffee & Space","4,8","(336)","·","Rp 25–50 rb","Kedai Kopi","·","","Jl. H. Amat No.1","","Segera tutup","· 22.00 · Buka Sel pukul 09.00","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Excellent hospitality, makananya enak, kopinya mantaps.""","","","","",""
"https://www.google.com/maps/place/Javaroma+UI/data=!4m7!3m6!1s0x2e69eddecc088aa9:0x693115f6b4d80cfd!8m2!3d-6.3653167!4d106.8297521!16s%2Fg%2F11hzcrf7wb!19sChIJqYoIzN7taS4R_QzYtPYVMWk?authuser=0&hl=id&rclk=1","Javaroma UI","4,3","(100)","·","Rp 25–50 rb","Kedai Kopi","·","","JRMH+VWC Perpustakaan Universitas Indonesia","","Tutup","· Buka Sel pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEIBOT8GuiLhjs0DCnsIPS1cWxH5nH26k9iSSEFX_gso6lE0Nstnq7WDsRtoOjBvYGiM-oZLx4RZ3UHvBEVKtbeyGyv9IzRtoGlBT-lxbKOw73OWtGfbMCWMjL7g47p5Ljbxcn5=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Kopi latte standar enak, susah dibedakan dengan","","","","kafe","lain."""
"https://www.google.com/maps/place/Kopi+Merah+Putih+UI/data=!4m7!3m6!1s0x2e69ef0affbe44cd:0x92e619361e26be32!8m2!3d-6.3608378!4d106.8166458!16s%2Fg%2F11vq3v67m4!19sChIJzUS-_wrvaS4RMr4mHjYZ5pI?authuser=0&hl=id&rclk=1","Kopi Merah Putih UI","4,9","(211)","·","Rp 1–25.000","Kedai Kopi","·","","·","Jl. K.H.M. Usman No. 48 RT 001/004","Buka","· Tutup pukul 02.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGcF9II_S34DHJaYoW3niOGm2ofKs79porzTarQp4liPL4xcBR2dqJg7FWdPFCQjzlgHUhRvAk35gq82dSonOZ7hG2s5W_HxvRZoVPAHkaO931JC8Otg5YnfP8xQOFlvMZPuHuvQffdeh11=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Kopi nya enak tapi gerah kalo nongkrong lama""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF2cTN2NjdtNBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Iaz4afzOEtSOnesPso7XwQg&ei=Iaz4afzOEtSOnesPso7XwQg&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/Sahuta+Coffee+and+Eatery/data=!4m7!3m6!1s0x2e69edf34ad5bf57:0x527fcc5e180ea0b0!8m2!3d-6.3686271!4d106.8180984!16s%2Fg%2F11rfspw71y!19sChIJV7_VSvPtaS4RsKAOGF7Mf1I?authuser=0&hl=id&rclk=1","Sahuta Coffee and Eatery","4,6","(59)","·","Rp 25–50 rb","Kedai Kopi","·","","Jl. Palakali No.55c, RT./rw/RW.007/005","","Buka","· Tutup pukul 01.05","https://lh3.googleusercontent.com/gps-cs-s/APNQkAE8fAdIaXiKTZUN1xkBKXvp2M_YdP_umIBvrbIwi1d5FXFKiQnT0PXoQbnFgqxqys11czT2evUl8srH70OmGjHG7tf1Z4r4FblF-LYKUzKIO6jP4xBSQTwdZQBmL5eTj1e69dhFrg=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Mantappppppp deh""","","","","",""
"https://www.google.com/maps/place/Kopi+Brumbun/data=!4m7!3m6!1s0x2e69ef87f4f99def:0xb68d64715f3eceb6!8m2!3d-6.3709774!4d106.8157202!16s%2Fg%2F11j5l61y44!19sChIJ75359IfvaS4Rts4-X3FkjbY?authuser=0&hl=id&rclk=1","Kopi Brumbun","4,5","(774)","·","Rp 25–50 rb","Kedai Kopi","·","","·","Jl. Pipa Gas No.8","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFkMPDx1IWhOyhbp1OgzjQfswjpUcqUf2-50h60Aq6mLYRTNQEuE24uVjao876WbKjiJ7Aos9xx4C7VC7_zLxLyv57B8-m0LwBD3psTvOG25DOIC_0EOoKR1BTbmMW89OdSbpOU5Q=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Untuk taste kopi nya bold & tempatnya nyaman untuk nongkrong bareng""","","","","",""
