"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","A1zNzb href","J8zHNe","bbPy1","doJOZc","W4Efsd 6","ah5Ghc 2","ah5Ghc 3"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/JChicken+UI/data=!4m7!3m6!1s0x2e69ed450754ebe1:0x19ce8c605c6a1b23!8m2!3d-6.3627706!4d106.8295319!16s%2Fg%2F11w_rgzk8p!19sChIJ4etUB0XtaS4RIxtqXGCMzhk?authuser=0&hl=id&rclk=1","JChicken UI","4,9","(420)","·","Rp 25–50 rb","Ayam","·","JRPH+VRV Universitas Indonesia, Gedung Takoru Fakultas Ilmu Sosial dan Ilmu Politik","Tutup","· Buka Sel pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEn_LcNePaGbI8NcQn-yJHJUGl9c6TSV3uzIsOM3et8CXJXxKhAs8yHVzetRqipp8YgfoAjW-T3ABrE-qQ177RmZb6gdjgqB2jjmDVSi2N3AGLe-95DQCZVz-d48OQATM27hh0=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Baru pertama kesini enak .. harga nya juga murah ..""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF3X3Jnems4cBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=s634aa_ABtucseMP7q29oQU&ei=s634aa_ABtucseMP7q29oQU&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","","",""
"https://www.google.com/maps/place/Ayam+Crisbar+UI/data=!4m7!3m6!1s0x2e69edbe1fcc12b3:0x7830a3222a5f3894!8m2!3d-6.3598647!4d106.8203413!16s%2Fg%2F11tjz2x146!19sChIJsxLMH77taS4RlDhfKiKjMHg?authuser=0&hl=id&rclk=1","Ayam Crisbar UI","4,9","(8.831)","·","Rp 25–50 rb","Makanan Siap Saji","·","·","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFeq2ahaqJ-fjkYnWMXGSZMDIrs49tEAam63vfTInaZkF_dsEu6QS8R5BJgH2i5I6HTg5RTEqB8UsTF6zgFYQ5pmszlwIbkSUrshbxzdgY6zufwwrqeZdgpPp1x4GALdD315RLGgQ=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""makanannya enakk, servicebya ramahh, harganya juga affordable!!""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF0anoyeDE0NhgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=s634aa_ABtucseMP7q29oQU&ei=s634aa_ABtucseMP7q29oQU&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","Jl. H. Amat No.Rt. 002","",""
"https://www.google.com/maps/place/Ayam+Crisbar+Kelapa+Dua+Depok/data=!4m7!3m6!1s0x2e69edcd79e8a3db:0x8bec863e3d13cdb4!8m2!3d-6.355174!4d106.8433208!16s%2Fg%2F11s6p8h4th!19sChIJ26Poec3taS4RtM0TPT6G7Is?authuser=0&hl=id&rclk=1","Ayam Crisbar Kelapa Dua Depok","4,9","(12.425)","·","Rp 25–50 rb","Makanan Siap Saji","·","Jl. Akses UI No.65, RT.6/RW.9","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGT3qgBV8YClx0n5wY79i-WKITSgKvCxbubnH508O0Wr9DMkCy0OE2btDmXLWgzLo2vRr8DE4Qz3vLjoJr1HMem1LrgLFh7TfBjAnywrqtUmNr865Pzeri1VovDxUXRSZ0HYv1fAlIx1CuY=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanannya enak nasinya bebas refill sama minumnya harga terjangkau""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFzNnA4aDR0aBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=s634aa_ABtucseMP7q29oQU&ei=s634aa_ABtucseMP7q29oQU&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","","",""
"https://www.google.com/maps/place/Richeese+Factory+Akses+UI/data=!4m7!3m6!1s0x2e69ed4fd329cfd3:0x6a2255c3b5f342e1!8m2!3d-6.3547158!4d106.8439199!16s%2Fg%2F11h2qtgq0q!19sChIJ088p00_taS4R4ULztcNVImo?authuser=0&hl=id&rclk=1","Richeese Factory Akses UI","4,3","(3.872)","·","Rp 25–50 rb","Makanan Siap Saji","·","Jl. Akses UI Jl. Klp. Dua Raya No.48","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAE8HH5Q3j_XKfnmldU2j42-HPdU5AYI-uPPtX2mcT-7l7BIXZmV-QPuCWLcVm7A4fgRrKm1pVoPKhctQ8rO2omJXnxY266WgcIlmFuvCbFhsfaOFAYn7KsFyiEBI1hKM8qEQdSiOA=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanannya Pas banget, dari pedes, kriuk ayamnya dll.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFoMnF0Z3EwcRgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=s634aa_ABtucseMP7q29oQU&ei=s634aa_ABtucseMP7q29oQU&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","","",""
"https://www.google.com/maps/place/Bawalah,+Stasiun+UI/data=!4m7!3m6!1s0x2e69edf778d7ff95:0xcc09b9ef23a6a920!8m2!3d-6.3610739!4d106.8317604!16s%2Fg%2F11h4d4q3y6!19sChIJlf_XePftaS4RIKmmI--5Ccw?authuser=0&hl=id&rclk=1","Bawalah, Stasiun UI","4,3","(18)","","","Makanan Siap Saji","·","JRQJ+HPC","Tutup","· Buka Sel pukul 06.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH-p0NlX6xGgaGnzndFJ8YWFnLy0i5QjDkrqRn49EnBztnXBbbRfW6JfCJzzwHv6a5tslwK6QCJu8f7Qg2fnyqsLXk17CgtRT6-FkD_Me6I-A21YMjKOeeTdwf16QmDRjMfyS-xZw=w92-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""RUMAH SUBSIDI STRATEGIS
HANYA PURI HARMONI""","","","","","","",""
"https://www.google.com/maps/place/Warung+Nasi+Sasari/data=!4m7!3m6!1s0x2e69ec171ed8efdf:0x50ea3195b3c45f7b!8m2!3d-6.363973!4d106.8324207!16s%2Fg%2F11clyd7_b1!19sChIJ3-_YHhfsaS4Re1_Es5Ux6lA?authuser=0&hl=id&rclk=1","Warung Nasi Sasari","4,4","(334)","·","Rp 1–25.000","Nasi","·","·","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHR9hI5Qa14-22Th6-0nE9fCAOAqLdeFMtpmrOsCYPRNWag_tFfxJqqiZ3DyNbKVoO-Xygxv4C2bGvVINV4wD28NEiykapv5um1ie59IAKCYdxm4rPMFgj4wR9RcxPhZuo8Pj5pDQ=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Banyak lauknya, enak-enak, tapi tetap murah""","","","","","Jl. Sawo No.21D, RT.3/RW.7","",""
"https://www.google.com/maps/place/Kantin+Pusat+Studi+Jepang+%28SK+Steak+UI%29/data=!4m7!3m6!1s0x2e69ed446171f265:0xa1fd7c03a3ba99af!8m2!3d-6.361741!4d106.8280298!16s%2Fg%2F11llv0gpfj!19sChIJZfJxYUTtaS4Rr5m6owN8_aE?authuser=0&hl=id&rclk=1","Kantin Pusat Studi Jepang (SK Steak UI)","4,2","(30)","·","Rp 25–50 rb","Masakan Asia","·","JRQH+862","Tutup","· Buka Sel pukul 07.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEjbGfTG6Oqo9Dkve7p_dOyDEOE3oxJGUeJQNqKeayeXgcraDGn9Vxiiu8xc4IaYhVsU1E7ViAs61T6RK6xxGy31p5Y_ut56ea2f-cKj9jVRf-7VrCuboxm7VeWrhVj0jBaM6yz=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Di sini, makanannya lumayan enak dan harganya masih terjangkau.""","","","","","","",""
"https://www.google.com/maps/place/A%26W+Depok+Town+Square/data=!4m7!3m6!1s0x2e69ec080242b165:0x222f3f9548d55723!8m2!3d-6.3727419!4d106.8322017!16s%2Fg%2F1tfcqnhr!19sChIJZbFCAgjsaS4RI1fVSJU_LyI?authuser=0&hl=id&rclk=1","A&W Depok Town Square","4,4","(452)","·","Rp 25–50 rb","Makanan Siap Saji","·","Jalan Margonda Raya Blok Karet No.1 RT.1/RW.1 Kemiri Muka Kecamatan Beji, Depok Town Square, Ruko GE 1.6, Kios GS-1 No 1, 2, 3 & 5","Segera tutup","· 22.00 · Buka Sel pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGpxww5soeDk6v5uTTfSIlyngrE97v8Dj4kZ40uT1_ciu1OJWn6p_dHkvkDObbbP_AoGxsP-sqnNk8_dJM0YeR8_Yx4IzGNei_lE-4KOvC9J_lKFaNcS_UPq4pQgMS9sYcX5xhRfg=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makananya enak, pelayanannya ramah tempatnya juga bersih, nyaman juga""","https://www.google.com/searchviewer/42?cvd=CLw_EiUKI-ICIDIeEhciFdLX29IPDwoLL2cvMXRmY3FuaHIYAToDCPAN&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=s634aa_ABtucseMP7q29oQU&ei=s634aa_ABtucseMP7q29oQU&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","Restoran cepat saji burger & root beer","",""
