"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","A1zNzb href","J8zHNe","bbPy1","doJOZc","W4Efsd 6","ah5Ghc 2","ah5Ghc 3"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/JChicken+UI/data=!4m7!3m6!1s0x2e69ed450754ebe1:0x19ce8c605c6a1b23!8m2!3d-6.3627706!4d106.8295319!16s%2Fg%2F11w_rgzk8p!19sChIJ4etUB0XtaS4RIxtqXGCMzhk?authuser=0&hl=id&rclk=1","JChicken UI","4,9","(420)","·","Rp 25–50 rb","Ayam","·","JRPH+VRV Universitas Indonesia, Gedung Takoru Fakultas Ilmu Sosial dan Ilmu Politik","Tutup","· Buka Sel pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAE1jsArf_TZ6yPdifmj3kUT9Cgpa7Q_cc4fNqTS7-QN0XmlG4WzHWKv3-wed37uXSUR8SLBU5eR5w4KqvVbQt-bNIJfRE26n6n6UcGHddtjPd5SEqU5anwmLSuuAmFXVH4W0XqaBEAjRGE=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Ayamnya murah dan surprisingly enak.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF3X3Jnems4cBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=QK34aeSLG_jNseMPzImEiQ8&ei=QK34aeSLG_jNseMPzImEiQ8&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","","",""
"https://www.google.com/maps/place/Twin+House+Depok,+FISIP+UI/data=!4m7!3m6!1s0x2e69ed018ad15049:0x3d4d89824319aa0b!8m2!3d-6.3614721!4d106.8295012!16s%2Fg%2F11mlwzgcjc!19sChIJSVDRigHtaS4RC6oZQ4KJTT0?authuser=0&hl=id&rclk=1","Twin House Depok, FISIP UI","5,0","(14)","·","Rp 25–50 rb","Restoran","·","Universitas Indonesia, Fakultas Ilmu Sosial dan Ilmu Politik, FISIP UI Jl. Prof. DR. Selo Soemardjan","Segera tutup","· 22.00 · Buka Sel pukul 11.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEh6gfoKWLiInj02zKulO_SGJ2iy3GyQvbigU645ldG3DKsOkJSN9BDzOEj_k-B8P6Ab8CpiklzFOiWTZSfOlGz6B373jB2h_0306Qd5ZCo-yWY8C5-VIC3824rLR8OYNjA-DgoySgPhxE=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Mantabb sore2 ngopi disini, kopi dan makanannya enak.""","","","","","","",""
"https://www.google.com/maps/place/Gubug+Makan+Mang+Engking/data=!4m7!3m6!1s0x2e69ec306e509193:0x25a371469eb859e9!8m2!3d-6.3492789!4d106.8315848!16s%2Fg%2F1tdhwjp8!19sChIJk5FQbjDsaS4R6Vm4nkZxoyU?authuser=0&hl=id&rclk=1","Gubug Makan Mang Engking","4,5","(6.748)","·","$$","Hidangan Laut","·","·","Tutup","· Buka Sel pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFGbwtdSB_FPTQCiFKad11V5-TrrshFWD66wNyPTD4UHKp3WAqJUVbxpkOc0sp7PD15ASr3UwBiEoR5cqXa4gKfk1C3mxA77dSXtHDSHOXztHBRAiLpvqUGJ6YtszHHRL_U3Mfh=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Sambalnya enak, terasinya berasa, tapi pedasnya lumayan nampol.""","","","","","Lingkar Utara, RW.3","",""
"https://www.google.com/maps/place/oi+coffee+%26+eatery/data=!4m7!3m6!1s0x2e69edfedc95fb0f:0x31a3503147a83394!8m2!3d-6.3541917!4d106.8368023!16s%2Fg%2F11m379k1l9!19sChIJD_uV3P7taS4RlDOoRzFQozE?authuser=0&hl=id&rclk=1","oi coffee & eatery","4,8","(2.593)","·","Rp 25–50 rb","Kedai Kopi","·","·","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFsGy365klg4cDo4QqscocaR9QF6hQNOnfr3xwkWIRH1iNwHKfzL2Ll8tYOz6g7VbAP5w3sTaAPBFdSaDp4rbqhpBzyZ9eEmoJka7Cu2-CHX5VCETlS9PHyXMxHKuYIFHCAHPPXeQ=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Jujur rice bowl nya enak enak sekaliii, minumannya juga enak enakkk.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFtMzc5azFsORgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=QK34aeSLG_jNseMPzImEiQ8&ei=QK34aeSLG_jNseMPzImEiQ8&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","Ruko River View Jl. Komjen. Pol. M. Jasin No.1","",""
"https://www.google.com/maps/place/Kantin+Pusat+Studi+Jepang+%28SK+Steak+UI%29/data=!4m7!3m6!1s0x2e69ed446171f265:0xa1fd7c03a3ba99af!8m2!3d-6.361741!4d106.8280298!16s%2Fg%2F11llv0gpfj!19sChIJZfJxYUTtaS4Rr5m6owN8_aE?authuser=0&hl=id&rclk=1","Kantin Pusat Studi Jepang (SK Steak UI)","4,2","(30)","·","Rp 25–50 rb","Masakan Asia","·","JRQH+862","Tutup","· Buka Sel pukul 07.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEedmpHW9vee-oIRp0igFilsfTOO5WeDNVcuoikdy_zAQMpJ8NBgh6Vaf1Op1nVOfhwYbzUaVH8CBOYHWz6m9wPcC3dLILhBszR_oiNhEqRp52crn2nRqPjPlpcSzsEZ1InFCU9iw=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Di sini, makanannya lumayan enak dan harganya masih terjangkau.""","","","","","","",""
"https://www.google.com/maps/place/Pondok+Laras/data=!4m7!3m6!1s0x2e69ec5cb41ed3df:0xdfd6d8d2eb933747!8m2!3d-6.3548895!4d106.8536157!16s%2Fg%2F1wfz1d51!19sChIJ39MetFzsaS4RRzeT69LY1t8?authuser=0&hl=id&rclk=1","Pondok Laras","4,5","(6.310)","·","Rp 25–50 rb","Jawa","·","Jl. Akses UI No.2","Tutup","· Buka Sel pukul 11.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGJyQAipyVnrf_ZQiDPOiE6DEI5LjW5D5sGAewud5WcKiG10hAqIYNTXee_oLEpQf57PB2xZO-y4zZ6aIjjDPMZFx53RPVu3QeSh_zlyaxddjHT6AyCxhKCQhGgA4JHt0inwxnv=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanannya enak, tempatnya keren, musholanya bersih dan nyaman.""","https://www.google.com/searchviewer/42?cvd=CLw_EiUKI-ICIDIeEhciFdLX29IPDwoLL2cvMXdmejFkNTEYADoDCPAN&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=QK34aeSLG_jNseMPzImEiQ8&ei=QK34aeSLG_jNseMPzImEiQ8&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","","Menu seafood klasik di restoran kasual","",""
"https://www.google.com/maps/place/Warung+Nasi+Sasari/data=!4m7!3m6!1s0x2e69ec171ed8efdf:0x50ea3195b3c45f7b!8m2!3d-6.363973!4d106.8324207!16s%2Fg%2F11clyd7_b1!19sChIJ3-_YHhfsaS4Re1_Es5Ux6lA?authuser=0&hl=id&rclk=1","Warung Nasi Sasari","4,4","(334)","·","Rp 1–25.000","Nasi","·","·","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHR9hI5Qa14-22Th6-0nE9fCAOAqLdeFMtpmrOsCYPRNWag_tFfxJqqiZ3DyNbKVoO-Xygxv4C2bGvVINV4wD28NEiykapv5um1ie59IAKCYdxm4rPMFgj4wR9RcxPhZuo8Pj5pDQ=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Banyak lauknya, enak-enak, tapi tetap murah""","","","","","Jl. Sawo No.21D, RT.3/RW.7","",""
"https://www.google.com/maps/place/Steak+Kiloan/data=!4m7!3m6!1s0x2e69eda90a659a1d:0xdd23e084a2b5f750!8m2!3d-6.3616354!4d106.8281323!16s%2Fg%2F11rfl1lzyp!19sChIJHZplCqntaS4RUPe1ooTgI90?authuser=0&hl=id&rclk=1","Steak Kiloan","4,2","(35)","","","Steak","·","JRQH+87R Universitas Indonesia, Kantin PSJ UI Pusat Studi Jepang, Jl. Prof. DR. Selo Soemardjan","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEH_dMNMAqA8w1xs5csRVIqi0CcODjVkCjGY5GQ2pPhZjnB8buEjdsv89g24Kttx2Pypx25X2Hvoqy76pYL9eA4ljB_iP7idpiMQTbOGcBF8EMHmA4O1xjAtHhk89EvBqs55qzx6iGvYdk=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""semua steaknya enak BANGET dan harganya student friendly bgt bgt.""","","","","","","",""
