"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","Cw1rxd","R8c4Qb","Jn12ke src","ah5Ghc","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd 2","R8c4Qb 2","doJOZc","W4Efsd 7"
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/UI+Mart+by+Alfamart/data=!4m7!3m6!1s0x2e69ed14fc4c2ee5:0x3c3e35010b78bea!8m2!3d-6.365307!4d106.8298658!16s%2Fg%2F11j352wzgy!19sChIJ5S5M_BTtaS4R6ou3EFDjwwM?authuser=0&hl=id&rclk=1","UI Mart by Alfamart","4,8","(11)","Minimarket","·","Perpustakaan Universitas Indonesia, Lt. Dasar","Buka","· Tutup pukul 23.00","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Mantap ada convience store di area Perpus UI, tempatnya mojok.""","","","","","","",""
"https://www.google.com/maps/place/ALFAMART+UI+PSIKOLOGI/data=!4m7!3m6!1s0x2e69edf9622384dd:0x10ee60d8af46d578!8m2!3d-6.3634032!4d106.8312711!16s%2Fg%2F11k0pjbqh_!19sChIJ3YQjYvntaS4ReNVGr9hg7hA?authuser=0&hl=id&rclk=1","ALFAMART UI PSIKOLOGI","4,4","(228)","Minimarket","·","Fakultas Psi, Jl. Margonda No.Kel","Segera tutup","· 22.00 · Buka Sel pukul 06.00","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Barangnya lengkap, harga bersaing, banyak barang promo.""","·","1 500 959","","","","",""
"https://www.google.com/maps/place/Alfa+Express+-+Stasiun+UI/data=!4m7!3m6!1s0x2e69ed003443c0f9:0x8dbc9b57e823e99c!8m2!3d-6.360817!4d106.8317236!16s%2Fg%2F11ykmtdc0l!19sChIJ-cBDNADtaS4RnOkj6FebvI0?authuser=0&hl=id&rclk=1","Alfa Express - Stasiun UI","5,0","(1)","Minimarket","·","JRQJ+MMX, Lingkar Utara","","","","Rute","","","","","","","","",""
"https://www.google.com/maps/place/Indomaret+FMIPA/data=!4m7!3m6!1s0x2e69edd3259fe1b9:0x97e99e85e0ffaf4e!8m2!3d-6.3688197!4d106.8256966!16s%2Fg%2F11c4804_54!19sChIJueGfJdPtaS4RTq__4IWe6Zc?authuser=0&hl=id&rclk=1","Indomaret FMIPA","4,4","(243)","Minimarket","·","JRJG+F7G University of indonesia","Tutup","· Buka Sel pukul 08.00","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat ngopi enak, tapi kesini sabtu kok tutup yah.""","·","(021) 39568165","https://indomaret.co.id/","","Rute","",""
"https://www.google.com/maps/place/Alfamart+AKSES+UI/data=!4m7!3m6!1s0x2e69ec434324865f:0x7200758f6517944f!8m2!3d-6.3552873!4d106.8519427!16s%2Fg%2F1hm3t57t9!19sChIJX4YkQ0PsaS4RT5QXZY91AHI?authuser=0&hl=id&rclk=1","Alfamart AKSES UI","4,3","(61)","Minimarket","·","·","Buka 24 jam","","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya nyaman dan mudah diakses""","Jl. Akses UI No.62","0812-9466-1658","","","","","·"
"https://www.google.com/maps/place/indomaret+akses+ui4/data=!4m7!3m6!1s0x2e69edc6818e27ad:0xb4260af1cbad23e1!8m2!3d-6.3554629!4d106.8417893!16s%2Fg%2F11gshwlbz2!19sChIJrSeOgcbtaS4R4SOty_EKJrQ?authuser=0&hl=id&rclk=1","indomaret akses ui4","4,3","(30)","Minimarket","·","Jl. Akses UI No.25","Segera tutup","· 22.00 · Buka Sel pukul 07.00","","Situs Web","","Pesan antar","","","https://indomaret.co.id/","","Rute","",""
"https://www.google.com/maps/place/Lawson+FISIP+UI/data=!4m7!3m6!1s0x2e69edc4692a58f5:0xd439010b95c22dea!8m2!3d-6.3627586!4d106.8296469!16s%2Fg%2F11krkkvpfk!19sChIJ9VgqacTtaS4R6i3ClQsBOdQ?authuser=0&hl=id&rclk=1","Lawson FISIP UI","4,8","(19)","Minimarket","·","FISIP Universitas Indonesia, Gedung Koentjaraningrat, Lantai 1","","","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanannya bagus, odengnya juga enak banget apalagi karagenya wuaaa""","","","","","","",""
"https://www.google.com/maps/place/VCoop+Mart/data=!4m7!3m6!1s0x2e69ed28651d5773:0x2465f1a81fbf0595!8m2!3d-6.3690926!4d106.8210343!16s%2Fg%2F11v0gb8vqh!19sChIJc1cdZSjtaS4RlQW_H6jxZSQ?authuser=0&hl=id&rclk=1","VCoop Mart","5,0","(5)","Minimarket","·","B, Kampus UI Depok Jl. Akses Vokasi UI","Tutup","· Buka Sel pukul 07.30","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Jajanannya lengkap, pelayanan cepat dan harga ramah di kantong.""","·","0819-2200-522","http://www.instagram.com/vcoop.mart","","Rute","",""
