"hfpxzc href","qBF1Pd","W4Efsd","Cw1rxd","R8c4Qb","W4Efsd 2","W4Efsd 3"
"https://www.google.com/maps/place/Terminal+Depok/data=!4m7!3m6!1s0x2e69ebe4ae7a1b75:0xda3318fcc3278400!8m2!3d-6.39162!4d106.82466!16s%2Fg%2F11jr00rfs4!19sChIJdRt6ruTraS4RAIQnw_wYM9o?authuser=0&hl=id&rclk=1","Terminal Depok","Perhentian bus","","Situs Web","",""
"https://www.google.com/maps/place/Jl.+St.+Depok+Lama/data=!4m7!3m6!1s0x2e69ebdf69f77b6d:0x2a50bb2a8de2819!8m2!3d-6.405424!4d106.8188925!16s%2Fg%2F11bzrl4sjk!19sChIJbXv3ad_raS4RGSjeqLILpQI?authuser=0&hl=id&rclk=1","Jl. St. Depok Lama","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Term.+Depok+Baru/data=!4m7!3m6!1s0x2e69ebfcb4f73485:0x17e986da23ceea39!8m2!3d-6.39107!4d106.82251!16s%2Fg%2F11h07pyxy8!19sChIJhTT3tPzraS4ROerOI9qG6Rc?authuser=0&hl=id&rclk=1","Term. Depok Baru","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Stasiun+Depok+Baru/data=!4m7!3m6!1s0x2e69ebfd745fdaf3:0xeaebdc8bfa2a2b10!8m2!3d-6.3891259!4d106.8190393!16s%2Fg%2F11g8cyrxnn!19sChIJ89pfdP3raS4RECsq-ovc6-o?authuser=0&hl=id&rclk=1","Stasiun Depok Baru","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Jl.+Raya+St+Depok+Lama/data=!4m7!3m6!1s0x2e69ebdf6a395e47:0xcab27f36949f9a8!8m2!3d-6.4055193!4d106.8190089!16s%2Fg%2F1hc76411j!19sChIJR145at_raS4RqPlJafMnqww?authuser=0&hl=id&rclk=1","Jl. Raya St Depok Lama","Perhentian bus","","Rute","·","Jl. Kartini No.1"
"https://www.google.com/maps/place/Terminal+Depok+Margonda/data=!4m7!3m6!1s0x2e69ebfcc73fff41:0xd5823dfd5c16886a!8m2!3d-6.39042!4d106.82217!16s%2Fg%2F11tfp4wvj9!19sChIJQf8_x_zraS4RaogWXP09gtU?authuser=0&hl=id&rclk=1","Terminal Depok Margonda","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Terminal+Sawangan/data=!4m7!3m6!1s0x2e69e9ace122a2e3:0x1424aaf520ae371d!8m2!3d-6.4033524!4d106.771976!16s%2Fg%2F11kgcp073r!19sChIJ46Ii4azpaS4RHTeuIPWqJBQ?authuser=0&hl=id&rclk=1","Terminal Sawangan","Terminal Bus","","Rute","",""
"https://www.google.com/maps/place/Agen+Bus+Sinar+Jaya/data=!4m7!3m6!1s0x2e69ebe17f2f2f65:0x1c9579a0aa1bf1c1!8m2!3d-6.3950457!4d106.8219199!16s%2Fg%2F1ptz032jk!19sChIJZS8vf-HraS4RwfEbqqB5lRw?authuser=0&hl=id&rclk=1","Agen Bus Sinar Jaya","Layanan Transportasi","","Rute","·","·"
"https://www.google.com/maps/place/Depok+Town+Square/data=!4m7!3m6!1s0x2e69ec0e4da4385d:0xfbed0099b6939bc7!8m2!3d-6.37231!4d106.83285!16s%2Fg%2F11rctj9969!19sChIJXTikTQ7saS4Rx5uTtpkA7fs?authuser=0&hl=id&rclk=1","Depok Town Square","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Terminal+Gedoran+Depok+Margonda/data=!4m7!3m6!1s0x2e69ebe483520ebf:0x83aa6c44fc465d85!8m2!3d-6.3910701!4d106.8224943!16s%2Fg%2F11c48sggm_!19sChIJvw5Sg-TraS4RhV1G_ERsqoM?authuser=0&hl=id&rclk=1","Terminal Gedoran Depok Margonda","Biro Perjalanan dan Wisata","","Situs Web","·","Depan Stasiun Depok Baru Jl. Gedoran Depok No.39"
"https://www.google.com/maps/place/Stasiun+Depok+Baru/data=!4m7!3m6!1s0x2e69ebe32bd955bf:0xa75dedd51602f069!8m2!3d-6.39164!4d106.82104!16s%2Fg%2F11h5rrd5sp!19sChIJv1XZK-PraS4RafACFtXtXac?authuser=0&hl=id&rclk=1","Stasiun Depok Baru","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/TERMINAL+JATIJAJAR/data=!4m7!3m6!1s0x2e69ea5116831081:0x48ff225179b58445!8m2!3d-6.426988!4d106.8567201!16s%2Fg%2F11bwhpbkrj!19sChIJgRCDFlHqaS4RRYS1eVEi_0g?authuser=0&hl=id&rclk=1","TERMINAL JATIJAJAR","Terminal Bus","","Situs Web","·","·"
"https://www.google.com/maps/place/Simpangan+Depok/data=!4m7!3m6!1s0x2e69eba62e10fabb:0x9a8de31dc80c31a7!8m2!3d-6.40993!4d106.86175!16s%2Fg%2F11r8bbxm1!19sChIJu_oQLqbraS4RpzEMyB3jjZo?authuser=0&hl=id&rclk=1","Simpangan Depok","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Cisalak+1/data=!4m7!3m6!1s0x2e69eb7fdf3d84af:0x341a8ad6a6da5d4d!8m2!3d-6.37952!4d106.86698!16s%2Fg%2F1hc1l8fdf!19sChIJr4Q933_raS4RTV3aptaKGjQ?authuser=0&hl=id&rclk=1","Cisalak 1","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Terminal+Sawangan/data=!4m7!3m6!1s0x2e69e9201e8b3b13:0x8e9565ce3785fcec!8m2!3d-6.40306!4d106.77184!16s%2Fg%2F11n8t6f_qj!19sChIJEzuLHiDpaS4R7PyFN85llY4?authuser=0&hl=id&rclk=1","Terminal Sawangan","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Stasiun+Depok+Baru/data=!4m7!3m6!1s0x2e69ebfcc2551ef3:0x750f9908468587d1!8m2!3d-6.39019!4d106.82172!16s%2Fg%2F11h5rrdbgf!19sChIJ8x5VwvzraS4R0YeFRgiZD3U?authuser=0&hl=id&rclk=1","Stasiun Depok Baru","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Terminal+Bus+Jatijajar/data=!4m7!3m6!1s0x2e69ea53e4a6e033:0x188ad7af64199624!8m2!3d-6.4262343!4d106.8586709!16s%2Fg%2F11bxdr_9t8!19sChIJM-Cm5FPqaS4RJJYZZK_Xihg?authuser=0&hl=id&rclk=1","Terminal Bus Jatijajar","Terminal Bus","","Rute","·","·"
"https://www.google.com/maps/place/Seberang+Stasiun+Depok+Baru/data=!4m7!3m6!1s0x2e69ebfce9d41845:0xb20a1e16c462bfa!8m2!3d-6.39002!4d106.82173!16s%2Fg%2F11gh1nt9hr!19sChIJRRjU6fzraS4R-itGbOGhIAs?authuser=0&hl=id&rclk=1","Seberang Stasiun Depok Baru","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Stasiun+Depok+Lama/data=!4m7!3m6!1s0x2e69c3e95a8c1253:0x4204e4bc254b63c6!8m2!3d-6.405353!4d106.8177978!16s%2Fg%2F11dxl97x79!19sChIJUxKMWunDaS4RxmNLJbzkBEI?authuser=0&hl=id&rclk=1","Stasiun Depok Lama","Perhentian bus","","Rute","·","Jl. St. Depok Lama"
"https://www.google.com/maps/place/Depok/data=!4m7!3m6!1s0x2e69e94322803665:0xc3993fe69b960adb!8m2!3d-6.3990875!4d106.8045692!16s%2Fg%2F11z42f0m2m!19sChIJZTaAIkPpaS4R2wqWm-Y_mcM?authuser=0&hl=id&rclk=1","Depok","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Margo+City/data=!4m7!3m6!1s0x2e69ec0e4fd50ceb:0x9140b017110a0341!8m2!3d-6.37226!4d106.83307!16s%2Fg%2F11rybn6vjb!19sChIJ6wzVTw7saS4RQQMKERewQJE?authuser=0&hl=id&rclk=1","Margo City","Perhentian bus","","Rute","",""
