"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","AJB7ye","AJB7ye 2","doJOZc","W4Efsd 6","ah5Ghc","M4A5Cf","ah5Ghc 2","A1zNzb href","J8zHNe","bbPy1","M4A5Cf 2","ah5Ghc 3","Jn12ke src"
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/The+Pizza+Company+-+Margo+City/data=!4m7!3m6!1s0x2e69ed005b957a6b:0x108a30476205b899!8m2!3d-6.3723853!4d106.8347568!16s%2Fg%2F11z6q9hhvb!19sChIJa3qVWwDtaS4RmbgFYkcwihA?authuser=0&hl=id&rclk=1","The Pizza Company - Margo City","5,0","(25)","Italia","·","Jl. Margonda Raya No.358","Segera tutup","· 22.00 · Buka Sel pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEzDF_ACyy1pO0jTeY8Zwx2jqNrlWK3w_PELiSdicVNF4UODMfVpdGxQ6tCmNIFZnvgViOTWmhCh5jiIUEO4hF6fZ2ZHcjG_FQYqE33Si5qWqyOykT3D1ROxE5jB1ASgURwIVShbGdFWDbx=w80-h106-k-no","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Pizza+Hut+Delivery+-+PHD+Indonesia/data=!4m7!3m6!1s0x2e69ec412ae03ebb:0xc3b275780e5b890!8m2!3d-6.3545575!4d106.8456673!16s%2Fg%2F11byykfb0m!19sChIJuz7gKkHsaS4RkLjlgFcnOww?authuser=0&hl=id&rclk=1","Pizza Hut Delivery - PHD Indonesia","4,5","(703)","Stan Pizza","·","·","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGJAQPmeu3sPfERhtWB9X49QHjepGWmsKKbY6JpGNP-J5NkEIb47J2yYSCfOBAmn34KOBzDx9b1GSJDLkBjalTj8ud1_umtpehMbYCuMpq6MqwAT5B4tqtdp2RjgT-4qCJ3GIDLokxH_TTH=w80-h119-k-no","·","$$","","Jl. Akses UI No.46","Bawa pulang","·","Antar tanpa bertemu","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFieXlrZmIwbRgAOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=CK_4aaSvJMzgseMPjpKEIQ&ei=CK_4aaSvJMzgseMPjpKEIQ&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","","",""
"https://www.google.com/maps/place/Pizza+Hut+Restoran/data=!4m7!3m6!1s0x2e69ebf78cfb2e1f:0xd8095ee1c1284ba0!8m2!3d-6.3728787!4d106.8331219!16s%2Fg%2F1tg7j774!19sChIJHy77jPfraS4RoEsoweFeCdg?authuser=0&hl=id&rclk=1","Pizza Hut Restoran","4,8","(4.231)","Pizza","·","·","Segera tutup","· 22.00 · Buka Sel pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG5chcmOOwgKZtiCUYxxZU5kcsUxNX4boi2BOGIz3eDHQy9B7OgPMMo4flp3Pspuxo2fd4BdIcQw7sZH1E0u8p_BDF04a076jV5pt1MDyL9lOnhuyx6sErpp5wgYoa-u9r6drRPbhjSsgs=w80-h106-k-no","·","$$","","Jl. Margonda No.356","Makan di tempat","·","Bawa pulang","https://www.google.com/searchviewer/42?cvd=CLw_EiUKI-ICIDIeEhciFdLX29IPDwoLL2cvMXRnN2o3NzQYADoDCPAN&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=CK_4aaSvJMzgseMPjpKEIQ&ei=CK_4aaSvJMzgseMPjpKEIQ&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","·","Antar tanpa bertemu",""
"https://www.google.com/maps/place/Pizza+Kaki+Lima+Margonda/data=!4m7!3m6!1s0x2e69ed005496274b:0x7d5e8894b5bfb6fd!8m2!3d-6.3865967!4d106.8276372!16s%2Fg%2F11ypgbzr2q!19sChIJSyeWVADtaS4R_ba_tZSIXn0?authuser=0&hl=id&rclk=1","Pizza Kaki Lima Margonda","4,5","(112)","Pizza","·","Jl. Margonda Raya No.177a","Segera tutup","· 22.00 · Buka Sel pukul 17.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG0jSzgo2GdIlxhODU3kK35VM72PTLAOqppF6Do9VEHgw-PtV-L3XSDTGL5EcRTynzU8519HsoqQzWPochn77_sjlDVRWag1VXjkORDXZPE5bm1eZPh9LzY9ZKqYbKa5ra3kXyoCGw1uYBl=w80-h142-k-no","·","Rp 50–75 rb","","","Makan di tempat","·","Bawa pulang","","","","","",""
"https://www.google.com/maps/place/Pizza+Bakar+Depok/data=!4m7!3m6!1s0x2e69e9002c45b345:0x20c8450eaca48516!8m2!3d-6.3889556!4d106.8144925!16s%2Fg%2F11n39mwc_4!19sChIJRbNFLADpaS4RFoWkrA5FyCA?authuser=0&hl=id&rclk=1","Pizza Bakar Depok","4,8","(18)","Pizza","·","Jl. Arif Rahman Hakim No.01-02","Segera tutup","· 22.00 · Buka Sel pukul 15.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEECLD0Nf1638ZcLoDODRlaZVW1611SJ23zMHMbWH7cmRRYIJu9GuywY0wNFVrU7B74WmPGaePqQrvJOLY-kpKDTnGsO8QVyYZLEditjvvGz29HP-W958LqCk7IxKlc_CIN_i316klUgGEj=w163-h92-k-no","","","","","","","","","","","","",""
"https://www.google.com/maps/place/LONGPAN+PIZZA/data=!4m7!3m6!1s0x2e69ed765ce89fc9:0x1d8b7b60336a8d2b!8m2!3d-6.3542844!4d106.8390745!16s%2Fg%2F11qgb_3744!19sChIJyZ_oXHbtaS4RK41qM2B7ix0?authuser=0&hl=id&rclk=1","LONGPAN PIZZA","4,4","(54)","Pizza","·","Jl. Komjen. Pol. M. Jasin No.34","Segera tutup","· 22.00 · Buka Sel pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHIi6v7lfp_OykcK8oKkafZ56mn7MlkhSrJMBpyAe7F0yYwriJADbOJd_mPIcEVZ74CKXD5aR7icrGySpsMkh-3J6qucgYuK9M72hlWRgxhf6Ppi-8FwLGkGpnHQMrhGuXs7i0=w80-h106-k-no","·","Rp 25–50 rb","","","Makan di tempat","·","Bawa pulang","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFxZ2JfMzc0NBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=CK_4aaSvJMzgseMPjpKEIQ&ei=CK_4aaSvJMzgseMPjpKEIQ&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","·","Antar tanpa bertemu",""
"https://www.google.com/maps/place/NYC+PIZZA+MARGO+CITY/data=!4m7!3m6!1s0x2e69eb63d9c715df:0xcf8e8ff5c7467d5b!8m2!3d-6.3820514!4d106.8282012!16s%2Fg%2F11z68w95bs!19sChIJ3xXH2WPraS4RW31Gx_WPjs8?authuser=0&hl=id&rclk=1","NYC PIZZA MARGO CITY","5,0","(18)","Pizza","·","Margo City Food Court, LT 2","Segera tutup","· 22.00 · Buka Sel pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHdDSjg1go5J5EPFadj7SqXZ0CE-OWWvJA3vnwUmDxEHtO6e9dEL1ilZgdCddmaarlgkTGiH5xPZi3B50oS0AqQXu_foPOJaut1iLBZIyszmpYcdhZQQkzDwQC7eN0aFEaBUxPTPHMtKJM=w138-h92-k-no","","","","","Makan di tempat","·","Bawa pulang","","","","","",""
"https://www.google.com/maps/place/King+Kone+Pizza/data=!4m7!3m6!1s0x2e69eea63e263229:0xd7647715f3cbdc42!8m2!3d-6.370025!4d106.813426!16s%2Fg%2F11cn9jlf_h!19sChIJKTImPqbuaS4RQtzL8xV3ZNc?authuser=0&hl=id&rclk=1","King Kone Pizza","4,0","(1)","Pizza","·","JRH7+X9V, Jl. Palakali Perempatan UI","Segera tutup","· 22.00 · Buka Sel pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHAPKnKoj_ci8coC6ZnbudoPuQlW9jZzQxE0fxdC3fMgK_237BBOwtWypZvXqnMM9xBbPeSD_xYpL4-FRos5cZ9KZsm_Bdjpm4h9W4GJN-7NJh818sS3LoZkTImbF2hiPiOaxFEElPRqemJ=w80-h106-k-no","","","","","Makan di tempat","·","Bawa pulang","","","","·","Antar tanpa bertemu",""
