"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","A1zNzb href","J8zHNe","bbPy1","ah5Ghc 2","ah5Ghc 3","doJOZc","W4Efsd 6"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/RM+Minang+UI,+Masakan+Padang+-+Kukusan/data=!4m7!3m6!1s0x2e69ed037773668b:0x3b46abf1f2ce6a4d!8m2!3d-6.3678578!4d106.8199497!16s%2Fg%2F11s41pn3sq!19sChIJi2ZzdwPtaS4RTWrO8vGrRjs?authuser=0&hl=id&rclk=1","RM Minang UI, Masakan Padang - Kukusan","4,6","(32)","·","Rp 1–25.000","Padang","·","Jl. Palakali No.70","Tutup","· Buka Sel pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH9BzE3lab5NKDXsAvlgy-UWEai1kP3L_mFWKM4u87_OIiw5drUlupKkVKKTgLGX8lguLwIdut6D2Kw-EWlomwjUK7voVWj-NjGk7fsuRfgFJm8ctGmLoa7tAqoWMJyjP-yyOD_-2cJoHq0=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Order rendang, lele goreng, tongkol balado.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFzNDFwbjNzcRgAOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=mrD4abDbFPKUseMPmL_5kAc&ei=mrD4abDbFPKUseMPmL_5kAc&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","","","",""
"https://www.google.com/maps/place/Restoran+Simpang+Raya+-+Margonda/data=!4m7!3m6!1s0x2e69ebf821cc8fd9:0xb4dd7f7da47bf578!8m2!3d-6.3795096!4d106.831398!16s%2Fg%2F1tfdh1pp!19sChIJ2Y_MIfjraS4RePV7pH1_3bQ?authuser=0&hl=id&rclk=1","Restoran Simpang Raya - Margonda","4,5","(2.948)","·","$$","Padang","·","Jl. Margonda No.264","Tutup","· Buka Sel pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGvD_IEPYdW79qx0xhhRvRfUWB1iyBhLIAQOoJuV90rYlQKiHORaLVzBdnYxHnLfvQv4f--3cYPUzy_hbRLnNLJ43QJUe-iJys-r3hmpmp0QyJ2u8qjl210GkYyuekWZrigt6M=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Rekomendasi makanan: sate","https://www.google.com/searchviewer/42?cvd=CLw_EiUKI-ICIDIeEhciFdLX29IPDwoLL2cvMXRmZGgxcHAYADoDCPAN&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=mrD4abDbFPKUseMPmL_5kAc&ei=mrD4abDbFPKUseMPmL_5kAc&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","padang",", tunjang, ayam gulai.""","",""
"https://www.google.com/maps/place/Rm.+Minang+Maimbau/data=!4m7!3m6!1s0x2e69e954d40b7fef:0xe6631e54c05500c5!8m2!3d-6.3815067!4d106.8145132!16s%2Fg%2F1hm2kn99p!19sChIJ738L1FTpaS4RxQBVwFQeY-Y?authuser=0&hl=id&rclk=1","Rm. Minang Maimbau","4,6","(836)","·","Rp 1–25.000","Padang","·","·","Tutup","· Buka Sel pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFMEEJRkh2wp2w_zi-X7HQjmvEUhlDNqf8Xhx5SwMrsKX74FeTjWYGQsbrurT9MQNWDKJiTNDD3vw1_GWDSruPl3kejvmGMpGFhFFkyVK_c8OP2L85QStfYFwY0kK6FsX8VjtlT5A=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanannya enak, dan untuk harga cocok di kantong.. murah kok..""","https://www.google.com/searchviewer/42?cvd=CLw_EiYKJOICITIfEhgiFtLX29IPEAoML2cvMWhtMmtuOTlwGAE6AwjwDQ%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=mrD4abDbFPKUseMPmL_5kAc&ei=mrD4abDbFPKUseMPmL_5kAc&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","","","Jl. H. Asmawi No.121"
"https://www.google.com/maps/place/Restoran+Sederhana+%28Masakan+Padang%29+-+Margonda/data=!4m7!3m6!1s0x2e69ec16ea9bd8db:0x86cef3307b4d8a4c!8m2!3d-6.366268!4d106.8343297!16s%2Fg%2F11r8d2rpm!19sChIJ29ib6hbsaS4RTIpNezDzzoY?authuser=0&hl=id&rclk=1","Restoran Sederhana (Masakan Padang) - Margonda","4,5","(1.704)","·","Rp 50–75 rb","Padang","·","Jl. Margonda No.43","Tutup","· Buka Sel pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFn-7RFU4_zsjNyfZZ3Eui2d3H1dNwSKWsJi_SWKs5Xth8465bAgijw0n859v5oaslMiJ1MZYtL0L_e0I-Q8ofE5bxnfbLFOSx2eKqemjSrKUZXSSEflJlYQjBV4KLYEaFhG56X=w136-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanannya enak, harga bersahabat, hanya saja kmrn rendangnya asiiin.""","","","","","","",""
"https://www.google.com/maps/place/Rumah+Makan+Ajo+Datuak/data=!4m7!3m6!1s0x2e69ec119f1dbbcf:0xffaab7278b6ef331!8m2!3d-6.3680241!4d106.8342667!16s%2Fg%2F1ptx5fnbl!19sChIJz7sdnxHsaS4RMfNuiye3qv8?authuser=0&hl=id&rclk=1","Rumah Makan Ajo Datuak","4,3","(177)","·","Rp 1–25.000","Padang","·","Jl. Margonda No.410","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGZj_7eX4zCX4CC5QuDXSY3BM0-LEREr-rRaCkEK1B5yTTyDKEsj4fqftKsvTEu2WV2XymBgki5_pX6SwY88hb-osAkPlumvOox7oKlwlG1PcvOxeK2R8PAy4HtaSzlrilhQGNf=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Rendang nasi sekitar 22rb.""","https://www.google.com/searchviewer/42?cvd=CLw_EiYKJOICITIfEhgiFtLX29IPEAoML2cvMXB0eDVmbmJsGAE6AwjwDQ%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=mrD4abDbFPKUseMPmL_5kAc&ei=mrD4abDbFPKUseMPmL_5kAc&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","","",""
"https://www.google.com/maps/place/Kedai+Nasi+Uni+Sekha/data=!4m7!3m6!1s0x2e69ec0db2f684d5:0x2a8e76f711959a8c!8m2!3d-6.3721193!4d106.8363671!16s%2Fg%2F11bzrk_pxb!19sChIJ1YT2sg3saS4RjJqVEfd2jio?authuser=0&hl=id&rclk=1","Kedai Nasi Uni Sekha","4,8","(415)","·","Rp 25–50 rb","Padang","·","·","Tutup","· Buka Sel pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHG7DZBrh0a4n3YZ_AaHQKsIr5hZNleFniRKcuwybBJVz9bM5aslTTXZgnn69jLNQwcDBc_DuliFqdc6qJiIUVByjLyzIQResjzNHxiOKeu_RlZOu-5z6M-g5xSDpFQlIcVVu-nlA=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Nasi","","","","padang","enak banget, hrg murah, bersih, pelayanan ok""","","No. 10A, Jl. Karet, RT.01/RW.05"
"https://www.google.com/maps/place/Rumah+Makan+Pondok+Baru+Ratu+Jaya/data=!4m7!3m6!1s0x2e69e97daf0564df:0xfa8440ef600e53da!8m2!3d-6.4139169!4d106.8160072!16s%2Fg%2F1ptvqbprw!19sChIJ32QFr33paS4R2lMOYO9AhPo?authuser=0&hl=id&rclk=1","Rumah Makan Pondok Baru Ratu Jaya","4,5","(1.824)","·","Rp 25–50 rb","Padang","·","Jl. Raya Citayam","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFTLKAcV60AKYm78rj-jQE3BP6l7ZGJYEUE6zLojhOk0hydNMnHowgpi_OPKZyCLHjYXPj7S1yGxaxph26G4ZPTvu0cevn-QTBvXSYT5FB1L5XNSUt7EXME2KtGA5b78AAfiFDu=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Enak banget masakan","https://www.google.com/searchviewer/42?cvd=CLw_EiYKJOICITIfEhgiFtLX29IPEAoML2cvMXB0dnFicHJ3GAE6AwjwDQ%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=mrD4abDbFPKUseMPmL_5kAc&ei=mrD4abDbFPKUseMPmL_5kAc&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","padang","disini... Tapi harganya jg sebanding""","",""
"https://www.google.com/maps/place/RM+Kari+Minang+Tole+Iskandar/data=!4m7!3m6!1s0x2e69eb0004a8e87d:0x835d330bbdbffe29!8m2!3d-6.4062718!4d106.8440084!16s%2Fg%2F11ld_n2dn0!19sChIJfeioBADraS4RKf6_vQszXYM?authuser=0&hl=id&rclk=1","RM Kari Minang Tole Iskandar","4,5","(589)","","","Restoran","·","Jl. Tole Iskandar","Tutup","· Buka Sel pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGBYNxhz_7c4S2LCxkdh3T7yafou_DSI916-DF1hHLGlZa3Qopf5Ghh3TyMbqhgXmAEYv9jRhQizEadY5MGIE-Iu6rWHM68-rxAHdFFYVUn1QizmXUuLFGlWFBjK4pGzsvUI8POo5TdcaTy=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tapi menurutku, rendang daging dan ayam gulainya the best banget.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFsZF9uMmRuMBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=mrD4abDbFPKUseMPmL_5kAc&ei=mrD4abDbFPKUseMPmL_5kAc&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","","",""
