"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 6","W4Efsd 7","FQ2IWe src","Jn12ke src","ah5Ghc","A1zNzb href","J8zHNe","bbPy1"
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Gubug+Makan+Mang+Engking/data=!4m7!3m6!1s0x2e69ec306e509193:0x25a371469eb859e9!8m2!3d-6.3492789!4d106.8315848!16s%2Fg%2F1tdhwjp8!19sChIJk5FQbjDsaS4R6Vm4nkZxoyU?authuser=0&hl=id&rclk=1","Gubug Makan Mang Engking","4,5","(6.748)","·","$$","Hidangan Laut","·","","·","Lingkar Utara, RW.3","Tutup","· Buka Sel pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFwHLL_jaDcpijpdnj-f5kGanpu0LUsfT1bmC9HtOdy_JlSd2PFdwYDLqdvTovuRfxHMt69lSRerpP710VXdYFnvCPH-D-tFNBSAqM6Uctt4d6zL7_d4OSlaiocQxJLaFjei1sq=w128-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""There are many food and drink menus available.""","","",""
"https://www.google.com/maps/place/JChicken+UI/data=!4m7!3m6!1s0x2e69ed450754ebe1:0x19ce8c605c6a1b23!8m2!3d-6.3627706!4d106.8295319!16s%2Fg%2F11w_rgzk8p!19sChIJ4etUB0XtaS4RIxtqXGCMzhk?authuser=0&hl=id&rclk=1","JChicken UI","4,9","(420)","·","Rp 25–50 rb","Ayam","·","","JRPH+VRV Universitas Indonesia, Gedung Takoru Fakultas Ilmu Sosial dan Ilmu Politik","","Tutup","· Buka Sel pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEmsrv3pZWVoJ70a4_GzA3FTMoWE6ZWvKrP4tR96XkVHnB29v5qFJDth1h53qDWbpBc6ULqHhFd4QAbjlRVr8VZ6jGFzTMmJPzQRpFfdzKZ2_z0oG5RRaZprKORi3_pmcjVVOIEscgS9FI=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Ayamnya bumbunya lebih terasa.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF3X3Jnems4cBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=_a_4aeK1C6KdseMP2s7JuQQ&ei=_a_4aeK1C6KdseMP2s7JuQQ&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Twin+House+Depok,+FISIP+UI/data=!4m7!3m6!1s0x2e69ed018ad15049:0x3d4d89824319aa0b!8m2!3d-6.3614721!4d106.8295012!16s%2Fg%2F11mlwzgcjc!19sChIJSVDRigHtaS4RC6oZQ4KJTT0?authuser=0&hl=id&rclk=1","Twin House Depok, FISIP UI","5,0","(14)","·","Rp 25–50 rb","Restoran","·","","Universitas Indonesia, Fakultas Ilmu Sosial dan Ilmu Politik, FISIP UI Jl. Prof. DR. Selo Soemardjan","","Segera tutup","· 22.00 · Buka Sel pukul 11.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGuailg7otJmihpQRc838D8wtTloRitYWr7svXQTxakO4lvv70k6Oq2mapQWA70COaqE_C89hTCQTlisrn_dTAjx5uJ-JGBBq0sQaJPKI39Kkkk0NvM6M0FTET4bo4RG5OFRFm-STY7KKU=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Chicken popcorn & chicken steak very recommended.""","","",""
"https://www.google.com/maps/place/oi+coffee+%26+eatery/data=!4m7!3m6!1s0x2e69edfedc95fb0f:0x31a3503147a83394!8m2!3d-6.3541917!4d106.8368023!16s%2Fg%2F11m379k1l9!19sChIJD_uV3P7taS4RlDOoRzFQozE?authuser=0&hl=id&rclk=1","oi coffee & eatery","4,8","(2.593)","·","Rp 25–50 rb","Kedai Kopi","·","","·","Ruko River View Jl. Komjen. Pol. M. Jasin No.1","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEGtMprW1v5Ws3_gFMGCb4Ro0ZA8XkC1rJr4RcopPaGCYAsz-y4tgm1BggHXauHwR4HqgQp9Bt7i-IMaOu89ulOwZbuQqO2lNZohr0xFOcWF5iuO8Fjs48_T6M_jJS4mIWOdY2K=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""good food, good ambiance.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFtMzc5azFsORgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=_a_4aeK1C6KdseMP2s7JuQQ&ei=_a_4aeK1C6KdseMP2s7JuQQ&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Kantin+Pusat+Studi+Jepang+%28SK+Steak+UI%29/data=!4m7!3m6!1s0x2e69ed446171f265:0xa1fd7c03a3ba99af!8m2!3d-6.361741!4d106.8280298!16s%2Fg%2F11llv0gpfj!19sChIJZfJxYUTtaS4Rr5m6owN8_aE?authuser=0&hl=id&rclk=1","Kantin Pusat Studi Jepang (SK Steak UI)","4,2","(30)","·","Rp 25–50 rb","Masakan Asia","·","","JRQH+862","","Tutup","· Buka Sel pukul 07.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEmh5_FGS8XTUS91IEiw6nq6GsczKuILZDOViIzHD5B2vaOlYlq3kORdaAPzApI-XTJk6h-XCn-xqKxVjmdRM2d7nbq6OpcsgnXRQQ3knStCEMGiHS44v_vShsT1yfq5ZBaMXNkVw=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Menu steak dengan aneka pilihan daging lokal dan impor.""","","",""
"https://www.google.com/maps/place/Green+Mipa+UI+Resto/data=!4m7!3m6!1s0x2e69ed7e5ce33849:0x971a2c14ee7673f!8m2!3d-6.3691102!4d106.8257261!16s%2Fg%2F11fl095_hb!19sChIJSTjjXH7taS4RP2fnTsGicQk?authuser=0&hl=id&rclk=1","Green Mipa UI Resto","4,5","(293)","·","Rp 25–50 rb","Restoran","","","","","Tutup","· Buka Sel pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEUhbaaoQwXCbl-eZAn-tmvoy9GlyftqLLHD3JbYFQiZOBmCwg1Wuinl4TorS0lnjmNedDSvpD0rnGJDeCSjY6sV9rpLG-IQr5Sto_dvhNcjpjZOE6FwfHzt7h26nGnpV2Zfe0-6mPKNNw=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""2x dine in, 2x take out.""","","",""
"https://www.google.com/maps/place/Pondok+Laras/data=!4m7!3m6!1s0x2e69ec5cb41ed3df:0xdfd6d8d2eb933747!8m2!3d-6.3548895!4d106.8536157!16s%2Fg%2F1wfz1d51!19sChIJ39MetFzsaS4RRzeT69LY1t8?authuser=0&hl=id&rclk=1","Pondok Laras","4,5","(6.310)","·","Rp 25–50 rb","Jawa","·","","Jl. Akses UI No.2","Menu seafood klasik di restoran kasual","Tutup","· Buka Sel pukul 11.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH6pDfjj1y3RcHXSTRwLvdkFREDQ09mygT4ZXYFwT78zaploaIA-6eZ4u-RXH1y2QsfYtyb7zwEvbd6NH5Lyv7r5FX-waicqjEnyOlPUmc0L4_m52vIrht-uIzrrlLjbf6UCRiW7g=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Great food, great atmosphere.""","https://www.google.com/searchviewer/42?cvd=CLw_EiUKI-ICIDIeEhciFdLX29IPDwoLL2cvMXdmejFkNTEYADoDCPAN&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=_a_4aeK1C6KdseMP2s7JuQQ&ei=_a_4aeK1C6KdseMP2s7JuQQ&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Steak+Kiloan/data=!4m7!3m6!1s0x2e69eda90a659a1d:0xdd23e084a2b5f750!8m2!3d-6.3616354!4d106.8281323!16s%2Fg%2F11rfl1lzyp!19sChIJHZplCqntaS4RUPe1ooTgI90?authuser=0&hl=id&rclk=1","Steak Kiloan","4,2","(35)","","","Steak","·","","JRQH+87R Universitas Indonesia, Kantin PSJ UI Pusat Studi Jepang, Jl. Prof. DR. Selo Soemardjan","","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEgqptzzH0gdBSD_VJnPUOHOuEukK1bKzo71jW49m-sAaZJtTIP3vxCOtkur2z_E8vPmyInMb6r17J_H1wAcJm-lJE1Hxj4IHm-UTw_kdaQz5CPU_Mq8Xg6IE9ZrWPpsH9rigeFJQ=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pesan steak aussy.""","","",""
