"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","doJOZc","W4Efsd 6","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3"
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Gymnasium/data=!4m7!3m6!1s0x2e69ec1c3883b5af:0xd4b0b8fd198db21c!8m2!3d-6.366947!4d106.8217697!16s%2Fg%2F11byfllyxf!19sChIJr7WDOBzsaS4RHLKNGf24sNQ?authuser=0&hl=id&rclk=1","Gymnasium","4,4","(27)","Pusat Kebugaran","·","JRMC+6PC, Jl. Prof. DR. Ir Somantri Brodjonegoro","Tutup","· Buka Sel pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFrD2iQrIb2am67saiIluIrxf008vXhWUsU2EKUguKlgY7Xgl498yTIRCviCXK0u_OpDf4ykyMmJtvB-zEZOO5LxtZcKtm5oIaRNc5-OsbVQmRkuz03tgKKZ2fyxCwMEKXYXTew=w137-h92-k-no","","","","","",""
"https://www.google.com/maps/place/Insyde+Gym/data=!4m7!3m6!1s0x2e69ec43e6475f55:0xc5caeeda7f6b7569!8m2!3d-6.3551157!4d106.8424594!16s%2Fg%2F11b90jnscy!19sChIJVV9H5kPsaS4RaXVrf9ruysU?authuser=0&hl=id&rclk=1","Insyde Gym","4,7","(36)","Tempat Fitness","·","·","Tutup","· Buka Sel pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAF4LlqzczxidSB4d4b3kdw6OtzYL-c_F8BYndLyQlu60HPUz1yCW4Wu-C_YLh3cNCXRvh2H3IGHT99jwh8dFZjheogJELN9A_v8rdP8FWPwa_N84ezbz3rYJYDugvg8jYbiJV7R=w122-h92-k-no","","Jl. Akses UI No.5 Lantai 2","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Member berapa ya cewe bisa gak","gym","d sini soalnya rmh saya dekat"""
"https://www.google.com/maps/place/FIT+HUB+Depok+Town+Square+%28Detos%29/data=!4m7!3m6!1s0x2e69ed2a4ec7b42d:0x92069e54aed556a8!8m2!3d-6.3727755!4d106.8324756!16s%2Fg%2F11tnkydbyq!19sChIJLbTHTirtaS4RqFbVrlSeBpI?authuser=0&hl=id&rclk=1","FIT HUB Depok Town Square (Detos)","4,5","(225)","Pusat kebugaran","·","·","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFSiisPafETd_ejouueTb2j090nrsQAFXPSdzWn4OUnvYoG8_xiDjF67v65NllhbqmnN8CQZ7wAoOI-W3Y3sRgLGI61emB4tztsY7auY-HJyoCLPg7eY6LIGEaVrSoBFOoGEC88=w199-h92-k-no","","Depok Town Square, Jl. Margonda No.1 lantai 2 mezanine","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Tempat gym","yg bersih , nyaman , staff nya baik dan ramah 😊"""
"https://www.google.com/maps/place/X+Team+Gym+Depok/data=!4m7!3m6!1s0x2e69ed3d209294c5:0xaf0a0124c3fa7128!8m2!3d-6.355626!4d106.8490216!16s%2Fg%2F11h6t54k99!19sChIJxZSSID3taS4RKHH6wyQBCq8?authuser=0&hl=id&rclk=1","X Team Gym Depok","4,5","(147)","Pusat kebugaran","·","Jl. Akses UI Jl. Komjen. Pol. M. Jasin No.6","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGMk1LGxpU6MEsdZN_YvslqHlGuRiKzpKqk876DKUqx_pu04khBs71VWQDzJoXaNcJNq_-nDYdGK8RhGtijXhdAAib6TSO1ip8yUHH48omnBftqZbQ8sm89j8YnBpe_3aBa7dH7_A=w161-h92-k-no","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","gym","lumayan lengkap, mau apapun programnya cocok ngegym disini."""
"https://www.google.com/maps/place/IKIGAI+FITNESS+-+DMALL/data=!4m7!3m6!1s0x2e69eb21f0808e33:0xaff4fd4d9f15d13d!8m2!3d-6.3870925!4d106.8271588!16s%2Fg%2F11gy4_n0dc!19sChIJM46A8CHraS4RPdEVn0399K8?authuser=0&hl=id&rclk=1","IKIGAI FITNESS - DMALL","4,8","(603)","Tempat Fitness","·","Jl. Margonda No.Kav. 88","Segera tutup","· 22.30 · Buka Sel pukul 06.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHBWC-S5exwlzTLvMpzZ6uSiz3iJWJX_rYViiodvu-S-7z3u5TDvrEpJDwUidWSsj_CV0Z78k6DcqhkUM2ygkLCKD8bvGVbJGF9j9DB7HUv6u9bTHx-8bqq69f5D7_83h6YMW2f=w122-h92-k-no","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Tempat gym","nyaman, fasilitas lengkap, bersih dan pelayanan baguss"""
"https://www.google.com/maps/place/Inside+Gym/data=!4m7!3m6!1s0x2e69ec119e2e87b3:0xb4f1f1809dcefef!8m2!3d-6.369628!4d106.8335183!16s%2Fg%2F11b8vc0zm8!19sChIJs4cunhHsaS4R7-_cCRgfTws?authuser=0&hl=id&rclk=1","Inside Gym","4,4","(82)","Tempat Fitness","·","·","Tutup","· Buka Sel pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHzryq8dgxI5taZeRaNzdM8dQSNQlNffSkzv3rMwv3Uk7ecWmdLzVwRK8krRawgtcsxk8IHXm-efnoDegQI60foSB6ibMpGqWXUAI2VkyK8LmrD_AoKfrdjWwsb42Gq1I4L75mk=w163-h92-k-no","","Jl. Margonda No.417 Lantai 2 & 3","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Gym","lumayan lengkap, alat sudah tua, dumbel maks 20kg."""
"https://www.google.com/maps/place/EPiC+Fitness+Studio/data=!4m7!3m6!1s0x2e69ef0e2bb367c5:0x1619aa6b38d12ac0!8m2!3d-6.3688008!4d106.7992323!16s%2Fg%2F11q9m4nck_!19sChIJxWezKw7vaS4RwCrROGuqGRY?authuser=0&hl=id&rclk=1","EPiC Fitness Studio","5,0","(132)","Pusat kebugaran","·","·","Tutup","· Buka Sel pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFEx_1agkNVzWzruW39SPedOiXrFKuq8JnzWdB1rfRArRPhGqZJorvmFtxgjJ0NIQN3W1UZ7rxmdf0Q3BC79lFXKTCp99C6HrKspksGjmO_XBG-Udjna4b3D5VWOeis8rNeQFFqvg=w123-h92-k-no","","Jl. Curug Agung No.3","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""...ga nyesel","gym","disini 💪💪💪"""
"https://www.google.com/maps/place/fithouse+pngstu/data=!4m7!3m6!1s0x2e69ec162ec05ddf:0x66822c48777aa57d!8m2!3d-6.3606575!4d106.8330893!16s%2Fg%2F11f11nr4cf!19sChIJ313ALhbsaS4RfaV6d0gsgmY?authuser=0&hl=id&rclk=1","fithouse pngstu","4,1","(49)","Tempat Fitness","·","Jl. Margonda No.41","Segera tutup","· 22.00 · Buka Sel pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFlGC5dPUbtn6y4WSavzPbOOLPH6oF7nnM6JWta-ZUmvNzekJk_bbrLjI2MSJfJdImnDMu7ePlABMmQScHgl-0O4STt7kFhMt9CT9EMdNdsX82QAMXGxvjfdCLD0B_4tfNYgyfyFw=w163-h92-k-no","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Ada dispenser untuk air gratis.""","",""
