"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","A1zNzb href","J8zHNe","bbPy1","ah5Ghc 2","ah5Ghc 3"
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Dips+Ice+Cream/data=!4m7!3m6!1s0x2e69ed298f973093:0x9473f8f539b6ea80!8m2!3d-6.3653837!4d106.8301923!16s%2Fg%2F11h0ydyc9m!19sChIJkzCXjyntaS4RgOq2OfX4c5Q?authuser=0&hl=id&rclk=1","Dips Ice Cream","4,5","(45)","Es Krim","·","JRMJ+R3W","Tutup","· Buka Sel pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGNgglDKtX_pscTBYQLzhMJxhHYgvg2kbvLlrJ2cfPvlo5APr-I3a4vtTnVs0XGGK_HNSxb7NKX8ex5ceSkvFARGbJOSWmRSRYh8SGRicMRDztOoDJCX4o0kcxTAyDIDIpQNFmh=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""yg stroberi juga enak agak mirip sorbet soalnya berasa buahnya 👍🏼👍🏼👍🏼""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFoMHlkeWM5bRgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=VrH4acrwL-WtseMPobTlCQ&ei=VrH4acrwL-WtseMPobTlCQ&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/Original+Gelato/data=!4m7!3m6!1s0x2e69efdedbc46013:0x85f6c19405dc12d7!8m2!3d-6.3653023!4d106.8140174!16s%2Fg%2F11q42yqg__!19sChIJE2DE297vaS4R1xLcBZTB9oU?authuser=0&hl=id&rclk=1","Original Gelato","4,6","(306)","Es Krim","·","Jl. Kukusan Raya No.21 Blok D, RT.2/RW.6","Tutup","· Buka Sel pukul 01.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFsvucNXNvrioGF303JAjJD_Ud5lhMnP_FLSSObTzw8A1AtDKlSeVBGIR-388DGv_6BJWRTRA4z3UfYDfFBNNV5jgOrCtfef-hrqpVBoVpso86zn2obV07QTtn7NONOtIBZBIwC=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Selain","","","","eskrim","bisa pesan makanan juga yg tempatnya terpisah."""
"https://www.google.com/maps/place/MIXUE+-+Kukusan+UI+Depok/data=!4m7!3m6!1s0x2e69efe33594ddab:0x5d74df050a5846b1!8m2!3d-6.3598799!4d106.8169945!16s%2Fg%2F11k3tnh7rw!19sChIJq92UNePvaS4RsUZYCgXfdF0?authuser=0&hl=id&rclk=1","MIXUE - Kukusan UI Depok","4,5","(196)","Es Krim","·","·","Segera tutup","· 22.00 · Buka Sel pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFrp2hvGeAiB1StCLDq3S0d_QQAdlX583LULehxHBQBZmL5lmBkbc8VYd03e0gkZjJRkvxy-yTBnNRA6JIwHhQ6t9FFAtq8ES7K_ayccQFArowYN6OQ_LdRlQGAK9oaXrK4flA=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFrM3RuaDdydxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=VrH4acrwL-WtseMPobTlCQ&ei=VrH4acrwL-WtseMPobTlCQ&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","Eskrim","nya enak, porsinya standar mixue lah, yang jaga ramah juga."""
"https://www.google.com/maps/place/Vilo+Gelato+Margo+City/data=!4m7!3m6!1s0x2e69ed6773b3512f:0x4d58a2bd2ad3ea84!8m2!3d-6.3725308!4d106.8341933!16s%2Fg%2F11rz59__vt!19sChIJL1Gzc2ftaS4RhOrTKr2iWE0?authuser=0&hl=id&rclk=1","Vilo Gelato Margo City","4,5","(174)","Es Krim","·","Jl. Margonda No.358","Segera tutup","· 22.00 · Buka Sel pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEc2YXpdmrLLH1TaXWYIh6oIMuqPI8dE2fYGXODzxRMuUjHaaMzlJFC-ikjV_uouVV0ivOMLPngunnv1cgARTwTO9O6BexvMqM9jgyJw9UsigH0EgEm5K1TMSRAlApeh07xCxyUbS-LFYw=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat makan","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFyejU5X192dBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=VrH4acrwL-WtseMPobTlCQ&ei=VrH4acrwL-WtseMPobTlCQ&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","eskrim","ada indoor dan outdoor, rasa"
"https://www.google.com/maps/place/Lets+Go+Gelato+Margo+City+Depok/data=!4m7!3m6!1s0x2e69edb312bcb21d:0x4a940dccbf9c06b5!8m2!3d-6.3731044!4d106.8349841!16s%2Fg%2F11ssq9kw1j!19sChIJHbK8ErPtaS4RtQacv8wNlEo?authuser=0&hl=id&rclk=1","Lets Go Gelato Margo City Depok","4,9","(106)","Es Krim","·","·","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGz-V7qryFO_Nbpcvcib4Z10TKW9EvhZ6knqrluFevuJPE-t-0ARZl54BsRC13hx7pgCRnzwqr0xdNHCRSmJsRS1HQUcPLlL0S3UtyOOn0EHKdyZXB1n8MCs0CDoJCJgULTQPJIgg=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Wajib coba buat kamu yang lagi cari dessert manis yang nggak bikin enek.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFzc3E5a3cxahgCOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=VrH4acrwL-WtseMPobTlCQ&ei=VrH4acrwL-WtseMPobTlCQ&fo_s=OA&opi=79508299&orderType=2&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/WEDRINK+Depok+Akses+UI/data=!4m7!3m6!1s0x2e69ed5cea3b8715:0x6eb9834009aa4eef!8m2!3d-6.3550815!4d106.8474106!16s%2Fg%2F11vb9lwp4s!19sChIJFYc76lztaS4R706qCUCDuW4?authuser=0&hl=id&rclk=1","WEDRINK Depok Akses UI","4,4","(34)","Es Krim","·","Jl. Akses UI No.7, RT.010/RW.010","Segera tutup","· 22.00 · Buka Sel pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHsbEFSak4597EZoBM8rK7vnp83mRJGwU_DEc993zEr3m4Vx4HR4ih1RvVv-GvUMSRmySCMA35K3Pq60q29VAJgic_j31vEgKlomM8GbiY5wQH9-l1QvYJbQ4ESgt7NdMLWKE_d1UlI_Qo=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""disetiap bangku juga ada colokan listrik, cocok buat nugas👍🏽""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF2Yjlsd3A0cxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=VrH4acrwL-WtseMPobTlCQ&ei=VrH4acrwL-WtseMPobTlCQ&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/Hedon+Fresh/data=!4m7!3m6!1s0x2e69ed57bdfb4de7:0x6b12eacb388a9731!8m2!3d-6.3440167!4d106.8383275!16s%2Fg%2F11kvsk1y7b!19sChIJ5037vVftaS4RMZeKOMvqEms?authuser=0&hl=id&rclk=1","Hedon Fresh","5,0","(538)","Es Krim","·","Jl. Gardu no No.9, RT.12/RW.2","Segera tutup","· 22.00 · Buka Sel pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHvPEoLdHSrCAxOTFW-QsKUiyrfMNrlh6uK3voun6pPx9ivv3ffWpB4vM8VWL5Ii--IFgXnRXevO2dMfxl_4gB1zkA9zp1XRgt8GVS4HOJU0FRdRFGpAcOeKXleIa_17u4CboWYxLYaFusM=w80-h107-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Varian","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFrdnNrMXk3YhgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=VrH4acrwL-WtseMPobTlCQ&ei=VrH4acrwL-WtseMPobTlCQ&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","eskrim","banyak, harganya murah, pelayanan cepet."""
"https://www.google.com/maps/place/Handala+Ice+Cream+Depok+%28Agen+Es+Krim+Aice+%26+indoeskrim+not+Diamond%29/data=!4m7!3m6!1s0x2e69ec7f8946cca3:0xbc39ff1a558bf116!8m2!3d-6.3795246!4d106.8631939!16s%2Fg%2F11f10g5bxp!19sChIJo8xGiX_saS4RFvGLVRr_Obw?authuser=0&hl=id&rclk=1","Handala Ice Cream Depok (Agen Es Krim Aice & indoeskrim not Diamond)","4,5","(194)","Es Krim","·","Jl. Masjid-Al Islah No.13, RT.004/RW.005","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHwdwyIZn1EfxHmJa7EeWwyUfhEl6MIC1NFrduUT6X5I2d3_IcesNdo5TfYfc0VuojEvgqgjH8ynU9pPc5pKwJUZELpag_rTa9yK8b3kjnZCio6UDhPuOp4kYkxRwvj0NFVnos=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Murah""rasa sesuai lidah""","","","","",""
