"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","doJOZc","W4Efsd 6","M4A5Cf"
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Warteg+Anjuli/data=!4m7!3m6!1s0x2e69edfad9260c6d:0xe9b4fbcfcebccb!8m2!3d-6.3678034!4d106.8201926!16s%2Fg%2F11smypnsy8!19sChIJbQwm2frtaS4Ry7zOz_u06QA?authuser=0&hl=id&rclk=1","Warteg Anjuli","4,7","(50)","·","Rp 1–25.000","Tegal","·","JRJC+V3G, Jl. Palakali","Segera tutup","· 22.00 · Buka Sel pukul 06.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEPTHcbqD1ZvS5hwA7VW0qE9Gc1aEtCmPt6FTj-FsmRNl-LruOEpnqjAQWhi5kH3u5fpVVwix5uJILqqy3t-Bn2Nw6SpFYC7kHb0tNgqLxAsmtDiqvrpbacoc15MDTGj_lXaiDrZQ=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Ini","warteg","Ramai banget, tapi memang bukan ramai orang nongkrong.""","","",""
"https://www.google.com/maps/place/Warteg+Kharisma+Bahari+Akses+UI+78/data=!4m7!3m6!1s0x2e69ed2015bd59b3:0xcae88889a088bd1a!8m2!3d-6.3560203!4d106.8561865!16s%2Fg%2F11h914vtsw!19sChIJs1m9FSDtaS4RGr2IoImI6Mo?authuser=0&hl=id&rclk=1","Warteg Kharisma Bahari Akses UI 78","4,5","(92)","·","Rp 1–25.000","Tegal","·","Jl. Akses UI No.78","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGStyn3DRh_AmY-3EvdaE4kTX2AlCIqeb9OXErwzo9GsgKcE7y0n30MlwcRzMXbmW5IuBEL1ifKajxA1j43jE_aBfnJgxX7_wTFA-fWmR_PPXZQ47JUlrOp4TV2H-TGUDpGsQr0RA=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Biasa saja umumnya","warteg","yg membedakan hanya  kharisma buka 24jam""","","",""
"https://www.google.com/maps/place/Warung+Nasi+Sasari/data=!4m7!3m6!1s0x2e69ec171ed8efdf:0x50ea3195b3c45f7b!8m2!3d-6.363973!4d106.8324207!16s%2Fg%2F11clyd7_b1!19sChIJ3-_YHhfsaS4Re1_Es5Ux6lA?authuser=0&hl=id&rclk=1","Warung Nasi Sasari","4,4","(334)","·","Rp 1–25.000","Nasi","·","·","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGNRV53LpvIEiiRC388QbJmLiOFUo3fi2xf1QozXdEJVDMXgL2KL24CSLUm8bV20wBG5bIFrqXIGaai3DOqqUG4jDmibaRrtf5VVL0Ij-4PRuY5tanTfJEdzUuEnMhWrWQ5MMGJfA=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""untuk ukuran","warteg",", harganya agak (sedikit) di atas, tapi masih ok.""","","Jl. Sawo No.21D, RT.3/RW.7",""
"https://www.google.com/maps/place/Warteg+Sumber+Rezeki/data=!4m7!3m6!1s0x2e69ec1f682debfd:0x208102a852129227!8m2!3d-6.3613048!4d106.8222577!16s%2Fg%2F1q6nz9sdc!19sChIJ_estaB_saS4RJ5ISUqgCgSA?authuser=0&hl=id&rclk=1","Warteg Sumber Rezeki","4,5","(70)","·","Rp 1–25.000","Tegal","·","·","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGRPYDT8fBecfqfINZj-6NzMoGuc1xbNRN6MONOuHBNS-_Xj92VCL5nPXgd52eVMnuuEPztNKaVoMhejnZctDrefWxnHoruMuiOSWLh4FwiNb4zbYAvm-kI_4yE9Za0FzQsb6Yn=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Cukup murah dan enak, standar","warteg","pada biasanya""","","JRQC+FWC, Jalan Carita",""
"https://www.google.com/maps/place/Warteg+Padaringan/data=!4m7!3m6!1s0x2e69ec17cc11c0f3:0xb316d04fd900f5e9!8m2!3d-6.361147!4d106.832281!16s%2Fg%2F11csswlvmn!19sChIJ88ARzBfsaS4R6fUA2U_QFrM?authuser=0&hl=id&rclk=1","Warteg Padaringan","3,8","(6)","·","$","Tegal","·","·","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=9U68pbZlD7JE0gni21ircA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=357.96967&pitch=0&thumbfov=100","","Makan di tempat","Bawa pulang","","","Blok Stasiun Ui Depok, Jl. Sawo Blok Stasiun Ui Depok No.5","·"
"https://www.google.com/maps/place/Warteg+Kharisma+Bahari/data=!4m7!3m6!1s0x2e69ed7bc2569e73:0x4e0a4012483bbaaf!8m2!3d-6.3631906!4d106.8338169!16s%2Fg%2F11rsrz7272!19sChIJc55WwnvtaS4Rr7o7SBJACk4?authuser=0&hl=id&rclk=1","Warteg Kharisma Bahari","4,3","(82)","·","Rp 1–25.000","Tegal","·","Jl. Margonda No.468","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHs2-0fCyBJmbqxFexUzZlK4PFMKNxqsmX9kNSh9UN4Bw1cTY3fXxYQyAmWVXR6-R9DaKYewmNFDcM1EDKHZQ43XsUhRM3P55swJxg6BP6ibSgEMc7mbpmaqhik9Nuk0UIiP4FygFguKer7=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Kualitas makanan di","Warteg","Bahari juga patut diacungi jempol.""","","",""
"https://www.google.com/maps/place/Warung+Makan+Bahari/data=!4m7!3m6!1s0x2e69ec21dbeb4a67:0x3ceef2e525c19524!8m2!3d-6.3601309!4d106.8218387!16s%2Fg%2F11c52sngmc!19sChIJZ0rr2yHsaS4RJJXBJeXy7jw?authuser=0&hl=id&rclk=1","Warung Makan Bahari","4,6","(232)","·","Rp 1–25.000","Jawa","·","·","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGPRIotdmPakWBM5c9_DiHEZYUKpI7zFczO_DtoL2nxWMcpEMPL70L4ZFJl4ciP8DFVygPyhUrfaznZcjDOrCnsnFIbIncQt60al_TwzJMSm6yt9zpWvy7GHIVi9-hfQn0y8NGF=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Cocok banget sama menu di","warteg","ini 👍👍""","","Jl. H. Amat No.34 A",""
"https://www.google.com/maps/place/WARTEG+Selera+Bahari+Tugu+Depok/data=!4m7!3m6!1s0x2e69ed006e5d97a7:0x93fce49d94a31f8!8m2!3d-6.3540334!4d106.8372774!16s%2Fg%2F11vwdm7txp!19sChIJp5ddbgDtaS4R-DFK2UnOPwk?authuser=0&hl=id&rclk=1","WARTEG Selera Bahari Tugu Depok","5,0","(2)","","","Indonesia","·","Jl. Akses UI No.88","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFB18N5N2Rtt8bpxB8TIlmhQvGpZY81NKtpM9qG3uxPGJx1XgxQNkVrmIrnSW_tgdj9ucVDf6cbVOP1EQcStw46cKqhHANBet1JM6Fwzodex8ixRlQF9VXx7PSv8280RE4Inqar=w80-h106-k-no","","Makan di tempat","Bawa pulang","","","","·"
