"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","A1zNzb href","J8zHNe","bbPy1"
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Tea+Storm+UPI+Gerlong/data=!4m7!3m6!1s0x2e68e764f81e4417:0x8973b4c2d2e2bffe!8m2!3d-6.8646584!4d107.5924104!16s%2Fg%2F11vjlytxcm!19sChIJF0Qe-GTnaC4R_r_i0sK0c4k?authuser=0&hl=id&rclk=1","Tea Storm UPI Gerlong","4,9","(260)","Es Krim","·","Jl. Gegerkalong Girang No.27B","Segera tutup","· 22.00 · Buka Sel pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFIE3SojvGLsGVcUFXLPiK7v0kc6_cI2v-9s5T2pEZNjyMVaad7ZfPMNgRLzEsJjHIsZPrVlwQ79zIDSuwbpw209TVXZJgrylQ37JEK7wNigSk7p_rnEjALUFqJZdFLkAalAvtI=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","eskrim","disini enak banget variannya juga variatif jadi ga bosenin😍""","","",""
"https://www.google.com/maps/place/Tianlala+UPI+Gerlong/data=!4m7!3m6!1s0x2e68e7827422c489:0x9f43de293dfa2ae4!8m2!3d-6.8646607!4d107.5924416!16s%2Fg%2F11x6c_4yrc!19sChIJicQidILnaC4R5Cr6PSneQ58?authuser=0&hl=id&rclk=1","Tianlala UPI Gerlong","4,1","(159)","Es Krim","·","Jl. Gegerkalong Girang","Segera tutup","· 22.00 · Buka Sel pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFw2D0TGopVIHVsW9y72sYH5umGHv4uxKKtpGgFyMwA9LNJ_BlYuw3h9VYA_rcbov7rXXcbgEQo4PCauuQqGa4WeRX8sEMukTwrYrwUA9uFRQXyvpSTqhwSDBxwHvHaB7NMj8k=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""enakk enakk harganya juga affordable""","","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF4NmNfNHlyYxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=oar4acqMIMzaseMP-uTasQI&ei=oar4acqMIMzaseMP-uTasQI&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Wedrink+Gerlong+Girang/data=!4m7!3m6!1s0x2e68e7f1931eb73d:0x21103119e8483cd7!8m2!3d-6.8638724!4d107.5901962!16s%2Fg%2F11l2g11y59!19sChIJPbcek_HnaC4R1zxI6BkxECE?authuser=0&hl=id&rclk=1","Wedrink Gerlong Girang","4,8","(236)","Es Krim","·","Jl. Gegerkalong Girang No.65a","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGIcNUx_rUEnURie-JjOWWkw3ewnJnSVgZu9C0aniEBieLFGsgiCOzzaYcwKcJ-P5c_oTEmb89tmTN0qhNQ6TkRhqGoj7qIV6HAuklLqcn-ALbFQi9mTxBNVJkJHUB5MRtjBlWs=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""tempat nyaman","eskrim","matcha nya enak
pelayanan bagus""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFsMmcxMXk1ORgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=oar4acqMIMzaseMP-uTasQI&ei=oar4acqMIMzaseMP-uTasQI&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Rit%27s+Bandoeng+Ice+Cream/data=!4m7!3m6!1s0x2e68e727796770d9:0x6aa20cfe2c71d961!8m2!3d-6.8478853!4d107.5985131!16s%2Fg%2F1v_ql5qc!19sChIJ2XBneSfnaC4RYdlxLP4Momo?authuser=0&hl=id&rclk=1","Rit's Bandoeng Ice Cream","4,3","(144)","Es Krim","·","Jl. Dr. Setiabudi No.388","Tutup","· Buka Sel pukul 11.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHdHoDRTgYQF1bZ8zYbnryzh5XzfxcfY7BzEBEPYzLoEDhKp8aXOqWkreqlS9wcrZwYuV0Z0zq2N9uMDw_EPoAgUM636Fa_6WojZ1GpWFSUDRu9mAvJyRn-gg39xLisYmtTlDlk7A=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Wajib coba yang rasa mangganya, segar & rasa buahnya terasa.""","","","","",""
"https://www.google.com/maps/place/Tianlala+Ciumbuleuit/data=!4m7!3m6!1s0x2e68e70074b5ba91:0xbe65e13c2f4fcf90!8m2!3d-6.8740768!4d107.6045603!16s%2Fg%2F11y0qd2jl6!19sChIJkbq1dADnaC4RkM9PLzzhZb4?authuser=0&hl=id&rclk=1","Tianlala Ciumbuleuit","4,8","(62)","Es Krim","·","Jl. Ciumbuleuit No.163, R-1","Segera tutup","· 22.00 · Buka Sel pukul 07.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFN9UNbNnSEJsdCZWGo51sHqUbsCK21kEpp79ItzBvA3MBj4Vc7ErhDgjQctmNwaMZBWrXKm1GaF7QpCWYDu30z-aL0MPK8PtTCc5Ae_n5tKJYDqJRRCwlLLJJwsIAxIiHhGK8Gk2k-3Fur=w80-h141-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Eskrim","yogurtnya enak, blooming jasmine milk tea recommended 😍🤤""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF5MHFkMmpsNhgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=oar4acqMIMzaseMP-uTasQI&ei=oar4acqMIMzaseMP-uTasQI&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Taman+Ice+Cream/data=!4m7!3m6!1s0x2e68e6b8da2189b1:0x4ec278cfed863e8f!8m2!3d-6.8486528!4d107.5986003!16s%2Fg%2F1v2bncps!19sChIJsYkh2rjmaC4Rjz6G7c94wk4?authuser=0&hl=id&rclk=1","Taman Ice Cream","4,2","(103)","Es Krim","·","Jl. Dr. Setiabudi No.382","Tutup","· Buka Sel pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFJRqMCng2_E06c5xfUdLLQ3domOjvnRItAkcUwuGiOXCzkpC-BBoKwod5I9xx7EVDcj6NeKxDn16kDGvri6bVMIceQqCfNetnJFUyTsRZqyoQojUihvE_ae6vraS6jrG_VauyN=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","eskrim","strawberrynya enak, yg rum n raisin jadul enak""","","",""
"https://www.google.com/maps/place/Tianlala+Sarijadi/data=!4m7!3m6!1s0x2e68e70005372299:0x43cf0f4e797a6ad6!8m2!3d-6.8806426!4d107.5784998!16s%2Fg%2F11x_55493p!19sChIJmSI3BQDnaC4R1mp6eU4Pz0M?authuser=0&hl=id&rclk=1","Tianlala Sarijadi","4,8","(189)","Es Krim","·","Jl. Perintis No.41","Tutup","· Buka Sel pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHKnO_5Ft4E5aT0nhUI0UbSULZtk4FukkPHdPicbxjIxIL_bEfWmkT810YIHXPyQFbJF_x_xrHyEH4SUIges8H_090MRnjp0_Q5YNTP5ruG-mHeROSCT6yvJ8UHWD9JsgJlYns6PGJq9KKJ=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanannya enak, tempatnya bersih dan nyaman, pelayanannya juga cepat.""","","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF4XzU1NDkzcBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=oar4acqMIMzaseMP-uTasQI&ei=oar4acqMIMzaseMP-uTasQI&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/H%C3%A4agen-Dazs/data=!4m7!3m6!1s0x2e68e7a9b009aa05:0x721b10dd9ed15da0!8m2!3d-6.8824957!4d107.6005657!16s%2Fg%2F11qq73r_ft!19sChIJBaoJsKnnaC4RoF3Rnt0QG3I?authuser=0&hl=id&rclk=1","Häagen-Dazs","4,7","(104)","Es Krim","·","Jl. Dr. Setiabudi","Tutup","· Buka Sel pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHQXM17x8QiSSiTZnhhK5zISQ3RZZWlSS0ert3rtXcYMsV32AHUB2sFPB9v85swWJaibwNZ1VWMI7K6Jz-QZAQO_p86aN2m0Ux23ovMEJVHJN3YVEohSRNUtJfCzYjfxJtZ1OZm=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""rasa","eskrim","ga perlu diragukan lagi tapi sayang tempatnya terbatas""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFxcTczcl9mdBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=oar4acqMIMzaseMP-uTasQI&ei=oar4acqMIMzaseMP-uTasQI&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
