"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","Cw1rxd","R8c4Qb","ah5Ghc","lcr4fd href","Cw1rxd 2","R8c4Qb 2","M4A5Cf","ah5Ghc 2","ah5Ghc 3","Jn12ke src"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Apotek+Setiabudhi/data=!4m7!3m6!1s0x2e68e693789fd831:0x7c5f54f4b63015ba!8m2!3d-6.8724036!4d107.5949106!16s%2Fg%2F11b60fs1pn!19sChIJMdifeJPmaC4RuhUwtvRUX3w?authuser=0&hl=id&rclk=1","Apotek Setiabudhi","4,1","(42)","Apotek","·","Jalan Dokter Setiabudhi. 170-D2, Hegarmanah, Sukasari","Buka","· Tutup pukul 22.00","·","2038212","","Rute","","","","","","","",""
"https://www.google.com/maps/place/Apotek+Anyar+Farma/data=!4m7!3m6!1s0x2e68e6bcaa65d60b:0x5f850e3da3bf006c!8m2!3d-6.8622687!4d107.5863044!16s%2Fg%2F11g6x9dlj0!19sChIJC9ZlqrzmaC4RbAC_oz0OhV8?authuser=0&hl=id&rclk=1","Apotek Anyar Farma","4,3","(28)","Apotek","·","Jl. Gegerkalong Girang No.100","Buka","· Tutup pukul 22.00","·","0821-2137-9135","","Rute","Pesan antar","","","","","","",""
"https://www.google.com/maps/place/Apotek+Kimia+Farma,+Gegerkalong/data=!4m7!3m6!1s0x2e68e69685b3332f:0xb638b2ab27b1f940!8m2!3d-6.870137!4d107.591391!16s%2Fg%2F11f53fvl32!19sChIJLzOzhZbmaC4RQPmxJ6uyOLY?authuser=0&hl=id&rclk=1","Apotek Kimia Farma, Gegerkalong","4,1","(123)","Apotek","·","Jl. Gegerkalong Hilir No.33","Buka","· Tutup pukul 22.00","·","0811-2157-684","","Situs Web","Belanja di toko","http://kimiafarmaapotek.co.id/","","Rute","·","Ambil di toko","Pesan antar",""
"https://www.google.com/maps/place/Apotek+K24+Gegerkalong/data=!4m7!3m6!1s0x2e68e696f57f7261:0xed7b2187de05aee6!8m2!3d-6.8697988!4d107.5900681!16s%2Fg%2F1ptxlm_z4!19sChIJYXJ_9ZbmaC4R5q4F3oche-0?authuser=0&hl=id&rclk=1","Apotek K24 Gegerkalong","4,4","(292)","Apotek","·","·","Buka 24 jam","","·","0811-2472-424","","Situs Web","Belanja di toko","https://www.apotek-k24.com/location/detail/222/K-24-GEGERKALONG-","","Rute","·","Ambil di toko","Pesan antar",""
"https://www.google.com/maps/place/Kimia+Farma+Apotek/data=!4m7!3m6!1s0x2e68e6f470c03d57:0x6f4774a8248b9152!8m2!3d-6.8826582!4d107.6016301!16s%2Fg%2F11b6gc6l18!19sChIJVz3AcPTmaC4RUpGLJKh0R28?authuser=0&hl=id&rclk=1","Kimia Farma Apotek","4,8","(290)","Apotek","·","·","Buka","· Tutup pukul 22.00","·","0811-2157-660","","Situs Web","Belanja di toko","http://kimiafarmaapotek.co.id/","","Rute","·","Ambil di toko","Pesan antar",""
"https://www.google.com/maps/place/Apotek+Baladewa+Farma+3/data=!4m7!3m6!1s0x2e68e7200b41fabd:0x815991b945e625cd!8m2!3d-6.8696035!4d107.5896508!16s%2Fg%2F11tgf6hg87!19sChIJvfpBCyDnaC4RzSXmRbmRWYE?authuser=0&hl=id&rclk=1","Apotek Baladewa Farma 3","4,4","(97)","Apotek","·","Jl. Gegerkalong Hilir No.66","Buka 24 jam","","·","0822-5751-1683","","Situs Web","Pesan antar","https://linktr.ee/baladewafarma3","","Rute","","","",""
"https://www.google.com/maps/place/Apotek+Risna+Medika/data=!4m7!3m6!1s0x2e68e740b40d0935:0x6b086e911cf95651!8m2!3d-6.8665627!4d107.5917432!16s%2Fg%2F11v4cvmlnc!19sChIJNQkNtEDnaC4RUVb5HJFuCGs?authuser=0&hl=id&rclk=1","Apotek Risna Medika","4,1","(18)","Apotek","·","Jl. Gegerkalong Tengah No.46","","","","","","Rute","","","","","","","",""
"https://www.google.com/maps/place/Apotek+Bona+Farma/data=!4m7!3m6!1s0x2e68e6947f28bc1d:0x3eb60a6fc4fba5cd!8m2!3d-6.8720271!4d107.5945706!16s%2Fg%2F1hc17djkc!19sChIJHbwof5TmaC4RzaX7xG8Ktj4?authuser=0&hl=id&rclk=1","Apotek Bona Farma","3,8","(133)","Apotek","·","Jl. Dr. Setiabudi No.170J","Segera tutup","· 21.00 · Buka Sel pukul 07.30","·","(022) 2034333","","Rute","Pesan antar","","","","","","",""
