"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","Cw1rxd","R8c4Qb","Jn12ke src","ah5Ghc"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Sandy+Photocopy/data=!4m7!3m6!1s0x2e68e76a08560df9:0x37c4401c655d18eb!8m2!3d-6.8650761!4d107.5928859!16s%2Fg%2F11p187ybgq!19sChIJ-Q1WCGrnaC4R6xhdZRxAxDc?authuser=0&hl=id&rclk=1","Sandy Photocopy","5,0","(203)","Toko Fotokopi","·","4HMV+V3H, Jl. Gegerkalong Girang BLK (Gg Albarkah No.21","Tutup","· Buka Sel pukul 07.00","·","0812-2376-0075","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png",""""
"https://www.google.com/maps/place/Satria+Fotocopy/data=!4m7!3m6!1s0x2e68e6bc318e75f3:0x54365bea9c76d187!8m2!3d-6.8642046!4d107.5911284!16s%2Fg%2F11b61jmvwv!19sChIJ83WOMbzmaC4Rh9F2nOpbNlQ?authuser=0&hl=id&rclk=1","Satria Fotocopy","4,4","(220)","Toko Fotokopi","·","·","Buka 24 jam","","Jl. Gegerkalong Girang No.49","0821-1939-8944","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Baguss dan fasilitas lengkap dengan harga terjangkau 👍👍👍👍👍"""
"https://www.google.com/maps/place/Al+Huda+Copy+Center/data=!4m7!3m6!1s0x2e68e6ba235386df:0x432d2d11cd346b41!8m2!3d-6.858398!4d107.5912147!16s%2Fg%2F11b6glg2vg!19sChIJ34ZTI7rmaC4RQWs0zREtLUM?authuser=0&hl=id&rclk=1","Al Huda Copy Center","4,0","(1)","Toko Fotokopi","·","4HRR+JFW, Jl. Negla","Segera tutup","· 21.00 · Buka Sel pukul 06.00","·","0813-2792-3666","","Rute","",""
"https://www.google.com/maps/place/surya+utama+foto+copy/data=!4m7!3m6!1s0x2e68e6bc3a7e757f:0xe1cf0832dfb03c0!8m2!3d-6.8645754!4d107.5930059!16s%2Fg%2F11ckd6vv9h!19sChIJf3V-OrzmaC4RwAP7LYPwHA4?authuser=0&hl=id&rclk=1","surya utama foto copy","4,1","(57)","Toko Fotokopi","·","·","Tutup","· Buka Sel pukul 06.00","Jl. Gegerkalong Girang No.21","0821-2908-2773","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Lumayan lengkap dan harga nya murah juga meskipun dekat kampus."""
"https://www.google.com/maps/place/Foto+Copy+A-Z-S+DIGITAL+COPIER/data=!4m7!3m6!1s0x2e68e7d286702901:0x877d55b5cf558c04!8m2!3d-6.8641329!4d107.5938941!16s%2Fg%2F11l5l4ft3s!19sChIJASlwhtLnaC4RBIxVz7VVfYc?authuser=0&hl=id&rclk=1","Foto Copy A-Z-S DIGITAL COPIER","5,0","(59)","Toko","·","Jl. Dr. Setiabudi No.207","Tutup","· Buka Sel pukul 06.30","·","0877-2252-7575","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""suka di gratisin permen, coklat, banyak bonusss dab termurah"""
"https://www.google.com/maps/place/Fotocopy+Mandiri/data=!4m7!3m6!1s0x2e68e7152915ab85:0x85e4ec986c74cb91!8m2!3d-6.8619531!4d107.5891894!16s%2Fg%2F11l747jr_x!19sChIJhasVKRXnaC4Rkct0bJjs5IU?authuser=0&hl=id&rclk=1","Fotocopy Mandiri","5,0","(2)","Toko Fotokopi","·","Jl. Gegerkalong Girang Gg. Cempaka No.122","Buka","· Tutup pukul 22.00","·","0822-1876-0021","","Rute","",""
"https://www.google.com/maps/place/Sukses+Copy+Center/data=!4m7!3m6!1s0x2e68e69ca231fea7:0x23c74e6518208d3f!8m2!3d-6.876731!4d107.579686!16s%2Fg%2F11b6d000pc!19sChIJp_4xopzmaC4RP40gGGVOxyM?authuser=0&hl=id&rclk=1","Sukses Copy Center","4,7","(49)","Toko Fotokopi","·","Jl. Sarirasa No.10","Buka","· Tutup pukul 22.00","·","(022) 2009149","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Enak, parkirnya kurang besar buat Mobil, saran di renov pak tempatnya"""
"https://www.google.com/maps/place/Metto+Copy+Centre/data=!4m7!3m6!1s0x2e68e6bc98f3555d:0xe5d3d1c36ef5862a!8m2!3d-6.8629153!4d107.5878649!16s%2Fg%2F11b6hwvlb2!19sChIJXVXzmLzmaC4RKob1bsPR0-U?authuser=0&hl=id&rclk=1","Metto Copy Centre","4,5","(2)","Toko Fotokopi","·","Jalan Gegerkalong No.7A","Segera tutup","· 21.00 · Buka Sel pukul 07.00","·","0896-7136-7023","","Rute","",""
