"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","A1zNzb href","J8zHNe","bbPy1","W4Efsd 6","ah5Ghc 2"
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/CW+Coffee+%26+Eatery/data=!4m7!3m6!1s0x2e68e72c5d86ed3f:0x5553b798e4986ec0!8m2!3d-6.8646503!4d107.592366!16s%2Fg%2F11s5vswy2y!19sChIJP-2GXSznaC4RwG6Y5Ji3U1U?authuser=0&hl=id&rclk=1","CW Coffee & Eatery","4,6","(330)","·","Rp 25–50 rb","Kedai Kopi","·","","·","Jl. Gegerkalong Girang No.27","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAE3QOgyaAAO1e3FobL50o7233zES-BlKcoT7UWhEcYV5OjQFhV8m_YFuSEz1ccsLy2bB6Qh9xN4bOg8riXnH8QOg0XJRp4sagR4QPKAcugHGr8qAp94kwKC35u5VUXArcVgAFnY=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""menu makanan dan minumannya banyak bangetttt harganya cukup terjangkau.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFzNXZzd3kyeRgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=iab4aYXtN_nKseMPtc69sAE&ei=iab4aYXtN_nKseMPtc69sAE&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/Santerra+Coffee/data=!4m7!3m6!1s0x2e68e722c2ea18d9:0xf59aa07eac26aae7!8m2!3d-6.8623236!4d107.5938588!16s%2Fg%2F11ydl17xw8!19sChIJ2RjqwiLnaC4R56omrH6gmvU?authuser=0&hl=id&rclk=1","Santerra Coffee","5,0","(58)","·","Rp 1–25.000","Kedai Kopi","·","","Gd. Geugeut Winda Lt.1 PKM UPI","","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEuwMjL30I6FuUSCXjI8i0Jt3U45el2TDaWVf12KYeNCdqBUOBJqtjnHWVfJn7x8cItYfLiYlyA_W_GRaSDmjh2gtwMyk3q34cGyMVonvCk_Zprc4hO2-PlkrSM1TTgyQBFCpEmON245BU=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""keren dah tempatnya cozy dan makanannya enak, cocok buat kumpul""""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF5ZGwxN3h3OBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=iab4aYXtN_nKseMPtc69sAE&ei=iab4aYXtN_nKseMPtc69sAE&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","· Buka Sel pukul 07.00",""
"https://www.google.com/maps/place/Warung+N%27ce/data=!4m7!3m6!1s0x2e68e7b6fa614b93:0xc7072f5da0c07b27!8m2!3d-6.8589313!4d107.5955071!16s%2Fg%2F11gns8k0_x!19sChIJk0th-rbnaC4RJ3vAoF0vB8c?authuser=0&hl=id&rclk=1","Warung N'ce","4,6","(10)","","","Kedai Kopi","·","","4HRW+C6C, Jl. Dr. Setiabudi","","Segera tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFeJD19Hsw_8ZM7sV3XugiYMwCEhsG9njhGi2z8ZQ42EFypoEe2GOipcsG1fW49yt3jT0RH9lR7b2VkbZ6i4NaJfIBsoAWuSFgBDiXL2qRohTCglor7hddhhHxxoUNyindVzgFa=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Lokasi paling nyaman ketika malam hening dan makanan yang nikmat""","","","","· 22.00 · Buka Sel pukul 09.00",""
"https://www.google.com/maps/place/Dimana+Ellis+Coffee/data=!4m7!3m6!1s0x2e68e771a1c7a965:0xddf684ad7d7ee9bf!8m2!3d-6.8578694!4d107.5909338!16s%2Fg%2F11yj5ffzxz!19sChIJZanHoXHnaC4Rv-l-fa2E9t0?authuser=0&hl=id&rclk=1","Dimana Ellis Coffee","4,9","(23)","·","Rp 1–25.000","Kedai Kopi","·","","·","Jl. Cilimus No.9a","Buka","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEW53ansPr1eaIX8e8_K2F2ixOiEE24sif6prqVeyHSE7eiUiUajgELkNVNddjQ7j35gR71L7UbxCe90MCu-__5F-cEwok6lKG-wP2LLJUTnlmTnTrH6XIMLMHMu6Gou9_EbLB-LJkkfCfz=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat yg sangat cozy, bagus, serta coffe & makanan nya juga enak""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF5ajVmZnp4ehgAOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=iab4aYXtN_nKseMPtc69sAE&ei=iab4aYXtN_nKseMPtc69sAE&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","· Tutup pukul 23.00",""
"https://www.google.com/maps/place/TOMORO+COFFEE+-+Universitas+Pendidikan+Indonesia/data=!4m7!3m6!1s0x2e68e7004e6d5239:0xa7f01ccb775e499b!8m2!3d-6.8624185!4d107.5932406!16s%2Fg%2F11y3kz1rg_!19sChIJOVJtTgDnaC4Rm0led8sc8Kc?authuser=0&hl=id&rclk=1","TOMORO COFFEE - Universitas Pendidikan Indonesia","4,3","(193)","·","Rp 25–50 rb","Kedai Kopi","·","","UPI, Jl. Dr. Setiabudhi No.229, Cidadap","","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEEK9fopghHIbgFNN7riXAgC2gtsvaeBa44JXYBUFyykB5Rwy10tFqJgMYg4o1nEnYEfeE0EYfWnDBK-gyH8p88T5aHKXThhsRIq5SjZVOfcRY_2vCOnF-PN2sGzw6poTnqM24HMsEpVc0=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""ambience nya enak, service nya juga oke!""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF5M2t6MXJnXxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=iab4aYXtN_nKseMPtc69sAE&ei=iab4aYXtN_nKseMPtc69sAE&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","· Buka Sel pukul 08.00",""
"https://www.google.com/maps/place/Canteen+FIP+UPI/data=!4m7!3m6!1s0x2e68e77d92cf70f1:0xb8b2d399b979f1bd!8m2!3d-6.8612288!4d107.5907381!16s%2Fg%2F11tj9mx4nz!19sChIJ8XDPkn3naC4RvfF5uZnTsrg?authuser=0&hl=id&rclk=1","Canteen FIP UPI","4,8","(12)","·","Rp 25–50 rb","Restoran","·","","Jl. Dr. Setiabudi No.229","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanya enak bnyak pilihan,,cocok buat tempat nongkrong mahasiswa 👍👍""","","","","",""
"https://www.google.com/maps/place/Kopi+Salarea+Dago+Atas/data=!4m7!3m6!1s0x2e68e7bdbd0122e9:0xaa291e39923a41e4!8m2!3d-6.8468249!4d107.6546881!16s%2Fg%2F11p068vprv!19sChIJ6SIBvb3naC4R5EE6kjkeKao?authuser=0&hl=id&rclk=1","Kopi Salarea Dago Atas","5,0","(41)","·","Rp 25–50 rb","Kedai Kopi","·","","Jl. Dago Pakar Atas","","Buka","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEPXU8w_SZIaXWKH4CinZJC0d8Y0I6ZlYjdeQXSRpffum1wziaSBGoYS2jBIiZIYHmKN7y6bRV8bDtA2sIBz0jCqNzAgwGF-np1nmbx3BIp9u_ukne7MNj1JPSBb51g2FRWqvhwwg=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""enak kopinya mantap, harganya kantong pelajar banget 😻 under 20k 😻""","","","","· Tutup pukul 23.00",""
"https://www.google.com/maps/place/PODJOK+JUICE+UPI/data=!4m7!3m6!1s0x2e68e760fc2fae73:0x8aee347fe0c80212!8m2!3d-6.8636412!4d107.5923503!16s%2Fg%2F11sbdl4892!19sChIJc64v_GDnaC4REgLI4H807oo?authuser=0&hl=id&rclk=1","PODJOK JUICE UPI","","","","","Kedai Kopi","·","","4HPR+GWX, Jl. Sadarjoen Siswomartojo","","Buka","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEYPQ2mwy9ACNOTnFqwSp5fEHPuWp5YEjGn1jBaV5yO-POjg4vpW-obTeFy0tHL9a_bf5fB8jqzqCda7xpsQxTImfP1BlrCDf_3QBbeSbY4ab40ODCeD2f5Ag8v71Awcv-DQcdY=w80-h106-k-no","","Makan di tempat","","","","· Tutup Sel pukul 05.00","Bawa pulang"
