"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 6","W4Efsd 7","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","A1zNzb href","J8zHNe","bbPy1"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Warung+MJS/data=!4m7!3m6!1s0x2e69f4044e5995a7:0x4c9df8f41001aadb!8m2!3d-6.2087667!4d106.8267063!16s%2Fg%2F1td80pg8!19sChIJp5VZTgT0aS4R26oBEPT4nUw?authuser=0&hl=id&rclk=1","Warung MJS","4,5","(6.296)","·","$$","Jawa","·","","·","Jl. Setia Budi Tengah No.11, RT.1/RW.1","Segera tutup","· 21.30 · Buka Sel pukul 11.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHdLaPiyV6RduPtATdKQJ8C_KkDt0_VoN8ajjEB3-isq-UAXV-tXRoONcqr6eP3GTDtSe_UaT0XSTnwbMQHBCXQQYlL59BQR6fHOeCb4Hh4kH9OWexJ6TEXpYAlCOCA4qtAgtaYgg=w137-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Makanan","khas Indonesia, banyak pilihan, rasanya enak.""","https://www.google.com/searchviewer/42?cvd=CLw_EiUKI-ICIDIeEhciFdLX29IPDwoLL2cvMXRkODBwZzgYAToDCPAN&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=F6f4adWsO9HiseMPgrefgA8&ei=F6f4adWsO9HiseMPgrefgA8&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/South+Kitchen+Setiabudi/data=!4m7!3m6!1s0x2e69f524573dacd7:0x4837ffe36cf83c6a!8m2!3d-6.2097892!4d106.828635!16s%2Fg%2F11qncln2wy!19sChIJ16w9VyT1aS4Rajz4bOP_N0g?authuser=0&hl=id&rclk=1","South Kitchen Setiabudi","4,6","(1.183)","·","Rp 50–75 rb","Restoran","·","","Jl. Taman Setia Budi II No.54 3, RT.2/RW.1","","Segera tutup","· 22.00 · Buka Sel pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGQZHJfjy2coSmgOMgVHuyUKo8VwBGHM95dTQn9chsXHXAMQyPMzFGXTPv-wdyBzgg6aesFlif5YHSD5sWDOP8BwBS6HePIUADwoRKQB9K5nZqjX54WDJaN9xscaEbrUFwcPs1C=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Rawonnya mantap habis, kuahnya pekat, bumbunya ngena, dagingnya full.""","","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFxbmNsbjJ3eRgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=F6f4adWsO9HiseMPgrefgA8&ei=F6f4adWsO9HiseMPgrefgA8&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Ma%27+Uneh+Setiabudi/data=!4m7!3m6!1s0x2e68e695b821f449:0xef9d7fa201e6352f!8m2!3d-6.8688589!4d107.5933697!16s%2Fg%2F1tfjbz7p!19sChIJSfQhuJXmaC4RLzXmAaJ_ne8?authuser=0&hl=id&rclk=1","Ma' Uneh Setiabudi","4,1","(2.510)","·","$$","Sunda","·","","Jl. Dr. Setiabudi No.159","","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGuqSdLKe4zhQGlxcaZzWivWF2yU4zEg56Sc-G03Sc1hy4FjAxk5ZWxsvg1yABSFyJiBzbAW4zEoUzMQPXFizdjztdZN3OYtWl8UXzl3PL27TzBtmJVQfGuWI1SPLcyFLe6sSo=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Empal, ayam goreng, ikan nila rasanya enak.""","","","","",""
"https://www.google.com/maps/place/Waroeng+Setiabudhi/data=!4m7!3m6!1s0x2e68e695928db793:0xd677bf48df121009!8m2!3d-6.8677857!4d107.5935721!16s%2Fg%2F11b5zst3_0!19sChIJk7eNkpXmaC4RCRAS30i_d9Y?authuser=0&hl=id&rclk=1","Waroeng Setiabudhi","4,5","(9.428)","·","Rp 25–50 rb","Bakso","·","","·","Jl. Dr. Setiabudi No.175","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG2rLYKKbFB5g69gqW1ZCr5cpxr2BLwDwIMRKdhNGt4aSJ0YgXo1lC_5pXXvazX4fSbzDIYcl41FxKrDXrXi8HKZ02MnTSc7dIDNtrB5T5z1MHJd9IZIqaYNeAt3L9yaGNz8UrJ=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Nasi bakar ok, untuk baksonya juga enak dan variatif pilihan menunya.""","","","","",""
"https://www.google.com/maps/place/Katsunyaka+Setiabudi/data=!4m7!3m6!1s0x2e68e7cca8c35793:0x1fed0705c382402c!8m2!3d-6.8787933!4d107.5987327!16s%2Fg%2F11rwy4y089!19sChIJk1fDqMznaC4RLECCwwUH7R8?authuser=0&hl=id&rclk=1","Katsunyaka Setiabudi","4,8","(2.031)","·","Rp 50–75 rb","Restoran","·","","·","Jl. Dr. Setiabudi No.84","Segera tutup","· 22.00 · Buka Sel pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH8o5LwVSJ4jOzTE9fRisoY9m2QSRqb3EfaZdRza4deY-kO3Uy3592hKeRA8vI-YhSstkLGVf82rn18xvuqfTpe4xwWPreBU3aRiISN_SdN3ZdTnzjRowur25pV_HT0HBg_3jA=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Enak banget daging sekali rasa nya, nasi nya porsi orang diet banget""","","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFyd3k0eTA4ORgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=F6f4adWsO9HiseMPgrefgA8&ei=F6f4adWsO9HiseMPgrefgA8&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/The+People%27s+Cafe+Setiabudi+One/data=!4m7!3m6!1s0x2e69f40879fd66c1:0xe6dfcfed44244aa7!8m2!3d-6.2146504!4d106.8303234!16s%2Fg%2F11cm02jp67!19sChIJwWb9eQj0aS4Rp0okRO3P3-Y?authuser=0&hl=id&rclk=1","The People's Cafe Setiabudi One","4,7","(1.266)","·","Rp 50–75 rb","Restoran","·","","Setiabudi One, Ground Floor Jl. H. R. Rasuna Said.Kav X-6 No. 8, RT.18/RW.2","","Segera tutup","· 22.00 · Buka Sel pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFLsllKD0WQMEnEsHI0t5wi3nQIo5a-2CXsPf3A2OULxgA7EHgBsoPIWaakIBsE-iB96W7_CYqn6wEMjYmTverHMSzipk6-A8P4wnSuwOrwhKrcCgNF6trfkXi1Hz3lY0Aw7BlR=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Enak makanannya yg nasi ayam bejek enak sama minum sea salt matcha.""","","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFjbTAyanA2NxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=F6f4adWsO9HiseMPgrefgA8&ei=F6f4adWsO9HiseMPgrefgA8&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/PokenBir/data=!4m7!3m6!1s0x2e69f3f7fe9e1ae3:0x64070405f0c37cda!8m2!3d-6.2173209!4d106.8300038!16s%2Fg%2F11btz36_4w!19sChIJ4xqe_vfzaS4R2nzD8AUEB2Q?authuser=0&hl=id&rclk=1","PokenBir","4,7","(6.060)","·","$$","Indonesia","·","","·","Lippo Kuningan Building, Setiabudi, Jl. H. R. Rasuna Said No.Kav. B 12 Ground floor, RT.6/RW.7","Segera tutup","· 22.00 · Buka Sel pukul 10.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH51qowgGleGUwao0IDU1ukiPniKC125LMs7VEL-Bz-9ZHfOdPR8yVgi_QnzooQ3oJmF-oWnmUR8zDip8f-qHRPnAiAO8zh7SYoS_Fqn9GMx_a-0V8MmpZR2oM0zsTNvJ2z-JyP=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""best porkies :
- pork belly
- pork bites
- nasi goreng merah
bessst""","","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFidHozNl80dxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=F6f4adWsO9HiseMPgrefgA8&ei=F6f4adWsO9HiseMPgrefgA8&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Dapoer+Ndeso+Setiabudi/data=!4m7!3m6!1s0x2e68e69589a589a3:0x60ed1f05c30c47f7!8m2!3d-6.866835!4d107.5937523!16s%2Fg%2F11b6dp6d6r!19sChIJo4mliZXmaC4R90cMwwUf7WA?authuser=0&hl=id&rclk=1","Dapoer Ndeso Setiabudi","3,9","(432)","·","Rp 25–50 rb","Kafe","·","","·","Jl. Dr. Setiabudi No.189","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFvW5mUTAx6ovElmRC4bw7BlXyFiScBFRos9ES3NuxTxsoRji_7cX1J_Cv2opChwySfzoG5EiNFYNbt9jEHIlxuXj37rLNwMnBghcfKTrca5d9UMF6kIMjAAnLG-rfducWV0u5S=w184-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Banyak pilihan","makanan",", dengan porsi jumbo dan harga bersahabat.""","","",""
