"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","Cw1rxd","R8c4Qb","Jn12ke src","ah5Ghc","doJOZc","W4Efsd 6","W4Efsd 7","UsdlK","lcr4fd href","Cw1rxd 2","R8c4Qb 2"
"https://www.google.com/maps/place/FamilyMart+Setiabudi/data=!4m7!3m6!1s0x2e69f51861ddcbc1:0x770684d18aa5775f!8m2!3d-6.2092209!4d106.8249895!16s%2Fg%2F11jsf440ww!19sChIJwcvdYRj1aS4RX3elitGEBnc?authuser=0&hl=id&rclk=1","FamilyMart Setiabudi","3,2","(107)","Minimarket","·","Jl. Taman Setia Budi II No.1, RT.5/RW.3","Segera tutup","· 22.00 · Buka Sel pukul 07.00","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Full banget jadi bingung mau beli apa""","","","","","","",""
"https://www.google.com/maps/place/FamilyMart+Setiabudi+Raya/data=!4m7!3m6!1s0x2e69f5001bdf9dd1:0x63313f13c737918e!8m2!3d-6.210541!4d106.8232162!16s%2Fg%2F11y9qkwj_0!19sChIJ0Z3fGwD1aS4RjpE3xxM_MWM?authuser=0&hl=id&rclk=1","FamilyMart Setiabudi Raya","3,9","(50)","Toko","·","Jl. Setiabudi Raya No.14 2, RT.2/RW.2","Buka","· Tutup pukul 23.00","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""saya beli 2 coffee edisi MILKU MARIE dan memang mau dibawa pulang.""","","","","","","",""
"https://www.google.com/maps/place/Setiabudhi+Supermarket/data=!4m7!3m6!1s0x2e68e6f47e73dbd3:0x9294f7d90f4f84e8!8m2!3d-6.8823894!4d107.6009462!16s%2Fg%2F1tfdhnzw!19sChIJ09tzfvTmaC4R6IRPD9n3lJI?authuser=0&hl=id&rclk=1","Setiabudhi Supermarket","4,5","(4.778)","Toko Swalayan","·","·","Jl. Dr. Setiabudi No.42-46","Tutup","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Supermarketnya lengkap banget barang importnya, deh.""","","· Buka Sel pukul 07.00","·","(022) 2035000","https://setiabudhi-supermarket.co.id/","","Rute"
"https://www.google.com/maps/place/Alfamart+Setiabudi+Barat/data=!4m7!3m6!1s0x2e69f404909d30b9:0xd7f5c7b071ae7836!8m2!3d-6.208739!4d106.8244581!16s%2Fg%2F11d_2cjrl2!19sChIJuTCdkAT0aS4RNniucbDH9dc?authuser=0&hl=id&rclk=1","Alfamart Setiabudi Barat","4,1","(149)","Minimarket","·","Jl. Setia Budi Barat No.5, Rt. 004/003, RT.5/RW.3","Segera tutup","· 22.00 · Buka Sel pukul 07.00","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayan yang bagus""","","·","","(021) 1500959","","",""
"https://www.google.com/maps/place/Family+Mart+Trinity+Tower/data=!4m7!3m6!1s0x2e69f34edcf84ab5:0xbb337ab2800f2a9e!8m2!3d-6.225199!4d106.8341829!16s%2Fg%2F11sf7d5002!19sChIJtUr43E7zaS4RnioPgLJ6M7s?authuser=0&hl=id&rclk=1","Family Mart Trinity Tower","3,5","(248)","Minimarket","","","Tutup","· Buka Sel pukul 06.00","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""tempatnya bersih, pelayanannya oke, pak satpamnya jg super helpful!!""","","","","","","",""
"https://www.google.com/maps/place/Toserba+Griya+Setiabudi/data=!4m7!3m6!1s0x2e68e6947bb9e291:0xa620d6916b17d3ea!8m2!3d-6.8718229!4d107.594418!16s%2Fg%2F11b60tw4_l!19sChIJkeK5e5TmaC4R6tMXa5HWIKY?authuser=0&hl=id&rclk=1","Toserba Griya Setiabudi","4,5","(4.078)","Toko Swalayan","·","·","Jl. Dr. Setiabudi No.170L","Tutup","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Barang2 lengkap, harga murah, pelayanan ramah dan nyaman ketika belanja.""","","· Buka Sel pukul 07.30","·","(022) 2043884","https://yogyagroup.com/","","Rute"
"https://www.google.com/maps/place/Daily+Foodhall+Setiabudi+2+Building/data=!4m7!3m6!1s0x2e69f56e48d0f95b:0xda113a1a03a057fa!8m2!3d-6.2162757!4d106.8299486!16s%2Fg%2F11h77klqk5!19sChIJW_nQSG71aS4R-legAxo6Edo?authuser=0&hl=id&rclk=1","Daily Foodhall Setiabudi 2 Building","3,9","(78)","Minimarket","·","·","Segera tutup","· 22.00 · Buka Sel pukul 07.00","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Terutama buat buah pisang, harganya miring!""","","jln.hr rasuna said kav 62 kuningan, RT.6/RW.7","","","","",""
"https://www.google.com/maps/place/Mart+Go+Le+Mansion+Setiabudi/data=!4m7!3m6!1s0x2e69f5cd87dde643:0x9c795fbb97c7e5b1!8m2!3d-6.2110337!4d106.8269476!16s%2Fg%2F11l73q37nk!19sChIJQ-bdh831aS4RseXHl7tfeZw?authuser=0&hl=id&rclk=1","Mart Go Le Mansion Setiabudi","5,0","(1)","Toko Swalayan","·","Jl. Karet Karya 1 No.8, RT.8/RW.7","Segera tutup","· 22.00 · Buka Sel pukul 07.00","","Rute","","","","·","","0817-9592-599","","",""
"https://www.google.com/maps/place/Indomaret+Setiabudi+17+TTAP/data=!4m7!3m6!1s0x2e69f5563c90c04f:0x6ce537eb72aeca2b!8m2!3d-6.2104719!4d106.823023!16s%2Fg%2F11h6yr0pbx!19sChIJT8CQPFb1aS4RK8qucus35Ww?authuser=0&hl=id&rclk=1","Indomaret Setiabudi 17 TTAP","2,7","(31)","Minimarket","·","Jl. Setiabudi Raya No.17, RT.2/RW.2","","Buka","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tolong ditambah karyawannya biar pelayanannya makin cepet.""","","· Tutup pukul 23.00","","","http://www.indomaret.co.id/","","Rute"
"https://www.google.com/maps/place/Family+Mart+%28Fraser+Place%29/data=!4m7!3m6!1s0x2e69f57e1371f457:0xf11f603563efb4c6!8m2!3d-6.2153758!4d106.8292677!16s%2Fg%2F11sty6l8q6!19sChIJV_RxE371aS4RxrTvYzVgH_E?authuser=0&hl=id&rclk=1","Family Mart (Fraser Place)","4,1","(15)","Minimarket","·","Jl. Karbela Timur No.4, RT.18/RW.2","Segera tutup","· 22.00 · Buka Sel pukul 06.00","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Kopi Enak, Karyawannya Ramah Ramah""","","","","","","",""
"https://www.google.com/maps/place/Office+2000+Setiabudi+One/data=!4m7!3m6!1s0x2e69f408707b6fcf:0xd6700347f2c89654!8m2!3d-6.215252!4d106.8299915!16s%2Fg%2F1tk3d94c!19sChIJz297cAj0aS4RVJbI8kcDcNY?authuser=0&hl=id&rclk=1","Office 2000 Setiabudi One","4,4","(15.727)","Toko Alat Tulis Kantor","·","·","Tutup","· Buka Sel pukul 10.00","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""selalu nyaman kesini karena tergolong murah di tengah pusat kota.""","","Setiabudi One Lt.1 Unit B 209, Jl. HR Rasuna Said No.Kav. 62, RT.18/RW.2","·","(021) 5207074","","",""
"https://www.google.com/maps/place/Alfamart+Setiabudi/data=!4m7!3m6!1s0x2e68e695b894885b:0x33e2772c13dc2bd8!8m2!3d-6.8687788!4d107.5934919!16s%2Fg%2F1pzyvnzvz!19sChIJW4iUuJXmaC4R2CvcEyx34jM?authuser=0&hl=id&rclk=1","Alfamart Setiabudi","3,6","(24)","Minimarket","·","·","Segera tutup","· 22.00 · Buka Sel pukul 07.00","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Staff yg ramah cuman yg cowok"" doang
Greeting nya okee pelayanan baik""","","Jl. Dr. Setiabudi No.161","","","","",""
"https://www.google.com/maps/place/FIP+mart/data=!4m7!3m6!1s0x2e68e77beb4ae3f1:0x43d47e796e536908!8m2!3d-6.8613508!4d107.590731!16s%2Fg%2F11k3kh34s9!19sChIJ8eNK63vnaC4RCGlTbnl-1EM?authuser=0&hl=id&rclk=1","FIP mart","5,0","(8)","Minimarket","·","Jl. Dr. Setiabudi No.229","Tutup","· Buka Sel pukul 07.30","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Mulai dari air mineral, jajanan, pembalut, tisu, dan lain-lain.""","","·","","0877-2971-1881","","",""
"https://www.google.com/maps/place/Enhaii+Mart/data=!4m7!3m6!1s0x2e68e7589a086a49:0xd5395d0324afbd2c!8m2!3d-6.8692121!4d107.5936668!16s%2Fg%2F11qqp1jgj5!19sChIJSWoImljnaC4RLL2vJANdOdU?authuser=0&hl=id&rclk=1","Enhaii Mart","4,5","(4)","Minimarket","·","Denta Locus, Jl. Dr. Setiabudi No.192","","","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Dimsum Boss ada di halaman ENHAII MART,... Gaskeun""","","","","","","",""
"https://www.google.com/maps/place/Borma+Toserba+Setiabudi/data=!4m7!3m6!1s0x2e68e69592dad8d1:0x62c54a96b3019872!8m2!3d-6.8738056!4d107.5961346!16s%2Fg%2F1wvvbrhv!19sChIJ0djakpXmaC4RcpgBs5ZKxWI?authuser=0&hl=id&rclk=1","Borma Toserba Setiabudi","4,4","(9.104)","Toko Swalayan","·","·","Tutup","· Buka Sel pukul 08.00","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Harganya murah di bawah toko2 atau","","Jl. Dr. Setiabudi No.148","·","(022) 2032255","","",""
"https://www.google.com/maps/place/Indomaret+Guru+Mughni/data=!4m7!3m6!1s0x2e69f3e32c0f3fe1:0x6820bea0615c3540!8m2!3d-6.2269939!4d106.8212876!16s%2Fg%2F1ptzjlrf6!19sChIJ4T8PLOPzaS4RQDVcYaC-IGg?authuser=0&hl=id&rclk=1","Indomaret Guru Mughni","3,8","(64)","Minimarket","·","Jalan Guru Mughni No. C4, Karet Semanggi, Setiabudi, RT.5/RW.2, Karet Semanggi, RT.5/RW.2","·","Buka 24 jam","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanannya sangat ramah, baik dan cepat.""","","","","(021) 5252042","http://indomaret.co.id/","","Rute"
