"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","A1zNzb href","J8zHNe","bbPy1","doJOZc"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Pizza+Place/data=!4m7!3m6!1s0x2e68e7a20d4debcd:0xb152f19603e9585a!8m2!3d-6.8924793!4d107.6127061!16s%2Fg%2F11fr753ztg!19sChIJzetNDaLnaC4RWljpA5bxUrE?authuser=0&hl=id&rclk=1","Pizza Place","4,7","(1.167)","·","Rp 25–50 rb","Pizza","·","Jl. Ir. H. Juanda No.113","Restoran pizza dengan pesan di konter","Segera tutup","· 22.00 · Buka Sel pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGLDcsDMX3FMih-U2f8fcT-z_wSnmJKeU8_6doeacFmeB2fiPBy5smCW9vHrqidKX8aPT-nbTQWBVAbYFfuEnmWjpcJ7aThmOg_dNgB-FJBiRDJKjDY8oIYaC-g7GEm_CsGP1tkUg=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""the","pizza","is big and taste pretty good.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFmcjc1M3p0ZxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=w6j4abu6FeqcseMP5bKI-Qw&ei=w6j4abu6FeqcseMP5bKI-Qw&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","",""
"https://www.google.com/maps/place/Park+Slope+Pizzeria/data=!4m7!3m6!1s0x2e68e798ec4c178b:0xa4b750be71f9d48d!8m2!3d-6.895633!4d107.603058!16s%2Fg%2F11fm5x0wyy!19sChIJixdM7JjnaC4RjdT5cb5Qt6Q?authuser=0&hl=id&rclk=1","Park Slope Pizzeria","4,9","(1.370)","·","Rp 50–75 rb","Pizza","·","·","Jl. Prof. Eyckman No.12b","Tutup","· Buka Sel pukul 11.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGVlddBSBUuaMdi1ohSOuU6pfRmBD4yUPooqdkXuWogjUvz6crPxtkbqMqtZJNWwxXclSzRLGhg2Z2idOjyG0uPijTMY8skqVPjW-NUG_EdGHpbP-XuRI7wtabmk5KkeP1GZa8=w194-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Best, ambiencenya enak, pizzanya moist on top dan crispy on the bottom.""","","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFmbTV4MHd5eRgAOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=w6j4abu6FeqcseMP5bKI-Qw&ei=w6j4abu6FeqcseMP5bKI-Qw&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","",""
"https://www.google.com/maps/place/Ipizz+Italian+Pizza/data=!4m7!3m6!1s0x2e68e74dbd81a0d7:0xbc48aa63c9a73d90!8m2!3d-6.9264203!4d107.5962717!16s%2Fg%2F11lr_xf1m3!19sChIJ16CBvU3naC4RkD2nyWOqSLw?authuser=0&hl=id&rclk=1","Ipizz Italian Pizza","4,8","(200)","·","Rp 50–75 rb","Pizza","·","Jl. Terusan Pasirkoja No.28","","Tutup","· Buka Sel pukul 11.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFeQLV-WUb5qVXigkTn8gQxnqkd42N7QZphBEYwwXnZN52Vsh9UDoEEfNEq6M6XB9e8qGx3scsIcyN5dfFuFDeIfd9jp6rVTr2957VNvPmOVKKT41xGjbq2lI_N57UrOb6N1Lic=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Langganan order ipizz, rasanya enak, NY","pizza","style.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFscl94ZjFtMxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=w6j4abu6FeqcseMP5bKI-Qw&ei=w6j4abu6FeqcseMP5bKI-Qw&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","",""
"https://www.google.com/maps/place/US+Pizza+-+D%27Botanica+Bandung+Mall/data=!4m7!3m6!1s0x2e68e700492df309:0xe31ac646ff2547c7!8m2!3d-6.893331!4d107.5849826!16s%2Fg%2F11vqps2mfp!19sChIJCfMtSQDnaC4Rx0cl_0bGGuM?authuser=0&hl=id&rclk=1","US Pizza - D'Botanica Bandung Mall","4,9","(541)","","","Pizza","·","Jl. DR. Djunjunan Dalam No.143-149","","Buka","· Tutup pukul 22.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG8DlImfnb7zxLTUdaJ7ubPw5emLHeQHebKQxmFG3wODF9TNFBq31G6IHMXaWaVO1zkE0Gb_0YpCLWXpsdyKcco779xJSIGcRL0jDTWZAQMWvBTFvO39U4sLJOI0FNiN9IZzDX21iSKXHvd=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pizzanya enak+servicenya baik, sangat direkomendasikan""","","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF2cXBzMm1mcBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=w6j4abu6FeqcseMP5bKI-Qw&ei=w6j4abu6FeqcseMP5bKI-Qw&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","",""
"https://www.google.com/maps/place/Mike+Pizza+Bandung/data=!4m7!3m6!1s0x2e68e7fe2b9b8c07:0x3bcd6056ecb38f1c!8m2!3d-6.8844106!4d107.5970943!16s%2Fg%2F11vsxpz43f!19sChIJB4ybK_7naC4RHI-z7FZgzTs?authuser=0&hl=id&rclk=1","Mike Pizza Bandung","4,7","(293)","","","Italia","·","·","Jl. Sirnamanah No.33 A","Tutup","· Buka Sel pukul 12.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFTmG79LP5_iV9zBB5d7FvlHq61KsQZQYwSAQmNYKJcRhCZN6rzXeZ7j4stFKAmGlB7XByjhnYTcSTarzEetZM6oEiuvpx5fxugEUTPdDdJ4DGJtR0qgCq0jBNrwINtm07ctXMU=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","pizza","dan pasta nya super enak banget.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF2c3hwejQzZhgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=w6j4abu6FeqcseMP5bKI-Qw&ei=w6j4abu6FeqcseMP5bKI-Qw&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","",""
"https://www.google.com/maps/place/US+Pizza+-+Dago/data=!4m7!3m6!1s0x2e68e700406ddc89:0x4a53b37ffd21b36a!8m2!3d-6.8819956!4d107.6159089!16s%2Fg%2F11lcpsklws!19sChIJidxtQADnaC4RarMh_X-zU0o?authuser=0&hl=id&rclk=1","US Pizza - Dago","4,7","(551)","·","Rp 50–75 rb","Pizza","·","Jl. Ir. H. Juanda No.254","","Segera tutup","· 22.00 · Buka Sel pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGCJ9nA8uWDZXYSRLU0EP3mscEycuXtxHlnBbAZmHCD-xK7y-8_rLbFRuat_n94-U0Y1yCQqU4CxHI0squDHPYGxe-Q3pUvP8rduWNBmj0r-Z60AZMOKwxTIGIlKrsVATWk1nuP=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""super enak","pizza","di bandung 🍕 tempatnya ga luas tapi makanannya enak ✨🌷""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFsY3Bza2x3cxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=w6j4abu6FeqcseMP5bKI-Qw&ei=w6j4abu6FeqcseMP5bKI-Qw&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","",""
"https://www.google.com/maps/place/Pizza+Hut+Restoran/data=!4m7!3m6!1s0x2e68e64f1fddf9cd:0x969a697e4e95abc0!8m2!3d-6.9009659!4d107.612507!16s%2Fg%2F1tcw0qlh!19sChIJzfndH0_maC4RwKuVTn5pmpY?authuser=0&hl=id&rclk=1","Pizza Hut Restoran","4,8","(5.517)","·","$$","Pizza","·","·","Jl. Ir. H. Juanda No.48","Segera tutup","· 22.00 · Buka Sel pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGxoloJq5-4oVN1UQqStD5XgIimDK1xB94miP44-NVVM6rnWB7aOXMOFc5NTjVJeQcnv5hHgVTtleQy1Fnay00HQm6CjGrihE7ne4hTUW0MpRfNyk2J3QENyhH4ECvonp10rrLa=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The","pizza","was amazing and hot.""","https://www.google.com/searchviewer/42?cvd=CLw_EiUKI-ICIDIeEhciFdLX29IPDwoLL2cvMXRjdzBxbGgYADoDCPAN&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=w6j4abu6FeqcseMP5bKI-Qw&ei=w6j4abu6FeqcseMP5bKI-Qw&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","",""
"https://www.google.com/maps/place/Emperano+Pizza+Cikuray/data=!4m7!3m6!1s0x2e68e97c5f3c1bf7:0xcbd780416a16cd9e!8m2!3d-6.927536!4d107.6330239!16s%2Fg%2F11trwxn569!19sChIJ9xs8X3zpaC4Rns0WakGA18s?authuser=0&hl=id&rclk=1","Emperano Pizza Cikuray","4,6","(895)","·","Rp 25–50 rb","Pizza","·","·","Jl. Cikuray","Segera tutup","· 22.00 · Buka Sel pukul 16.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAF4WlEmt9M8Aj5WsH0ZN56bXJ8veAYB45OPOgFGhLT-e06qBd-xpScIQ1iMqorkJwM0vaR1G-kfYwBEzNRqqxq2Sl0UEIBOhzrgcSzEbZ5pSF36IrVouV6mc8RvYvw9CZj5MgmWtA=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""the","pizza","tastes was so good meskipun agak gosong dikit.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF0cnd4bjU2ORgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=w6j4abu6FeqcseMP5bKI-Qw&ei=w6j4abu6FeqcseMP5bKI-Qw&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","",""
