"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","A1zNzb href","J8zHNe","bbPy1","doJOZc","W4Efsd 6"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Restoran+Sederhana+Setiabudi+Bandung/data=!4m7!3m6!1s0x2e68e6f4627751d5:0x254f481e3b3bee1f!8m2!3d-6.8797083!4d107.5982134!16s%2Fg%2F11ddx50sxs!19sChIJ1VF3YvTmaC4RH-47Ox5ITyU?authuser=0&hl=id&rclk=1","Restoran Sederhana Setiabudi Bandung","4,5","(1.393)","·","Rp 25–50 rb","Padang","·","Jl. Dr. Setiabudi No.55","Segera tutup","· 21.30 · Buka Sel pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEvUbg4HvhIeiKgqGY6OpfrMSrPoRlRRQUFBRn3DKA5SOXOeY0w4tg9Yvj094XEtlylJTn4vnn2EK8xJ52mLOfMH-AyLFzbMCS_4sh-87QxGIltemLQ3ifFdS_4RAJRc60Zwa9e=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Oia kalau cari sate","padang","mantep daging besar empuk, kuah nendang.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFkZHg1MHN4cxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=4an4aePHMrTaseMPvJ3zwA0&ei=4an4aePHMrTaseMPvJ3zwA0&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/Rumah+Makan+Padang+-+Malah+Dicubo/data=!4m7!3m6!1s0x2e68e63b75344ed5:0xb19a04f363b58997!8m2!3d-6.9156463!4d107.6028304!16s%2Fg%2F1pzqkf5qm!19sChIJ1U40dTvmaC4Rl4m1Y_MEmrE?authuser=0&hl=id&rclk=1","Rumah Makan Padang - Malah Dicubo","4,5","(3.691)","·","Rp 25–50 rb","Padang","·","·","Tutup","· Buka Sel pukul 07.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEreOqnrC6nDGnRdWMDy9JGNyIAvxZlfzJpGTecDIs7v0lg9JAUA3S7VPAF1EZt4GhPyILWEnZsuKZR2B15zOQk5b8SzaLeYvXTUpwq5lB9LLkNxy4bmb0l_4Ahwk1H0uQLyUPE=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Dendeng batokok, rendang, dan gulai urat sapinya 👍👍.""","","","https://www.google.com/searchviewer/42?cvd=CLw_EiYKJOICITIfEhgiFtLX29IPEAoML2cvMXB6cWtmNXFtGAE6AwjwDQ%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=4an4aePHMrTaseMPvJ3zwA0&ei=4an4aePHMrTaseMPvJ3zwA0&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","Hall Selatan, Jl. Stasiun No.27"
"https://www.google.com/maps/place/Rumah+Makan+Padang+Sambalado/data=!4m7!3m6!1s0x2e68e6be5729da95:0x5a09a65f6fa0759e!8m2!3d-6.8647572!4d107.5943413!16s%2Fg%2F11b60rrspv!19sChIJldopV77maC4RnnWgb1-mCVo?authuser=0&hl=id&rclk=1","Rumah Makan Padang Sambalado","4,5","(104)","·","Rp 25–50 rb","Restoran","·","Jl. Dr. Setiabudi No.229","Segera tutup","· 21.30 · Buka Sel pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH36KsoiRgqlxRbByXYS9IgA3MlUsnigs9xzVaY071UShERjDm-PWsmPXDjijOKjuCQSJSqNBtHw4dVbAUzRJlNMjDgEEh4V8_Pag95quSt7azlaNGQ4UeSrs1Rzn0lu695-Sd8=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Kuah gulai dan bumbu rendangnya enak banget.""","","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFiNjBycnNwdhgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=4an4aePHMrTaseMPvJ3zwA0&ei=4an4aePHMrTaseMPvJ3zwA0&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/Restoran+Padang+Trio+Pasirkoja+Bandung/data=!4m7!3m6!1s0x2e68e714eeb8504b:0xe41cc027d46070de!8m2!3d-6.9275693!4d107.5863572!16s%2Fg%2F11tsg_cmn6!19sChIJS1C47hTnaC4R3nBg1CfAHOQ?authuser=0&hl=id&rclk=1","Restoran Padang Trio Pasirkoja Bandung","4,6","(181)","·","Rp 25–50 rb","Padang","·","Jl. Peta No.5","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHjUiqzncCCZaVyqGplXWiyiZWFta_4KGlZwY9ZBghdecAiXA8192u1b0SrqZdlnwwa7wWob5wm_Y-a_6tCu6nSay-dNnJv_9tn1ggWyGrkFnb1quRMVES1bw3PhxPY2lH-8UXH=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Masakan enak,","padang","otentil, harga bersahabat""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF0c2dfY21uNhgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=4an4aePHMrTaseMPvJ3zwA0&ei=4an4aePHMrTaseMPvJ3zwA0&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/Padang+Merdeka+Bandung/data=!4m7!3m6!1s0x2e68e7865046e4fd:0x5ac106a6b919e19f!8m2!3d-6.9002908!4d107.6139993!16s%2Fg%2F11k7cww9bk!19sChIJ_eRGUIbnaC4Rn-EZuaYGwVo?authuser=0&hl=id&rclk=1","Padang Merdeka Bandung","4,5","(1.649)","·","$$","Padang","·","·","Segera tutup","· 22.00 · Buka Sel pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHDkd5xfAULARgBAICPT0FjkoS-UjTRr9eL78FwhzYms-fRLccU90_hvTp6nscQWAxIDlj05naeXZqFACIvpgEMlvH7HsIMSb1GwBCkZuz8uzPVyXGt36ptqrWeQsVPIwatG6B_=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""enak si makanan padangnya, ambience nya mantap dan harganya pun mantap.""","","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFrN2N3dzliaxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=4an4aePHMrTaseMPvJ3zwA0&ei=4an4aePHMrTaseMPvJ3zwA0&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","Jl. Diponegoro Kel No.7"
"https://www.google.com/maps/place/Bajamba+Kapau/data=!4m7!3m6!1s0x2e68e7ffac14d4dd:0x65d1dafa096ff500!8m2!3d-6.9065628!4d107.6158834!16s%2Fg%2F11lh2twmj4!19sChIJ3dQUrP_naC4RAPVvCfra0WU?authuser=0&hl=id&rclk=1","Bajamba Kapau","4,5","(2.113)","·","Rp 25–50 rb","Padang","·","Jl. L. L. R.E. Martadinata No.28A","Tutup","· Buka Sel pukul 06.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHq7GSRwCy2q8wJkI4Ecdg3inCoKQ2WK9e31jcK3jWv3TaQl0qeIPHiSXmt5dHr9DIe0HA0H_tEzlcV806oI1canePR8nPYQfbVnbQCQzY7P_CnMqWUwW-h_AlCtX3FbwwTf-pE=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Makan","nasi rames, rendang daging, udang balado dan rendang jengkol.""","","","","",""
"https://www.google.com/maps/place/Rumah+Makan+Pagi+Sero+%28+Khas+Bukittinggi%29/data=!4m7!3m6!1s0x2e68e6f92ff48053:0x3cac1fa1a52d27b2!8m2!3d-6.883699!4d107.6148448!16s%2Fg%2F1pzspnrnm!19sChIJU4D0L_nmaC4RsictpaEfrDw?authuser=0&hl=id&rclk=1","Rumah Makan Pagi Sero ( Khas Bukittinggi)","4,3","(942)","·","Rp 25–50 rb","Padang","·","·","Tutup","· Buka Sel pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGXu2Ol0jrQDrhstSBowmuKUVpHkdFD_DyTC67gLyK6dkBTJjgpoJ6xbzcTk2NZessIQ7zsy1RNImiUkDxl1n2fpro6fSMgu_3Qx4AKukE5wR7-_5va1D18m-_a-1nKLjynevUw=w137-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Nasi","padang","lama banget dari jaman kuliah, rasanya masih sama enak.""","","","","","Jl. Tubagus Ismail No.1"
"https://www.google.com/maps/place/Padang+SABTU+MINGGU/data=!4m7!3m6!1s0x2e68e70048c9747d:0xa6c26946d8a6e4ac!8m2!3d-6.9039625!4d107.6278099!16s%2Fg%2F11zkrm79tr!19sChIJfXTJSADnaC4RrOSm2EZpwqY?authuser=0&hl=id&rclk=1","Padang SABTU MINGGU","4,7","(104)","","","Padang","·","Jl. Supratman No.45","Buka","· Tutup pukul 22.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAE81zL4FeQm-9kq3jSVHCPhJSP5IoRVUWm6fyDiBOs1bhvzdjNfe89SnxVetB1ZC_9_Tw5s5uBG6CLPQWHlSAfWPLltgtiAkIP80qtXn1wki5rV13tNFDlxUaCA7YS0j0yUmjmQzBE-GItW=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat","padang","baru bukaaaa tempatmya bersih banget makanannya juga enak""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF6a3JtNzl0chgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=4an4aePHMrTaseMPvJ3zwA0&ei=4an4aePHMrTaseMPvJ3zwA0&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
