"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","FQ2IWe src","Jn12ke src","ah5Ghc","A1zNzb href","J8zHNe","bbPy1"
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Katsunyaka+Setiabudi/data=!4m7!3m6!1s0x2e68e7cca8c35793:0x1fed0705c382402c!8m2!3d-6.8787933!4d107.5987327!16s%2Fg%2F11rwy4y089!19sChIJk1fDqMznaC4RLECCwwUH7R8?authuser=0&hl=id&rclk=1","Katsunyaka Setiabudi","4,8","(2.031)","·","Rp 50–75 rb","Restoran","·","","·","Jl. Dr. Setiabudi No.84","Segera tutup","· 22.00 · Buka Sel pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFgOZWg0drMSLe_w3DuvuivLIuYbpWRbVwnRPHNP4Px-0gcwbMSQ6oyE7s1cIIRXTIXvpjz8Rd4ZBQi1z3c4jCQne4J_71UhwkAa4EVaMMTE0D9UUyqeML5MWRMw8gi3SR1xYM=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Food is great, service is great.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFyd3k0eTA4ORgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=fqn4aYLFHfWhseMP49PA6AU&ei=fqn4aYLFHfWhseMP49PA6AU&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/The+Heritage+Kitchen+%26+Gallery/data=!4m7!3m6!1s0x2e68e6b91d6a41e7:0xd82a2c1615941e18!8m2!3d-6.8605146!4d107.594986!16s%2Fg%2F11bx2hg125!19sChIJ50FqHbnmaC4RGB6UFRYsKtg?authuser=0&hl=id&rclk=1","The Heritage Kitchen & Gallery","4,6","(1.219)","·","$$","Indonesia","·","","Jl. Dr. Setiabudi No.276A","","Tutup","· Buka Sel pukul 07.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGwoM_mQcdA0yEEilrU5cLiI7Xu8IRSWJe34_Rf2kqgr1P6NMWqafCn3QIuQMJ1jpj37fPrO9Hz_850YMKefree9CyPkuDYyHqCELSK6d9SWHryyzXS5h_RHLl3V_746g5aTeyx=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pertama kali kemari, nyoba butter rice salmonnya.""","","",""
"https://www.google.com/maps/place/Ma%27+Uneh+Setiabudi/data=!4m7!3m6!1s0x2e68e695b821f449:0xef9d7fa201e6352f!8m2!3d-6.8688589!4d107.5933697!16s%2Fg%2F1tfjbz7p!19sChIJSfQhuJXmaC4RLzXmAaJ_ne8?authuser=0&hl=id&rclk=1","Ma' Uneh Setiabudi","4,1","(2.510)","·","$$","Sunda","·","","Jl. Dr. Setiabudi No.159","","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFlvmAVCYDm3CWRQwGNohV4I1cBjJI99hNwweoo1DQCJOsV3qqsz0gkXeclENX3ORi1at9jpLZZwIowq7AzJplE2T9WTDrdiB3Z4CAfFD2A1TocIpzBc2puxGZj2NFsuOqvsiNO=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""not the most expensive place but I do think not the cheapest either.""","","",""
"https://www.google.com/maps/place/Waroeng+Setiabudhi/data=!4m7!3m6!1s0x2e68e695928db793:0xd677bf48df121009!8m2!3d-6.8677857!4d107.5935721!16s%2Fg%2F11b5zst3_0!19sChIJk7eNkpXmaC4RCRAS30i_d9Y?authuser=0&hl=id&rclk=1","Waroeng Setiabudhi","4,5","(9.428)","·","Rp 25–50 rb","Bakso","·","","·","Jl. Dr. Setiabudi No.175","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHtkFieL6qDQKHh7XDz2TlZsoR2ttnTEma1A2xyLqMa4FN4J7kaWDVIFWXtOa65S45eTuNteE7I-33NPuBl9dncP2kSHoQkWTsIyviIAVH5XWm2HMnpHDivZi1jzoR8nNVhp51-=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""One day balik lagi coba menu lainnya.""","","",""
"https://www.google.com/maps/place/SUSHIGO!+SETIABUDI+BANDUNG/data=!4m7!3m6!1s0x2e68e7001cddc625:0x77c226c5fca5655b!8m2!3d-6.8791074!4d107.5983356!16s%2Fg%2F11y8r4jfdn!19sChIJJcbdHADnaC4RW2Wl_MUmwnc?authuser=0&hl=id&rclk=1","SUSHIGO! SETIABUDI BANDUNG","4,8","(920)","","","Jepang","·","","Jl. Dr. Setiabudi No.84","","Segera tutup","· 21.30 · Buka Sel pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG6kFNKHUOgaQfnZlRugwG-oYhBJnM7-mASGhkOtmwZ54IK-N2A1ctHQ3Q87R4inUMvbWYk5Ba7Ksr8h8GZQLde6qy-NTATgT4pSOe51LxX-NMXGgPgjhenCrDl7Kb25e88_4jtlgP-Lq3t=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Service dan atmosphere","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF5OHI0amZkbhgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=fqn4aYLFHfWhseMP49PA6AU&ei=fqn4aYLFHfWhseMP49PA6AU&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Suis+Butcher+Steak+House+%E2%80%A2+Setiabudi/data=!4m7!3m6!1s0x2e68e6946ff152a3:0xb69653416883f335!8m2!3d-6.8715398!4d107.5941006!16s%2Fg%2F1t_gbk_v!19sChIJo1Lxb5TmaC4RNfODaEFTlrY?authuser=0&hl=id&rclk=1","Suis Butcher Steak House • Setiabudi","4,4","(2.208)","·","$$","Steak","·","","Jl. Dr. Setiabudi No.174","Restoran steak dengan nuansa santai","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGI9mDE0MZo0klrVXZ7sWvtjiM55-Oqxo443YckevHlS7yYzkjNPitnFygnW6QpOZhjydAlYKWlQu9YuVhGU9tTXvZ9jfSQ_5uVaX63Fq14j6hAB_SuS9LVMdrodidNpoCNM3s=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Dekoran dan atmosphere","https://www.google.com/searchviewer/42?cvd=CLw_EiUKI-ICIDIeEhciFdLX29IPDwoLL2cvMXRfZ2JrX3YYAToDCPAN&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=fqn4aYLFHfWhseMP49PA6AU&ei=fqn4aYLFHfWhseMP49PA6AU&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Markopi+Brewing+%26+Kitchen/data=!4m7!3m6!1s0x2e68e74632932c13:0xea283a8b2b5eb476!8m2!3d-6.8748215!4d107.5965565!16s%2Fg%2F11j9kg8s5s!19sChIJEyyTMkbnaC4RdrReK4s6KOo?authuser=0&hl=id&rclk=1","Markopi Brewing & Kitchen","4,8","(892)","·","Rp 50–75 rb","Kedai Kopi","·","","Jl. Dr. Setiabudi No.138","","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHpxaWh_b5M4hWXfE__YSZ1gGKWBt8d-qRuQdATMBQK1xzClSbf7fYPJo0b-5YzMMJXoLjhGoh0dm8RUZmd4DtbL6UAlAvYKRpJ-S46KbXBxQDXr3lv81rozolTlKWHU4rzyyYk=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""great food, ambience, and service.""","","",""
"https://www.google.com/maps/place/Reunion+House+Grill+%26+Bar/data=!4m7!3m6!1s0x2e68e6f366363b05:0x522fda4109f677e4!8m2!3d-6.8817282!4d107.5993985!16s%2Fg%2F11bx45k2c2!19sChIJBTs2ZvPmaC4R5Hf2CUHaL1I?authuser=0&hl=id&rclk=1","Reunion House Grill & Bar","4,5","(399)","·","$$","Steak","·","","·","Jl. Dr. Setiabudi No.45","Segera tutup","· 22.00 · Buka Sel pukul 11.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAF-Mwh_9z0jU9D7Wo0QNGX2A5XwGVCkwqjB06K3MECWUGllVcFTIHChaWSIIzKurtF4u47eFw7bKvL9K5WsJl1sVEBLVY5u6czFDQald7KVNduoQ544jFGgUJj5tiUgtXcxuO6s=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Hidden gem

Order : wagyu, jus mangga, nachos""","","",""
