"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3"
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/UPI+Gymnasium/data=!4m7!3m6!1s0x2e68e69596e0c66b:0xe86e4e93cd027acf!8m2!3d-6.8600548!4d107.5903492!16s%2Fg%2F1pzx7_bn5!19sChIJa8bglpXmaC4Rz3oCzZNObug?authuser=0&hl=id&rclk=1","UPI Gymnasium","4,6","(424)","Pusat Kebugaran","·","","·","Jl. Doktor Setiabudi No. 229 Isola Cidadap","Tutup","· Buka Sel pukul 07.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGMkBXWhFmRO0w-xoSbPmN8Zr9K1o9U64PDPRrJoKD29D4o2Ep6H7IbypENBYNzKKGQXCYJ1Yp1SOaIW0w7C12_ry8jIhJplFzbHuQ0O_mnocHcGVV0oy1tHeO_pDhw-67UtiS3Cw=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Ada","tempat gym",", tenis, basket dll"""
"https://www.google.com/maps/place/FIT+HUB+Setiabudi+Bandung/data=!4m7!3m6!1s0x2e68e7073244be6d:0xe517552c05b3fe90!8m2!3d-6.8822346!4d107.5997919!16s%2Fg%2F11x30_9_w2!19sChIJbb5EMgfnaC4RkP6zBSxVF-U?authuser=0&hl=id&rclk=1","FIT HUB Setiabudi Bandung","4,8","(132)","Tempat Fitness","·","","Jl. Dr. Setiabudi No.41G 2nd floor","","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEYQATdzuj_sByXE934_Cij5o5Z3eF4RXIU2nHvBPnuqQTH3nWzsHQCZgmJ9DcpPjLXh8UU-LXCaZZivG3baixc_h78iYQABsPZbIk2WlFY8-5eR_WPwL9Y-O-2NnLntqvjvaZv_aIRhn4=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Untuk area","gym","luas, bersih dan acnya juga dingin."""
"https://www.google.com/maps/place/EM+GYM/data=!4m7!3m6!1s0x2e68e7a9803aa53d:0xb8cd1455df84fa70!8m2!3d-6.8697487!4d107.5904624!16s%2Fg%2F11frnjgyhl!19sChIJPaU6gKnnaC4RcPqE31UUzbg?authuser=0&hl=id&rclk=1","EM GYM","4,9","(36)","Tempat Fitness","·","","·","Jl. Gegerkalong Hilir No.50A","Segera tutup","· 22.00 · Buka Sel pukul 07.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEFwljsSuA_TvmXIa1JB-20z-aU3ogSNI5GRdFAjMakHYz-eomWL7LIhLqqAIKOsJb3C9G_GwoSgifHilR__SnOC9jBl2F5Ps1NKitXuR0U-Lc13anWnfOEE_Qx5gny4qkquiVP=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Selain lokasinya deket.rumah ya","tempat gym","paling murah"""
"https://www.google.com/maps/place/GET+fit+Gym/data=!4m7!3m6!1s0x2e68e750528d6ec7:0x46d711b41e5f2a2d!8m2!3d-6.8653236!4d107.5904683!16s%2Fg%2F11l6s_g828!19sChIJx26NUlDnaC4RLSpfHrQR10Y?authuser=0&hl=id&rclk=1","GET fit Gym","5,0","(6)","Tempat Fitness","·","","Jl. Pak Gatot VI","","Segera tutup","· 22.00 · Buka Sel pukul 06.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHpZpG6sfxgAvbvBDJtejLfP0_lvGnc_OJuMMXF7WPTRiMWTOQWI-TH0jAuTCyhI9tOa7IH5nvLOqfOL-V3YOvRjZJjd7KUDfWCVtC4hX9tHF1_zs71vzbdjwWY6IEjYb4K-TBT=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""hidden gem untuk mahasiswa sekitaran upi gegerkalong dan kampus lainnya""","",""
"https://www.google.com/maps/place/Fitness+View/data=!4m7!3m6!1s0x2e68e6b382dfadd9:0x834418fa525839ae!8m2!3d-6.8492453!4d107.5913153!16s%2Fg%2F11b6gf0xsn!19sChIJ2a3fgrPmaC4RrjlYUvoYRIM?authuser=0&hl=id&rclk=1","Fitness View","4,7","(115)","Tempat Fitness","·","","·","Jl. Sersan Bajuri No.98","Tutup","· Buka Sel pukul 06.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFTSZUq-2WWNsZGxTy9QhsKE0RCn2PiXGTfw5riAQQeNqpROA1DOV0oWZulZ2fkDBtPo1BT9YA-LyWnVLPYTpNLD3Ru6gVoVHUvCgs6wUdpkDUyyqsMqGFDNh72wsFfYn_3YVsM5Q=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Saya sangat merekomendasikan","tempat gym","ini!"""
"https://www.google.com/maps/place/Rai+Fitness+Bandung/data=!4m7!3m6!1s0x2e68e65c9faf1e71:0x6f66bb10d022759d!8m2!3d-6.8807154!4d107.5979727!16s%2Fg%2F1vs316sq!19sChIJcR6vn1zmaC4RnXUi0BC7Zm8?authuser=0&hl=id&rclk=1","Rai Fitness Bandung","4,6","(484)","Tempat Fitness","·","","·","12, Jl. Karangsari No.12","Segera tutup","· 21.30 · Buka Sel pukul 05.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHThMq4u5JAKoxeIGTgUldmoW1wP_hr00v5Ex9skVQ6lwSX1Md1juKmJFQ9qnGTdEVeb4JKadqAh8tx7aQnb_auvsyuFQyhnLHVrIPPQK26o1nSAF7BRpd5XHOnbcOfObL9H8pBsQ=w80-h107-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya bersih dan rapi dengan","fitness","equipment sangat lengkap."""
"https://www.google.com/maps/place/Komodoz+Gym+Bandung/data=!4m7!3m6!1s0x2e68e71da4c79b01:0xc2ccf6156fce1660!8m2!3d-6.8618502!4d107.5963473!16s%2Fg%2F11lcc9g4_w!19sChIJAZvHpB3naC4RYBbObxX2zMI?authuser=0&hl=id&rclk=1","Komodoz Gym Bandung","4,9","(17)","Pusat kebugaran","·","","Jl. Dr. Setiabudi No.262","","Segera tutup","· 22.00 · Buka Sel pukul 07.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEWLYt6o9QrU3FLthClEiMaXOWuCFkvkjexqcbHyCMxjFVY2cGxB0siVvHXUJm6KsJpzy4WyH3UmK3gprm2pfKQVv4R5TA_U_iM56s1S1DBf29UVXLpuAZyrUwiT3TpxIXqY-gz00wtrfM=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Gym","nya enak, alat lumayan lengkap sama bersih."""
"https://www.google.com/maps/place/Asia+Gym+Bandung/data=!4m7!3m6!1s0x2e68e69d9f049a09:0x79bcc3b78f91ca48!8m2!3d-6.8750329!4d107.5761777!16s%2Fg%2F11bv1pf7mt!19sChIJCZoEn53maC4RSMqRj7fDvHk?authuser=0&hl=id&rclk=1","Asia Gym Bandung","4,8","(264)","Tempat Fitness","·","","·","Jl. Sariasih No.Ruko A2","Tutup","· Buka Sel pukul 06.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAE80zEyoHNNxZK0mNrLpGNIhnzmkXRXB12FANstE8t8VFFn6P5bdmyRghXE_nMPxo86Pl1-6bv90SwLa8Syf66iZlSyVxl7QMxNYEZ3zpHC6w4QRgoI-EtSDSY3z_kqqO7BNmVokA=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Gym","affordable yang ada di Sarijadi, Bandung."""
