"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","FQ2IWe src","ah5Ghc","M4A5Cf","ah5Ghc 2","ah5Ghc 3","Jn12ke src"
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Warteg+Mulya/data=!4m7!3m6!1s0x2e68e6bdfed65345:0xda541b8a346f9d6e!8m2!3d-6.8669692!4d107.5915625!16s%2Fg%2F11b6gbr2yt!19sChIJRVPW_r3maC4Rbp1vNIobVNo?authuser=0&hl=id&rclk=1","Warteg Mulya","4,8","(33)","·","Rp 1–25.000","Tegal","·","","·","4HMR+6J8, Jl. Gegerkalong Tengah","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFOsXPzc6zlkzRKe4C_pSbGn_EKWRLvohIesJpb7TMrLTkE-auQoI4_QhnYPP-UaA-HooNR7W00ow66id-r4Hv-VrMIPdYPkAb-U9BCyybt01rRlmbiVu4rPaePGVLiPxq9DioRn20_hvnM=w80-h106-k-no","Makan di tempat","·","Bawa pulang","",""
"https://www.google.com/maps/place/Warteg+Pitulas+Bahari/data=!4m7!3m6!1s0x2e68e6be602cf6b1:0xb984bc3c999918cf!8m2!3d-6.8647729!4d107.5935879!16s%2Fg%2F11f06k7kyf!19sChIJsfYsYL7maC4RzxiZmTy8hLk?authuser=0&hl=id&rclk=1","Warteg Pitulas Bahari","2,8","(31)","·","Rp 1–25.000","Nasi","·","","Jl. Gegerkalong Girang No.11","","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAF34jjPZ8wwUA6aBZzbE_G9z9L8IE23_-o08CWLuVg7pD-eFYnr2zeU5bVhdJLonJH4BZOs3KFEn_SU_m24-66-TYYTX6MSVlsLNtK_7JFKZy87QUfPq037O_eGfgWTJsmS91KZ=w80-h106-k-no","Makan di tempat","·","Bawa pulang","",""
"https://www.google.com/maps/place/Warteg+Jupe/data=!4m7!3m6!1s0x2e68e7007f3ea8e7:0x7ee2b9ec175f559b!8m2!3d-6.8566869!4d107.5918006!16s%2Fg%2F11mdjrtfmx!19sChIJ56g-fwDnaC4Rm1VfF-y54n4?authuser=0&hl=id&rclk=1","Warteg Jupe","4,0","(2)","","","Brunch","·","","4HVR+8PR, Jl. Cilimus","","Tutup","· Buka Sel pukul 07.00","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=N82ifyDnLQKNmeoRuuHSig&cb_client=search.gws-prod.gps&w=80&h=92&yaw=327.0666&pitch=0&thumbfov=100","Makan di tempat","·","Bawa pulang","",""
"https://www.google.com/maps/place/Warteg+Cahaya/data=!4m7!3m6!1s0x2e68e72d7b6a57f1:0x3b2272f976546589!8m2!3d-6.8653061!4d107.5914147!16s%2Fg%2F11c5rtsrx2!19sChIJ8Vdqey3naC4RiWVUdvlyIjs?authuser=0&hl=id&rclk=1","Warteg Cahaya","4,5","(27)","","","Brunch","·","","·","Jl. Gegerkalong Tengah No.79","Tutup","· Buka Sel pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGmMC1GN3kupsXTLtbnMKszGMlB3juj73FO3lo0CCw9OXSFb3Mifu7q5-P9NVbNz-63aY4xTwXcoUfdECtJqGsfpS3hkI35d0RotVLJLKESw1ndTvc-HyWMf0gBgfnozjU2BRQ8=w80-h106-k-no","Makan di tempat","·","Bawa pulang","",""
"https://www.google.com/maps/place/Warteg+Budi+Asih+2/data=!4m7!3m6!1s0x2e68e69471aff6d7:0xd6e3fcd56605de58!8m2!3d-6.871799!4d107.5939243!16s%2Fg%2F11bbyd3k9q!19sChIJ1_avcZTmaC4RWN4FZtX849Y?authuser=0&hl=id&rclk=1","Warteg Budi Asih 2","4,1","(51)","·","Rp 1–25.000","Tegal","·","","·","Jl. Dr. Setiabudi No.103 B","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFtDrMPW6LDC8dgXKlkbtKxsKqER-fgLYs6KIuMxoAUIiiq1Ff3xp4zdPognCZd1kAKEi-DDa-qLAFNznfi0wQnZe9hjyJ3yQx6izxIkjievmzRdFcAcC6SrU4yeQwauJJR7WY5=w122-h92-k-no","Makan di tempat","·","Bawa pulang","",""
"https://www.google.com/maps/place/Warteg+Makmur+Jaya+Gegerkalong/data=!4m7!3m6!1s0x2e68e6bc2e039949:0xce0461508481cedc!8m2!3d-6.8642148!4d107.591121!16s%2Fg%2F11c1q4gm6r!19sChIJSZkDLrzmaC4R3M6BhFBhBM4?authuser=0&hl=id&rclk=1","Warteg Makmur Jaya Gegerkalong","4,6","(10)","·","Rp 1–25.000","Tegal","·","","·","Jl. Gegerkalong Girang No.47","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHrs_46mAE4Guprx6iR1_ETdW1s6Fu0lfG0mq8emfFP7nvjEdzEFrAZds9g9XQeeamkUrtbxfBjlP6Fu6609iAcQnJ1sT875i76BmDmh2K1QHfIURhQsG_RLjVZ4PkW7rMJPcj06w=w122-h92-k-no","Makan di tempat","·","Bawa pulang","Pesan antar",""
"https://www.google.com/maps/place/Warteg+Budi+Asih/data=!4m7!3m6!1s0x2e68e68e064eb2a3:0x7afe713db816ffdc!8m2!3d-6.8780216!4d107.5917914!16s%2Fg%2F11bbw_njpr!19sChIJo7JOBo7maC4R3P8WuD1x_no?authuser=0&hl=id&rclk=1","Warteg Budi Asih","4,3","(111)","·","Rp 1–25.000","Tegal","·","","·","Jl. Sindang Sirna No.33","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFIXWHmeAc6cqYXKPV3cHEcDawo2LPGeElK7rujGIMoxaWeBWcP_4yvzmr55zAPYlDKZQIkOhCEH-VQjOUxFLshMC9YT6Qb2qczYhc4xJ_73pOAR5VxT51VKudDxMPn593PTmM=w122-h92-k-no","Makan di tempat","·","Bawa pulang","Pesan antar",""
"https://www.google.com/maps/place/Warteg+Bj/data=!4m7!3m6!1s0x2e68e6bc5acf630d:0xd21b44af083cd85e!8m2!3d-6.8636918!4d107.5897549!16s%2Fg%2F11b6hnd31j!19sChIJDWPPWrzmaC4RXtg8CK9EG9I?authuser=0&hl=id&rclk=1","Warteg Bj","4,6","(21)","·","Rp 1–25.000","Tegal","·","","·","4HPQ+GWC, Jl. Gegerkalong Girang","Segera tutup","· 22.00 · Buka Sel pukul 07.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHtAWarqgRJjcO6cjDL5deC-PsV7gsneqkqTbwwBjeKuZh1ScHIa6_l59u8dZd2v6-UWSKrER9PRUapoxHaKxKAjChu1eJNrJPkMFgQcpCmlcDyNfaOSVCNdlJPjVIfzMxmfZeA-g=w80-h142-k-no","Makan di tempat","·","Bawa pulang","",""
