"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","A1zNzb href","J8zHNe","bbPy1","W4Efsd 6"
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/CW+Coffee+%26+Eatery/data=!4m7!3m6!1s0x2e68e72c5d86ed3f:0x5553b798e4986ec0!8m2!3d-6.8646503!4d107.592366!16s%2Fg%2F11s5vswy2y!19sChIJP-2GXSznaC4RwG6Y5Ji3U1U?authuser=0&hl=id&rclk=1","CW Coffee & Eatery","4,6","(330)","·","Rp 25–50 rb","Kedai Kopi","·","","·","Jl. Gegerkalong Girang No.27","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEfV9NS5hN8nn0jittL_Qe11oLZpHS-FdUhdPdEkwcsgf1_70_YeP7mQ01I5BN2Hc6EJtq7VB0xreEgbQW2UPggecscpQr2s2HHrkCwUUBf_RE-EPKJgmudeKkbKThfLg9sGaYu=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Nice baget buat saya, bersih, aman, enakk","coffee","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFzNXZzd3kyeRgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Hqb4aaWzFayPseMPhsDxyAg&ei=Hqb4aaWzFayPseMPhsDxyAg&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","",""
"https://www.google.com/maps/place/Santerra+Coffee/data=!4m7!3m6!1s0x2e68e722c2ea18d9:0xf59aa07eac26aae7!8m2!3d-6.8623236!4d107.5938588!16s%2Fg%2F11ydl17xw8!19sChIJ2RjqwiLnaC4R56omrH6gmvU?authuser=0&hl=id&rclk=1","Santerra Coffee","5,0","(58)","·","Rp 1–25.000","Kedai Kopi","·","","Gd. Geugeut Winda Lt.1 PKM UPI","","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEuwMjL30I6FuUSCXjI8i0Jt3U45el2TDaWVf12KYeNCdqBUOBJqtjnHWVfJn7x8cItYfLiYlyA_W_GRaSDmjh2gtwMyk3q34cGyMVonvCk_Zprc4hO2-PlkrSM1TTgyQBFCpEmON245BU=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""tempat nya nyaman kopi nya enak org” nya ramah""","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF5ZGwxN3h3OBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Hqb4aaWzFayPseMPhsDxyAg&ei=Hqb4aaWzFayPseMPhsDxyAg&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","· Buka Sel pukul 07.00"
"https://www.google.com/maps/place/Cafe+de+Musee/data=!4m7!3m6!1s0x2e68e767e0632415:0xa94001888303639c!8m2!3d-6.8595856!4d107.594119!16s%2Fg%2F11v03j2cpb!19sChIJFSRj4GfnaC4RnGMDg4gBQKk?authuser=0&hl=id&rclk=1","Cafe de Musee","4,4","(28)","·","Rp 25–50 rb","Restoran","·","","Belakang Gedung Museum UPI, Area Cafe Museum, Jl. Dr. Setiabudi No.229","","Segera tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFraoAByab_NDLpcLD2VeplFtRrgsHsMfGgBTiQPPRk9RvPYb4BUpobWSBEbmwu7rQ1oB2tx10gjut7o4ClTEyYLQ42eel4zFs9y_-aQn1uRWnP5vPQAsm7s9Wryam52zCb0VyQ=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","cafe","","","","· 21.00 · Buka Sel pukul 08.00"
"https://www.google.com/maps/place/Harvi+Cafe/data=!4m7!3m6!1s0x2e68e7eff39203eb:0x92fcaafc11c6f786!8m2!3d-6.8583051!4d107.5948255!16s%2Fg%2F11t1d1jhrp!19sChIJ6wOS8-_naC4RhvfGEfyq_JI?authuser=0&hl=id&rclk=1","Harvi Cafe","4,6","(138)","·","Rp 25–50 rb","Kafe","·","","Jl. Dr. Setiabudi No.241 A","","Segera tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGvZ-zfUsb1KIpR2sEcp-oamdxmDzSsOhkleJMqySPUmxLdVRCkBK6xBXbLrLUf1d7jEWlwxyWllJlSK2FFYI53-Plf4v_gJjrHzckSX9LOmhNrGbnhCLR5Q6TjN9l4TX84sEi6uw=w80-h98-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pesan nasi goreng gila dan","cafe","","","","· 21.00 · Buka Sel pukul 07.00"
"https://www.google.com/maps/place/TOMORO+COFFEE+-+Universitas+Pendidikan+Indonesia/data=!4m7!3m6!1s0x2e68e7004e6d5239:0xa7f01ccb775e499b!8m2!3d-6.8624185!4d107.5932406!16s%2Fg%2F11y3kz1rg_!19sChIJOVJtTgDnaC4Rm0led8sc8Kc?authuser=0&hl=id&rclk=1","TOMORO COFFEE - Universitas Pendidikan Indonesia","4,3","(193)","·","Rp 25–50 rb","Kedai Kopi","·","","UPI, Jl. Dr. Setiabudhi No.229, Cidadap","","Segera tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEEK9fopghHIbgFNN7riXAgC2gtsvaeBa44JXYBUFyykB5Rwy10tFqJgMYg4o1nEnYEfeE0EYfWnDBK-gyH8p88T5aHKXThhsRIq5SjZVOfcRY_2vCOnF-PN2sGzw6poTnqM24HMsEpVc0=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""selain enak kopi nya, tempatnya juga baguss bangeettt 😍😍😍🥰🥰🥰😘😘😘""","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF5M2t6MXJnXxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Hqb4aaWzFayPseMPhsDxyAg&ei=Hqb4aaWzFayPseMPhsDxyAg&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","· 21.00 · Buka Sel pukul 08.00"
"https://www.google.com/maps/place/Arcana+-+Arcade+Cafe/data=!4m7!3m6!1s0x2e68e77d422b8d33:0x92f3a7db8ea8645a!8m2!3d-6.8770184!4d107.597664!16s%2Fg%2F11t8n2fwyh!19sChIJM40rQn3naC4RWmSojtun85I?authuser=0&hl=id&rclk=1","Arcana - Arcade Cafe","4,7","(515)","·","Rp 50–75 rb","Kedai Kopi","·","","Jl. Dr. Setiabudi No.114","","Buka","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGz2BkK3ftbMQVw2hdDsKCACdtEi8N4fNvFFc7s9xnoo7mbLL_DzA-GZUmU0GuKnI-egyvv7ncju5pECkDLPFqwd4O4hAyuR2h0TyicjJ618hjT2zM1bsldlPPVkTEBmXrJ8ekV=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya adem, kopinya enak, cocok buat ngumpul sore sore.""","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF0OG4yZnd5aBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Hqb4aaWzFayPseMPhsDxyAg&ei=Hqb4aaWzFayPseMPhsDxyAg&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","· Tutup pukul 22.00"
"https://www.google.com/maps/place/Kopi+Salarea+Dago+Atas/data=!4m7!3m6!1s0x2e68e7bdbd0122e9:0xaa291e39923a41e4!8m2!3d-6.8468249!4d107.6546881!16s%2Fg%2F11p068vprv!19sChIJ6SIBvb3naC4R5EE6kjkeKao?authuser=0&hl=id&rclk=1","Kopi Salarea Dago Atas","5,0","(41)","·","Rp 25–50 rb","Kedai Kopi","·","","Jl. Dago Pakar Atas","","Buka","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGH9o2EyLtijjzWUYoN7w_najMH62IAtyi0GFnR3ZIzGqHBSv0sQJ3Ki9h9EctJQnSbPX3AQNRoPjAkrprbzkTOREQ8eoUQTS6e9_W_Sf0UxALLuu-ezzUWL8BTDJPdMZrvwZEho4MoQqYz=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Mantap kopinya, harga terjangkau untuk mahasiswa.""","","","","","· Tutup pukul 23.00"
"https://www.google.com/maps/place/Dimana+Ellis+Coffee/data=!4m7!3m6!1s0x2e68e771a1c7a965:0xddf684ad7d7ee9bf!8m2!3d-6.8578694!4d107.5909338!16s%2Fg%2F11yj5ffzxz!19sChIJZanHoXHnaC4Rv-l-fa2E9t0?authuser=0&hl=id&rclk=1","Dimana Ellis Coffee","4,9","(23)","·","Rp 1–25.000","Kedai Kopi","·","","·","Jl. Cilimus No.9a","Buka","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEW53ansPr1eaIX8e8_K2F2ixOiEE24sif6prqVeyHSE7eiUiUajgELkNVNddjQ7j35gR71L7UbxCe90MCu-__5F-cEwok6lKG-wP2LLJUTnlmTnTrH6XIMLMHMu6Gou9_EbLB-LJkkfCfz=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Wah kopi enak nih, otewe ah""","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF5ajVmZnp4ehgAOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Hqb4aaWzFayPseMPhsDxyAg&ei=Hqb4aaWzFayPseMPhsDxyAg&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","· Tutup pukul 23.00"
