Kampus,Nama_Tempat,Kategori_Awal,Kategori_Google,Rating,Total_Reviews,Latitude,Longitude,Google_Maps_Link,Tags,Kategori_Popularitas,Skor_Kepercayaan,Jarak_KM,Kategori_Jarak
STMIK IKMI CIREBON,Klinik Utama Kalitanjung Cirebon,Apotek.Csv,Dokter Anak,4.6,303,-6.7453427,108.5401306,https://www.google.com/maps/place/Klinik+Utama+Kalitanjung+Cirebon/data=!4m7!3m6!1s0x2e6f1de963a66f35:0x5068e3063849e76!8m2!3d-6.7453427!4d108.5401306!16s%2Fg%2F11g698f_9k!19sChIJNW-mY-kdby4Rdp6EYzCOBgU?authuser=0&hl=id&rclk=1,stmik ikmi cirebon apotek csv dokter anak,Sangat Populer,4.57,0.0,Jalan Kaki
STMIK IKMI CIREBON,Apotek Kimia Farma Sumber Cirebon,Apotek.Csv,Apotek,3.6,221,-6.7586629,108.4759204,https://www.google.com/maps/place/Apotek+Kimia+Farma+Sumber+Cirebon/data=!4m7!3m6!1s0x2e6f1e4daa3cdcef:0xc13fa59e8ac2eb72!8m2!3d-6.7586629!4d108.4759204!16s%2Fg%2F1q62jk02m!19sChIJ79w8qk0eby4RcuvCip6lP8E?authuser=0&hl=id&rclk=1,stmik ikmi cirebon apotek csv apotek,Lumayan Ramai,3.64,0.0,Jalan Kaki
STMIK IKMI CIREBON,Apotek Pasuketan,Apotek.Csv,Apotek,3.7,192,-6.7195239,108.566187,https://www.google.com/maps/place/Apotek+Pasuketan/data=!4m7!3m6!1s0x2e6ee27d08480f8f:0x6d62d51737a006fe!8m2!3d-6.7195239!4d108.566187!16s%2Fg%2F1hf31j_1w!19sChIJjw9ICH3ibi4R_gagNxfVYm0?authuser=0&hl=id&rclk=1,stmik ikmi cirebon apotek csv apotek,Lumayan Ramai,3.74,0.0,Jalan Kaki
STMIK IKMI CIREBON,"Apotek Keluarga Dokter Kandungan dr Wildan A Sutrisno, SpOG",Apotek.Csv,Dokter Kandungan,4.8,154,-6.734865,108.5538648,"https://www.google.com/maps/place/Apotek+Keluarga+Dokter+Kandungan+dr+Wildan+A+Sutrisno,+SpOG/data=!4m7!3m6!1s0x2e6f1dd355dc00f7:0xf596f146e074c0fc!8m2!3d-6.734865!4d108.5538648!16s%2Fg%2F11r3xbw_7w!19sChIJ9wDcVdMdby4R_MB04EbxlvU?authuser=0&hl=id&rclk=1",stmik ikmi cirebon apotek csv dokter kandungan,Lumayan Ramai,4.72,0.0,Jalan Kaki
STMIK IKMI CIREBON,Apotek K-24 Tuparev Cirebon,Apotek.Csv,Apotek,4.0,148,-6.7108812,108.5427305,https://www.google.com/maps/place/Apotek+K-24+Tuparev+Cirebon/data=!4m7!3m6!1s0x2e6ee2145a7b7c67:0xeb8eeb7521282c14!8m2!3d-6.7108812!4d108.5427305!16s%2Fg%2F1hm2lqszf!19sChIJZ3x7WhTibi4RFCwoIXXrjus?authuser=0&hl=id&rclk=1,stmik ikmi cirebon apotek csv apotek,Lumayan Ramai,4.01,0.0,Jalan Kaki
STMIK IKMI CIREBON,Apotek Pasuketan Tuparev,Apotek.Csv,Apotek,4.1,143,-6.7105425,108.5389074,https://www.google.com/maps/place/Apotek+Pasuketan+Tuparev/data=!4m7!3m6!1s0x2e6ee214b958bc31:0x493dbf09e574a4d9!8m2!3d-6.7105425!4d108.5389074!16s%2Fg%2F1hm2tr2p1!19sChIJMbxYuRTibi4R2aR05Qm_PUk?authuser=0&hl=id&rclk=1,stmik ikmi cirebon apotek csv apotek,Lumayan Ramai,4.1,0.0,Jalan Kaki
STMIK IKMI CIREBON,Apotek Garuda (Klinik Dokter Spesialis),Apotek.Csv,Apotek,3.2,138,-6.7027701,108.5565689,https://www.google.com/maps/place/Apotek+Garuda+%28Klinik+Dokter+Spesialis%29/data=!4m7!3m6!1s0x2e6ee242cff6b3a7:0xbd1f1a222127d86c!8m2!3d-6.7027701!4d108.5565689!16s%2Fg%2F1hf0gyk5_!19sChIJp7P2z0Libi4RbNgnISIaH70?authuser=0&hl=id&rclk=1,stmik ikmi cirebon apotek csv apotek,Lumayan Ramai,3.32,0.0,Jalan Kaki
STMIK IKMI CIREBON,Apotek K-24 Ciremai Perumnas Cirebon,Apotek.Csv,Apotek,4.4,133,-6.7449645,108.5631563,https://www.google.com/maps/place/Apotek+K-24+Ciremai+Perumnas+Cirebon/data=!4m7!3m6!1s0x2e6f1d9926554431:0x29cac320df5244ca!8m2!3d-6.7449645!4d108.5631563!16s%2Fg%2F11dfjbst5c!19sChIJMURVJpkdby4RykRS3yDDyik?authuser=0&hl=id&rclk=1,stmik ikmi cirebon apotek csv apotek,Lumayan Ramai,4.36,0.0,Jalan Kaki
STMIK IKMI CIREBON,"Apotek Mensana Farma & Mental Health Care (MHC) Cirebon Psikiater, Psikolog, Hipnoterapi,Jasa Mediasi Ciayumajakuning",Apotek.Csv,Rumah Sakit Jiwa,4.9,133,-6.7306933,108.540374,"https://www.google.com/maps/place/Apotek+Mensana+Farma+%26+Mental+Health+Care+%28MHC%29+Cirebon+Psikiater,+Psikolog,+Hipnoterapi,Jasa+Mediasi+Ciayumajakuning/data=!4m7!3m6!1s0x2e6f1ddc54e045f1:0x4be19850ced8f1bd!8m2!3d-6.7306933!4d108.540374!16s%2Fg%2F11kqsdb795!19sChIJ8UXgVNwdby4RvfHYzlCY4Us?authuser=0&hl=id&rclk=1",stmik ikmi cirebon apotek csv rumah sakit jiwa,Lumayan Ramai,4.8,0.0,Jalan Kaki
STMIK IKMI CIREBON,Perumda Farmasi Apotek Ciremai,Apotek.Csv,Apotek,4.0,132,-6.7107197,108.5606671,https://www.google.com/maps/place/Perumda+Farmasi+Apotek+Ciremai/data=!4m7!3m6!1s0x2e6ee242cff6b3a7:0x39098f6231769cf3!8m2!3d-6.7107197!4d108.5606671!16s%2Fg%2F1hf2wfc7v!19sChIJp7P2z0Libi4R85x2MWKPCTk?authuser=0&hl=id&rclk=1,stmik ikmi cirebon apotek csv apotek,Lumayan Ramai,4.02,0.0,Jalan Kaki
STMIK IKMI CIREBON,Kimia Farma Apotek,Apotek.Csv,Apotek,4.3,119,-6.7312749,108.5565617,https://www.google.com/maps/place/Kimia+Farma+Apotek/data=!4m7!3m6!1s0x2e6f1d88ec05bbc7:0xd71687130fbe6d94!8m2!3d-6.7312749!4d108.5565617!16s%2Fg%2F11cjnnj25y!19sChIJx7sF7Igdby4RlG2-DxOHFtc?authuser=0&hl=id&rclk=1,stmik ikmi cirebon apotek csv apotek,Lumayan Ramai,4.27,0.0,Jalan Kaki
STMIK IKMI CIREBON,Apotek Perjuangan,Apotek.Csv,Apotek,4.2,112,-6.7349419,108.5345407,https://www.google.com/maps/place/Apotek+Perjuangan/data=!4m7!3m6!1s0x2e6f1df09e5af4e7:0xb8bc15ce6d979b95!8m2!3d-6.7349419!4d108.5345407!16s%2Fg%2F11bzywztsb!19sChIJ5_RanvAdby4RlZuXbc4VvLg?authuser=0&hl=id&rclk=1,stmik ikmi cirebon apotek csv apotek,Lumayan Ramai,4.19,0.0,Jalan Kaki
STMIK IKMI CIREBON,Apotek Kimia Farma,Apotek.Csv,Apotek,4.0,101,-6.7374874,108.5494058,https://www.google.com/maps/place/Apotek+Kimia+Farma/data=!4m7!3m6!1s0x2e6f1d8dc9d09c2d:0x3088d0ac09eb559f!8m2!3d-6.7374874!4d108.5494058!16s%2Fg%2F1hc25hc61!19sChIJLZzQyY0dby4Rn1XrCazQiDA?authuser=0&hl=id&rclk=1,stmik ikmi cirebon apotek csv apotek,Lumayan Ramai,4.02,0.0,Jalan Kaki
STMIK IKMI CIREBON,Apotek K-24 Kasepuhan Cirebon,Apotek.Csv,Apotek,4.3,95,-6.7244316,108.571857,https://www.google.com/maps/place/Apotek+K-24+Kasepuhan+Cirebon/data=!4m7!3m6!1s0x2e6ee3e3fbf9c329:0x77befb2b98b7551b!8m2!3d-6.7244316!4d108.571857!16s%2Fg%2F11h0rc04xj!19sChIJKcP5--Pjbi4RG1W3mCv7vnc?authuser=0&hl=id&rclk=1,stmik ikmi cirebon apotek csv apotek,Lumayan Ramai,4.27,0.0,Jalan Kaki
